Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,6425000.0,927959.756222634,10440.243777366,18163282.988161884,22197.086870293082,1886.7523839749122,20310.33448631817,9257361.991612062,96643.8128576142,96643.8128576142,11275231.82601772,103080.2860324712,8761.824312760053,94318.46171971114,1145073.3178900466,102326.68210995338,23023.50347473951,79303.17863521387,469214.74617798504,454785.25382201496,102326.68210995337,352458.5717120616,0.0,0.0,0.0,643034.359410919,111504.57882087759,99768.03024276593
1962.0,7737500.0,1839873.2568191304,21086.499403503745,44202431.62754737,55300.90773700303,5275.552181849897,50025.35555515313,19001463.213407762,207162.064308522,207162.064308522,25807311.63782096,243159.93558011425,23196.778880897124,219963.15669921713,2189839.4833313217,204833.834558725,49921.072638220016,154912.761920505,483644.2385339552,909570.5076440299,221675.95250804306,687894.5551359869,0.0,0.0,0.0,1319957.8936193842,360115.67646778235,228539.47891598754
1963.0,7812500.0,2736378.545045886,31694.711773244067,65170344.65503754,84101.44916252824,8534.546461986149,75566.9027005421,26006778.498712413,298772.5835677498,298772.5835677498,36670835.0914368,359278.305872697,36459.26942743332,322819.03644526366,3332031.932780817,325207.55055050435,82818.17818172935,242389.37236877502,564081.0521644669,1442318.9478355332,367304.5949103113,1075014.352925222,0.0,0.0,0.0,2014562.2480075525,718832.2283623614,338441.9708189764
1964.0,5475000.0,3617567.120589406,42211.42445647996,82516216.70887226,110094.44938725058,11647.37791355847,98447.0714736921,31437889.04548056,381462.7316330108,381462.7316330108,45305416.18167272,462577.40419405734,48938.106061730345,413639.298132327,4693131.649317065,475900.28346375143,124890.48652371528,351009.7969400361,553148.5438204051,1962073.5236321217,514906.85228890117,1447166.6713432206,0.0,0.0,0.0,2691725.5695222868,1174040.2690282285,438341.060573163
1965.0,7556250.0,4483555.393769046,52611.72682035988,103609613.99033041,142099.15267406675,15508.924431871741,126590.22824219501,38997398.87899299,492668.7861334672,492668.7861334672,56749148.81099571,597916.7579539022,65257.5729070421,532659.1850468601,5697546.60749953,608185.041817536,163270.20813901004,444914.833678526,727016.0354763432,2650748.336562602,711606.1771945934,1939142.1593680084,0.0,0.0,0.0,3535975.1924690567,1757848.7636772888,568109.7047734619
1966.0,7237500.0,5334473.904725485,62881.48904356206,123044946.64943035,173832.64281659498,19447.768896824156,154384.87391977082,46494348.890783206,611718.6532090178,611718.6532090178,66439284.390639804,725543.6257883566,81171.20311967548,644372.4226686811,6846352.370910107,765194.2365894221,209186.89175123136,556007.3448381907,1232871.290465078,3824527.4202365642,1045539.7665075696,2778987.6537289945,5713.9764191643,302286.02358083567,302286.02358083567,5047756.971945491,2468694.2853428475,699630.4281319112
1967.0,12050000.0,6170462.007939583,73011.89678590174,144388553.9490566,209607.78133511203,23934.830048798944,185672.9512863131,53138127.72590565,730551.4865291652,730551.4865291652,76012689.54562645,859511.2145474625,98146.42717075581,761364.7873767067,7630137.38444708,903614.9864630275,250788.9184250971,652826.0680379304,1690665.2239459273,5427104.028942713,1506236.1403793728,3920867.8885633396,5713.9764191643,604572.0471616713,604572.0471616713,6855855.228955125,3309983.56097482,836299.9495602124
1968.0,12487500.0,6991664.838972174,82997.16896740888,172821612.01054066,255958.68872058173,29740.255495441583,226218.43322514015,59670923.89315226,856321.8535199319,856321.8535199319,87026641.51237388,1014133.7257213817,117833.84365757124,896299.8820638105,9309500.834635498,1134436.549811582,318941.074885716,815495.4749258661,1731082.445091727,7055668.366438691,1983665.3298969064,5072003.036541784,6285.37406108073,937086.6731005906,937086.6731005906,8803425.353377124,4298686.061165036,990137.6686186666
1969.0,12487500.0,7798824.174207474,92840.6647646997,200211096.43714672,303521.0628946903,35802.84943302007,267718.21346167027,65904013.280096084,987095.5032368569,987095.5032368569,97859997.99543802,1175643.8978883834,138677.03632004824,1036966.8615683351,11301296.200333249,1413804.6343022485,401980.0925491061,1011824.5417531424,2011201.4792846784,8954938.212162059,2546113.3766002865,6408824.835561773,17141.9292574929,1843944.7438430977,1843944.7438430977,11556374.699424876,5439635.079383975,1150831.560047924
1970.0,12487500.0,8591491.687484419,102532.48672305548,228741306.13918182,354988.58403077093,42434.900969200295,312553.6830615706,73225776.25858115,1137181.3510902207,1137181.3510902207,110217081.52260408,1359651.6788787884,162531.0980164564,1197120.580862332,13835672.053641304,1766624.1466919468,507321.0984832856,1259303.0482086611,2495708.2768104263,11315490.243904898,3249467.0420780466,8066023.201826852,5713.9764191643,2146230.7674239334,2146230.7674239334,14118412.63247357,6753885.08122599,1332605.613172107
1971.0,12487500.0,9349667.999637682,111823.68784673641,265950324.60251102,419750.1704629784,50776.51873199546,368973.65173098294,81022793.956544,1301256.2983503302,1301256.2983503302,124093536.82005632,1567211.1261335704,189583.06798384397,1377628.0581497266,15536580.335198404,2076491.7184428992,601649.2978924506,1474842.4205504486,4007362.3806726723,15127023.799746547,4382951.864187832,10744071.935558714,5713.9764191643,2448516.791004769,2448516.791004769,17715289.15534497,8263993.32423568,1537749.7652213508
1972.0,12487500.0,10087978.360089887,120889.63954779562,305419215.92682195,490674.9475410673,59996.592141428366,430678.35539963894,90495580.62812835,1492362.2221128875,1492362.2221128875,140279646.11874118,1806650.4430374098,220905.65315437128,1585744.7898830385,16994265.523823548,2392314.8113748543,698777.1651049783,1693537.646269876,3874650.8577405824,18765305.830322668,5481204.709385607,13284101.12093706,2856.98820958215,2599659.8027951866,2599659.8027951866,21086083.93739769,9999736.1308368,1773042.5607944452
1973.0,12487500.0,10817909.308765305,129869.05132458126,351624567.7884598,573522.7326805375,70815.28374802363,502707.4489325139,97098765.55940711,1664675.1302240689,1664675.1302240689,153968346.21105763,2035641.7412456428,251349.3176493281,1784292.4235963146,19303461.91500073,2805050.476252215,825396.2924079264,1979654.1838442886,4724912.231062919,23233029.53810751,6836403.339086841,16396626.199020669,5713.9764191643,2901945.8263760223,2901945.8263760223,25229901.211993873,11949147.221403886,2002263.9121858114
1974.0,2700000.0,11595260.847252972,139448.4615123321,378971611.3265541,637628.3475248821,79439.47600120505,558188.871523677,101605298.85245258,1823607.7219086834,1823607.7219086834,162732004.12102336,2230555.664605037,277895.6956282895,1952659.9689767472,19947291.035162196,3096690.543782523,917408.6570332949,2179281.886749228,4335638.67288783,27297943.449649997,8087139.895265234,19210803.554384764,5713.9764191643,3204231.849956858,3204231.849956858,28928773.853499956,14079244.67754747,2204359.1062655235
1975.0,6637500.0,12427735.922335448,149724.9249175242,400036405.1242049,697191.2844861001,87581.69415370788,609609.5903323921,105870061.31789109,1986419.4409564964,1986419.4409564964,168419357.84030613,2405211.336451524,302144.45924894256,2103066.8772025816,19323887.019601896,3290696.158012152,981013.6361494535,2309682.5218626987,3105134.281243962,30182581.345321063,8997951.330710715,21184630.01461035,1714.19292574929,3294917.6570311086,3294917.6570311086,31488326.10199563,16380101.717340574,2398238.868698365
1976.0,9775000.0,13197888.562843388,159247.3594920593,441592999.208287,784592.9500732325,99320.70423005304,685272.2458431795,105183524.66444027,2103460.0778453834,2103460.0778453834,177675700.5855721,2618315.929681903,331449.552291414,2286866.377390489,19057323.78768036,3520976.310344252,1055799.588479472,2465176.7218647795,4694297.433070483,34643808.12090845,10388288.682874084,24255519.438034363,11427.9528383286,3899489.70419278,3899489.70419278,35695784.56517097,18857904.162629962,2597796.255789666
1977.0,9775000.0,13917135.677493177,168152.8853502108,493225734.36421555,888636.0579519008,113299.49798689413,775336.5599650067,104312474.80101399,2219486.2200360014,2219486.2200360014,191496033.4314746,2881078.7971538277,367332.36115868017,2513746.4359951476,19035550.450145498,3781575.479597819,1140132.755889022,2641442.7237087972,5997793.352313321,40319961.217420354,12156337.68205124,28163623.535369113,7999.56698683002,4322690.13720595,4322690.13720595,40636325.61228001,21542025.619221296,2824447.7594048213
1978.0,10137500.0,14611573.58797955,176762.08951362828,540321902.8328758,992322.9536138757,127370.18465474421,864952.7689591314,103044310.9557485,2331534.6847233,2331534.6847233,206696692.76628593,3167205.0217242376,406528.42604043987,2760676.5956837977,19792053.896404948,4121401.1275926027,1248949.5521065225,2872451.5754860803,7745623.000112643,47652832.02428389,14440716.0018664,33212116.022417493,11427.9528383286,4927262.184367621,4927262.184367621,46968993.83163742,24439462.515198722,3059727.1533888015
1979.0,10575000.0,15279718.66481184,185054.9231677093,599206897.0184635,1115466.4189452657,144080.98766875223,971385.4312765135,101854868.09452821,2443598.497459999,2443598.497459999,223829639.66172022,3482592.8599347216,449834.62557482923,3032758.2343598926,20425413.70322758,4467904.178123662,1360476.1629435176,3107428.0151801445,9721968.03873913,56850322.37181769,17310914.773242444,39539407.59857525,14284.94104791075,5682977.243319711,5682977.243319711,54777555.02017151,27570984.337911353,3316220.3403837737
1980.0,6637500.0,15936108.060398124,193210.60441371676,652612653.8762093,1237964.7439366642,160856.16728861246,1077108.5766480519,100401720.16317098,2551548.633598497,2551548.633598497,238041556.443219,3784080.634941102,491688.24122734973,3292392.3937137523,21046673.564238,4825235.448983816,1475966.042195834,3349269.406787982,11289319.212970704,67509622.46377939,20650165.433685478,46859457.03009391,17141.9292574929,6589835.314062217,6589835.314062217,63719611.354904406,30925764.93591527,3566269.0059563876
1981.0,6200000.0,16593323.18093174,201384.8794663854,698437181.2169855,1357069.7323714572,177325.3659979772,1179744.3663734798,99300763.12544547,2660933.905066557,2660933.905066557,251187389.24330524,4086739.4152730354,534005.3980021199,3552734.0172709157,21308091.98832474,5158203.224103506,1584610.8926845402,3573592.3314189655,11956850.673817178,78770971.60603881,24198608.354746945,54572363.25129186,18284.72454132576,7557150.589520891,7557150.589520891,73096518.46094269,34502412.1275236,3816765.0971026253
1982.0,6275000.0,17243641.917223215,209481.2637085232,759255732.3680825,1500027.1223554702,197052.01814606,1302975.1042094103,97114014.35179098,2756436.5575451558,2756436.5575451558,263372797.60370335,4390734.698681354,576791.6597137776,3813943.038967576,22532636.343870014,5576713.93982305,1720182.8439923467,3856531.095830703,10427543.910834398,88531529.41068558,27308271.44587183,61223257.964813754,15999.13397366004,8403551.45554723,8403551.45554723,81356695.21691383,38303839.019278064,4071927.808967675
1983.0,5837500.0,17890697.40626179,217544.51096142383,816069990.480637,1644846.5638476147,217173.06123257423,1427673.5026150404,95506788.59789772,2853797.658089717,2853797.658089717,274466000.0926197,4694073.90368437,619769.9054253661,4074303.998259004,23991956.191537913,6025182.731786426,1865748.1059986243,4159434.625787802,9061656.584892977,97014357.21649908,30041305.18340156,66973052.03309752,15999.13397366004,9249952.32157357,9249952.32157357,88738214.13942267,42330534.2195744,4329079.958667427
1984.0,7433750.0,18528596.697900556,225500.7083612343,885500841.3629258,1811773.566901172,240369.46204680108,1571404.104854371,94293878.65455094,2950989.172442879,2950989.172442879,287187854.66381663,5020708.741271821,666101.4827020097,4354607.2585698115,26143484.225769754,6547463.89232647,2035000.5787294272,4512463.313597043,10904678.63507402,107322822.96979809,33356733.301023446,73966089.66877463,19427.51982515862,10277724.801748412,10277724.801748412,97633278.31998713,46602119.119645365,4605415.6357960915
1985.0,7662500.0,19163964.646896373,233432.05100418095,957222445.1844176,1989283.6670861966,265137.96827416046,1724145.698812036,92619652.77471352,3038863.440896877,3038863.440896877,299259915.64920115,5350578.246133402,713141.8554045067,4637436.390728896,27682330.509000164,7026432.171550132,2191611.98020491,4834820.191345222,10493387.993925,117176503.46927509,36548481.865602426,80628021.60367265,15427.73633174361,11093897.065416668,11093897.065416668,105957184.39087233,51118487.5342152,4884077.115867974
1986.0,7792500.0,19799789.066622157,241375.58027421846,1026796636.4381832,2172358.4747234564,290816.7747390657,1881541.6999843908,90799550.08787264,3119739.2022934547,3119739.2022934547,308825738.62283266,5666034.949520753,758520.3035093984,4907514.646011354,29533510.412411477,7547991.450734904,2362284.3664110424,5185707.084323862,7426828.295477945,124071914.17484316,38830614.088386096,85241300.08645707,18284.72454132576,12061212.340875342,12061212.340875342,112397015.05994548,55870607.43338974,5156675.649114655
1987.0,7303750.0,20423613.765935436,249175.30068672233,1110922020.7565575,2381505.186305871,320163.72968010994,2061341.4566257608,87832109.31845105,3182507.1612628032,3182507.1612628032,317626057.5417949,5981090.050506133,804083.1106032684,5177006.939902864,32444964.321540724,8191909.619638455,2572158.0030579106,5619751.616580544,9687979.037922427,133249913.72578458,41838819.99563363,91411093.73015095,22855.9056766572,13270356.435198685,13270356.435198685,120722057.33972162,60859675.37302555,5431787.618155621
1988.0,6428750.0,21031433.2188492,256780.54708623354,1192405416.9679995,2596984.454351605,350548.9282945661,2246435.526057039,84806013.9210692,3236969.7806486515,3236969.7806486515,325773459.9081018,6295906.256295926,849840.7401281974,5446065.516167728,34935874.671328165,8835827.788542006,2783016.45304095,6052811.335501056,9760401.347175725,142427913.276726,44860451.73214318,97567461.54458283,22855.9056766572,14479500.529522028,14479500.529522028,129029244.23247933,66083340.274781704,5705805.921117265
1989.0,6428750.0,21629365.857899327,264267.3609498729,1297743013.162197,2851281.004718877,386375.48496074736,2464905.5197581295,81729793.75337727,3282689.7441482013,3282689.7441482013,337160321.7539513,6645240.677032891,900492.825863236,5744747.851169655,35880503.7286661,9376336.453302694,2962143.965266527,6414192.488036167,6547397.513823617,148491716.66101953,46911055.782834366,101580660.87818517,25141.49624432292,15809559.033277705,15809559.033277705,135296755.51457503,71569589.83357686,6006093.556280827
1990.0,6610000.0,22221084.482277934,271681.37562139204,1386385870.2095268,3096806.6464127805,421221.324804483,2675585.3216082975,78428970.17959118,3317388.21073795,3317388.21073795,343042101.28197396,6950788.347044702,945432.0563956435,6005356.290649058,36609367.514132716,9916845.118063383,3141977.1381117315,6774867.979951652,6448589.847119403,154555520.04531306,48968185.42288333,105587334.62242973,25141.49624432292,17139617.537033383,17139617.537033383,141500149.96241006,77287101.8412736,6280817.815298561
1991.0,5413750.0,22827401.155753735,279283.3265241973,1458838408.7493317,3333356.570805647,455035.86570047616,2878320.7051051706,75098200.24241063,3342540.714304726,3342540.714304726,346861792.8479062,7240130.361886772,988348.8060832295,6251781.555803543,44677819.681674086,11130688.616954999,3536416.2805836373,7594272.336371362,5409614.337725293,159612298.9390007,50711645.25161979,108900653.68738091,27998.48445390507,18620819.052579477,18620819.052579477,147588388.05154517,83219268.73507586,6540476.081411179
