Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,367008750.0,0.0,0.0,1126393349.5301397,1376549.1098683348,117006.67433880847,1259542.4355295263,491123566.579141,5127168.420274038,5127168.420274038,556453028.9505413,5087198.052593426,432411.8344704412,4654786.218122984,90315385.9777086,8070814.022291402,1815933.1550155655,6254880.867275837,60327610.22288379,58472389.77711621,13156287.699851148,45316102.07726506,0.0,0.0,0.0,62612480.01846744,5822166.149713898,5219330.924212649
1962.0,338888750.0,0.0,0.0,2238558151.557244,2815197.372340082,268561.96846926643,2546635.403870816,970369452.9198244,10596828.087302852,10596828.087302852,1095206903.8937435,10369136.518745594,989186.6702355207,9379949.848510073,179793913.1794788,16788072.798229814,4091504.723434167,12696568.074795647,65829299.553234585,120479110.66964921,29362563.30935107,91116547.36029814,0.0,0.0,0.0,126336528.77477753,17529549.107540302,10816030.381857337
1963.0,357223750.0,0.0,0.0,3253577936.8525476,4217123.836345658,427950.28713104903,3789173.5492146085,1417548083.7960835,16209679.94968031,16209679.94968031,1582223631.5066528,15536413.842692789,1576622.6041701215,13959791.238522667,255397302.8506524,25044410.328826386,6377872.941627707,18666537.38719868,65659908.474694185,182212960.409889,46402813.82366932,135810146.5862197,0.0,0.0,0.0,188435328.710836,34991741.11865912,16496452.726298777
1964.0,400377500.0,0.0,0.0,4243258921.9446864,5666778.672862995,599513.536991921,5067265.135871074,1867106221.7660203,22315993.203125186,22315993.203125186,2055981960.16436,20919808.40101701,2213198.900417022,18706609.500599988,331723183.8648434,34103118.985808946,8949679.733565958,25153439.25224299,65557407.83004501,243855853.0993644,63995078.78745568,179860774.31190872,0.0,0.0,0.0,251104081.40374795,58502267.34970455,22579341.608550824
1965.0,428782500.0,0.0,0.0,5284083009.994899,7259168.834239195,792277.0739291008,6466891.760310095,2283940414.750128,28569867.831716053,28569867.831716053,2521612539.9117084,26568028.18057395,2899676.2725352854,23668351.908038665,402562904.19268245,43481079.672161005,11672705.574880704,31808374.0972803,67873783.39125356,307746684.32916003,82616081.86606248,225130602.46309757,0.0,0.0,0.0,315644088.0604427,88249446.91308588,28957931.936683483
1966.0,520766250.0,0.0,0.0,6377508776.438492,9003002.7239911,1007223.4622721989,7995779.261718901,2691322897.079708,35200095.36383888,35200095.36383888,2977555075.402633,32470915.995361768,3632728.9277437227,28838187.067618046,471208130.8389928,53500973.35368961,14625962.646303724,38875010.70738588,78931434.43898048,382285987.4305883,104508389.69604512,277777597.7345432,0.0,0.0,0.0,388686670.13510495,124549116.58857201,35734392.01768969
1967.0,493596250.0,0.0,0.0,7517792133.056928,10898512.037463449,1244486.4009339176,9654025.636529531,3005089147.8709517,41332722.187089026,41332722.187089026,3401644763.8732247,38428016.46162343,4388043.407849057,34039973.05377437,546050286.983064,64970043.855928846,18031758.29612715,46938285.5598017,148847134.48610792,524263446.74162394,145503853.68528304,378759593.05634093,114850.92602520243,6075949.073974797,6075949.073974797,516800548.56751037,167166955.85210204,42408881.6138629
1968.0,501600000.0,0.0,0.0,8669798685.790277,12909832.990022799,1500014.449385971,11409818.540636828,3316880123.6873517,47846892.59977173,47846892.59977173,3823691730.614869,44698805.39167685,5193626.750216264,39505178.64146058,621811167.5665847,77546119.41647929,21801697.665696535,55744421.75078276,151022571.76184008,666275556.3577126,187319989.07307932,478955567.2846333,113708.13074136956,12091440.943233427,12091440.943233427,645553319.7605184,216453134.1418839,49475711.49208726
1969.0,480225000.0,0.0,0.0,9815540568.814445,15019786.16041082,1771709.4731047559,13248076.687306063,3601645432.034966,54484204.182517365,54484204.182517365,4217242532.1276298,51045874.25426368,6021288.053858648,45024586.20040503,684212395.0810164,90052172.48556826,25604089.66820376,64448082.8173645,158088704.61561382,815135432.5099214,231763433.68127885,583371998.8286426,125707.4812216146,18741733.46201181,18741733.46201181,779318682.1782473,272496665.8491272,56713335.362985216
1970.0,515375000.0,0.0,0.0,10980030219.113827,17262571.282821868,2063546.64857845,15199024.634243418,3977808162.231307,62458199.667140506,62458199.667140506,4646336889.597425,58041228.74874745,6938177.465082385,51103051.28366507,739548182.4335829,103044412.64743361,29591243.114586875,73453169.53284673,164868274.92206296,970355805.283441,278656880.1167131,691698925.1667278,108565.5519641217,24485167.910047688,24485167.910047688,918397538.1946712,336312758.05540705,64944183.378769115
