Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1483730187.5,20073305.36119218,244794.63880781856,23164412.78245251,28308.895653200456,2406.256130522039,25902.639522678415,73318017.37934464,765415.9745639148,765415.9745639148,38742146.06674678,354187.9723356883,30105.97764853351,324081.9946871548,66644.47881899742,5955.521181002578,1339.99226572558,4615.528915276997,451339.898704538,437460.10129546205,98428.52279147896,339031.5785039831,0.0,0.0,0.0,1459047.7161930082,587458.9099371189,527941.6988366292
1962.0,1496118900.0,40810613.58290297,506591.77828921005,54048286.460775316,67686.30649337386,6457.084639562755,61229.22185381111,148511636.09200954,1620053.2210931615,1620053.2210931615,79839709.37018889,754733.7891875973,71999.49605167638,682734.293135921,193977.91527598968,17866.56354300773,4354.349067122274,13512.214475885456,389251.59435146407,801288.304353074,195285.95816184746,606002.3461912266,0.0,0.0,0.0,2983531.2967500053,1815652.0019659945,1135823.644054018
1963.0,1508610925.0,62241612.08017201,780701.5027309563,89039408.54329509,114334.81783910425,11602.604054833908,102732.21378427034,225489507.26088563,2568136.6840296877,2568136.6840296877,122797284.45466247,1199531.1298399733,121727.44063462978,1077803.6892053436,309400.30937097676,29777.605905012886,7583.240510535707,22194.36539447718,688553.4419415832,1457478.456296267,371165.15371567494,1086313.302580592,0.0,0.0,0.0,4857180.254994371,3744383.048318963,1819941.5406663332
1964.0,1521207450.0,84398684.34926,1066527.7309120006,121905269.87261938,161025.65882511565,17035.61544250793,143990.04338260772,304452989.94956017,3616784.5141950347,3616784.5141950347,166382071.82190242,1679431.785220667,177674.50394981052,1501757.2812708565,1612512.2798459125,148888.02952506446,39072.677808898414,109815.35171616604,872109.3070365298,2282588.845373351,599019.6714266024,1683569.1739467487,0.0,0.0,0.0,7055916.3645114135,6431498.345063485,2575416.5421039765
1965.0,1533909187.5,107316021.51163325,1364062.8376267545,156001357.31434196,211822.60813484527,23118.651735105228,188703.95639974004,385299490.5210223,4770010.307839787,4770010.307839787,211305211.71917886,2202265.819684976,240358.74622510435,1961907.0734598713,2796513.8267007964,267998.453145116,71945.47747371807,196052.97567139793,877468.8327687472,3107699.2344504353,834276.8498972559,2273422.384553179,0.0,0.0,0.0,9390096.697923975,9943573.691685118,3408545.9910777668
1966.0,1546716850.0,131030281.79608537,1673539.7155478743,194947815.43017823,271345.455293213,30357.15053422729,240988.30475898573,468219378.8429377,6034632.298114459,6034632.298114459,256868797.06301194,2763395.693623845,309158.73997714516,2454236.9536467,2861737.7676506676,297776.05905012885,81405.27627111597,216370.78277901286,2957654.207491148,5949024.248805119,1626329.4103036765,4322694.838501442,0.0,0.0,0.0,13268923.1778006,14350884.133421082,4322547.114784181
1967.0,1559631387.5,155579274.2989216,1995307.4971637449,228305500.69161662,327293.79573287844,37373.23741988634,289920.5583129921,553396250.476171,7417374.315039494,7417374.315039494,301750370.11245966,3351994.5006468133,382759.7343307726,2969234.766316041,3097117.539152518,345420.2284981495,95867.78307681961,249552.44542132987,4373410.297115382,10100563.92298037,2803306.2085911385,7297257.714389231,0.0,0.0,0.0,18223339.79947909,19716527.05877024,5310886.71431937
1968.0,1572653987.5,181003072.02661464,2329802.272306985,264001966.64320505,389093.49244069506,45209.40443413614,343884.08800655894,641007040.5986462,8924826.897280456,8924826.897280456,349129871.9368416,3997492.5854018843,464475.1519287873,3533017.433473097,3151564.183568353,381153.35558416496,107159.33028295136,273994.0253012136,3624018.976774216,13485465.597855654,3791370.168590557,9694095.429265097,0.0,0.0,0.0,22769817.873326425,26125469.524950374,6392785.952579976
1969.0,1585785125.0,207343354.7321198,2677517.294494825,307339970.35678536,463507.0396070707,54674.53425449614,408832.5053525745,730925342.1655726,10560310.814423533,10560310.814423533,401296442.2863001,4723118.148937312,557131.3118372888,4165986.8371000234,3103633.2220791755,410930.96148917783,116837.9717557205,294092.98973345733,3836536.7043973254,17099925.543707762,4861937.4175661085,12237988.126141652,0.0,0.0,0.0,27667211.272751242,33677773.48873832,7582826.193088187
1970.0,1599025987.5,234644252.1234067,3039002.608713086,363798495.53850025,557895.5979156529,66690.15713094424,491205.44078470865,823318485.3071032,12329790.77543403,12329790.77543403,456223450.5562544,5514083.854447436,659146.8368995793,4854937.017547856,3292502.569960974,464530.652118201,133399.1733063619,331131.47881183913,6399923.3511466,23191882.300856944,6660008.144232306,16531874.156624638,0.0,0.0,0.0,34538938.869203076,42471980.935346,8881725.787158914
1971.0,1598085250.0,262563266.23511007,3409685.8882966316,421279829.2658832,658552.4029104061,79664.04965481757,578888.3532555886,918051122.691542,14235884.901881918,14235884.901881918,514281790.72763103,6376241.213342246,771323.8830895236,5604917.330252722,4094217.015403724,577685.55455725,167380.4452071731,410305.1093500769,5756832.761812032,28584336.024746552,8282116.199773112,20302219.82497344,0.0,0.0,0.0,41132215.519713745,52603991.178880125,10287680.34185611
