Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1074312500.0,65947442.502340116,828357.4976598808,90629761.82890117,110757.32826831192,9414.372902806514,101342.9553655054,0.0,0.0,0.0,38545577.25186384,352390.9033285179,29953.226782924026,322437.6765455939,0.0,0.0,0.0,0.0,16087362.726102345,15592637.273897657,3508343.386626973,12084293.887270685,0.0,0.0,0.0,12508074.519181784,224615.77291508345,199164.85899601586
1962.0,1100687500.0,130741480.20361601,1669762.2987240986,181145660.1175148,227771.09312221734,21728.7262805493,206042.36684166803,0.0,0.0,0.0,76728116.38402191,726161.0697559129,69273.73840125818,656887.3313546547,0.0,0.0,0.0,0.0,16582088.178307036,31185274.547795314,7600318.371704334,23584956.176090978,0.0,0.0,0.0,24447885.8742873,675135.268239672,412410.2028717343
1963.0,1129187500.0,194388713.24536642,2506366.9582495927,271541305.44522125,351308.2005823619,35650.46964354572,315657.73093881615,0.0,0.0,0.0,114525993.70193787,1121789.084699138,113838.2413055901,1007950.8433935479,0.0,0.0,0.0,0.0,16582088.178307036,46777911.82169297,11912581.45655064,34865330.36514233,0.0,0.0,0.0,36188938.939474694,1358701.1719690682,640042.670602968
1964.0,1156000000.0,256898318.68773046,3334394.5576359555,361810038.71521163,481641.05231985915,50954.9335709111,430686.11874894804,0.0,0.0,0.0,151917138.83968535,1539688.6295192686,162890.45848388245,1376798.1710353862,0.0,0.0,0.0,0.0,16582088.178307036,62370549.09559063,16367899.940309443,46002649.155281186,0.0,0.0,0.0,47810133.44506552,2284258.305221206,881927.1565321963
1965.0,1187562500.0,318282392.9397739,4152125.7479565013,451944925.7979199,619047.2624474058,67563.78931460046,551483.4731328054,0.0,0.0,0.0,188879102.85990977,1980202.1243859492,216122.3661718451,1764079.7582141042,0.0,0.0,0.0,0.0,16582088.178307036,77963186.36948828,20929593.4468998,57033592.92258848,0.0,0.0,0.0,59349156.15393539,3461734.026283999,1138087.5102841167
1966.0,1221750000.0,378553980.3289135,4958612.610860429,541938752.4728954,763809.343750161,85452.23358400195,678357.110166159,0.0,0.0,0.0,225389132.59394363,2443594.6180992415,273380.54947744595,2170214.0686217956,0.0,0.0,0.0,0.0,17426674.721427407,94374437.10026556,25799848.213401396,68574588.88686417,0.0,0.0,0.0,71423160.06565213,4901689.940557071,1408615.2645148826
1967.0,1262375000.0,437726100.792693,5753279.536220514,631784019.6999543,916214.3628142598,104621.28324886982,811593.07956539,0.0,0.0,0.0,261424250.9359918,2930048.0032310556,334578.2324752382,2595469.770755817,0.0,0.0,0.0,0.0,18806667.50378177,112098068.13492924,31111650.079136908,80986418.05579233,0.0,0.0,0.0,84393480.90611354,6615129.6154089905,1693623.175469287
1968.0,1304312500.0,495812133.0477982,6535767.744894823,721472939.2509402,1076553.5636154562,125086.50593769546,951467.0576777607,0.0,0.0,0.0,296961342.7267959,3439655.6350515294,399659.1712283693,3039996.46382316,0.0,0.0,0.0,0.0,19706299.574734453,130653306.49086745,36732513.61346849,93920792.87739897,0.0,0.0,0.0,97912256.39889988,8613372.46669562,1993220.6702142921
1969.0,1341562500.0,552825678.8398043,7305854.207993851,810997429.7338077,1245121.95924286,146872.5550950847,1098249.4041477754,0.0,0.0,0.0,331977245.78414947,3972417.4316524165,468579.8798744381,3503837.5517779784,686640.0848017916,61359.91519820838,17446.16179048967,43913.75340771871,21126923.035114244,150559906.74387679,42807955.058767855,107751951.68510893,0.0,0.0,0.0,112397952.3944424,10907959.952240417,2307499.4703809577
1970.0,1707838512.5,608781064.2199837,8063414.619820633,900349113.0410033,1422217.8915528036,170010.18652317196,1252207.7050296315,0.0,0.0,0.0,366448846.56124854,4528235.530427608,541299.7345352756,3986935.795892332,2933602.5723343124,267637.51246747945,76857.41026159079,190780.10220588866,21370891.27504826,170661414.96280986,49008803.97778342,121652610.98502645,0.0,0.0,0.0,127082534.5881543,13510579.05997588,2636524.3931865003
1971.0,1731745950.0,664584761.4180204,8820502.80196334,989519311.2542676,1608142.5586752775,194534.47907889844,1413608.079596379,0.0,0.0,0.0,400353179.84033644,5106910.572598835,617774.9494804825,4489135.623118353,4974287.462597562,473915.10973675054,137313.66732709671,336601.4424096538,21377075.343200818,190762923.1817429,55272254.532405056,135490668.64933786,0.0,0.0,0.0,141730013.79446223,16432995.704352058,2980327.0583385536
1972.0,1748352300.0,719846694.8658777,9571666.552142585,1078499044.037984,1803199.5104297344,220483.69520194712,1582715.8152277872,0.0,0.0,0.0,433667531.79965705,5708138.68278292,697954.6645979391,5010184.018184981,6808694.75559154,680192.7070060216,198679.1743573221,481513.53264869953,22717688.90370935,212163817.84016743,61971455.62251461,150192362.21765283,0.0,0.0,0.0,157266775.5837143,19686994.146339897,3338901.3914249297
1973.0,1766283662.5,774716104.4746276,10318790.3912501,1167279026.553083,2007694.1118480004,247898.50533953766,1759795.6065084627,0.0,0.0,0.0,466369545.727583,6331509.204709485,781778.2893960273,5549730.915313458,8436824.451316247,886470.3042752927,260847.10727065126,625623.1970046414,22758916.024726406,233564712.49859196,68727265.11190489,164837447.38668707,0.0,0.0,0.0,172772597.10551363,23284320.32002172,3712200.3481400954
1974.0,1783279000.0,829243854.2307112,11062450.243916394,1255849667.9232326,2221932.9751490317,276821.43044738105,1945111.5447016507,0.0,0.0,0.0,498437329.60009736,6976503.247162167,869173.6564514037,6107329.590710763,9858676.549771683,1092747.9015445637,323731.5355403344,769016.3660042293,21418302.464217875,253666220.717525,75149771.53607355,178516449.18145144,0.0,0.0,0.0,187337906.68286806,27236627.90953125,4100133.5459028827
1975.0,1791895900.0,883037471.9457549,11797182.284956349,1344201070.2846246,2446223.360662823,307296.42061309825,2138926.9400497247,0.0,0.0,0.0,529849564.6877077,7642493.08610338,960055.736399955,6682437.349703425,11074251.050957847,1299025.4988138347,387262.04634220485,911763.45247163,22717688.90370935,275067115.37594956,82002281.00157067,193064834.3743789,0.0,0.0,0.0,202797962.1166037,31555426.57392288,4502565.62536152
1976.0,1801809037.5,935368957.1624988,12512914.783256097,1432323028.4500995,2680872.5473582484,339368.52138396684,2341504.0259742816,0.0,0.0,0.0,560585614.3163815,8328742.459846947,1054325.7703061595,7274416.689540788,12083547.954874743,1505303.0960831058,451380.0290880202,1053923.0669950857,22758916.024726406,296468010.0343741,88898866.50814092,207569143.5262332,0.0,0.0,0.0,218238987.30874333,36252032.05185126,4919315.237586694
1977.0,1806031525.0,986024569.7557906,13206587.406708281,1520205030.2176065,2926187.173791406,373083.5979921489,2553103.5757992575,0.0,0.0,0.0,590625631.8751385,9034407.78418086,1151870.7320021715,7882537.052178687,12886567.261522364,1711580.6933523768,516036.03401982825,1195544.6593325485,22758916.024726406,317868904.6927987,95836444.96165632,222032459.73114234,0.0,0.0,0.0,233663645.01845282,41337518.08664974,5350154.593179466
1978.0,1806574837.5,1034891245.9659156,13876523.789875021,1607836257.3521032,3182472.550456355,408488.09849057253,2773984.4519657823,0.0,0.0,0.0,619950667.1413311,9758540.303651344,1252563.0651898438,8505977.2384615,13483308.970900718,1917858.2906216478,581187.8482390861,1336670.4423825617,22758916.024726406,339269799.35122323,102812332.70552583,236457466.6456974,0.0,0.0,0.0,249074098.77850726,46822670.245251164,5794809.53182585
1979.0,1810051337.5,1082189608.2825263,14525637.683389483,1695205587.268931,3450031.9446882247,445628.8433581402,3004403.1013300847,0.0,0.0,0.0,648542769.9840151,10500089.183954457,1356260.6588055205,9143828.525148936,13873773.083009798,2124135.887890919,646799.0644199699,1477336.8234709492,22758916.024726406,360670694.0096478,109824173.10446626,250846520.90518153,0.0,0.0,0.0,264472089.35513148,52717941.789012715,6252960.082717473
1980.0,1816722200.0,1128121992.5286531,15156615.75387319,1782301595.4454684,3729165.8394387476,484552.83323191927,3244613.006206828,0.0,0.0,0.0,676385090.5066845,11257905.538713751,1462807.0351148741,9795098.503598876,14057959.597849607,2330413.48516019,712837.9961429778,1617575.4890172123,22758916.024726406,382071588.66807234,116869880.552803,265201708.11526936,0.0,0.0,0.0,279858995.1140923,59033411.806869015,6724241.491949409
1981.0,1824522487.5,1172972700.9311538,15773291.597499322,1869112558.5864587,4020171.1674153167,525307.0690705724,3494864.098344744,0.0,0.0,0.0,703461974.7032907,12030747.372035997,1572031.7313742451,10458715.640661752,18294247.2268996,2912791.268526715,894815.6115012412,2017975.6570254741,23898437.551158655,404576961.8000646,124286894.6306438,280290067.16942084,0.0,0.0,0.0,296261622.5654528,65778745.85095826,7208245.69491725
