Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,4322700450.0,82540222.786851,1042477.2131489931,54406223.37628756,66489.06298245369,5651.570353508564,60837.492628945125,322955477.36326706,3371548.908200564,3371548.908200564,154975696.17998695,1416816.9077865046,120429.4371618529,1296387.4706246518,817909.5127786048,73090.48722139528,16445.359624813937,56645.12759658134,424527.6274943674,411472.3725056326,92581.28381376734,318891.0886918652,0.0,0.0,0.0,5104310.087742607,2490133.8463517465,2238640.025102414
1962.0,4454760900.0,166939893.1183948,2144629.6684561954,92630148.80433437,117041.32672451285,11165.415756004964,105875.91096850789,651310126.6931875,7106220.419483691,7106220.419483691,303957922.8966296,2878141.661421679,274566.677888841,2603574.983532838,2453341.1189169614,225768.39386164318,55023.13821181784,170745.25564982535,806251.6116229477,1180276.0158714198,287650.9383735321,892625.0774978877,0.0,0.0,0.0,10879041.64713275,7587183.06903986,4718622.091296924
1963.0,4590856000.0,253264376.12495208,3286116.993442716,137251962.3368988,178279.49291025603,18091.65752330266,160187.83538695337,984989478.0763378,11223329.069309384,11223329.069309384,455721214.0240115,4464006.631580805,453003.75181662757,4011002.879764178,4471270.178628231,426270.94028872997,108555.23688415358,317715.7034045764,1052196.442991631,2176472.2861482147,554265.9427700645,1622206.3433781504,0.0,0.0,0.0,17334441.831243243,15503129.486368679,7478573.367131696
1964.0,4731108300.0,341586307.4888413,4463568.636110754,184154880.04676166,245747.22025415406,25998.68350709142,219748.53674706264,1323900098.5481007,15741454.164064284,15741454.164064284,608567287.2793255,6164026.320341595,652119.5611742978,5511906.759167298,6163485.852919146,615584.3257090846,161547.7624317,454036.5632773846,1477235.7488614412,3577643.996733185,938880.9271316389,2638763.069601546,0.0,0.0,0.0,24565909.092857577,26460952.11082335,10515286.835523974
1965.0,4875646050.0,431983167.8814062,5676039.607435083,230149307.75299287,315853.37777934875,34472.73312577146,281380.6446535773,1668227258.4052796,20681344.499568455,20681344.499568455,766491208.7513119,8018667.53116004,875169.9531264032,7143497.578033636,7666388.141789708,804897.7111294393,216078.6730860489,588819.0380433904,1552646.8344021551,5039453.74116109,1352865.6653037735,3686588.075857317,0.0,0.0,0.0,32381629.836156376,40715943.14188916,13851231.691189852
1966.0,5024598925.0,524536358.70295554,6923509.178450619,266100418.77268738,377526.29663769755,42236.2799674522,335290.0166702453,2017839066.9703054,26059775.672829125,26059775.672829125,925918618.0986657,10001578.80833833,1118940.5517648207,8882638.25657351,8646754.651144926,964433.490644781,263654.42205626896,700779.068588512,3536444.480334726,8422189.771970555,2302437.2321336004,6119752.539836954,0.0,0.0,0.0,42098235.554498345,58515432.15637285,17478214.931589194
1967.0,5178102775.0,619331325.4891859,8206433.213769557,308151734.43972147,449942.1862503705,51378.29183197248,398563.89441839803,2372884328.357964,31895318.31319745,31895318.31319745,1087512826.5428226,12122751.227144605,1384280.624017893,10738470.603126712,9863413.194576424,1159341.456568502,321763.1340049578,837578.3225635441,1454644.5666921444,9728073.143659484,2699925.276370368,7028147.867289116,0.0,0.0,0.0,50898079.00059522,80130693.60626581,21417091.360849593
1968.0,5336296300.0,716456381.4728956,9525544.016290324,352398270.1045381,528886.9579492218,61452.23409386818,467434.72385535366,2733197047.0537763,38202205.77048141,38202205.77048141,1252069335.637336,14393587.055266738,1672414.2425452748,12721172.812721463,10685230.335627211,1336382.858949215,375717.2541407457,960665.6048084693,1511639.4613131627,11153066.938968465,3135628.1304386337,8017438.8085298315,0.0,0.0,0.0,60368917.720396526,105843554.69374305,25677952.219580974
1969.0,5499322000.0,816004003.3370183,10881778.13587737,399436732.61799705,615393.3314248188,72590.79345914099,542802.5379656779,3098300971.668869,44989921.62409372,44989921.62409372,1419415604.8300915,16816916.139090143,1983695.9936598272,14833220.145430315,11330006.074297283,1513424.261329928,430304.4493383717,1083119.8119915563,1528824.749678145,12591054.59867236,3579952.39940848,9011102.19926388,0.0,0.0,0.0,70460166.31874515,135941857.06990522,30267641.931327548
1970.0,5667329025.0,918069789.9853144,12276213.351703856,450256303.51354563,711024.7914891518,84995.03356105972,626029.757928092,3468008217.2599735,52268989.76273468,52268989.76273468,1589863613.9664788,19399649.101367965,2319010.3160681557,17080638.785299808,11797740.410586642,1690465.663710641,485450.6823468113,1205014.9813638297,1542643.1564934007,14042036.12277117,4032448.6700160876,10009587.452755082,0.0,0.0,0.0,81190260.74008149,170722069.19520295,35195446.180664875
