Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,69380000.0,29697.219426054202,302.78057394579866,247229019.68322858,302135.02869182476,25681.477438805105,276453.55125301966,81526587.90354732,851110.7496292492,851110.7496292492,41281888.25657911,377406.77221637464,32079.575638391845,345327.1965779828,43301173.294875436,2547062.5077727633,573089.0642488718,1973973.4435238915,71285635.45009296,59924355.6848813,13482980.029098293,46441375.655783005,422372.7194292222,1386748.6531061642,1386748.6531061642,51274989.24987332,28921088.536255095,22353900.713618223
1962,63460000.0,59082.391064157,614.828361897203,514256450.84834665,645911.9411457841,61618.195610819675,584293.7455349644,169489170.89790308,1846848.6352433176,1846848.6352433176,84666850.90877359,800491.7728255631,76364.67992110494,724127.0929044582,81491721.05683447,5333733.151610502,1299910.6357016072,4033822.515908895,90965165.16647859,93365491.97901621,22754568.438503526,70610923.54051268,373023.433815582,1233913.8853647143,1233913.8853647143,79033929.41546904,70702594.93717235,37252423.014551766
1963,59200000.0,75689.00520661405,793.3858575429534,765561125.4703867,990089.2818826479,100473.452739348,889615.8291433,246774116.36364305,2818443.549615791,2818443.549615791,124225585.03315437,1217369.1669677682,123537.63009240705,1093831.536875361,119200669.05995683,8578161.150870586,2184536.2368179704,6393624.914052615,91494862.88170053,97944706.04080966,24942846.81617549,73001859.22463417,364119.0125584356,1203537.3293728821,1203537.3293728821,85400912.38369413,112934582.96494076,43168924.355925724
1964,54260000.0,104582.39092490355,1106.6142817104949,1067405767.1769724,1415387.4144708114,149740.08410223317,1265647.3303685782,332322831.0433818,3957390.1474547787,3957390.1474547787,171473174.35640794,1731842.2125922986,183219.23447533685,1548622.9781169617,160355542.0051509,12488845.978550328,3277447.1976117203,9211398.780938607,100836878.42266488,105650100.57935578,27725750.374847624,77924350.20450816,433034.1621693019,1429598.6106891315,1429598.6106891315,95337008.05207622,158414596.48973313,49856994.52728382
1965,40260000.0,133163.4915284182,1418.8993964853582,1394440755.5155196,1895214.4821133637,206846.68157524703,1688367.8005381166,428576511.48480546,5300184.992434765,5300184.992434765,222173032.63103512,2310947.319999815,252220.4156566695,2058726.9043431454,200415711.0822516,16803637.52890951,4511017.54926198,12292619.979647528,105558949.61846754,111831012.93358786,30021574.854090333,81809438.07949753,450665.3896702839,1488971.3511511413,1488971.3511511413,104638309.10761222,206935288.21330017,56117617.3840452
1966,36260000.0,161433.83575436735,1729.6557740508542,1710933540.4282494,2388675.6016727616,267236.40806535265,2121439.193607409,529663811.80618745,6798986.0811998835,6798986.0811998835,268107047.70939225,2882734.021559909,322509.8815385299,2560224.140021379,243288980.578777,21683849.05838567,5927876.568887983,15755972.489497688,147682766.73676175,148294386.67977634,40540349.535254784,107754037.14452156,1467910.1200323405,4829181.632385544,4829181.632385544,139819840.68123347,273245031.2545793,73510097.63995433
1967,26960000.0,248735.82987104313,2698.00588332423,2053314084.5160127,2940641.561882432,335787.8966600201,2604853.665222412,633724870.1066991,8442431.812826483,8442431.812826483,317083465.51190704,3516515.5884498875,401546.1756113783,3114969.4128385093,282608072.9774393,26720984.209225178,7416130.574943572,19304853.634281605,161415654.59504023,169771401.37375915,47118282.41881442,122653118.95494473,1473622.7687841582,4870051.131934199,4870051.131934199,160990278.61204794,348061121.42711294,86174188.43951428
1968,8360000.0,275736.24045862776,2999.5894124153615,2394171197.067839,3520522.4302201318,409055.21541594213,3111467.2148041897,730388181.096973,10128376.777293045,10128376.777293045,364078803.5704198,4169107.1680105203,484415.328834038,3684691.8391764825,313251065.8168205,31494624.695252065,8854553.79156663,22640070.903685436,178618130.06788385,187170107.42554054,52621925.18276298,134548182.24277756,1559840.5181140483,5153067.182208965,5153067.182208965,179265856.15994564,429724011.3119924,97602966.27506615
1969,0.0,302437.6083131614,3298.6321454663344,2791701250.9839816,4200513.218176332,495485.6867510287,3705027.531425304,826063353.3232877,11919713.917625397,11919713.917625397,415679277.18644524,4900232.966172407,578023.4867438624,4322209.479428545,348749455.9847379,36616132.87287656,10410884.30743014,26205248.56544642,201910163.82708132,210652168.8488524,59893691.3029165,150758477.5459359,1991335.423714598,6571580.336365608,6571580.336365608,203482257.37622717,521627379.9664702,111578888.72174942
1970,0.0,316382.50798455597,3455.1003286054643,3211626881.0469847,4943919.569424862,590990.0959239018,4352929.4735009605,928836937.3171691,13902100.967086725,13902100.967086725,469653246.3743792,5693084.6202260805,680544.3694145106,5012540.25081157,380281916.8187505,41556612.93437896,11933804.12160193,29622808.812777027,221293126.1673656,232335545.99084157,66719751.69676026,165615794.2940813,2166170.481522213,7154918.254104594,7154918.254104594,225661092.05236214,622260374.5711085,125028097.44772388
