Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,0.0,1165802.211331604,13197.78866839605,298445.2165254241,364.72560613386526,31.00167652137855,333.7239296124867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40218.40681525586,38981.59318474414,8770.858466567432,30210.734718176707,0.0,0.0,0.0,30544.458647789193,171.2857230096108,162.4382066028759
1962.0,0.0,2428364.19169448,28038.019637124213,596515.4786401809,750.0537553373031,71.55303389037752,678.5007214469256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41455.22044576758,77963.18636948828,19000.795929260832,58962.39044022745,0.0,0.0,0.0,59640.89116167437,516.4547969970599,333.33164745947647
1963.0,0.0,3797002.5759472293,44361.61574725053,993671.4847245149,1278.438575335816,129.73490384111355,1148.7036714947026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266577.9152759897,23822.08472401031,6066.592408428566,17755.492315581745,41455.22044576758,116944.77955423242,29781.453641376593,87163.32591285583,0.0,0.0,0.0,106067.52189993227,1097.9816799232226,567.1767885685399
1964.0,0.0,5280968.154367089,62234.4215801392,1539507.1908863205,2018.4322044516607,213.53885512840307,1804.8933493232576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509333.74582796905,47644.16944802062,12503.25689884749,35140.91254917313,41455.22044576758,155926.37273897656,40919.7498507736,115006.62288820295,0.0,0.0,0.0,151952.42878669934,2008.8330586034087,894.0419706430714
1965.0,0.0,6892379.873014896,81788.28135219283,2084582.6639737617,2799.1802739743475,305.50692613789937,2493.673347836448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728267.4916559381,71466.25417203092,19185.46065965815,52280.79351237277,41455.22044576758,194907.96592372068,52323.9836172495,142583.98230647118,0.0,0.0,0.0,197358.4491666804,3262.3135012320167,1240.1929052078399
1966.0,15184862.5,8642621.435525699,103158.43748919778,2628856.317712658,3622.351573391497,405.2556247257376,3217.0959486657594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656801.2374839073,71466.25417203092,19537.26630506783,51928.98786696309,41455.22044576758,233889.5591084648,63940.14427113108,169949.41483733372,0.0,0.0,0.0,225095.49865296256,4873.578881328753,1605.830568569023
1967.0,16435875.0,10544714.976956502,126506.45856919768,3172284.8819933515,4489.644658109926,512.6664725273649,3976.9781855825613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585334.9833118763,71466.25417203092,19834.713740031642,51631.54043199928,41455.22044576758,272871.1522932089,75732.5433710299,197138.60892217903,0.0,0.0,0.0,252747.12753976087,6859.053131850862,1991.503935060453
1968.0,17789900.0,12613297.019174747,152017.9577817542,3714823.374114237,5402.785799206027,627.7584514075158,4775.027347798511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513868.72913984535,71466.25417203092,20092.374428053376,51373.87974397755,41455.22044576758,311852.74547795305,87675.81568605108,224176.92979190196,0.0,0.0,0.0,280325.83688367804,9236.207469757315,2397.873009892057
1969.0,19255650.0,14864595.572978696,179901.4461960518,3908238.9862236977,5938.01353663047,700.4383898621846,5237.575146768286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442402.4749678144,71466.25417203092,20319.647261864433,51146.60691016649,41455.22044576758,350834.3386626972,99750.99564915265,251083.3430135445,0.0,0.0,0.0,307467.5250704793,11830.81662428638,2642.96599223922
1970.0,20842350.0,17315222.671954993,210372.90102370526,4101106.765695032,6498.5795693525015,776.8322500253638,5721.747319327138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370936.22079578345,71466.25417203092,20522.949739440293,50943.30443259063,41455.22044576758,389815.9318474413,111943.36221512884,277872.56963231246,0.0,0.0,0.0,334537.6213842302,14655.455926556702,2897.108017056815
1971.0,22685812.5,20007056.27790429,243966.39405070365,4293400.9891185975,7085.253697246448,857.0920094740145,6228.161687772434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299469.96662375255,71466.25417203092,20706.859200887393,50759.39497114353,41455.22044576758,428797.5250321854,124241.15520532432,304556.3698268611,0.0,0.0,0.0,361543.926485777,17721.781680350257,3161.8359339788803
1972.0,24418575.0,22923369.253284536,280487.02461975254,4485095.164882674,7698.802210632255,941.3602600327814,6757.441950599474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228003.7124517216,71466.25417203092,20874.755384849974,50591.49878718095,41455.22044576758,467779.11821692955,136634.76251901797,331144.3556979116,0.0,0.0,0.0,388493.296435692,21041.295022828817,3437.928608120914
1973.0,26117000.0,26071332.617657207,320036.63562732877,4676162.037637772,8339.98596801833,1029.7734320301608,7310.21253598817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156537.45827969065,71466.25417203092,21029.204902112764,50437.04926991816,41455.22044576758,506760.7114016737,149116.18021498137,357644.5311866923,0.0,0.0,0.0,415391.79299259867,24625.56814618313,3725.9394126338557
1974.0,28264375.0,29503048.322308704,363284.29534850176,4866573.59472083,9009.558399207743,1122.463580883047,7887.094818324696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85071.20410765972,71466.25417203092,21172.202819813778,50294.051352217146,41455.22044576758,545742.3045864179,161678.63971494156,384063.6648714763,0.0,0.0,0.0,442244.8110420182,28486.337359203393,4026.3256053044315
1975.0,30446600.0,33221958.476353344,410289.8459553618,5056301.07461197,9708.263437798745,1219.5593635391554,8488.70407425959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32892.05134776284,71466.25417203092,21305.33069623689,50160.92347579403,41455.22044576758,584723.897771162,174316.34206011996,410407.555711042,0.0,0.0,0.0,469057.18326109566,32635.54722510697,4339.494208356013
1976.0,32726200.0,37239741.583158396,461216.89319495,5245314.977492179,10436.833387620678,1321.1865361439484,9115.64685147673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4534.9833118762635,71466.25417203092,21429.863507835515,50036.39066419541,41455.22044576758,623705.4909559061,187024.2633411099,436681.2276147962,0.0,0.0,0.0,495833.26513046835,37085.372435588135,4665.821640995564
1977.0,36359825.0,41781792.085770525,518949.49738787266,5433585.077965505,11195.986728156426,1427.4681568646322,9768.518571291794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71466.25417203092,21546.84410289456,49919.410069136364,14642.949235597014,636699.3553508208,191962.79291669696,444736.5624341238,0.0,0.0,0.0,504424.491074552,41848.22797072437,5005.663036155558
1978.0,39311825.0,46721680.84376846,581911.2420020639,5621080.440004049,11986.425864509807,1538.5246004367625,10447.901264073045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71466.25417203092,21657.136341646572,49809.11783038435,13818.406815255863,649693.2197457355,196883.05765133243,452810.16209440306,0.0,0.0,0.0,513067.18118886044,46936.77236116463,5359.356873632787
1979.0,42602075.0,52095099.91204998,650580.9317184809,5807769.434168203,12808.834827977256,1654.4734485560805,11154.361379421176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71466.25417203092,21761.46384964385,49704.790322387074,13818.406815255863,662687.0841406502,201788.1193330611,460898.96480758913,0.0,0.0,0.0,521758.1165093974,52363.90648368822,5727.2272568975895
1980.0,46004050.0,57945559.165043026,725540.7470069512,5993619.757148309,13663.876933774696,1775.4292960565313,11888.447637718165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71466.25417203092,21860.43881922243,49605.815352808495,13818.406815255863,675680.9485355649,206680.51247264838,469000.43606291653,0.0,0.0,0.0,530494.6990534432,58142.76921251189,6109.584908894489
1981.0,49693025.0,64285185.99571534,806973.1693276833,6606839.372627196,15075.539469983732,1969.8881276058755,13105.651342377856,0.0,0.0,0.0,182134.35731353212,1665.1064863160443,217.57586221868388,1447.5306240973605,0.0,71466.25417203092,21954.583776610376,49511.670395420544,13818.406815255863,688674.8129304796,211562.35275642722,477112.4601740524,0.0,0.0,0.0,541177.3125359481,65295.10605452786,7400.845124459244
1982.0,53386100.0,71122966.0593063,895019.9364090493,7585679.3990751635,16999.236009030577,2233.1154634461627,14766.120545584414,0.0,0.0,0.0,518668.46165818267,4858.467729781821,638.23570719686,4220.232022584961,0.0,71466.25417203092,22044.348280669532,49421.90589136139,13818.406815255863,701668.6773253944,216435.41948293717,485233.25784245715,0.0,0.0,0.0,553641.5163019879,74725.85317247092,9555.605450226316
1983.0,57425625.0,78494993.56933942,990172.4899668624,8991340.918772655,19537.589208871716,2579.5950521183513,16957.994156753364,0.0,0.0,0.0,695799.4537073862,6814.465973019129,899.7303873523382,5914.735585666791,0.0,71466.25417203092,22130.121906651144,49336.13226537978,13818.406815255863,714662.5417203091,221301.2190665114,493361.3226537977,0.0,0.0,0.0,565570.1846615977,86083.19219852958,11515.390716361504
1984.0,62876575.0,86608650.09363689,1095143.4757025323,10394402.852031423,22199.1058738962,2945.173301073708,19253.93257282249,0.0,0.0,0.0,870920.9884760899,8877.639293544806,1177.8035733707711,7699.835720174035,0.0,71466.25417203092,22212.244464632113,49254.009707398814,13818.406815255863,727656.4061152238,226161.03454898144,501495.3715662423,0.0,0.0,0.0,577703.1495666376,99453.71289558352,13583.24759594258
1985.0,68750850.0,95554300.80352262,1211149.2901142659,11577139.615131006,24722.061231853393,3295.033883309402,21427.02734854399,0.0,0.0,0.0,1328575.163150309,13651.666379388127,1819.5369254146672,11832.129453973459,0.0,71466.25417203092,22291.014130609346,49175.24004142158,18778.67698913742,745458.0003362569,232515.54194055597,512942.45839570096,0.0,0.0,0.0,595376.85523964,116014.49462488038,16698.37507322061
1986.0,76591587.5,105614189.05743112,1341911.7460915036,13310866.614250332,28038.107765429137,3753.502087709746,24284.60567771939,0.0,0.0,0.0,1667488.0265479973,17652.37669997448,2363.1492307084,15289.22746926608,0.0,71466.25417203092,22366.693981894907,49099.56019013602,39040.42074452846,782750.3911496622,244976.29917624526,537774.091973417,0.0,0.0,0.0,626447.4853105384,135700.14024989575,19888.187521970085
1987.0,83361712.5,116616132.26374689,1485256.7936842262,15778229.13306206,32413.286889443563,4357.562973781746,28055.723915661816,0.0,0.0,0.0,2034820.1908467272,22158.74471006651,2978.9674161528874,19179.77729391362,0.0,71466.25417203092,22439.51729844317,49026.73687358775,14991.538046427397,796134.0714764243,249976.22270465686,546157.8487717675,0.0,0.0,0.0,642420.0868549306,159181.8304586011,23753.811000870097
1988.0,90052912.5,128551803.69131479,1641128.5724320952,19222606.535420712,38202.49917081787,5156.690530073976,33045.8086407439,0.0,0.0,0.0,2754255.2330204286,30154.44524354269,4070.339522336592,26084.1057212061,0.0,71466.25417203092,22509.691899595917,48956.56227243501,22276.64038276471,817314.0704401353,257429.0219062878,559885.0485338476,0.0,0.0,0.0,667971.5251682326,188658.47303264547,29653.271787905644
1989.0,97404725.0,141503548.39475745,1810655.2965573417,21335075.48040163,42661.039753119476,5780.973497968652,36880.06625515082,0.0,0.0,0.0,3064005.2260343633,34907.08582265727,4730.239562840075,30176.84625981719,0.0,71466.25417203092,22577.403719479255,48888.85045255167,38477.30447891855,853956.7680337948,269779.4495353048,584177.31849849,0.0,0.0,0.0,700123.0814660096,221935.92043471773,33779.46511289576
1990.0,103913987.5,155335837.85541856,1992110.539338881,24512142.8597863,48634.86307145986,6615.214895116289,42019.64817634357,0.0,0.0,0.0,4028614.3844937864,45900.49552002951,6243.291796898306,39657.2037231312,0.0,71466.25417203092,22642.819776019027,48823.4343960119,13764.372281461192,866171.0005650147,274430.9756853506,591740.0248796641,0.0,0.0,0.0,722240.3111751507,262567.8298861201,41044.9424480724
1991.0,109045650.0,169808268.3995215,2182369.455897076,27683092.666736204,54897.81325318429,7494.089950505414,47403.72330267888,0.0,0.0,0.0,4981943.791412151,57467.68697248422,7844.902918684186,49622.78405380003,0.0,71466.25417203092,22706.09065294637,48760.163519084555,12989.30240634051,878385.2330962345,279078.4960253044,599306.7370709301,0.0,0.0,0.0,745093.4079464936,310817.1123300373,48777.22491256177
1992.0,113100037.5,184749873.35614222,2379195.0433792835,29188969.145607658,59432.67808745928,8141.447131142732,51291.23095631655,0.0,0.0,0.0,5103016.653540682,62113.989144912004,8508.749311002031,53605.239833909975,102309.37263546695,80608.88153656397,25679.96390602349,54928.91763054048,2264.393922272281,880204.3741115226,280410.9935064036,599793.380605119,0.0,0.0,0.0,759618.7690258861,362623.5864793972,53089.996640866564
1993.0,118367000.0,200340703.63144657,2584969.7246956606,30463490.791670315,63884.79661947919,8780.81282929709,55103.9837901821,0.0,0.0,0.0,5114145.834591894,65926.041660492,9061.377088593788,56864.66457189822,115139.22798459123,82572.39882290665,26374.095190177406,56198.303632729236,30623.707149018337,909830.3849319281,290605.01476497785,619225.3701669503,0.0,0.0,0.0,787392.3221617597,417619.9885717508,56972.24626972675
1994.0,123012812.5,216500850.5845771,2798653.0468694665,31531280.918453373,68273.56599959209,9414.611230201393,58858.95476939069,0.0,0.0,0.0,5048708.160838385,69133.75091807249,9533.226780378218,59600.52413769427,134245.24706499436,85272.23509162781,27305.1702747847,57967.06481684311,6570.555313324732,915287.8079777923,293085.8962523176,622201.9117254748,0.0,0.0,0.0,798628.4554494028,475530.08454287995,60549.38293595574
1995.0,128113725.0,233282897.56551975,3020953.019057363,32394758.085117497,72592.23897962218,10041.700455298525,62550.53852432366,0.0,0.0,0.0,5056680.051916894,73050.94089858916,10105.15279308673,62945.78810550243,131162.9686462725,86230.53259075277,27679.517868888157,58551.014721864616,2854.381029288699,917886.5808567753,294636.4501425141,623250.1307142612,0.0,0.0,0.0,807297.4720659519,536672.8527415987,64353.55843110735
1996.0,133494975.0,250726289.97617245,3252407.589347313,33008604.112269036,76775.20284343253,10652.773142590515,66122.42970084201,0.0,0.0,0.0,5147733.757922038,77802.31939669946,10795.28842392771,67007.03097277175,116398.69022755067,86230.53259075277,27745.105991446595,58485.42659930618,82.45424203411505,917886.5808567753,295334.6072308589,622551.9736259164,0.0,0.0,0.0,814166.8608988364,601372.5375880938,68429.77582711869
1997.0,138477500.0,268738487.95988214,3491802.0162902907,33705825.17501228,81215.27473621281,11302.223707457782,69913.05102875503,0.0,0.0,0.0,5068946.987684335,81119.23685860087,11288.858714472346,69830.37814412852,314492.8380973842,105252.10630219737,33943.25524972815,71308.85105246922,9116.172211457995,926722.4086453173,298863.1426717032,627859.2659736141,0.0,0.0,0.0,838911.5461989668,669067.5776285424,72048.38913243485
1998.0,141866662.5,287069472.5584717,3735815.401410438,35365319.97694779,86995.01442301243,12141.354132411265,74853.66029060117,0.0,0.0,0.0,5068125.706076458,85150.09301585073,11883.869904155406,73266.22311169532,2157354.9236203497,272954.1686490654,88222.8342112112,184731.33443785424,138899.78657949786,1061078.9664887355,342956.453857623,718122.5126311125,0.0,0.0,0.0,1050973.7304712632,740689.0949477539,76498.36608308507
1999.0,145912550.0,305839031.8671787,3986040.6912929984,38606007.96441973,94941.41241653173,13287.375812783936,81654.0366037478,0.0,0.0,0.0,5293593.641588135,91287.96240181703,12776.062971283778,78511.89943053325,5384361.92904172,579333.2487506608,187655.40387106503,391677.8448795958,229485.9624785966,1279375.8883233026,414410.53062973905,864965.3576935636,274.2708681198864,14509.729131880113,14509.729131880113,1431318.8677393205,818143.9599892492,82711.07099278568
2000.0,151936987.5,324962877.5712994,4241354.295879301,40378917.775369495,101445.52176445506,14236.173864210177,87209.34790024487,0.0,0.0,0.0,5332087.5666194735,95888.27414870732,13456.307568604288,82431.96658010304,11326408.180455497,1155714.0027582548,375144.4708899883,780569.5318682664,235858.26534703874,1501267.7793071296,487311.1387317559,1013956.6405753737,0.0,14509.729131880113,14509.729131880113,1978677.2160558682,900022.5792534531,87762.69521614403
2001.0,153425075.0,344430661.59927,4501615.972029414,44775285.22722285,111414.03316310867,15676.353439765055,95737.67972334362,0.0,0.0,0.0,5365978.28379301,100492.0193452412,14139.586983853453,86352.43236138775,18089123.71157737,1856938.7230501566,603999.8585168022,1252938.8645333545,458156.6811434661,1938511.3161960097,630532.6859641263,1307978.6302318834,0.0,14509.729131880113,14509.729131880113,2757517.3359818496,987848.8962624336,94263.79507575097
2002.0,156578487.5,364148692.6699545,4765568.929315533,48152682.25534742,120586.59385923602,17010.553201634197,103576.04065760181,0.0,0.0,0.0,5395421.886585853,105086.28458928512,14824.001388203997,90262.28320108113,17957464.27753758,2004727.6882118178,653374.9937229997,1351352.694488818,95069.42087037308,2017210.8215478766,657443.4600853145,1359767.361462562,0.0,14509.729131880113,14509.729131880113,2919468.1089419434,1081228.219161465,100459.00095965149
2003.0,159796987.5,384124583.3603431,5033309.309611367,50452642.770294175,128833.8034416778,18219.419038693817,110614.38440298398,0.0,0.0,0.0,5420055.934764984,109653.13916295044,15506.92782443856,94146.21133851187,23073916.398861177,2634708.132848435,860370.2723112821,1774337.860537153,686924.8990545541,2680590.911789589,875353.4040365106,1805237.5077530784,11.4279528383286,15114.301179041784,15114.301179041784,3799450.2652107687,1179718.317778654,106270.49712430686
2004.0,163097312.5,404365258.09693384,5304925.263409255,54594182.7033243,139657.77163740966,19798.282965075963,119859.4886723337,0.0,0.0,0.0,5510947.635604794,114827.16609620463,16278.225692679413,98548.94040352522,31949543.541856498,3656253.2669156427,1196227.789270352,2460025.4776452905,563236.6305049077,3206106.1008012565,1048951.7364214263,2157154.36437983,0.0,15114.301179041784,15114.301179041784,4850702.572280021,1284721.646495804,113405.10035870888
2005.0,166450600.0,424878145.3255809,5580512.771352972,58724674.59057591,150931.86160551364,21447.408077742366,129484.45352777127,0.0,0.0,0.0,5596671.955781893,119985.60845099927,17049.94744337525,102935.66100762402,39806955.74713267,4677798.40098285,1533288.2323298242,3144510.168653026,558862.432964998,3731621.289812924,1223150.4055368062,2508470.8842761177,0.0,15114.301179041784,15114.301179041784,5900515.4686435815,1396385.2829765095,120756.47805468971
2006.0,169531237.5,445619070.9704001,5859474.355180782,65084869.885058664,165406.78818634624,23558.826143497663,141847.96204284858,0.0,0.0,0.0,5718595.853086756,125492.70263342443,17873.87806773545,107618.82456568898,39428451.87108966,5054420.146359289,1659736.7125360304,3394683.4338232586,1539521.2524769867,5207637.659312602,1710049.25559505,3497588.4037175523,45.7118113533144,17532.58936768847,17532.58936768847,7159271.213517037,1516243.3364184722,129608.73316657473
2007.0,172669275.0,466594182.6099287,6141888.360471383,67599271.81467372,175828.19152535842,25099.8636283711,150728.32789698732,0.0,0.0,0.0,5708192.894702616,129820.2506999717,18532.128212786014,111288.12248718568,40043433.09098656,5553362.882683356,1826800.8517768576,3726562.0309064984,2662502.3789088335,7742870.541404412,2547048.1218401636,5195822.419564249,85.7096462874645,22066.879721401005,22066.879721401005,9206467.780576322,1641911.2247506753,136348.56205196993
2008.0,175886237.5,487826718.1738239,6428064.43610484,70005940.3764249,186512.9154082588,26684.032609839436,159828.88279841936,0.0,0.0,0.0,5749758.918689999,134558.65284975918,19251.039386305405,115307.61346345377,40544980.26392336,6086739.359653947,2005717.128102219,4081022.231551728,2291735.6167565156,9886165.160464277,3257713.140310638,6628452.02015364,1097.0834724795457,80105.79624892146,80105.79624892146,11064716.544216163,1773702.4927837164,143345.22822883225
2009.0,179396350.0,509276855.4854629,6717462.688360982,77142381.09791093,203373.32899025962,29159.11971205141,174214.2092782082,0.0,0.0,0.0,6008866.03636799,141242.31596802833,20250.94254083032,120991.373427198,40429069.38702855,6611225.86773435,2182227.8019811786,4428998.065753171,1350478.3809814113,11129201.541363135,3673517.3632386154,7455684.178124519,291.4127973773793,95522.38345154407,95522.38345154407,12275410.210034639,1915211.6930422736,153696.3824468488
