Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,151187500.0,0.0,0.0,149222.60826271205,182.36280306693263,15.500838260689275,166.86196480624335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488060.5425759037,222339.45742409624,50026.377920421655,172313.07950367458,1427753.441941583,1383846.558058417,311365.47556314385,1072481.082495273,0.0,0.0,0.0,1244961.0239637538,85.6428615048054,81.21910330143795
1962.0,155800000.0,0.0,0.0,447480.3475828025,557.3896807355841,53.17341914765082,504.2162615879333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5353581.9370986875,498278.60547721566,121437.95731641012,376840.6481608056,1315255.4104320877,2616098.0315094953,637582.2634040857,1978515.7681054096,0.0,0.0,0.0,2355860.632527803,342.8970942986281,246.96202879411055
1963.0,160412500.0,0.0,0.0,1143279.567628676,1439.7593724927356,146.10560675206662,1293.6537657406689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7943164.183568353,774217.7535303351,197164.2532739284,577053.5002564067,1082541.2743603145,3627453.810247024,923776.5712834406,2703677.2389635835,0.0,0.0,0.0,3282024.392985731,1001.3261953367524,635.2246647025444
1964.0,165025000.0,0.0,0.0,1838171.889333369,2371.529101898148,250.8945349792394,2120.6345669189086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11074716.794763504,1123247.38880485,294773.753554647,828473.635250203,1911181.7831710642,5448760.469600903,1429917.9253409219,4018842.5442599813,0.0,0.0,0.0,4849436.8140771035,2074.4758687956346,1047.4848934600263
1965.0,170150000.0,0.0,0.0,2631313.942761191,3476.0159026697056,379.37782839663197,3096.6380742730735,17021704.878563713,177700.99757274214,177700.99757274214,9345227.143110992,85435.8209050256,9324.599515594347,76111.22138943124,10967292.82553307,1214023.9692304346,325910.59054929396,888113.3786811407,1132511.8856332463,6490435.265259899,1742388.6544544084,4748046.610805491,0.0,0.0,0.0,5893068.846523079,137400.89668604668,121582.4362191954
1966.0,174762500.0,0.0,0.0,4035368.90429731,5388.921425696404,602.8930860854566,4786.028339610948,25412132.092668585,281462.24518033327,281462.24518033327,14140145.334422937,135259.85311142128,15132.384353752583,120127.4687576687,13939753.84393238,1588138.9816006874,434161.4734459519,1153977.5081547354,1943424.7324066614,8342060.941535246,2280531.812337009,6061529.129198236,0.0,0.0,0.0,7621882.379630584,347601.11153987306,196175.52742378655
1967.0,179887500.0,0.0,0.0,6064663.139086158,8173.4691171419445,933.3174225776155,7240.151694564329,33694996.01826555,392858.82934956095,392858.82934956095,19065965.805073466,189573.33787870852,21647.12395221729,167926.21392649124,16200838.396544091,1932115.447388291,536238.4982342899,1395876.949154001,2069668.9882121,10291140.600772453,2856198.7785645565,7434941.822207897,0.0,0.0,0.0,9398843.966332514,638434.0309079097,277192.27560257993
1968.0,185012500.0,0.0,0.0,39704316.04526274,49744.81283232372,5779.930545046848,43964.88228727687,41862573.951209426,512058.94219520985,512058.94219520985,37465972.03727424,370550.70527826017,43054.88789646775,327495.8173817924,18132083.190996468,2277355.2055476224,640266.8507767819,1637088.3547708406,3710543.9220429654,13827637.360255074,3887570.0219127517,9940067.338342322,0.0,0.0,0.0,12460675.334977442,1090558.711510708,431394.9612614807
1969.0,190137500.0,0.0,0.0,67283264.15281202,86302.9854437678,10180.159373438313,76122.8260703295,49906995.344260976,639189.3664876404,639189.3664876404,52908718.29809235,536706.7034991479,63309.047193669045,473397.6563054789,20057369.21036805,2652913.9806284215,754289.936235877,1898624.0443925445,4370888.891583518,17955354.949706316,5105157.437821759,12850197.511884557,0.0,0.0,0.0,15937531.40514055,1695302.685422982,583965.8749511747
1970.0,195775000.0,0.0,0.0,98537859.18813914,129424.31256778535,15471.223960105524,113953.08860767983,57820285.30314048,774331.3523637073,774331.3523637073,69270568.04025471,721995.7986354908,86306.4943311529,635689.304304338,22675427.645423967,3123941.56494408,897101.6666406858,2226839.898303394,4789596.943864657,22470722.82693918,6452912.924134318,16017809.902804863,0.0,0.0,0.0,19768623.54638398,2466700.972896315,752575.4578023921
