Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,51168589312.5,1229659734.3558009,16553465.644199107,188049622.77450868,229812.73899504638,19534.082814578946,210278.65618046743,1174861238.2562985,12265164.713941839,12265164.713941839,708616143.1954217,6478301.808328232,550655.6537078997,5927646.154620332,20136730.25164313,1799469.74835687,404880.69338029576,1394589.0549765741,9699339.110279206,9401060.889720796,2115238.7001871793,7285822.189533616,0.0,0.0,0.0,27083500.76925283,9701615.251874438,8701474.2728682
1962.0,52511513125.0,2498472069.342825,34180065.01297588,391232828.91951036,491390.35340237897,46877.267609430426,444513.08579294855,2361777315.899422,25772111.79817807,25772111.79817807,1429734951.2045283,13524953.82382627,1290242.8291780625,12234710.994648207,39174767.54735945,3661562.704283676,892377.6588166045,2769185.0454670717,9776416.09335371,18587723.0169255,4530106.429467937,14057616.587457562,0.0,0.0,0.0,55278137.511543855,29689900.26134325,18463050.86915041
1963.0,53676371787.5,3790488275.1588497,52342594.183975235,591297263.5303831,764081.5371446298,77538.37115106617,686543.1659935636,3560034093.974799,40579271.34542066,40579271.34542066,2155621641.92872,21093963.269777127,2140598.186904419,18953365.082872707,58236144.77882825,5692142.76853121,1449575.4887672882,4242567.279763922,11115321.510424357,29078709.252091743,7405257.719440429,21673451.532651313,0.0,0.0,0.0,86135198.40670216,60681252.05380292,29227827.801827263
1964.0,55089595075.0,5282157629.368153,73481645.79069723,800585129.9545348,1063397.0899171224,112501.47348370653,950895.6164334158,4774471493.910385,56800329.03377991,56800329.03377991,2892320940.006602,29259944.897485323,3095538.765557192,26164406.13192813,79876316.4447307,8134628.33409754,2134770.088684815,5999858.245412725,12845342.135317821,41206402.646441445,10813794.093480857,30392608.55296059,0.0,0.0,0.0,120308097.58051477,103534452.79144281,41062430.04450157
1965.0,56399223950.0,6809565349.971883,95263479.39626972,1033455965.9961696,1408188.7959314475,153691.934194728,1254496.8617367195,6011120953.975678,74563282.09076077,74563282.09076077,3651031954.0961466,38147782.59765786,4163508.8346203836,33984273.76303747,104205627.41412964,11035689.03060107,2962583.9524086677,8073105.078192402,17153719.871565487,57459647.986176565,15425319.666299624,42034328.31987694,0.0,0.0,0.0,159909486.1136043,159258416.14349258,54078089.363485195
1966.0,58199963612.5,8350421034.081525,117345115.89035788,1529390760.9275656,2093481.817838902,234211.1925778509,1859270.625261051,7268903618.246643,93924485.1698585,93924485.1698585,4529907483.798957,48683773.39526289,5446564.918278073,43237208.476984814,128636918.2932023,14205109.12092735,3883357.2992373174,10321751.821690034,18294455.488807034,74691677.81789929,20419024.576101646,54272653.24179764,0.0,0.0,0.0,203615369.33559203,229469454.87815398,68809925.53744298
1967.0,59829892612.5,9933220600.70844,140119633.3730832,1984892082.710671,2767722.1666104137,316042.46396847366,2451679.70264194,8580964262.626167,115293046.51332721,115293046.51332721,5418583790.373476,59950233.14456838,6845636.32400203,53104596.820566356,151417475.38715732,17510242.906044964,4859785.357209128,12650457.548835836,19996808.743599117,93543609.41085471,25962053.508602217,67581555.9022525,0.0,0.0,0.0,251081336.48762384,315381465.418486,84937312.49620348
1968.0,61168688662.5,11532723295.194881,163213905.51355922,2493606839.045504,3544118.2842059913,411796.8559895843,3132321.428216407,9912315175.81557,138394084.33697215,138394084.33697215,6326856482.310515,72058880.92647786,8372638.335432801,63686242.59104507,171175632.8485602,20840642.538597133,5859240.813135942,14981401.72546119,22132859.307724476,114416086.91721939,32167501.789021518,82248585.12819786,0.0,0.0,0.0,302442635.20989263,418170945.6135824,102423168.1611373
1969.0,62549172637.5,13177058248.8363,187027046.35858157,2858160799.5832024,4186741.2402743353,493861.166704487,3692880.073569848,11259039151.967098,163240587.14828068,163240587.14828068,7182877419.183262,84380072.5563328,9953335.706161106,74426736.85017169,189364420.54196137,24328412.306598824,6917177.376070689,17411234.930528134,25948451.0943957,138924680.81009436,39499768.705283515,99424912.10481083,571.39764191643,30228.602358083568,30228.602358083568,358226579.70971924,538616838.5718521,120914311.11375247
1970.0,63963829037.5,14830978367.092602,211043081.74369723,3210018254.529936,4847797.040663608,579499.726451797,4268297.314211812,12617464003.415934,189838855.66757822,189838855.66757822,8046850765.24118,97444229.03219523,11648363.905254051,85795865.12694117,207607693.49307364,28132727.048887745,8078869.530056804,20053857.51883094,30749262.71535241,167974630.30899203,48237240.57279132,119737389.7362007,1142.79528383286,90685.80707425071,90685.80707425071,419784951.1708371,677832758.5949192,140687098.085664
1971.0,64953724525.0,16505960654.987675,235423112.1049273,3606117965.4625745,5597273.250322496,677093.3522900484,4920179.898032447,13993689869.390917,218287485.4912856,218287485.4912856,8936097334.541357,111425319.54382601,13478945.866288034,97946373.67753798,226691569.92261496,32352123.57045866,9373806.916067172,22978316.65439149,33554469.42091645,199603861.89028025,57833856.16050611,141770005.72977415,1142.79528383286,151143.01179041783,151143.01179041783,486053504.46281207,837092557.2694365,161894240.39233878
1972.0,64914726737.5,18210761317.30139,260291137.68628407,3967075678.679676,6342555.675729494,775527.1140660696,5567028.561663424,15369113466.849998,248426103.86394626,248426103.86394626,9817389686.58606,126044666.59781614,15411935.113802744,110632731.4840134,239629418.533818,36399351.388796955,10631976.80095709,25767374.587839864,30867938.2536852,228549860.4740186,66757695.44535442,161792165.02866417,571.39764191643,181371.6141485014,181371.6141485014,552366775.1402756,1017405252.1366609,184313169.04239866
1973.0,65732463537.5,19956014954.90288,285800362.3985089,4308364618.302958,7101505.582036642,876853.0071679307,6224652.574868712,16751122973.29749,280341048.3884732,280341048.3884732,10695854705.876469,141351627.37737218,17453284.814342637,123898342.56302954,251834913.34360927,40612611.91884805,11950408.58858508,28662203.330262974,36455833.965670235,262994429.3408717,77387066.2006496,185607363.14022207,2856.98820958215,332514.62593891926,332514.62593891926,625066124.6227955,1219858718.9137986,208010576.7492338
1974.0,67268999550.0,21754087018.811825,312130936.0910586,4620991912.528367,7863083.710376053,979629.0458706586,6883454.664505394,18042349816.817066,313023918.69374955,313023918.69374955,11511040641.37701,156797103.6932939,19534702.000393447,137262401.69290045,269228340.473274,45500651.04574062,13479774.804693894,32020876.241046727,37497223.50190293,298279268.1052626,88366589.72035171,209912678.38491088,2856.98820958215,483657.6377293371,483657.6377293371,699586987.3148425,1444748727.5194447,232279766.4455092
1975.0,69427510187.5,23585718827.351597,339000191.46022755,5011349750.708378,8756577.440673143,1100007.851944947,7656569.588728196,19347574955.82518,347476241.69784606,347476241.69784606,12368571086.181955,173309402.925343,21771257.700327344,151538145.22501567,283347735.58795005,50354330.42482558,15011499.82068529,35342830.60414029,28959597.41111198,325263193.1653688,96966602.96509883,228296590.20026997,2856.98820958215,634800.6495197549,634800.6495197549,770945177.9655199,1693409824.4750245,258009859.55601007
1976.0,71121985537.5,25458456121.676655,366517905.6749436,5356261477.611283,9638148.473358272,1220081.946643039,8418066.526715232,20673043646.543915,383757829.3081232,383757829.3081232,13223398223.090433,190503415.20540017,24115604.60065884,166387810.60474133,290929153.55083144,54846237.15801207,16446186.942795718,38400050.21521635,21421161.89798839,345195781.147168,103510370.86199431,241685410.28517365,2856.98820958215,785943.6613101728,785943.6613101728,839435110.60128,1966944240.5014265,285029290.41317767
1977.0,72770793550.0,27410418875.07314,395245046.6035175,5735554711.48024,10603601.545223221,1351940.1122386968,9251661.432984523,22079595948.573505,422496907.0897534,422496907.0897534,14137933921.2546,208946468.46373367,26640298.659090433,182306169.80464324,305318490.68456197,60096480.25491289,18118894.101659212,41977586.153253675,25952145.482539408,369736859.70103025,111474465.3594806,258262394.34154963,2285.59056766572,906858.070742507,906858.070742507,915201576.8929269,2267087738.592413,313911240.2363944
1978.0,74950469375.0,29429513508.536552,425005366.5365852,6093665093.490829,11588780.04371209,1487484.5419177692,10101295.501794321,23500952215.89937,463045381.67077345,463045381.67077345,15052263290.185572,228125318.33718675,29281156.719404023,198844161.61778274,319280400.5716284,65499040.31777632,19848831.631702352,45650208.686073974,27769662.57718054,395897840.0161252,119972896.27008514,275924943.74604005,2285.59056766572,1027772.4801748412,1027772.4801748412,994593763.7026393,2594946206.558197,344132370.824567
1979.0,76401150437.5,31509171594.39808,455703114.1384738,6468484381.469354,12639926.75764962,1632656.1699857041,11007270.587663915,25002500246.93745,506062818.99885005,506062818.99885005,16020703916.343948,248531910.77204192,32102018.100282304,216429892.6717596,331621911.4040792,70946537.4950055,21603210.198180303,49343327.2968252,29961572.039660424,424133507.34627485,129148590.40073742,294984916.94553745,2856.98820958215,1178915.491965259,1178915.491965259,1079007141.9926014,2952224962.230778,376221226.58569205
1980.0,78500440900.0,33670830370.518867,487656223.8792111,6876298007.530735,13779489.361717056,1790451.5106557948,11989037.851061262,26518562633.42834,550895806.4367573,550895806.4367573,17009676540.732882,269887219.8112953,35068061.503086954,234819158.30820832,352769189.85772204,77370559.67558028,23666475.958368476,53704083.7172118,31910960.062065475,454194812.62391007,138931276.42415264,315263536.19975746,2856.98820958215,1330058.5037556768,1330058.5037556768,1168001681.0167518,3340149541.0159035,409779423.8109019
