Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,146046333625.0,1179030179.9603386,15856620.039661517,13677869857.069723,16715528.003160011,1420819.880268601,15294708.12289141,5754711821.5132475,60077297.70443795,60077297.70443795,8525237550.251089,77939322.11192702,6624842.379513797,71314479.73241322,1962312346.821139,175357253.178861,39455381.96524373,135901871.21361727,1064112237.0892382,1031388202.910762,232062345.65492144,799325857.2558405,1071370.5785933062,56678629.42140669,56678629.42140669,1138592843.450607,77474255.98452057,69212229.57522202
1962.0,145815397350.0,2349988228.4245706,32104351.535768002,27331812725.221764,34367039.10398159,3278519.567725209,31088519.536256384,10535022641.492226,115448242.7863349,115448242.7863349,16383819460.682648,155246531.71330717,14810085.631862946,140436446.08144423,3896441916.6304264,363866394.19071275,88679688.75422314,275186705.4364896,1168131441.0291185,2131879076.06012,519570853.326904,1612308222.733216,1177650.5399897622,118979778.88141692,118979778.88141692,2293447915.455158,226758999.12113887,137688465.26741725
1963.0,146236242425.0,3509219900.0785313,48375128.3460391,42448835842.85632,54812767.622586206,5562354.949211068,49250412.67337514,16119533928.354958,184021956.34779805,184021956.34779805,25168429538.286034,246256103.16046035,24989868.485013183,221266234.67544717,5869936742.168575,572738974.4618516,145855157.29357657,426883817.168275,1313494095.4396546,3371137274.3217497,858502353.3040324,2512634921.0177174,1329070.9150976161,189291507.9663193,189291507.9663193,3583348849.8489313,461012035.9276756,220285566.89008364
1964.0,146402544562.5,4660255599.567452,64650100.51107864,58928331271.13915,78076607.92650072,8260069.093310709,69816538.83319001,22339225404.638187,265006503.80145192,265006503.80145192,34704549309.34659,350142720.4402978,37043144.42142876,313099576.01886904,7864114884.96279,802125257.2057844,210501689.33765945,591623567.868125,1524631378.3319771,4810772339.466514,1262490733.6844828,3548281605.782031,1432493.88828449,265074614.0780348,265074614.0780348,5052902406.381701,792544998.0877258,316389656.4934608
1965.0,146737713537.5,5801295097.83433,80871301.7331225,75742932665.99185,103048305.53808422,11246853.716913443,91801451.82117078,28757743501.503387,354682171.1947813,354682171.1947813,44404844253.98382,462207760.275636,50446080.015561976,411761680.260074,9556437942.651228,1025035542.3115628,275175735.73159593,749859806.5799668,1531995318.4784646,6251382810.698523,1678213869.925448,4573168940.773075,1587914.0468857589,349079900.031149,349079900.031149,6530353950.660216,1228955374.7663121,421834926.59743977
1966.0,147135737762.5,6931759919.232091,97010978.60223904,94048786725.85104,131218829.53406097,14680289.215775318,116538540.31828564,35368765477.61285,453415697.38827133,453415697.38827133,54586886111.10661,585655287.4562472,65521000.538829155,520134286.91741806,11242206966.895609,1267279975.755619,346445838.7565415,920834136.9990776,1690860373.4682782,7845942854.766228,2144904287.25874,5701038567.507488,1783903.4380630944,443453596.59308594,443453596.59308594,8155414825.723628,1780361633.5836573,538682265.80663
1967.0,147739868525.0,8051413827.626581,113052691.60550943,114118345703.78499,163082916.4083503,18622218.427357998,144460697.9809923,40929217660.1275,548643630.0230579,548643630.0230579,64736552887.069595,716279511.4472082,81790992.03629525,634488519.4109129,12647705833.705544,1506126333.1900663,418009660.9406433,1088116672.249423,1805312360.3548727,9546700886.275944,2649587297.31628,6897113588.959663,1889040.6041757176,543389355.9889102,543389355.9889102,9856212464.61296,2448503251.5083065,659451229.490314
1968.0,148723591075.0,9167661014.395952,129093613.23062831,135594593170.3001,198390970.61333722,23051368.888947017,175339601.7243902,46468825457.93048,650332384.9987992,650332384.9987992,75221577583.07185,857603259.8595899,99646314.76054633,757956945.0990436,14070489231.419724,1767861202.285817,497025199.1611529,1270836003.124664,1997642200.5669003,11430608302.68961,3213657475.389809,8216950827.299801,2286161.965307636,664333994.0236025,664333994.0236025,11735749756.270298,3242111740.8655643,790020442.464975
1969.0,149406666625.0,10274561831.313925,145041783.08202833,158296527192.0183,237089910.29371035,27966739.044002082,209123171.24970827,51893163614.83693,757613029.734315,757613029.734315,85771570307.2468,1007533018.1049993,118846951.18679559,888686066.9182037,15614596087.582127,2063827143.8375988,586797783.9064265,1477029359.9311724,2236314861.556619,13540216328.305658,3849822868.5418377,9690393459.76382,2545576.4947376954,799002417.5288647,799002417.5288647,13821847505.126083,4168367941.9292426,929166066.8385485
1970.0,150607337462.5,11382012827.62647,161034803.68745485,182556176323.5586,279746394.1227747,33440541.65432493,246305852.4684498,57077044233.28763,869175348.1779372,869175348.1779372,96423501367.85661,1166601053.2534652,139454062.44693327,1027146990.8065319,17344560892.30863,2402850101.2734966,690025977.0316097,1712824124.241887,2476048043.7639594,15875244317.3096,4558890696.0369,11316353621.272701,2987906.8372980426,957071406.6915667,957071406.6915667,16128877343.659073,5234281769.172302,1076714364.2098596
