Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,26649993750.0,40854450.57186327,507149.428136727,29996485370.998627,36658273.287791476,3115953.2294622757,33542320.0583292,18936063064.600174,197686267.0740736,197686267.0740736,17825644184.198303,162965385.5081037,13852057.768188816,149113327.7399149,1577711649.396844,140988350.60315606,31722378.885710113,109265971.71744594,906005940.9020044,878144059.0979958,197582413.29704905,680561645.8009467,0.0,0.0,0.0,1170169532.3907104,200521788.75458375,179820126.11773396
1962.0,26333026250.0,81134456.95658834,1024293.6152749148,60004220165.138885,75447095.10011703,7197442.20226121,68249652.89785582,38698033868.727646,421981027.5801573,421981027.5801573,35829631259.05012,338983064.74903023,32338037.837492965,306645026.9115373,3148733670.6591177,293977978.73772645,71646835.40792516,222331143.3298013,942754465.6260508,1764901475.2759538,430132916.9390372,1334768558.3369164,51945.24017422091,2748054.7598257787,2748054.7598257787,2356723463.816094,614816148.564452,382581347.57968205
1963.0,27665330000.0,120841954.92235278,1540402.034235563,90271820027.35413,116764672.87613855,11849183.762032343,104915489.11410621,59892716170.56099,680880967.1501602,680880967.1501602,54347917775.05979,531659011.97579,53952322.877008386,477706689.09878165,4626342188.791682,452291481.86743546,115181693.88123879,337109787.98619664,991955068.3430187,2699081574.577019,687354947.3004249,2011726627.2765942,49162.45945060193,5348892.300375177,5348892.300375177,3617688452.9262137,1265326183.8838987,612993110.0436013
1964.0,29218295000.0,159981514.41958785,2053140.50276494,121557084829.42413,161651255.08309644,17101800.032907944,144549455.0501885,81295295801.74611,963833896.3735762,963833896.3735762,73147810614.84358,739602209.6256528,78245783.4083183,661356426.2173345,6049092200.528711,619849988.2629708,162667200.03283647,457182788.23013437,1054091997.2198035,3692029378.755085,968899076.9590371,2723130301.796048,54728.02089783989,8244164.279477336,8244164.279477336,4958297031.946758,2169444342.8362813,865621618.6887164
1965.0,28359000050.0,198651162.60408926,2562651.8154986007,153145208006.32486,209403846.16159147,22854664.259065025,186549181.90252644,111283024325.98291,1359379247.3931727,1359379247.3931727,95230981161.49644,990832870.4476769,108141053.78681849,882691816.6608584,7428851967.244006,798540233.2847052,214371977.4924728,584168255.7922324,1324790231.001111,4945543539.397842,1327655018.6518257,3617888520.7460165,101107.69962482284,13593056.579852514,13593056.579852514,6644270079.074659,3404385181.7180767,1193679407.0747623
1966.0,27628731250.0,236669404.904315,3065857.6997742625,184503669761.6717,259497005.89051136,29031588.763803247,230465417.12670812,140380822863.005,1777583466.3840718,1777583466.3840718,116496271530.27417,1250341280.469047,139883671.2755762,1110457609.193471,8760640136.097694,988911831.1463124,270346249.7254979,718565581.4208145,1477351208.684796,6338914009.427532,1732916500.5485768,4605997508.878956,118731.97754107635,19874324.602311436,19874324.602311436,8462943907.606333,4981815356.629978,1541076317.7923503
1967.0,26413182500.0,274136782.238718,3563622.6655970053,216894659333.95197,313563979.1420259,35805448.16793175,277758530.97409415,168577116750.55402,2218628354.862654,2218628354.862654,137558795863.7776,1523656531.7945716,173984285.83594075,1349672245.9586308,10086843671.087904,1195796465.0097904,331880841.51881236,863915623.490978,1887019507.0646458,8125053562.303508,2255023904.6079087,5870029657.695599,317237.0024925634,36657087.59981887,36657087.59981887,10616661500.581776,6917861595.653288,1910012892.7720683
1968.0,24984762500.0,311059876.10305893,4055706.13565905,249758978639.33066,371102417.71216553,43118992.25966157,327983425.452504,196362143418.22028,2687774327.24996,2687774327.24996,158467131900.91797,1811469102.640816,210477535.27698147,1600991567.3638344,11270787521.372452,1408456149.7154527,395980293.82450104,1012475855.8909516,2046847271.3946407,10054027185.156918,2826638684.990136,7227388500.166781,315381.8153434841,53341705.784475386,53341705.784475386,12909955381.908508,9231835201.310274,2302775714.4093122
1969.0,24078035000.0,347445721.45749205,4541954.645566855,283316162154.9024,432527217.60600334,51020204.98987172,381507012.6161316,221854312816.47968,3165824392.0793433,3165824392.0793433,178531463943.3078,2107708610.6120415,248621869.31852284,1859086741.2935185,12314682957.951097,1627604563.4213533,462768770.99102217,1164835792.4303312,2103378687.7261646,12033401251.723936,3421397576.0772653,8612003675.646671,406285.9856483707,74835419.79882702,74835419.79882702,15258093033.864822,11930427998.28237,2707825349.016898
1970.0,23731285000.0,383300267.05495095,5022254.402541119,318133708797.1994,498697237.31009924,59613657.53957167,439083579.7705276,247071255813.83942,3672350802.594691,3672350802.594691,198706929404.85272,2420857947.221239,289386396.83672225,2131471550.3845167,13273177922.475742,1858705035.4753542,533763948.6698348,1324941086.8055193,2301910885.4886494,14203652233.101252,4078859935.6940665,10124792297.407185,1007552.1406649777,128137867.65816203,128137867.65816203,17820777184.6206,15035406154.869207,3137927776.162897
