Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,431775000.0,460285879.339373,6056920.660626993,81903960.82142533,100093.652373262,8507.960451727271,91585.69192153473,0.0,0.0,0.0,30456767.42190786,278441.4853653208,23667.52625605227,254773.95910926853,7050178.0471854545,630021.9528145455,141754.93938327275,488267.0134312727,1579689.645465883,1531110.354534117,344499.8297701763,1186610.5247639408,0.0,0.0,0.0,2021237.1892260169,183387.40699292748,162972.2440378758
1962.0,387125000.0,856562432.6424451,11435446.696927957,172101426.4271453,216102.50034440856,20615.57511165995,195486.92523274862,0.0,0.0,0.0,63763034.099015966,602448.9178235317,57471.94454731176,544976.9732762199,13262322.586454645,1241455.4607308102,302561.28517913265,938894.1755516776,1514316.7837544242,2951772.8617114592,719391.2458772921,2232381.615834167,0.0,0.0,0.0,3911739.689894813,569918.1516387411,353933.15386315493
1963.0,387125000.0,1196912561.5589774,16102671.083467694,259281345.52830672,335044.25587757607,34000.017800915484,301044.2380766606,0.0,0.0,0.0,95487680.24606848,934056.1559953707,94787.25682884568,839268.899166525,17954245.270275787,1771677.3161788578,451179.830860176,1320497.4853186817,2764286.1575434487,5587361.689813327,1422891.6739768817,4164470.0158364456,0.0,0.0,0.0,6625280.638398313,1158625.8316460878,551605.4572358389
1964.0,387125000.0,1488425908.8466146,20124552.712362815,357673578.952665,474383.4778794355,50187.12272564258,424196.35515379295,0.0,0.0,0.0,129933082.29251435,1312337.9082375339,138838.02183129388,1173499.88640624,22051321.149491068,2296124.1207847213,602571.7330455934,1693552.387739128,13666272.067681842,18752311.96592775,4921168.249414564,13831143.716513187,0.0,0.0,0.0,17122392.345812347,1977082.0675697317,779240.0056363891
1965.0,308750000.0,1737310750.6239145,23572458.22270007,451167559.304769,615507.2795358272,67177.43002650733,548329.8495093199,28792905.61051186,300588.45964655763,300588.45964655763,174664873.32581103,1808883.3015743732,197424.36110466317,1611458.94046971,28822885.207412355,3106435.9420787087,833937.7129664037,2272498.2291123047,5067394.146801569,23259017.266897336,6243995.378325107,17015021.88857223,0.0,0.0,0.0,21747897.36731012,3235617.8844904657,1201841.4327048534
1966.0,426312262.5,1948999633.6863112,26513816.937603123,605943644.070452,839273.3315906652,93894.87227242881,745378.4593182363,43322047.50445798,479616.66196240345,479616.66196240345,235589050.31298286,2484978.242794881,278010.4000978662,2206967.842697015,34053067.70669187,3851417.5007204856,1052890.9096375068,2798526.591082979,3724661.960552781,26730544.704405382,7307529.636468249,19423015.067937132,0.0,0.0,0.0,25653504.62299777,4984022.9402786065,1683557.9081895137
1967.0,439374762.5,2128244571.4770691,29009962.209242083,751020804.0386796,1063577.7600476642,121448.51096784546,942129.2490798187,56478253.685948774,659446.3439949992,659446.3439949992,291075308.7934804,3154143.1439786036,360167.3545697993,2793975.7894088044,46452805.38950085,5303662.317191023,1471976.1802829546,3831686.136908069,914513.2612890226,27510176.568100266,7635162.686049149,19875013.882051118,0.0,0.0,0.0,28102251.401442807,7210733.312902039,2168841.0098601896
1968.0,452674762.5,2279200875.7293854,31115795.74768353,915360699.6296659,1323643.1603572434,153796.24724047424,1169846.9131167692,68261063.98033,839377.9161733302,839377.9161733302,348663179.7665282,3883030.60395592,451175.62851845444,3431854.9754374656,55722069.107397266,6605936.282103587,1857225.438294106,4748710.843809481,31504577.02928467,58021935.811425835,16312572.596254729,41709363.215171106,0.0,0.0,0.0,51899153.863708146,9953895.253362542,2697917.8642670615
1969.0,466212262.5,2405502004.816199,32880070.913186755,1092851561.3085113,1613852.8036630384,190367.44397752918,1423485.3596855092,81342276.01720153,1046497.8882105926,1046497.8882105926,412356499.17119676,4710582.834353229,555652.6665783098,4154930.1677749194,63618375.32223975,7901893.785157511,2246706.4529311475,5655187.332226364,25887853.24726824,82175364.07750647,23364515.616710484,58810848.46079598,0.0,0.0,0.0,71090949.20869337,13281427.88804591,3297380.780987652
1970.0,480224762.5,2510324332.848361,34345871.96783799,1285663103.6674595,1938348.0837424984,231707.75815799815,1706640.3255845003,95990870.2654808,1285230.5273418683,1285230.5273418683,482499122.4805758,5644803.699963528,674772.9272831047,4970030.772680423,69031240.59325345,9091734.728986299,2610871.6211452605,6480863.107841038,37525967.296982594,117804540.24836262,33829905.968979806,83974634.27938281,0.0,0.0,0.0,98417399.01283064,17268058.29615954,3975271.2174931644
1971.0,494237262.5,2605112805.3244905,35672527.52387068,1511568451.281324,2320542.717604367,280712.40718942415,2039830.310414943,112471296.19480962,1560213.2902387297,1560213.2902387297,559341463.8431395,6693103.821374472,809654.2550211685,5883449.566353303,75522196.72994545,10484243.863307992,3037738.0768089704,7446505.786499022,23286321.10162534,139279066.805025,40355158.66020215,98923908.14482287,0.0,0.0,0.0,115853907.09832887,22004019.326884724,4747532.136281792
