Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2386192900.0,228562414.69628838,2958385.303711632,105106920.5303506,128449.65567082699,10918.220732020296,117531.43493880669,18707786.798481934,195303.13797503267,195303.13797503267,41600261.59118163,380317.4010089651,32326.979085762036,347990.42192320304,86839775.43081482,7760224.569185177,1746050.528066665,6014174.041118512,27015394.47691429,26184605.52308571,5891536.242694285,20293069.280391425,0.0,0.0,0.0,26968068.316346977,348841.08156393934,311983.91327310307
1962.0,2403413075.0,454250954.6125871,5975660.083701226,202009048.16060203,254289.56791644482,24258.51472860417,230031.05318784065,49972012.260538146,539460.825413586,539460.825413586,84139323.97367704,795873.0214825142,75924.06393987866,719948.9575426355,153710351.52257305,14429423.908241782,3516666.6708301567,10912757.237411626,42496449.044633426,66568945.43228087,16223848.796922524,50345096.63535835,0.0,0.0,0.0,62747294.708914034,1124511.9340139995,713769.9836940018
1963.0,2420757700.0,679176443.2024072,9018711.410179863,305376335.35105246,395196.59228268213,40104.22783485071,355092.3644478314,78198540.36971208,882468.8547559334,882468.8547559334,125939518.834317,1232911.762696803,125114.8800293608,1107796.8826674423,212167589.02243584,20942762.500137165,5333336.921046188,15609425.579090977,35406028.99455405,99644236.6193365,25375653.576164525,74268583.04317197,0.0,0.0,0.0,92223366.72413416,2332948.8635314913,1136921.1723537156
1964.0,2438227487.5,902326061.1754467,12060882.026960475,441708722.6242109,584322.1691194004,61818.022297062555,522504.1468223379,107081560.01448393,1261415.0675280853,1261415.0675280853,176628503.6124956,1779939.6522625922,188307.6749883003,1591631.977274292,259521647.79135388,27045941.231081955,7097664.944128819,19948276.286953136,32355791.112764042,129987863.1324612,34112708.13001676,95875155.00244445,0.0,0.0,0.0,119198982.4810223,4060023.5586355124,1648476.4965206939
1965.0,2455823387.5,1123684134.3066943,15095626.868752547,590056637.7252729,798727.4218067895,87174.36376892596,711553.0580378635,134790374.6023673,1658998.2803980778,1658998.2803980778,228220030.506173,2370535.177786763,258723.92793020574,2111811.249856557,305086977.5600336,33534670.2313203,9002543.982631145,24532126.248689152,35696825.586926125,163653784.51928568,43933647.86044308,119720136.6588426,0.0,0.0,0.0,148734625.49582425,6338869.323633168,2203516.8232948435
1966.0,2473546112.5,1343267907.330559,18119426.97613525,736251535.3853834,1022391.957126051,114381.52341236241,908010.4337136885,170501039.8399201,2171026.968620634,2171026.968620634,281583348.2168721,3014271.958639568,337225.87135517894,2677046.0872843894,375649881.6823539,42837095.8776797,11710698.421150625,31126397.456529073,62512945.41632527,223208996.32931146,61020318.65942329,162188677.66988817,0.0,0.0,0.0,199071158.61603597,9251003.653498149,2843949.159753732
1967.0,2491396850.0,1561097148.7252617,21130058.60529732,854967100.020454,1224706.3693902653,139847.5697053106,1084858.7996849548,198353106.83776993,2640493.54187796,2640493.54187796,325859349.2525542,3614007.464684734,412678.6415625777,3201328.8231221563,415888892.32146853,50260989.36088539,13949413.57726973,36311575.78361566,60338296.38545288,279860276.32380706,77672301.87728645,202187974.44652063,0.0,0.0,0.0,245426231.39482135,12734881.79513543,3442803.023047791
1968.0,2509376550.0,1777193116.709269,24126032.015992522,891814428.4446295,1337759.8651823003,155436.4900872769,1182323.3750950233,215674144.7297115,3033258.654614836,3033258.654614836,339270940.3581935,3965788.052757994,460791.35082046787,3504996.701937526,419696219.7985851,55092672.52288335,15489025.098577421,39603647.42430593,60703187.36668661,336954528.9681293,94733054.63805331,242221474.33007598,0.0,0.0,0.0,289545700.48602927,16587648.689041078,3867811.8377417354
1969.0,2527485687.5,1991578100.5993166,27106316.10995251,931620447.9918318,1459860.3059062706,172202.74015625546,1287657.5657500152,233928986.40270218,3459722.2827104987,3459722.2827104987,353892991.21426797,4343726.4886188945,512378.89050290297,3831347.5981159913,423996078.67500126,60400141.123583995,17173273.9656919,43226867.15789209,57822735.51593538,391243288.1635495,111240272.78550991,280003015.3780396,0.0,0.0,0.0,331808609.9825082,20845485.143370803,4320890.99224678
1970.0,2545725687.5,2204275410.475424,30070190.123892702,1041081043.7901733,1672894.8183590726,199975.79962402993,1472919.0187350425,253281988.7287603,3922568.16330694,3922568.16330694,391530179.83606863,4947778.765868281,591451.4195446157,4356327.346323665,435105646.91780704,66790431.7571942,19180194.763374988,47610236.99381921,58850900.3808299,446614869.3918792,128254301.60859588,318360567.78328335,0.0,0.0,0.0,375722619.30546826,25674164.217170484,4923135.454565968
