Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,503991000.0,2446835.444538596,34464.55546140399,5592154.767334291,10990.79780654191,659.4478683925146,10331.349938149395,68507.37428789365,1006.4903148742175,1006.4903148742175,2721389.893705312,33720.86346222811,1854.647490422546,31866.215971805563,656140.007703454,46430.38676620948,6964.558014931422,39465.82875127806,2898266.081954498,2436349.574046509,365452.4361069763,2070897.1379395325,0.0,0.0,0.0,2153567.0229156394,1414523.8603928706,739043.1625227691
1962,511993000.0,4916867.149694178,70668.29484441783,11325896.318550482,22989.83679228324,1538.7436130780386,21451.093179205203,204469.55117589363,3112.0560985275006,3112.0560985275006,5522318.632365454,71199.56767467127,4409.494018014774,66790.0736566565,1357249.5541746719,104016.83380884543,17044.504573034286,86972.32923581115,4623060.694940614,4573278.032795425,749390.8004062914,3823887.2323891334,0.0,0.0,0.0,4002212.7845593337,3758716.939132224,1658019.7058199802
1963,520121400.0,7410408.258709836,107758.8909843423,17843874.80800996,37313.85493285072,2648.7658916391333,34665.08904121159,297128.4404570067,4801.0308284809835,4801.0308284809835,8704863.870117804,116361.34658244543,7678.234114848934,108683.1124675965,2045459.8355381596,169064.06975489671,29074.327755333943,139989.74199956277,6503655.7254126,6541417.072874784,1124942.1845624896,5416474.888312294,0.0,0.0,0.0,5704613.8626491465,6805693.3236773005,2657637.47810407
1964,528338000.0,9928239.918617243,145568.34009259337,26617311.98001182,56993.48483836108,4209.706556821585,52783.7782815395,3429758.2813338176,51313.3259883804,51313.3259883804,14117712.003258348,192596.638005568,13262.771422683918,179333.86658288407,2901305.7348821424,253729.55613826384,45094.310479218126,208635.2456590457,8652393.4400509,8775486.416036453,1559631.1090981786,7215855.306938275,0.0,0.0,0.0,7707921.523450125,10670868.894534504,3842745.9525929205
1965,536725400.0,12471214.598227436,184025.3203898071,36777384.58683746,80657.81456108183,6137.606320551753,74520.20824053008,6623373.856304757,103682.2280037115,103682.2280037115,20230024.135419644,283306.32539255766,20141.487305782408,263164.8380867753,3670841.5880136183,341334.01392033754,62187.220144184634,279146.7937761529,9575271.54088625,10045014.5166874,1830088.721385262,8214925.795302139,0.0,0.0,0.0,8935439.863409309,14749482.094429139,4856826.663514673
1966,545225200.0,15040220.114044307,223094.48418312956,47605434.513263814,107132.45068908119,8347.50287118256,98784.94781789863,9981606.722249005,163759.76638745892,163759.76638745892,26765155.182885293,385941.7719918535,28141.945704922528,357799.82628693094,4586543.063344409,446278.87094432046,82934.31850026589,363344.55244405457,10098740.71754057,10685111.366514783,1985669.694391401,8699441.672123382,0.0,0.0,0.0,9683130.765059724,18761844.18078607,5670768.678702795
1967,553859600.0,17636162.17014694,262757.9438973699,56885312.93641771,132215.52021251677,10505.72643919265,121709.79377332413,13688389.373976588,234717.2362048202,234717.2362048202,32609458.99689352,487304.3088426976,36284.24098890227,451020.0678537953,5115817.523607742,531463.5529036621,100403.13936451393,431060.41353914817,10246654.948685683,10923677.673946233,2063681.5561067532,8859996.11783948,0.0,0.0,0.0,10098503.629210569,22565367.60687101,6294980.203125629
1968,562630600.0,20259954.56782728,303007.6023196589,65246897.73716219,157014.43294625962,12685.88932189313,144328.5436243665,16924165.176244844,305251.5853015748,305251.5853015748,37884921.74886311,588359.7007799601,44594.37957541947,543765.3212045407,5889949.480367348,635576.3859921998,121769.33669768833,513807.04929451144,12902970.75216652,13187105.348982973,2526502.095891117,10660603.253091857,34479.40566769161,113203.97168213585,113203.97168213585,12280959.724198984,27411637.383350905,7434689.947719084
1969,571540600.0,22912808.633738466,343845.9340888154,71558816.30652897,179248.23179974008,14693.38011152889,164554.8516882112,20073271.57214451,380440.8580892078,380440.8580892078,42056520.022626325,681999.8581912002,52495.06070209123,629504.797489109,6655476.444885071,742423.3865369679,143988.92621430947,598434.4603226585,11800512.94752775,12888301.49399272,2499615.0801533065,10388686.413839413,34672.86059731587,114589.37492962596,114589.37492962596,12276210.756358225,31674553.24458152,8013294.895127605
1970,580591800.0,25595929.299261622,385279.3344768438,77491998.18435428,201990.48316299307,16770.43174435731,185220.05141863576,23144806.64647813,460373.6404523327,460373.6404523327,45942419.17670604,777286.7281344002,60648.458379235875,716638.2697551644,6894794.049453817,814222.582692757,159629.72302966262,654592.8596630944,12429007.418255255,13135446.982524792,2575226.735614223,10560220.246910568,86392.42726654414,284395.53994670213,284395.53994670213,12861440.608146498,35926330.039207965,8609663.813520055
1971,592818600.0,28319670.428086717,427458.8711749042,82941686.33028111,225030.1152152589,18897.79340803495,206132.32180722395,26134098.420665935,544897.0698812248,544897.0698812248,49535651.462468565,873819.6568601312,69013.36137193925,804806.295488192,6785938.285929139,856307.2379852816,169512.78725835096,686794.4507269306,13064344.263967417,13822037.26649637,2736181.546409947,11085855.720086422,60823.49534975674,201570.66605671574,201570.66605671574,13530056.524046708,40244593.33796641,9211793.225288259
