Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,8871418250.0,279652362.44731605,3637037.5526839597,10610586.426348343,12967.045043779375,1102.198828721247,11864.846215058129,255060111.80747622,2662743.6342339013,2662743.6342339013,110632745.1645564,1011425.3251808966,85971.15264037621,925454.1725405203,133288.95763799484,11911.042362005155,2679.98453145116,9231.057830553995,53624.54242034115,51975.457579658854,11694.477955423243,40280.97962423561,0.0,0.0,0.0,3649574.690444269,1895389.4185528574,1704673.2344366224
1962.0,9049073712.5,562813312.3245597,7440950.122756339,22779573.71290086,28587.360333037108,2727.1543515255926,25860.205981511514,510319753.6674305,5569837.378063688,5569837.378063688,221923426.2446214,2099753.977732654,200310.6663502994,1899443.3113823547,121377.91527598968,11911.042362005155,2902.8993780815167,9008.142983923639,336802.47496781446,376822.06745252665,91837.18032476069,284984.887127766,0.0,0.0,0.0,7789133.925539244,5787241.64249626,3603288.671484152
1963.0,9230293575.0,849516000.7246579,11339211.599901794,36665447.51111436,47197.70583396268,4789.584690278837,42408.12114368384,765529804.3215182,8730687.800439171,8730687.800439171,333520767.25561696,3264804.7833971092,331309.72641589167,2933495.0569812176,109466.87291398454,11911.042362005155,3033.296204214283,8877.746157790873,586770.6112729317,935558.2364338593,238251.62913101274,697306.6073028466,0.0,0.0,0.0,12412775.33202471,11805995.330338068,5687837.290722264
1964.0,9415150987.5,1139901672.368636,15318528.356022054,51073356.95595341,67497.77080549444,7140.887204304323,60356.883601190115,1017463826.5980747,12122825.872942429,12122825.872942429,444380851.80700016,4499744.523297725,476047.84136722283,4023696.6819305024,1658652.2586454644,151414.6142685201,39735.72931111002,111678.88495741008,312662.64534921106,1221423.253121983,320538.0404977265,900885.2126242565,0.0,0.0,0.0,17219443.53605579,20073951.843241006,7938922.925571184
1965.0,9603718625.0,1434091498.142919,19373474.22571694,65448630.00488516,88891.4991944043,9701.75766497306,79189.74152943124,1271824612.8674753,15813233.650152111,15813233.650152111,556568444.6541694,5825368.792385292,635789.88817838,5189578.904206912,2993611.475006705,284240.7836387594,76305.8094418222,207934.9741969372,371035.62796105543,1572257.5917846803,422080.1345124793,1150177.4572722008,0.0,0.0,0.0,22440114.727357592,30762103.004845172,10393851.13428429
1966.0,9796070587.5,1732214654.358055,23501743.784863964,82458004.64611495,114683.1151280329,12830.33314825116,101852.78197978175,1525044263.876235,19776542.43204005,19776542.43204005,669002563.0176734,7234871.130136719,809411.2789026283,6425459.8512340905,4080631.331310347,406780.1436963579,111204.54103945177,295575.6026569061,373096.9840119083,1923091.9304473775,525730.075118189,1397361.8553291885,0.0,0.0,0.0,27996792.523240015,44027238.05202905,13038720.018070048
1967.0,9992284300.0,2034406182.2569869,27702572.10106825,100569160.53215998,143234.2697475662,16355.72821645786,126878.54153110833,1780112552.239451,24051612.412357815,24051612.412357815,782678801.9326265,8739601.950764302,997963.3678354038,7741638.582928899,5384392.810634923,559638.520675424,155321.83663595485,404316.68403946917,399909.2552220789,2299913.9978999044,638317.1512701092,1661596.8466297952,0.0,0.0,0.0,33986043.06748708,60052046.908085264,15895320.680761611
1968.0,10192436000.0,2340805802.2155833,31976080.041403115,118249316.3323781,172807.0350196509,20078.729886386092,152728.3051332648,2037011400.9414215,28647608.447607663,28647608.447607663,897518778.6495868,10341551.773078375,1201601.686147241,9139950.086931134,7084607.980821866,761584.8298130569,214115.70728885164,547469.1225242052,780574.3064531699,3044895.5565416813,856056.9226013045,2188838.633940377,0.0,0.0,0.0,40676594.596136644,79023905.2408984,18968428.506858923
1969.0,10396605962.5,2651558531.285496,36322970.930087276,136884186.7225085,205126.44526013866,24196.38085191963,180930.06440821904,2295714166.055992,33572481.31762489,33572481.31762489,1013564528.7499297,12043588.745513942,1420642.081233282,10622946.66428066,8582876.841871176,963531.1389506897,273956.05235124804,689575.0865994417,631381.696813646,3633950.7424444817,1033223.2759214704,2600727.466523011,0.0,0.0,0.0,47666660.59943622,101136131.69298115,22264131.594231013
1970.0,10604874225.0,2966813981.204793,40744350.08070347,163921505.53736657,249423.33837146894,29815.760673259178,219607.57769820976,2556186903.338151,38832864.81119216,38832864.81119216,1132554366.9606373,13863923.607907902,1657276.4641218265,12206647.143786076,8837122.088613076,1072354.7532581005,307947.89735291473,764406.8559051857,1564863.9346475692,5132576.435991311,1473920.93583253,3658655.500158781,0.0,0.0,0.0,55682181.88874041,126597771.5485685,25797479.67708911
