Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,43454591250.0,96237677.85852544,1220022.1414745608,51462262537.05731,62891290.78820193,5345759.716997164,57545531.07120477,24821313423.778755,259126344.15521368,259126344.15521368,27502537461.06674,251433360.47102737,21371835.640037328,230061524.83099005,6933560306.900515,619600693.099485,139410155.94738415,480190537.1521009,2386196060.4000115,2312814739.599989,520383316.4099975,1792431423.1899915,648536.323575148,34309463.676424846,34309463.676424846,2853664824.075926,288336057.03943056,258397343.01797795
1962.0,42677800000.0,193502904.25162113,2494673.606904318,103385086331.39435,129977030.88119763,12399445.812294625,117577585.068903,50801150118.721344,553923642.7505214,553923642.7505214,55287787883.94794,523073691.75976086,49899769.61960508,473173922.1401558,13425117359.105867,1255071947.7946477,305879826.9681667,949192120.826481,2554986613.9454923,4718104646.454519,1149872750.6507385,3568231895.8037806,935377.9398171959,83793685.73660764,83793685.73660764,5745892852.326449,883602198.8218728,549409008.1771379
1963.0,43879716250.0,288916185.8829596,3760418.3686615326,156421966784.56384,202248902.22388703,20524053.629322357,181724848.59456468,77903011460.10114,886261332.1862702,886261332.1862702,83534973308.50395,817389125.110545,82947981.69644813,734441143.414097,19656736716.64246,1924101842.4634047,489996646.63130575,1434105195.832099,2736663881.0908732,7296640967.654585,1858181062.415023,5438459905.239562,1039372.3106459861,138779513.42596164,138779513.42596164,8813771938.692554,1811639301.6104686,874390221.406336
1964.0,44386755000.0,383587282.37945724,5026103.503502393,212586145352.66528,282411631.2568414,29877573.43572196,252534057.82111946,104248448789.35095,1238743424.619114,1238743424.619114,112114750645.3702,1134120932.8717895,119983661.10512498,1014137271.7666645,25803600344.84611,2645343971.79635,694217480.2999207,1951126491.4964294,2961541710.1654916,10087811831.088964,2647343931.7469,7440467899.342064,1216505.5796400795,203136207.84632155,203136207.84632155,12100145352.891712,3091476642.449675,1225577413.3676915
1965.0,42812775050.0,476493505.3539853,6275277.025471936,269735504695.49414,368240955.8213246,40190395.57295975,328050560.2483648,139158073652.41962,1709085520.2077045,1709085520.2077045,144206851957.2196,1503158234.9613137,164057047.74772564,1339101187.213588,31586989601.31381,3398557143.5323057,912359058.5828838,2486198084.949422,3882588892.3196144,13765166411.900593,3695325321.42312,10069841090.477472,2599859.2707197564,340676348.5756018,340676348.5756018,16272952791.672155,4807256565.236561,1660457344.8827717
1966.0,43151280000.0,567820999.0379754,7508706.316009839,327362378090.4335,459372245.7004589,51392909.45155431,407979336.2489046,173017251892.9556,2206056889.968616,2206056889.968616,175150317477.8985,1884716862.791755,210855322.62311298,1673861540.168642,37342427256.087776,4216581545.22603,1152718545.2844937,3063862999.941536,4602292643.73652,18112839806.540817,4951642966.897154,13161196839.643663,4332908.318652289,569899840.2569495,569899840.2569495,21082857446.228313,6974715732.562548,2120438599.060175
1967.0,41033302500.0,659587850.0415995,8752648.996375902,386775692510.9466,557631814.9642233,63675225.39458423,493956589.569639,205464527336.126,2726192622.8703756,2726192622.8703756,205659180646.82214,2285205685.5299907,260944557.3123249,2024261128.2176657,42523028231.9082,5056337824.179571,1403333845.8467324,3653003978.332839,4909757033.33262,22737908383.92775,6310669407.083266,16427238976.844482,6740206.584046208,926476433.6729033,926476433.6729033,26251129729.507908,9612776390.352081,2606349682.8681474
1968.0,39048942500.0,752449302.7829423,10015447.258657167,447901935414.29803,663253917.562329,77064549.22571297,586189368.336616,237549073113.01657,3280231836.2722282,3280231836.2722282,236099833785.677,2708235319.039259,314674257.5241587,2393561061.5151005,47599175600.29272,5961802631.615486,1676130533.6113746,4285672098.0041113,5505177246.57873,27931555982.57516,7852815117.595325,20078740864.979836,6701922.942037808,1281027710.7308655,1281027710.7308655,31905422939.838757,12748236373.629686,3124522282.8463397
1969.0,36572601250.0,844340266.1695261,11268536.613416174,511125401001.1026,777036032.1943486,91657902.74771824,685378129.4466304,267192535083.03345,3847049888.321575,3847049888.321575,265695139843.26453,3147132273.6078987,371230588.9521608,2775901684.655738,52736126361.989655,6953615638.303063,1977087208.527572,4976528429.775492,6014911805.289548,33601777379.99079,9553827490.238321,24047949889.752472,7352173.458538705,1669979137.2723267,1669979137.2723267,38002787159.224236,16394081826.773573,3662484249.280055
1970.0,36363577500.0,927380764.7753264,12403601.39419977,577225335026.7931,900294019.1848817,107620045.44901702,792673973.7358646,296352983233.24646,4445514059.454146,4445514059.454146,295527690661.53705,3611667204.652727,431734278.38981456,3179932926.2629128,57395727181.007095,7991402380.982559,2294889403.5744004,5696512977.408159,6213227897.667782,39449560367.491745,11328722262.624235,28120838104.867508,8564222.136571836,2123051475.1357548,2123051475.1357548,44358523516.86434,20578815151.337933,4233387634.888566
1971.0,35560827500.0,1017001188.6341465,13631176.141179862,645566640700.3885,1032679942.2780838,124921670.37217179,907758271.905912,324583134165.1932,5070959478.869932,5070959478.869932,325233038492.9502,4098993140.245129,495848761.0342371,3603144379.210892,60828838425.33388,9012326155.673216,2611259970.7378335,6401066184.935383,6358492756.020717,45432680516.469124,13163808981.912552,32268871534.556572,8545251.73486021,2575120223.4008946,2575120223.4008946,50826920072.87959,25326800300.641518,4833876980.683147
1972.0,34146182500.0,1106968730.598128,14865958.03601835,714886523014.8124,1173045905.9742703,143432545.5917438,1029613360.3825265,351159333039.6527,5715215832.261486,5715215832.261486,353645136510.5294,4598641745.320029,562292480.146279,4036349265.1737504,64031518273.068405,10103890352.26547,2951270386.03671,7152619966.228761,6699915313.840821,51742561704.67355,15113613146.2908,36628948558.38275,9120649.160270056,3057629174.2406244,3057629174.2406244,57620376156.6699,30652707976.20867,5455270782.250608
