Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,16763462500.0,88213564.37934853,1115935.6206514647,18501178401.12755,22610023.99402566,1921852.039492181,20688171.954533476,7209317861.364527,75262906.09096517,75262906.09096517,8179115903.825789,74775013.04351199,6355876.108698519,68419136.93481347,6405397304.451794,572402695.5482064,128790606.49834645,443612089.04986,3297960139.667667,3196539860.3323336,719221468.5747751,2477318391.7575583,1298631.0043555228,68701368.99564447,68701368.99564447,3154002064.7833753,86642029.84393817,77728185.13637394
1962.0,16233600000.0,182384849.37462616,2348015.0047223433,37294202561.54394,46882305.069263026,4472440.994541021,42409864.07472201,14916247403.823223,162568435.04569834,162568435.04569834,16439714539.678478,155535756.25257415,14837676.845309762,140698079.40726438,12390223825.155136,1158373479.2966585,282312962.2444153,876060517.0522432,3539357740.1977634,6528752399.469904,1591154720.473925,4937597678.995979,1762427.7916253523,161938941.2040191,161938941.2040191,6321273515.779927,266338029.21486676,165980379.15675616
1963.0,16068537500.0,278220178.0974132,3617971.277213003,56542561373.991806,73094956.26797101,7417616.540712302,65677339.727258705,22441948895.130363,255636408.33963364,255636408.33963364,24525078314.04444,240180340.28401577,24373305.024128962,215807035.2598868,18139284364.719494,1775639460.4356406,452188840.5479415,1323450619.8876991,3804777341.9863386,10114049979.208427,2575669574.3966656,7538380404.811762,1929394.635042491,264009546.56897658,264009546.56897658,9662961354.595219,542708280.1973727,260750532.3442732
1964.0,14986962500.0,370304240.44013083,4848037.6572823515,77258467107.34596,102577104.62745075,10852084.819208914,91725019.80824183,28768745548.14038,344011566.30533284,344011566.30533284,32416956643.303722,328616265.29496825,34765765.68333269,293850499.61163557,23803683972.880165,2440500391.8393292,640460390.3148282,1800040001.524501,4116400373.341261,13993604446.390123,3672340883.7036448,10321263562.686478,2300432.0648583546,385709114.5041182,385709114.5041182,13236599764.440308,914969000.8565316,357326365.06605136
1965.0,14307118750.0,462211584.9052356,6082855.534895215,98600341497.90768,134466565.35537162,14675891.878772581,119790673.47659904,35070213435.94039,439118694.0666599,439118694.0666599,40292140475.36665,422508692.3387581,46113261.465538725,376395430.8732194,29269642204.56735,3147041768.3128166,844838542.8866638,2302203225.4261527,5741175938.867692,19438919573.159042,5218471725.68137,14220447847.477673,4454304.344939443,621354810.1591787,621354810.1591787,18079310681.47948,1389084482.4694781,461189316.8035319
1966.0,15528462500.0,553519842.9986765,7315241.906558955,120965924005.06543,169362203.7622949,18947632.304601412,150414571.4576935,41192639073.78884,539560785.7322321,539560785.7322321,48034294822.281975,520940855.498494,58280983.378579855,462659872.1199142,34809331883.41944,3923310321.1479044,1072544789.5614753,2850765531.586429,6495209937.535427,25566929382.08578,6989423382.094105,18577505999.991676,5060022.94911384,889044787.2100649,889044787.2100649,23469951548.09801,1970152891.8196259,571566819.9596919
1967.0,15022350000.0,646165796.0520844,8570446.946592046,143972182500.48636,206940090.51620913,23630210.029606525,183309880.4866026,46845804011.27589,642342954.0743937,642342954.0743937,55567033651.311554,623274308.6594346,71170853.27903935,552103455.3803952,39817666879.25613,4721465004.163316,1310393386.02704,3411071618.136276,6817137542.283686,31985972221.94862,8877373105.238901,23108599116.709717,8838111.578213872,1356606675.631851,1356606675.631851,29254033700.419235,2661315122.724797,686594059.0362206
1968.0,14419575000.0,733087748.4772257,9751847.574858777,168223341885.15054,248060301.7377514,28822529.091835596,219237772.6459158,52816658465.30716,755403053.3296912,755403053.3296912,63318688514.22202,733419551.5297548,85217208.12399666,648202343.4057581,44954444119.348694,5602422759.907433,1575092707.7462835,4027330052.161149,7427159322.62271,38987327219.600235,10961089055.5366,28026238164.063637,8297324.52425725,1795559351.1075935,1795559351.1075935,35471970736.713745,3472203159.198391,811955132.9077712
1969.0,12524562500.0,823599825.1555682,10985423.321657421,194080971355.6138,293332329.42557645,34601003.05429141,258731326.37128502,58418663934.449905,871990993.1149143,871990993.1149143,71103495488.78032,849928179.2226968,100256141.49931023,749672037.7233865,50194233532.70656,6571310586.642138,1868388300.4040356,4702922286.238102,8183150198.183256,46703517026.113754,13278980448.236675,33424536577.87708,9129375.960619325,2278529975.146974,2278529975.146974,42286383196.47174,4408372595.655027,944224920.7529497
1970.0,12681550000.0,907414456.928863,12130468.226705184,220998414631.43304,342286416.5612821,40916499.41233436,301369917.1489477,63854025295.58353,993965222.2445581,993965222.2445581,78873845300.61401,972485835.3700147,116249766.82151413,856236068.5485005,55191982203.74958,7605151328.956978,2183969767.1758657,5421181561.781113,8516812301.8440695,54721125111.242645,15714254417.760853,39006870693.4818,10053259.160860825,2810376715.986113,2810376715.986113,49390000179.19103,5476030016.556358,1083913787.0406742
1971.0,11925587500.0,986666868.7064079,13215388.222455129,249398879353.28317,395605771.181324,47855808.6795243,347749962.5017997,69031677273.36806,1120262784.9345372,1120262784.9345372,86682936970.09781,1101653752.8697755,133265323.8879362,968388428.9818393,59233642024.43326,8645940179.31632,2505102135.637935,6140838043.678385,8649646177.118422,62858212763.86644,18212737975.431747,44645474788.43469,10307419.800284691,3355669296.185828,3355669296.185828,56578383304.71709,6681395991.527142,1231035201.447393
