Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,5462500.0,351648.37643166474,3851.6235683352425,9852987.039686583,12041.193731019881,1023.5014671366899,11017.692263883191,0.0,0.0,0.0,3481628.336017676,31829.699847707125,2705.524487055106,29124.175360652018,203972.49577935576,18227.504220644252,4101.188449644957,14126.315770999296,26812.271210170577,25987.728789829427,5847.238977711621,20140.489812117805,0.0,0.0,0.0,74408.6732076523,21245.06767971863,18896.799944816576
1962.0,5700000.0,704383.1211774417,7865.255254222954,20938185.652937174,26283.563976944843,2507.3786120256054,23776.185364919238,593668.1569177704,6197.700198898096,6197.700198898096,7457787.5923708975,70411.36085121921,6717.047216154806,63694.313635064405,389717.48733806727,36455.008441288504,8884.631429885854,27570.37701140265,27636.813630511726,51975.457579658854,12667.197286173889,39308.260293484964,0.0,0.0,0.0,160546.83650376936,70151.06367410067,44762.20320449969
1963.0,5700000.0,1058135.6708809999,11947.450296441813,31919083.673329383,41211.4731718747,4182.106682520414,37029.36648935429,1180891.7359180534,12892.012714154818,12892.012714154818,11229274.051433912,109751.69952794546,11137.512946929526,98614.18658101594,557234.9746761345,54682.51266193276,13925.587119347389,40756.92554258537,27636.813630511726,77963.18636948828,19854.302427584393,58108.883941903885,0.0,0.0,0.0,247401.3752690143,146843.90913273668,71842.72032588904
1964.0,5462500.0,1413154.2039497206,16081.466931279261,47266536.389044195,62316.63382984662,6592.7518467713035,55723.88198307532,2057999.971115763,23197.902536055924,23197.902536055924,16529357.87462305,165655.73975262704,17525.452147566462,148130.28760506058,843852.9747539158,85181.99992221869,22354.307788848546,62827.69213337015,27636.813630511726,103950.91515931771,27279.83323384907,76671.08192546864,0.0,0.0,0.0,366550.8461830306,263419.3290844086,110476.65217251994
1965.0,4750000.0,1769396.6428964327,20257.56105328796,65541802.38218026,88184.68672572702,9624.615043374435,78560.07168235259,3221250.714323856,37377.538400025376,37377.538400025376,23049609.09534257,236364.12006507174,25797.15084510888,210566.96921996286,1031307.479091232,109545.49566268378,29408.01671821338,80137.47894447041,108073.62726102346,207901.83031863542,55812.2491917328,152089.5811269026,0.0,0.0,0.0,558731.6393737139,430278.91491684364,159644.99346990578
1966.0,4037500.0,2126826.7743213265,24469.868575105822,79665179.50603554,110420.37632688906,12353.433310977003,98066.94301591205,4072968.631248099,49500.884407624486,49500.884407624486,27837626.350318074,295779.1948195688,33090.70915644253,262688.4856631262,1327687.4453260782,145820.03376515402,39863.917107310124,105956.1166578439,190984.06815255864,389815.9318474414,106566.90711855183,283249.0247288896,0.0,0.0,0.0,799461.4544733963,638330.146655909,202205.08134759738
1967.0,3325000.0,2485412.352100297,28714.422221029865,93631318.98067963,133672.81892801146,15263.919033953734,118408.89989405773,4318487.219186401,56244.214430258355,56244.214430258355,32210170.640016984,354962.65067933366,40532.70667513073,314429.94400420296,1587792.873458454,182094.57186762427,50538.449908312956,131556.1219593113,166645.4242034115,545742.304586418,151465.08674205982,394277.2178443582,0.0,0.0,0.0,1014916.3981321885,884683.7097793003,242729.49520512775
1968.0,2850000.0,2845420.493931891,32991.858168405925,110467960.4581991,161679.62150283146,18785.81764868158,142893.80385414988,4853930.295024073,66417.29335756063,66417.29335756063,37631141.7872197,427114.9853606969,49627.18341015436,377487.80195054255,1813643.293149541,218549.5803089128,61444.10462720364,157105.47568170915,112196.33936272921,649693.2197457356,182657.94934593976,467035.27039979585,0.0,0.0,0.0,1210939.6452437579,1179110.197594137,292372.4113474165
1969.0,3325000.0,3206820.548800512,37299.945131378685,126058847.07903256,189661.81856408875,22372.198714917027,167289.61984917172,5378915.969818201,77158.31076167972,77158.31076167972,42762019.10933006,500736.10322956037,59066.013866145986,441670.0893634144,2342319.687477872,285323.60567166895,81124.65232577696,204198.953345892,539543.5938847761,1169447.7955423242,332503.3188305089,836944.4767118152,0.0,0.0,0.0,1727261.450031973,1521961.4504385176,343266.76712988503
1970.0,3325000.0,3569583.6564808036,41636.89231970853,144530470.42680958,222633.0290065345,26613.279872533793,196019.74913400068,5892879.10722775,88460.97224148265,88460.97224148265,48796713.06086574,586636.1053056909,70125.76221731828,516510.3430883726,2933471.954759078,363647.7327187938,104428.64577013181,259219.08694866198,445487.1877695522,1585251.456179595,455236.3396748574,1130015.1165047376,0.0,0.0,0.0,2190225.267917256,1921068.9389994917,401883.57590288186
