Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2763763750.0,22746135.86182378,278264.1381762198,2533967563.972618,3096725.3101030546,263221.6513587597,2833503.658744295,604896448.9246457,6314919.872537986,6314919.872537986,1030426817.7489116,9420355.408036107,800730.2096830691,8619625.198353037,859271499.7692679,76786700.23073205,17277007.551914714,59509692.67881734,210460688.50829974,203988511.49170026,45897415.08563256,158091096.4060677,0.0,0.0,0.0,235368837.81452033,9374158.496203851,8393890.233431468
1962.0,2553837500.0,45212083.205726065,562652.6560977193,5149145504.128732,6471514.418082759,617364.4051297411,5854150.012953018,1315277675.6479514,14305622.817773458,14305622.817773458,2105560770.259928,19909681.751178436,1899328.045425294,18010353.70575314,1663397579.1570272,155507320.61224058,37899462.5804019,117607858.03183869,243322843.46350965,433555445.04479015,105663953.96250641,327891491.08228374,0.0,0.0,0.0,483669475.650602,29236653.064339817,18307631.968343645
1963.0,2627343750.0,67397559.92518151,847023.2805445425,8021724132.392656,10353323.399442242,1050646.8136803256,9302676.585761916,1999388002.5759168,22724843.786449842,22724843.786449842,3225259808.700282,31519623.766805116,3198585.7102445476,28321038.05656057,2444624857.5280027,239216321.62902462,60919434.112504534,178296887.51652008,271768913.53467953,689907064.4039309,175693479.72369814,514213584.68023276,2285.59056766572,120914.40943233427,120914.40943233427,752979945.0349574,60325556.81309978,29259654.68001236
1964.0,2432047500.0,89303893.6236995,1130066.3014820002,11172426989.905943,14793986.847054977,1565121.1901679852,13228865.656886991,2574716426.837677,30717813.815140437,30717813.815140437,4355495125.8557415,43991963.584641315,4654104.070474209,39337859.51416711,3211101994.692906,329087662.83509696,86362458.16306211,242725204.67203486,296419101.33347255,969327124.3521769,254380466.5966293,714946657.7555476,4571.18113533144,362743.22829700285,362743.22829700285,1041319144.642074,102878210.39080435,40731885.40848997
1965.0,2096103750.0,110933320.49022421,1411173.133475282,14279657698.687794,19429445.514985673,2120560.162214642,17308885.352771033,3145357911.402068,39296385.406143785,39296385.406143785,5451646478.333615,56949654.99790177,6215574.682626629,50734080.31527514,3893620973.4996767,419487421.1932292,112613421.67383163,306873999.51939756,512104998.4471996,1457090806.0084853,391163055.34823805,1065927750.6602473,647964.9259332316,34641978.30236377,34641978.30236377,1514783079.5561986,157352128.1174789,52865433.34751542
1966.0,3527682500.0,132287830.23158784,1689990.2586363656,17610515880.665474,24593446.59242375,2751426.072549964,21842020.519873783,3650869418.8823915,47846317.1154784,47846317.1154784,6531931960.119615,70560318.34676993,7894033.83771901,62666284.50905092,4595685408.23271,519712165.26696634,142077615.4066002,377634549.8603661,577018638.7775905,2001364803.918278,547128118.0292213,1454236685.8890567,721675.2217404511,72820703.08062331,72820703.08062331,2037046560.9744492,224133234.46170107,65573515.80018094
1967.0,3221948750.0,153370228.96189806,1966301.2696897793,21124255190.552048,30262443.992654312,3455627.692883477,26806816.299770836,4085224086.5310965,56261515.3672031,56261515.3672031,7600433864.512499,84871545.58570312,9691367.40360322,75180178.1820999,5232248891.886366,623039916.3463446,172918232.9830205,450121683.36332405,585635329.2936108,2552252678.8050823,708351121.2784349,1843901557.5266476,769672.6236614313,113538630.45696187,113538630.45696187,2565810381.1960073,303576404.4084239,78805339.90235099
1968.0,2967016250.0,174182873.2973163,2239955.664581752,24813776738.381405,36452027.87627905,4235420.28514981,32216607.59112924,4489091780.095948,64912068.23987422,64912068.23987422,8686786479.22573,100164959.65659435,11638329.242769627,88526630.41382472,5821377127.363508,731362364.5228571,205618814.6535134,525743549.86934364,599899274.1655853,3116762454.8658886,876261936.0981212,2240500518.7677674,618252.2485535772,146245978.2084083,146245978.2084083,3098145353.090348,396379378.9887975,92852331.66445464
1969.0,2013097500.0,194728520.29762635,2510852.9996899636,28909467913.790306,43468285.231256284,5127448.014328444,38340837.21692784,4849501680.820087,73640725.11673053,73640725.11673053,9824160517.395748,116771262.82793222,13774147.66955604,102997115.15837619,6457454452.664097,853560274.6994114,242688579.38016742,610871695.3192439,691488725.2202924,3769626177.5239835,1071799202.6277899,2697826974.8961935,752530.6944039383,186057047.51400435,186057047.51400435,3709734395.221476,503447533.15437186,107910523.32646014
1970.0,2685697500.0,215010292.68271786,2778927.614908487,32938329126.939835,50774709.1962308,6069546.60912485,44705162.58710595,5193023677.986724,82686582.02969079,82686582.02969079,10927220219.205715,133957321.35421556,16013094.283822771,117944227.07039279,7029146943.398781,980924509.265316,281691892.6991402,699232616.5661758,697400021.1301612,4425502311.077633,1270870602.555915,3154631708.521718,813098.8444470799,229072348.66955727,229072348.66955727,4328272645.44464,625213912.7724755,123569592.06908597
1971.0,2572291250.0,235031061.10262784,3044131.580090009,37125832073.63769,58656469.844494395,7095581.013169322,51560888.83132507,5516390410.973632,91997701.71659504,91997701.71659504,12002933532.249317,151778124.2633015,18360361.262658242,133417763.00064325,7479152097.445142,1108796045.9536388,321266083.86099213,787529962.0926466,737262666.2556038,5119922577.714731,1483462609.9331012,3636459967.78163,894808.7072411294,276410339.96231616,276410339.96231616,4977376623.385157,762248530.6877288,139941735.63331005
1972.0,2431976250.0,254825407.48878548,3306853.6138423556,41629573696.4771,67331701.16887937,8232889.47899605,59098811.68988332,5785152398.12887,101189990.48857802,101189990.48857802,13116218170.48171,170819667.0293308,20886735.595229458,149932931.43410134,7924735523.931897,1247699373.5132442,364443603.7353233,883255769.7779208,806783157.9288133,5880540086.511723,1717661534.9287205,4162878551.583002,942806.1091621094,326287533.85315406,326287533.85315406,5682643588.826639,915295854.820504,157174409.4797874
1973.0,2366307500.0,274319157.86336344,3566049.6254220586,46409299814.82872,76788548.75427495,9481407.725928593,67307141.02834636,6036687964.207776,110592846.60129407,110592846.60129407,14295651879.192513,191374147.53605813,23629777.491925366,167744370.04413277,8393712806.459956,1395550420.471459,410645780.77200127,984904639.6994576,865479709.4218291,6696013359.495912,1970326255.3143885,4725687104.181523,1119939.3781562028,385535594.4749979,385535594.4749979,6441771696.029753,1085398352.9046204,175541859.58965695
1974.0,2384357500.0,293667424.129522,3823733.733841407,51049183024.11706,86554499.37325142,10783466.736458749,75771032.63679267,6292087706.748358,120395975.7448181,120395975.7448181,15394650344.87868,212149005.63119096,26430766.302874982,185718239.32831597,8805385424.31484,1544491147.3354583,457562526.5888192,1086928620.746639,883754414.960371,7527512398.5671625,2230059782.4462385,5297452616.120924,1177079.1423478457,447806515.33265,447806515.33265,7214072999.91014,1272866142.2331405,194417458.3814067
1975.0,2385711250.0,313101468.2063408,4082955.9231812134,54907258163.776924,95852376.08513595,12041047.662238713,83811328.42289723,6543536283.757585,130504132.86551514,130504132.86551514,16266187526.427862,231752578.1285144,29112933.378026914,202639644.7504875,8720934975.317513,1655011182.8277607,493387557.03129053,1161623625.7964702,812003811.8748385,8288974508.549823,2471087159.7135653,5817887348.836258,1165651.1895095173,509472864.1431405,509472864.1431405,7905938944.814769,1476975321.0448344,212845927.22720605
