Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,3800000.0,320498.6779171479,3501.3220828520784,1339707.3926557943,1637.2371335587466,139.16515635249345,1498.071977206253,0.0,0.0,0.0,480054.1274906668,4388.744953218717,373.0433210235909,4015.7016321951255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5513.773609401378,2918.4995127986144,2595.274096602764
1962.0,3800000.0,636807.6864208365,7090.991496311537,2391072.4041408226,3016.6360544628687,287.77865626824007,2728.857398194629,0.0,0.0,0.0,848908.2125234269,8068.474757323788,769.7099623143931,7298.764795009395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10027.622193204024,8138.461274702635,4807.6604313000025
1963.0,3800000.0,948628.4908499665,10679.195570869953,3920749.6696114587,5058.946196250898,513.3777335650067,4545.568462685891,0.0,0.0,0.0,1373994.430769198,13424.172225187242,1362.274047717733,12061.89817746951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16607.4666401554,16717.473337434807,8028.454577423229
1964.0,3800000.0,1255981.0844996548,14247.406350311801,6128719.708810851,8045.692662377343,851.1893518394351,7194.503310537908,1484170.392294426,15494.250497245239,15494.250497245239,2750558.11747002,26920.22621597097,2848.0095954066187,24072.21662056435,0.0,0.0,0.0,0.0,26812.271210170577,25987.728789829427,6819.958308462267,19167.77048136716,0.0,0.0,0.0,65928.74090971466,41013.351937433945,22465.091828348362
1965.0,3800000.0,1559190.6769708241,17790.407528830696,7874966.512269389,10636.488148104805,1160.883001799646,9475.605146305159,2952229.339795133,32230.031785387044,32230.031785387044,3942548.131555772,39641.90416766815,4326.57960657966,35315.32456108849,0.0,0.0,0.0,0.0,14230.67802542644,38981.59318474414,10464.7967234499,28516.796461294238,0.0,0.0,0.0,105537.75795407494,80680.77285804019,37353.54057217446
1966.0,3800000.0,1857990.9439825795,21299.732988244534,10664010.342277896,14644.567699708923,1638.3813972058301,13006.186302503093,4402914.731642194,50247.63109151719,50247.63109151719,5473504.042550921,56288.101992360804,6297.309765595974,49990.79222676483,0.0,0.0,0.0,0.0,13818.406815255863,51975.457579658854,14208.920949140242,37766.53663051861,0.0,0.0,0.0,151011.14625130373,138630.316670404,55295.065808421314
1967.0,3800000.0,2152418.726487083,24772.217495496945,14844279.401095498,20575.204223553475,2349.454839764522,18225.749383788952,6725429.155141516,78878.25515709443,78878.25515709443,7787449.392176735,81160.27152824013,9267.582020903723,71892.68950733641,0.0,0.0,0.0,0.0,27224.542420341153,77963.18636948828,21637.86953457997,56325.316834908306,0.0,0.0,0.0,225322.0108831281,224887.39105421264,82739.61966441115
1968.0,3800000.0,2442809.47213438,28209.25435270268,19139014.410779208,26975.503454140744,3134.327530955986,23841.175923184757,9315106.420884762,112697.37399991299,112697.37399991299,10189631.38210542,108439.81386736198,12599.797984643094,95840.01588271889,0.0,0.0,0.0,0.0,14230.67802542644,90957.05076440299,25572.11290843157,65384.93785597142,0.0,0.0,0.0,297763.50366178807,342980.7655170305,114285.19134299882
1969.0,3800000.0,2728903.6324740653,31605.83966031465,22710530.377749987,32843.57873277704,3874.174968276072,28969.403764500967,11234841.657719685,142271.20355800889,142271.20355800889,12030894.4632117,132296.10990644142,15605.433304633623,116690.67660180779,0.0,0.0,0.0,0.0,13818.406815255863,103950.9151593177,29555.8505627119,74395.0645966058,0.0,0.0,0.0,362326.34852092346,488343.7726210145,142568.27682033362
1970.0,3800000.0,3011039.158967267,34964.473506798386,25475077.571398105,38040.43162079472,4547.3066494840705,33493.12497131065,13027767.324266804,172733.99820895368,172733.99820895368,13583319.151937827,154903.5871035051,18516.98526153547,136386.60184196962,0.0,0.0,0.0,0.0,13818.406815255863,116944.7795542324,33583.008664538655,83361.77088969375,0.0,0.0,0.0,425975.49591192766,660319.0695708117,170638.42807243677
