Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,587200.0,0.0,0.0,1254490.8280704261,2465.5710750394483,147.9342645023669,2317.636810537081,0.0,0.0,0.0,708144.630487527,8774.651677590766,482.6058422674921,8292.045835323273,46867.14340738957,3316.456197586391,497.46842963795865,2818.9877679484325,29275.41496923735,24609.591657035442,3691.438748555316,20918.152908480126,0.0,0.0,0.0,34346.82332228891,21356.75499791183,12990.06832437708
1962,583200.0,0.0,0.0,2506557.079668998,5090.1307761209255,340.68994452875177,4749.440831592174,0.0,0.0,0.0,1447212.3379906944,18653.857302046945,1155.2608375673958,17498.59646447955,90251.09052570662,6955.994386690903,1139.8297159461476,5816.164670744756,37826.244907712055,38737.27558671072,6347.604005116651,32389.67158159407,0.0,0.0,0.0,60453.87354841055,55124.28878207688,26686.339764245502
1963,579200.0,0.0,0.0,3755916.3732978483,7880.702735286701,559.4205328004656,7321.282202486235,0.0,0.0,0.0,2176075.159079536,29185.82044341344,1925.8591343276885,27259.96130908575,82996.4645268502,7528.945572694218,1294.769678441637,6234.175894252581,68129.42304783226,66019.6930621629,11353.554881168211,54666.13818099469,0.0,0.0,0.0,95481.55758681925,106275.72424739006,44330.12212150608
1964,575400.0,0.0,0.0,5002399.034896577,10844.624585016652,801.0158942077064,10043.608690808946,0.0,0.0,0.0,2894076.7867916925,40376.9914271198,2780.478483835612,37596.512943284186,75248.31743507969,7936.896843529079,1410.592033308854,6526.304810220225,76726.3439909999,80314.02628289911,14273.88157753122,66040.14470536789,0.0,0.0,0.0,120206.57114968124,166129.7113678871,60352.58402918418
1965,571400.0,0.0,0.0,6399016.267508164,14290.384233224095,1087.4179156754594,13202.966317548635,0.0,0.0,0.0,3828053.677493455,55048.71062327586,3913.6539033573117,51135.056719918546,67188.08574642258,8149.088069445281,1484.6722362313849,6664.415833213896,77754.85448224144,82990.2763824118,15119.895400826526,67870.38098158527,0.0,0.0,0.0,138872.81985226634,230492.36717024454,74510.1640499089
1966,567600.0,0.0,0.0,9807945.432601366,21905.72348251247,1706.8412837515789,20198.88219876089,0.0,0.0,0.0,5689747.1209430145,82258.2419636425,5998.073147604428,76260.16881603807,59021.05713308162,8149.088069445281,1514.387324696831,6634.70074474845,77800.963216512,83156.94886174926,15453.487340365435,67703.46152138383,0.0,0.0,0.0,170797.21328093123,307394.6020981134,93894.9783530624
1967,563800.0,0.0,0.0,13209025.369822945,29992.166299748293,2383.150585933247,27609.015713815046,0.0,0.0,0.0,7523400.434243076,111130.39816547216,8274.66959568847,102855.72856978369,50960.82544442452,7936.896843529079,1499.424288925928,6437.472554603151,77801.72423262043,83160.37319459405,15710.508263160868,67449.86493143319,0.0,0.0,0.0,204352.0817696351,398278.032120839,113468.65174690948
1968,560000.0,0.0,0.0,16620010.237040728,38605.60018625845,3119.1168988633935,35486.48328739506,0.0,0.0,0.0,9503766.989014294,143854.54510467197,10903.371151258063,132951.1739534139,43212.67835265401,7528.945572694218,1442.4618796822695,6086.483693011948,77801.75565036394,83160.39638290866,15932.603114659934,67227.79326824873,0.0,0.0,0.0,241751.93420206965,505563.74703476834,134466.21928814024
1969,556200.0,0.0,0.0,20022006.768229663,47732.451329106145,3912.7362317145376,43819.71509739161,0.0,0.0,0.0,11410502.180193853,177893.26315791492,13692.843973216426,164200.4191846985,35958.05235379759,6955.994386690903,1349.0767945286361,5606.917592162267,77801.78303427478,83160.39643465751,16128.500803343682,67031.89563131382,0.0,0.0,0.0,280658.9475055662,630204.2944868658,156018.4000534688
1970,552600.0,0.0,0.0,23153528.3679747,56880.1959211918,4722.526667418678,52157.66925377312,0.0,0.0,0.0,13193262.84329191,212587.92071063688,16587.35341087416,196000.56729976274,216810.57310167293,19525.125993689857,3827.934180091495,15697.191813598361,136352.64034907648,132379.57974876644,25953.241901241487,106426.33784752495,0.0,0.0,0.0,370281.76621465915,805660.6181702794,194825.44253124547
