Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,183272562.5,1947446.6450460781,22353.35495392182,7627108.103417103,9320.979101135437,792.2832235965122,8528.695877538925,0.0,0.0,0.0,2270732.2220987095,20759.46025490758,1764.5541216671443,18994.906133240434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27523.60201077936,14545.37720400179,12978.224806777569
1962.0,184229400.0,3931274.3268020847,45972.31824399346,18604090.189516805,23274.02300908226,2220.276807207482,21053.746201874776,0.0,0.0,0.0,6379335.008715648,59776.05856883431,5702.469075280522,54073.589493553794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75127.33569542857,53868.946930467966,35803.76596896238
1963.0,185191362.5,5952507.143364676,70367.18343740767,40704091.70276636,51618.77114018546,5238.230791424082,46380.54034876138,0.0,0.0,0.0,10996399.283527166,106127.25325611382,10769.707095616064,95357.54616049776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141738.08650925913,127279.55914848825,68327.47429123888
1964.0,186158450.0,8012259.179667706,95447.96369697095,50933514.44315346,67074.81478658508,7096.140819536791,59978.673967048286,0.0,0.0,0.0,14117999.016929004,141913.19199511525,15013.623187055087,126899.56880806017,0.0,0.0,0.0,0.0,26812.271210170577,25987.728789829427,6819.958308462267,19167.77048136716,0.0,0.0,0.0,206046.01325647562,222937.57322699128,91220.22869660541
1965.0,187130662.5,10111678.239633681,121180.94003402407,79514733.1804047,105809.08717520957,11548.16975559022,94260.91741961935,0.0,0.0,0.0,17934368.536810584,186301.31073091915,20333.217301525736,165968.09342939343,0.0,0.0,0.0,0.0,27636.813630511726,51975.457579658854,13953.0622979332,38022.39528172565,0.0,0.0,0.0,298251.40613073844,355363.15572278877,127803.42835321525
1966.0,188108000.0,12252517.7549593,147560.4846743804,95287063.39302902,131070.44240586714,14663.68819924805,116406.7542066191,0.0,0.0,0.0,22360493.931714453,239020.75822817645,26740.78005285607,212279.97817532037,0.0,0.0,0.0,0.0,121479.76286610874,168920.2371338913,46178.99308470579,122741.24404918551,0.0,0.0,0.0,451427.97643112496,521727.2921959593,162322.59590876894
1967.0,189089950.0,14435934.111727528,174583.64323177136,112515505.79515815,159480.7461502701,18210.89146046383,141269.85468980626,0.0,0.0,0.0,27403090.99707173,300596.24618475663,34324.68021898703,266271.5659657696,0.0,0.0,0.0,0.0,110959.52573221749,272871.152293209,75732.54337102991,197138.6089221791,0.0,0.0,0.0,604680.0295777549,727183.1743335081,202085.5385180271
1968.0,190077537.5,16663081.124931438,202252.98679609052,136997839.02952018,198282.82930086693,23038.803774324206,175244.0255265427,0.0,0.0,0.0,35552436.45962224,394270.2057971698,45810.89516147883,348459.310635691,0.0,0.0,0.0,0.0,56922.71210170576,324846.6098728678,91328.97467296988,233517.63519989792,0.0,0.0,0.0,757220.9713621316,991059.7563417591,259826.75415398268
1969.0,191070250.0,18935699.283728123,230581.84120331725,155279625.2254129,231606.26182498893,27319.89681632656,204286.36500866237,0.0,0.0,0.0,42112162.81300703,479186.2747203525,56524.03125029613,422662.24347005633,0.0,0.0,0.0,0.0,175928.84770679104,493766.84700675914,140390.29017288156,353376.5568338776,0.0,0.0,0.0,980325.1653125962,1305623.5033312128,312384.8614892651
1970.0,192067575.0,21255513.593921524,259585.68980659824,185322269.78168562,281047.59186039306,33596.085239727654,247451.5066206654,0.0,0.0,0.0,52211993.3149523,601375.496676354,71887.69102657304,529487.8056497809,68664.00848017917,6135.991519820838,1762.0714422751769,4373.920077545661,45577.93254747334,532748.4401915033,152989.26169400944,379759.17849749385,0.0,0.0,0.0,1161072.4108454857,1695160.0223760612,387402.79322559794
1971.0,190716112.5,23570309.00471476,288604.5892067613,223717551.87981465,343337.42461856746,41532.98890459268,301804.43571397476,0.0,0.0,0.0,59595802.91924004,706014.347820212,85405.44657220668,620608.9012480053,131192.0254405375,12271.983039641676,3555.7232971220783,8716.259742519598,41455.22044576758,571730.0333762474,165654.87360709914,406075.1597691482,0.0,0.0,0.0,1337204.756473648,2155910.74472347,461662.6146145712
1972.0,190233850.0,25901410.318195365,317898.68651939667,259016681.16173017,405177.13551325095,49542.466894310295,355634.66861894063,0.0,0.0,0.0,67512677.33184776,821240.5441233959,100416.0375880048,720824.5065353911,256248.05936125416,24543.966079283353,7169.107909948478,17374.858169334875,41455.22044576758,610711.6265609915,178384.27328871796,432327.35327227355,0.0,0.0,0.0,1526161.3865959402,2691921.360315209,540448.5595625932
1973.0,191761612.5,28278769.68782802,347840.63036734593,305837448.9345286,484343.4543976589,59803.94010602065,424539.5142916382,0.0,0.0,0.0,76942447.60464251,956447.2687926026,118096.59996040264,838350.6688321999,369032.1102423291,36815.949118925026,10833.22676775506,25982.722351169963,14642.949235597014,623705.4909559062,183527.60641843866,440177.88453746756,0.0,0.0,0.0,1729050.7900124758,3319565.004879004,635246.5385600433
1974.0,184004925.0,30494961.406389024,375808.2814389962,346389876.2047174,560032.0391922627,69772.07319908815,490259.9659931745,0.0,0.0,0.0,85319647.30231054,1089241.2554351669,135704.05849512175,953537.1969400451,469544.1780837624,49087.932158566706,14542.523148963002,34545.4090096037,13818.406815255863,636699.3553508209,188625.07966743186,448074.27568338905,0.0,0.0,0.0,1926416.8476262125,4035001.2170405085,728360.9507717148
1975.0,182436162.5,32686448.447937552,403512.95845147065,384541209.7685848,636687.7870865541,79981.19925024307,556706.5878363111,0.0,0.0,0.0,95313923.13983245,1243465.038410057,156205.0144748037,1087260.0239352533,9072121.31442777,822222.8636559922,245118.9056870083,577103.9579689839,13818.406815255863,649693.2197457356,193684.82451124446,456008.3952344912,0.0,0.0,0.0,2677078.9649750395,4847910.812709639,831057.0161024339
