Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1492925000.0,30260157.28620472,372842.71379527944,50280827.53353335,61447.4760647338,5223.035465502373,56224.44059923143,81629371.57619342,852183.7773484881,852183.7773484881,49176084.42822249,449576.9955808056,38214.04462436848,411362.9509564371,5048824.15295435,451175.84704564983,101514.56558527121,349661.2814603786,558588.9835452203,541411.0164547798,121817.47870232545,419593.53775245434,0.0,0.0,0.0,2089025.9881169894,695164.8196733512,624606.3492308054
1962.0,1541612500.0,62351148.13379076,782109.1524139649,96794812.10765186,121839.77969868877,11623.17477106141,110216.60492762736,171277636.0424989,1865617.251179759,1865617.251179759,100206983.88665684,947620.8221575205,90400.38040016498,857220.4417573555,10013659.669987004,935164.4829673469,227913.58753532567,707250.8954320212,347253.27554897993,861335.7079962406,209920.4095720105,651415.2984242301,0.0,0.0,0.0,4191720.491720993,2167368.8504325375,1360850.267105556
1963.0,1589587500.0,96405941.06185436,1222207.0719364013,146655388.36627582,189761.18509460642,19256.81028089892,170504.3748137075,243547811.96385282,2786563.1452760706,2786563.1452760706,145369525.293455,1425872.816395923,144696.410366209,1281176.406029714,16789426.620622665,1624233.0493643393,413631.3005746749,1210601.7487896644,873424.5005778736,1698061.8243354456,432432.72332806926,1265629.1010073763,0.0,0.0,0.0,6714474.775916533,4345233.544792148,2060379.2317598814
1964.0,1634237500.0,132568676.42666325,1693664.6351911095,170995453.99544182,230318.57984260013,24366.419514075078,205952.16032852506,337720170.28050816,4012560.6617985237,4012560.6617985237,190598503.7053521,1935984.110551157,204816.30723197,1731167.8033191871,31596821.26905521,3092605.351567454,811592.2608239504,2281013.0907435035,1270677.7761268534,2903931.8155301823,762078.6746198367,2141853.1409103456,0.0,0.0,0.0,10372546.857100084,7381342.180243708,2913571.989994676
1965.0,1673425000.0,170995482.1797739,2197994.2468893607,236301440.29877582,323125.6481839342,35266.44012564041,287859.2080582938,430623241.9235539,5325436.5422485,5325436.5422485,248755852.79462683,2596540.2123448728,283390.4719329271,2313149.7404119456,50076464.57101998,5020356.698035231,1347738.971959457,3672617.726075774,3364403.5105388844,6127788.322601825,1645034.3334211018,4482753.989180723,0.0,0.0,0.0,16081817.205975235,11404579.14796744,3903208.5229950068
1966.0,1707625000.0,211853716.85779598,2737165.3219779204,297357270.917491,415901.64772112964,46529.57578987429,369372.07193125534,498422598.54945403,6478852.183357494,6478852.183357494,294285274.38699996,3183080.92189303,356111.6091077226,2826969.3127853074,75257255.98792987,7719208.583090118,2110257.9881851277,5608950.594904991,2590547.0034672413,8539528.304991297,2334514.947609689,6205013.357381608,0.0,0.0,0.0,21489157.520360656,16282640.191249859,4797132.524791638
1967.0,1738262500.0,255323446.70847479,3313470.149321185,313574737.37872094,458959.8338205764,52408.00485435199,406551.8289662244,570970401.2625048,7763906.786852591,7763906.786852591,324902986.3082291,3667767.928880989,418817.47651272063,3248950.4523682683,84336862.31376058,9220393.67416928,2559024.1326670763,6661369.541502204,1726896.5775137502,10139151.762698602,2814015.8611890622,7325135.90150954,0.0,0.0,0.0,25405914.511198826,22007106.01740988,5694943.242027061
1968.0,1768187500.0,301598075.91946584,3929470.7890088866,336171487.9134228,511934.82706148014,59482.53849059068,452452.28857088945,644570544.0393641,9148280.59723317,9148280.59723317,357901438.2256686,4199882.03079012,487991.11009185493,3711890.9206982655,88610598.64839657,10426263.665364016,2931291.081044059,7494972.584319957,2589793.918881849,12600110.928402146,3542457.199436408,9057653.728965739,0.0,0.0,0.0,29865250.11978802,28651519.1831256,6668210.640786605
1969.0,1801200000.0,350885589.2255208,4587986.693945065,379267212.3232214,592602.5354367937,69902.42834392969,522700.107092864,732183587.13272,10769888.653428301,10769888.653428301,406291751.8158492,4900206.1638136245,578020.3251813441,4322185.83863228,88832764.10562716,11377834.542769387,3235003.529867536,8142831.012901852,3074149.8530627303,15504042.74393233,4408187.939040838,11095854.804891491,0.0,0.0,0.0,34853460.41694679,36424796.191433705,7841497.590845339
1970.0,1840625000.0,403408312.6710381,5292076.554482704,416295856.49069506,670033.9092280617,80095.03365222116,589938.8755758405,826442255.2535223,12566388.435615767,12566388.435615767,454032222.0129916,5632232.704056349,673270.2058142951,4958962.498242053,87736171.47432847,12296592.631298712,3531210.0160033293,8765382.615295382,4662409.870673257,19933769.24219871,5724376.476909999,14209392.76528871,0.0,0.0,0.0,41090065.19001775,45419600.67951872,9120485.32134864
