Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1379922500.0,0.0,0.0,157274236.70800906,192202.58237137145,16337.219501566575,175865.36286980487,6002644.697724123,62665.63534441408,62665.63534441408,58772402.98753331,537308.3413496704,45671.20901472199,491637.13233494846,33665559.45189961,3008440.5481003933,676899.1233225885,2331541.424777805,9491544.008400384,9199655.991599618,2069922.598109914,7129733.393489704,0.0,0.0,0.0,10191442.948816676,386241.7764038548,343926.3541453126
1962.0,1208747500.0,0.0,0.0,340014072.77475417,426624.881814725,40698.82246405057,385926.05935067445,39219903.34798908,415144.45530901826,415144.45530901826,138808357.36790496,1306670.7028329135,124652.73644463139,1182017.9663882821,64532709.440461725,6035650.011437885,1470978.2848569432,4564671.726580942,8550067.549533304,17203876.45886708,4192842.3017235575,13011034.157143522,0.0,0.0,0.0,19558794.36477244,1422847.0011332426,946483.2563185869
1963.0,1209032500.0,474756.2580408647,5243.741959135306,551934934.8317318,710095.2007813061,72059.88177194989,638035.3190093562,70358935.77444124,777756.5832264547,777756.5832264547,224960535.81243858,2184617.909035651,221693.2434816953,1962924.6655539558,97233657.86015078,9497251.58031093,2418594.132526919,7078657.44778401,9812533.751890885,26468501.77244127,6740535.674164902,19727966.09827637,0.0,0.0,0.0,30185340.113850147,3170431.940662041,1631131.628260969
1964.0,1132557500.0,647542.4118936874,7213.846147177232,770696640.78898,1017952.8044900896,107693.72187291947,910259.0826171702,149446925.2934129,1672321.1078394093,1672321.1078394093,333573636.2054796,3326323.912718672,351906.4938329893,2974417.4188856827,129568943.68155843,13235514.178592365,3473395.2943355157,9762118.884256849,10643486.05997746,36499765.08531543,9578631.444235254,26921133.641080175,0.0,0.0,0.0,42240250.13467929,6029565.057852498,2697864.4921518047
1965.0,1133127500.0,759049.3365829107,8493.075310776712,1040721224.8015785,1405653.6066355356,153415.23965805492,1252238.3669774807,229256915.54310215,2652700.723435504,2652700.723435504,461186562.713016,4716421.804852811,514757.6743689036,4201664.130483907,164305337.0746771,17522406.606881313,4703974.57532371,12818432.031557603,12517856.774879295,48324181.684687816,12972859.671503393,35351322.01318442,0.0,0.0,0.0,56276357.26563891,10176372.674175218,3959795.604574171
1966.0,1171582500.0,869286.6332067157,9762.703376195042,1346009769.3557773,1857984.6688164882,207864.62120988892,1650120.0476065993,260499381.75589758,3208499.3850512225,3208499.3850512225,574401974.6373017,6064064.520500661,678425.6596418103,5385638.86085885,190186661.94591373,21401075.128763355,5850572.537339569,15550502.591423787,15296195.72971515,62786352.756227896,17164376.506561413,45621976.24966648,0.0,0.0,0.0,71416737.13460694,15374909.936703272,5045721.030988617
1967.0,1118332500.0,978264.5735282829,11022.059678432786,1623043018.4574833,2300704.492560131,262714.34519835986,2037990.1473617712,306617472.0129474,3959217.0592511245,3959217.0592511245,683307190.8398188,7454852.522265662,851259.5621343916,6603592.960131271,215721475.67267525,25595386.273238532,7103732.60326699,18491653.66997154,15889319.938373018,77742290.67477474,21576562.23756533,56165728.437209405,0.0,0.0,0.0,87258182.27392513,21732746.7039797,6242963.39946774
1968.0,1424930000.0,1797674.5129108247,20590.060617458133,1927993552.5296192,2801490.284113322,325509.7032805977,2475980.5808327245,358612641.28731906,4825842.552177726,4825842.552177726,804952450.7651831,9043984.097341744,1050835.1917886117,7993148.905553132,243587078.5902397,30372797.08243551,8539157.65528416,21833639.427151352,16977477.092766322,93737737.74491476,26353888.931632195,67383848.81328256,0.0,0.0,0.0,104512460.2789975,29417734.059113428,7609984.68342985
1969.0,1090047500.0,2370324.232640648,27350.28027017688,2244518589.779362,3343294.2203380787,394369.53218163113,2948924.6881564474,381550488.3180944,5450558.145218036,5450558.145218036,913500001.6617811,10605202.437742548,1250972.3788656255,9354230.058876922,263205718.74069703,34840159.849542715,9905930.664640034,24934229.184902683,18860505.503081735,111526338.101553,31709733.172469538,79816604.92908345,0.0,0.0,0.0,122504547.00623754,38292424.16561864,8879022.785746187
1970.0,1229797500.0,2995544.431557336,34779.80108331187,2575784440.730563,3931859.984931069,470009.731554772,3461850.2533762967,398998574.8294278,6053144.871104865,6053144.871104865,1017626756.8148268,12211334.047407592,1459727.930176616,10751606.117230976,273938265.22538143,38912653.51531557,11174538.83060262,27738114.68471295,17255038.1150547,127703699.2732218,36672645.46167622,91031053.81154558,0.0,0.0,0.0,139035769.73797068,48378630.255646884,10180395.151683904
1971.0,1156440000.0,3435511.7952708597,40032.63628647624,2923417037.5310917,4571325.137269723,552986.020724178,4018339.1165455454,414857343.9727596,6668840.676335957,6668840.676335957,1118066316.4259794,13867608.299310455,1677542.7912304285,12190065.508080026,300452314.1433707,44759351.08201074,12968716.375525475,31790634.706485264,19161212.283336002,145778164.64654818,42238227.88631921,103539936.76022896,0.0,0.0,0.0,158207816.76767576,59720589.111071706,11535286.445536703
1972.0,952572500.0,3988848.3930958165,46663.402175043164,3328317854.469161,5314002.363328112,649762.1980272372,4664240.165300875,427042643.529171,7273638.418249261,7273638.418249261,1231388856.9084845,15724169.622021733,1922650.8227141914,13801518.799307542,329460322.99534535,51351391.14802532,14999355.168474702,36352035.979550615,24771544.020526215,169232089.87936923,49431420.751324736,119800669.12804449,0.0,0.0,0.0,181892102.49045277,72443638.11765647,13016348.376272924
1973.0,955567500.0,4832036.3560454715,56812.037050344785,3743902680.881869,6108242.706171296,754210.6280907579,5354032.078080538,437998514.01836854,7888543.861136981,7888543.861136981,1338551403.507739,17615871.247827914,2175106.3206389933,15440764.92718892,358076422.1950534,58279827.92559714,17149051.077409048,41130776.84818809,35479446.887133874,202899192.52659327,59703824.46299834,143195368.06359494,0.0,0.0,0.0,213009485.77818948,86580357.54592562,14546621.438137274
1974.0,1048172500.0,5665152.236432293,66884.11961317853,4083273525.1187987,6850037.156213605,853417.7697567921,5996619.386456813,474756208.73647946,8793198.923074262,8793198.923074262,1430235522.148427,19454326.234610107,2423733.9635744723,17030592.271035634,384627512.58470875,65372673.18183239,19366951.73847284,46005721.44335955,34972311.650812656,235760675.58133256,69845172.35685477,165915503.2244778,0.0,0.0,0.0,243741635.24840406,102222907.422784,16177860.703708343
1975.0,892077500.0,5954757.755939835,70394.4804924588,4421005580.7029085,7626629.822879845,958062.9813285151,6668566.84155133,511070114.4839952,9736491.516747693,9736491.516747693,1521586480.5786257,21368417.48811696,2684316.695628909,18684100.792488053,407393981.0152872,72459201.976209,21601345.669698246,50857856.306510754,34759064.93731088,268440244.5345431,80026695.791556,188413548.7429871,0.0,0.0,0.0,274360564.2002849,119430812.83872744,17881253.734843623
1976.0,1033300000.0,6003768.7697860915,70988.9861537428,4823392122.249934,8520185.2046543,1078560.283542897,7441624.921111403,541686363.6736441,10662560.963310152,10662560.963310152,1634303685.7006857,23556019.256467547,2981928.9367699176,20574090.31969763,430515840.77246916,79881405.60078758,23953229.93588315,55928175.66490443,49050936.76319195,314977769.86493015,94449201.15667033,220528568.70825982,0.0,0.0,0.0,315135020.5772834,138363780.09552267,19745308.947323967
1977.0,1061037500.0,6052192.283573176,71576.4862129156,5239409673.900026,9474178.751117665,1207940.7387696079,8266238.012348058,580668864.3676488,11712006.653394029,11712006.653394029,1752489259.125387,25884924.261254143,3300281.2546096477,22584643.006644495,439549033.9535834,86334122.56523447,26029458.25585635,60304664.30937812,37183791.52337058,349586927.6807855,105399326.13532278,244187601.5454627,0.0,0.0,0.0,347055153.5272274,159164539.5022041,21762128.265705165
