Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,17425000.0,1156312.5424847358,13087.45751526417,6943695.5255151335,8485.79042022197,721.2921857188676,7764.498234503103,91704.83724746047,957.3683234070229,957.3683234070229,2851703.651651874,26070.81012860549,2216.018860931467,23854.791267674023,0.0,0.0,0.0,0.0,509433.1529932409,493766.84700675914,111097.54057652081,382669.3064302383,0.0,0.0,0.0,415245.9642558224,17255.81246996279,15320.845355621357
1962.0,16912500.0,2257102.6050694953,26009.93741524082,14565600.667329203,18290.41579663899,1744.8545948249553,16545.561201814035,151845.89150648075,1672.3263439776715,1672.3263439776715,5952228.338412231,56243.628869842636,5365.485145570495,50878.143724272144,0.0,0.0,0.0,0.0,471474.91655938164,935558.2364338594,228009.55115113003,707548.6852827294,0.0,0.0,0.0,776644.7165527933,53334.86931992634,33016.97442010029
1963.0,16400000.0,3304634.449575356,38468.155494139064,22819641.022153623,29427.092519373728,2986.237346070128,26440.8551733036,302950.1296566719,3398.2836277908996,3398.2836277908996,9301962.152818922,90748.67945024552,9209.101969637512,81539.577480608,0.0,0.0,0.0,0.0,469825.83171869937,1377349.6258609598,350759.34288732434,1026590.2829736355,0.0,0.0,0.0,1137968.999255338,110914.72426652358,53798.86133510525
1964.0,15887500.0,4300624.333619017,50410.115956338945,33352467.002791617,43977.06420254743,4652.527799055515,39324.53640349192,452262.901781808,5255.895932766212,5255.895932766212,13545099.310314659,135705.25603507826,14356.858231218052,121348.3978038602,0.0,0.0,0.0,0.0,2453933.901271322,3742232.945735438,982073.9964185666,2760158.9493168714,0.0,0.0,0.0,2926087.77945699,196148.16436708067,80695.39003956126
1965.0,15375000.0,5246802.998518169,61821.33510084864,41957970.186269484,56987.71565867843,6219.72868284904,50767.98697582939,599650.7407320912,7248.684395844433,7248.684395844433,16886370.28327035,175345.69002478357,19137.503671723673,156208.1863530599,0.0,0.0,0.0,0.0,2514950.0403765673,6107116.265609916,1639484.8200071512,4467631.445602765,0.0,0.0,0.0,4681856.303327499,305270.9161912557,105102.1059005587
1966.0,12812500.0,6145494.188503398,72708.8100147712,52736192.14505435,73368.11448600653,8208.159939356208,65159.95454665032,897818.3760173931,10975.126339715207,10975.126339715207,21111640.93142689,225508.12236804664,25229.035105895764,200279.08726215086,0.0,0.0,0.0,0.0,2729448.210057932,8679901.41580303,2372889.798506421,6307011.617296609,0.0,0.0,0.0,6583425.785445126,445424.65513922524,136260.42920054685
1967.0,9737500.0,6998414.816420978,83079.37208241974,64291504.53869683,91595.17502232292,10459.129587103987,81136.04543521893,1222694.3493176186,15288.71488894942,15288.71488894942,25663597.627629727,281726.1568952701,32169.930155450795,249556.2267398193,0.0,0.0,0.0,0.0,3057791.8039427074,11564539.311474096,3209617.3142960295,8354921.9971780665,0.0,0.0,0.0,8700902.984242056,620111.0741926533,171294.5680105596
1968.0,7687500.0,7807863.761120598,92951.05530038013,72864358.44096003,107165.7202925443,12451.758984171642,94713.96130837266,1543107.6710164645,19901.372660478723,19901.372660478723,28855105.339672588,328862.52894966997,38211.07102371942,290651.4579259505,0.0,0.0,0.0,0.0,5775725.705214029,17073937.814917937,4800250.908811298,12273686.90610664,0.0,0.0,0.0,12678953.698001442,823467.9752102895,201909.89087716566
1969.0,7687500.0,8574933.960663896,102329.80045670316,81432818.98703665,123548.29067572475,14573.554818845332,108974.73585687942,1858756.708645979,24817.95491888621,24817.95491888621,31939872.021112077,377585.4167064895,44539.359784520166,333046.05692196934,0.0,0.0,0.0,0.0,3258214.18228194,20062526.62574832,5704279.158603399,14358247.467144921,0.0,0.0,0.0,14825086.214842657,1056567.1101067967,233739.6128012279
1970.0,7687500.0,9301303.54473813,111230.41592576492,91841952.529691,143028.32939080935,17097.431485185592,125930.89790562376,2169335.8131533368,30041.614987428205,30041.614987428205,35677393.949783884,434808.15008116886,51976.434227237616,382831.71585393127,0.0,0.0,0.0,0.0,2749237.2281461195,22635311.775941435,6500177.899291817,16135133.876649618,0.0,0.0,0.0,16673938.105396602,1324727.8908007625,270643.4480530174
1971.0,7687500.0,10014714.301561344,119989.24317678568,101172949.43247047,162200.01166787598,19621.080610163062,142578.9310577129,2474537.092341708,35573.66359999476,35573.66359999476,38888123.81763255,490193.89488177735,59297.9854143256,430895.90946745174,1399534.0551989458,125065.94480105414,36237.00360155295,88828.94119950119,2736044.549420661,25208096.92613455,7303873.972676646,17904222.953457903,0.0,0.0,0.0,18602100.398782562,1626708.1326339277,307068.26229199395
1972.0,7687500.0,10708195.907718793,128518.39384255256,110590502.7838613,182448.0328849068,22308.577747563748,160139.45513734306,2774052.31738666,41413.44391361813,41413.44391361813,42042384.165337265,547741.3772419689,66974.30992565645,480767.06731631246,1674334.9833118764,160799.07188706961,46968.199615912454,113830.87227115716,2736044.549420661,27780882.076327663,8114586.729601682,19666295.34672598,0.0,0.0,0.0,20462446.185364414,1963895.5906216397,345132.5083795616
1973.0,7687500.0,11335154.610592157,136241.29712663556,120579938.4011775,204406.12144531152,25238.890570786833,179167.23087452468,3067574.9452439747,47558.225203050344,47558.225203050344,45411233.96647902,609908.1660457861,75307.94749303708,534600.218552749,1513535.9114248068,160799.07188706961,47315.71102975373,113483.36085731589,2736044.549420661,30353667.226520777,8931676.84569735,21421990.380823426,0.0,0.0,0.0,22296799.416311067,2339097.830467032,386123.43478493183
1974.0,7687500.0,11918912.949619427,143441.6609727301,130546889.20194031,227423.36538708291,28333.735548160304,199089.6298389226,3354802.236832971,54003.118066642666,54003.118066642666,48716801.32991546,674297.5431415254,84007.93927056772,590289.6038709576,1352736.839537737,160799.07188706961,47637.45634458101,113161.61554248861,2736044.549420661,32926452.37671389,9754611.262801478,23171841.11391241,0.0,0.0,0.0,24128385.081231423,2753648.398558835,428831.7836847196
1975.0,7687500.0,12474213.763883598,150299.1857358284,140490278.9138328,251534.0150954745,31597.892385565527,219936.12270990896,3635437.4481782396,60741.01370402775,60741.01370402775,51956891.627654254,740851.755619725,93066.35541457045,647785.4002051546,1191937.7676506676,160799.07188706961,47936.994066533014,112862.0778205366,2736044.549420661,35499237.526907004,10582938.8112944,24916298.715612605,0.0,0.0,0.0,25957623.33005223,3208880.5726887314,473230.3624891952
1976.0,7687500.0,13007323.930797938,156889.83308566047,153625635.6242973,280703.3937151921,35533.914421428955,245169.47929376314,3634077.557555065,64890.44451354187,64890.44451354187,55966633.96920677,817156.4578011153,103442.88060116651,713713.5771999488,1031138.6957635978,160799.07188706961,48217.192892629915,112581.8789944397,2736044.549420661,38072022.677100115,11416272.74144692,26655749.935653195,0.0,0.0,0.0,27792105.315654885,3709949.436718541,522704.6369774439
1977.0,7687500.0,13517915.533537446,163208.39726049243,161562428.96696422,304940.25646371295,38879.333855709345,266060.9226080036,3628545.5718377475,69081.75525297207,69081.75525297207,57769711.557698384,876477.2395308252,111749.27052212448,764727.9690087007,870339.6238765283,160799.07188706961,48480.399231512776,112318.67265555685,3165040.8887833897,41060611.4879305,12379641.339117603,28680970.148812898,0.0,0.0,0.0,29893159.46833813,4246298.528899386,563521.5546888321
1978.0,7687500.0,13983144.759376543,168970.77416090373,169474452.34789228,330248.0970079911,42389.184836042,287858.9121719491,3618810.171205759,73293.61818037902,73293.61818037902,59512848.89240973,937017.9515174524,120271.47923459989,816746.4722828525,709540.5519894587,160799.07188706961,48728.556768704795,112070.51511836483,3178233.5675088484,44049200.29876088,13348671.308760343,30700528.99000054,0.0,0.0,0.0,31990498.507754084,4818982.9803233035,605214.5512112624
1979.0,7687500.0,14410081.70672831,174263.0526482331,178016965.25706667,357457.54568452144,46171.570346844426,311285.975337677,3788271.625895251,79418.30223091149,79418.30223091149,61572906.219352126,1002116.2227035479,129439.92994655205,872676.2927569959,548741.4801023891,160799.07188706961,48963.29366169867,111835.77822537094,3178233.5675088484,47037789.10959127,14322999.842856498,32714789.26673477,0.0,0.0,0.0,34090005.615285724,5431865.32272719,650498.2279216988
1980.0,7687500.0,14809266.862491958,179214.8442363517,186531684.7238117,385839.9589322472,50134.4947702422,335705.464162005,3951542.793403515,85671.11531570453,85671.11531570453,63567262.396142915,1068399.377672452,138823.52455323387,929575.8531192181,387942.4082153195,160799.07188706961,49185.987343250476,111613.08454381913,3178233.5675088484,50026377.92042165,15302307.173455702,34724070.74696595,0.0,0.0,0.0,36186636.2641067,6085846.725305443,696971.0300186742
1981.0,7687500.0,15227855.971735613,184410.8907563436,200263211.87332207,421835.78737388575,55120.36972219812,366715.41765168763,4016800.140841852,91075.62645916243,91075.62645916243,67851392.02245364,1157282.7364634094,151219.631468682,1006063.1049947274,227143.33632824983,160799.07188706961,49397.81349737336,111401.25838969625,2481114.5160444137,52339285.78271647,16078738.809488473,36260546.97322799,0.0,0.0,0.0,37835802.38072327,6794171.475439736,755529.3989712845
1982.0,7687500.0,15676867.461848127,189988.50988748617,213957949.92161822,459425.5251919817,60352.726679191284,399072.7985127904,4076644.9337854097,96492.3448467118,96492.3448467118,72045516.01455455,1248392.5279612287,163995.87941245644,1084396.6485487723,66344.26444118025,160799.07188706961,49599.783631506456,111199.28825556315,2459676.413115544,54652193.64501129,16857914.339726556,37794279.30528474,0.0,0.0,0.0,39485440.38544858,7557968.50297996,816164.7643680503
1983.0,7687500.0,16171924.7705149,196142.69133322663,229193755.27822983,500583.47121420904,66093.24373193609,434490.22748227295,4253349.805776596,103174.23519529286,103174.23519529286,76604410.56238388,1345792.5609013608,177688.2395348161,1168104.3213665448,6802.474967814396,160799.07188706961,49792.77428996509,111006.29759710452,2727799.1252172496,57224978.7952044,17720192.159434844,39504786.63576956,0.0,0.0,0.0,41321561.71741077,8381930.355035702,881806.931988369
1984.0,7687500.0,16709494.144053562,202830.62646133584,244387511.3445037,543532.1255296365,72110.84597186843,471421.2795577681,4423337.53427339,109923.2298872004,109923.2298872004,81064773.48384891,1445435.4519769049,191767.08853817568,1253668.3634387292,0.0,160799.07188706961,49977.550045422264,110821.52184164735,2736044.549420661,59797763.94539751,18585590.732043087,41212173.21335442,0.0,0.0,0.0,43158007.60807976,9267401.845023466,949541.382895933
1985.0,7687500.0,17280158.03300865,209936.11104491277,259180381.83221018,587883.1066590494,78354.9048641176,509528.2017949318,4586551.287645209,116718.72365250632,116718.72365250632,85062757.72624531,1543887.976664534,205774.2332823376,1338113.7433821964,617976.0763216125,216022.99556545715,67379.6563493419,148643.33921611524,1935698.2537970692,61594815.391214214,19212017.14242318,42382798.24879104,0.0,0.0,0.0,44495802.25683679,10214017.092104845,1017745.4217482574
1986.0,7687500.0,17868687.91195156,217270.12105708863,273054756.25858134,633028.4132276751,84744.4303484472,548283.982879228,4742954.983763465,123539.85815390453,123539.85815390453,88704912.74510977,1641775.1061981744,219786.8108725567,1421988.2953256178,1386720.2544053749,289654.8938033072,90652.88848722557,199002.00531608163,2190201.4058477613,63662399.09373304,19924332.33250464,43738066.7612284,0.0,0.0,0.0,46030880.90290322,11221511.86169446,1086317.3667691327
1987.0,7687500.0,18474265.120598614,224822.7913529461,292119817.62447333,686420.5383807444,92280.69750203022,594139.8408787142,4892533.436592745,130365.73509717814,130365.73509717814,94150055.07941091,1758535.0591307597,236413.15019677847,1522121.9089339813,2219160.5512116454,375558.77508079895,117920.79671227335,257637.9783685256,2065259.7818168635,65600563.90687852,20597763.316831674,45002800.59004685,0.0,0.0,0.0,47507066.05332526,12301978.944077702,1166160.4025266329
1988.0,7687500.0,19100228.98240291,232636.13819570516,312353464.8351896,743558.5552062365,100367.81476109382,643190.7404451427,5035292.289836271,137175.62837413634,137175.62837413634,99472774.27014981,1877636.7163415374,253449.16390898818,1624187.5524325492,3034360.9752206034,467598.6478781115,147279.32250467938,320319.32537343213,2903863.2446992258,68355523.03588834,21529906.401275326,46825616.63461302,0.0,0.0,0.0,49550489.88123829,13457491.410511922,1249041.4548176099
1989.0,7687500.0,19743358.659725226,240670.32267768343,337128290.1762456,808710.2984101097,109587.87759741153,699122.4208126982,5171257.740507791,143949.19144150033,143949.19144150033,106301460.49755263,2013842.7181304346,272894.69384622556,1740948.0242842091,3688857.51795207,553502.5291556033,174860.85153445174,378641.67762115155,1640376.4904734453,69860732.28739527,22070192.08246492,47790540.20493035,0.0,0.0,0.0,50753201.5190899,14698944.136338757,1342566.9107115697
