Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2526919050.0,3693083.975958236,43116.0240417639,31886943.677348346,38968.57519070525,3312.328891209946,35656.2462994953,844649.8167529253,8817.866136643632,8817.866136643632,13589453.272209661,124237.33293819301,10560.173299746406,113677.15963844661,3497825.373166774,312574.6268332262,70329.2910374759,242245.3357957503,630088.3734390085,610711.6265609915,137410.11597622308,473301.51058476843,1142.79528383286,60457.204716167136,60457.204716167136,934155.3231712715,83768.18050592153,74383.09156866401
1962.0,2591104275.0,7420856.089803487,88227.88615474814,64752040.47229722,81382.74441804925,7763.686573128208,73619.05784492104,2243230.3964178795,24220.871936437972,24220.871936437972,27554820.532571048,260618.83617700293,24862.309247498808,235756.52692950412,7353559.967012659,685065.4061541148,166960.69756359755,518104.70859051717,770120.3407627932,1338368.0326762155,326180.33011897764,1012187.7025572378,1142.79528383286,120914.40943233427,120914.40943233427,1984803.2772909526,257891.9645745609,159472.67264222377
1963.0,2656873387.5,11183484.077538347,134372.0122651395,120777589.20354335,154519.68447774352,15680.53154373372,138839.1529340098,3907360.782321922,43763.6978698644,43763.6978698644,51026009.675117224,493173.14454592485,50046.80844199232,443126.3361039325,10077460.628933322,989699.3380793375,252039.3391501686,737659.9989291689,706800.1036289019,2001055.116816866,509593.7623079995,1491461.3545088666,571.39764191643,151143.01179041783,151143.01179041783,3005993.55213626,582428.7647962937,301192.3866860739
1964.0,2724361150.0,14982519.048195638,181365.02934270827,161986780.816753,213707.74358055953,22609.08580214834,191098.6577784112,6114316.054979422,70656.16170119449,70656.16170119449,68241046.14200932,684207.9780471942,72385.38306101252,611822.5949861817,14075999.553972881,1435461.0749604395,376707.9748993672,1058753.1000610723,932643.0528644989,2884637.8956710664,757015.3722393117,2127622.5234317547,1714.19292574929,241828.81886466854,241828.81886466854,4301781.856823283,1030781.7531816398,425224.42608044134
1965.0,2793562887.5,18818401.503915276,229117.54428036258,204069675.3353362,277255.4008171603,30260.08937199238,246995.31144516793,8293393.503112737,99527.59707513191,99527.59707513191,85668734.60654727,889377.3904550625,97068.04354858157,792309.346906481,20151169.288947333,2106630.265025548,565535.0562631051,1541095.2087624432,2736073.8345188275,5509398.503443839,1479024.6035809193,4030373.89986292,2285.59056766572,362743.22829700285,362743.22829700285,7073044.592349147,1610864.0775218746,558749.931086546
1966.0,2864522350.0,22692213.58250212,277587.9214131564,253753015.0270452,353582.1148976111,39557.4913040591,314024.623593552,10161041.090745548,127483.30373226285,127483.30373226285,105946364.78004469,1133276.361355668,126786.87049090177,1006489.4908647662,25753083.740652487,2795485.5482948464,764222.8663270222,2031262.6819678242,2737693.634261343,8082183.653636953,2209487.207591308,5872696.446045645,1714.19292574929,453429.03537125356,453429.03537125356,9805385.581575304,2344559.7919899253,714301.7037225298
1967.0,2937284750.0,26605651.972218435,326761.6102836829,305282341.5868716,436334.3472658252,49824.43103848507,386509.9162273401,12562923.493706992,163139.68651594248,163139.68651594248,127015222.05548632,1399237.2721872225,159777.01826919775,1239460.2539180247,30522756.303144444,3471527.437508048,963486.246220325,2508041.191287723,5113399.263389119,12959214.089861609,3596694.7581924046,9362519.331669204,3999.78349341501,665029.2518778385,665029.2518778385,14324699.631496072,3246948.30261392,886721.3460373129
1968.0,3011894862.5,30559231.860084075,376620.1121343599,367486031.86862254,536600.2598132967,62348.45515710966,474251.8046561871,16054197.410001287,212861.18920048274,212861.18920048274,153003216.84196538,1725871.1899575617,200531.7748661852,1525339.4150913765,33515743.311079144,4049212.992065298,1138415.66929857,2910797.322766728,8377168.965336333,20928784.252075966,5884021.408263874,15044762.843812093,7999.56698683002,1088229.6848910083,1088229.6848910083,21256242.260417875,4359702.56871753,1099698.1428444367
1969.0,3088400237.5,34554665.149443276,427166.7106407991,428465518.86165315,640769.6701936924,75584.14498288193,565185.5252108105,19494119.17220512,265851.34829098126,265851.34829098126,178149883.0091321,2064017.250456876,243468.1077500811,1820549.1427067947,36938790.06538628,4716953.245692859,1341148.031523613,3375805.214169246,9467343.548133241,29859900.379514012,8489918.074138995,21369982.305375017,8570.96462874645,1541658.7202622618,1541658.7202622618,28939032.256015114,5688470.19458568,1322818.3903404365
1970.0,3166849300.0,38593063.54608093,478401.6033623428,491699697.38557,753221.5453301914,90039.18188305484,663182.3634471365,23724050.964776337,330962.8468737661,330962.8468737661,204340981.01926202,2430804.847047275,290575.4370708493,2140229.4099764256,40293896.87543684,5438293.1899494445,1561713.5541623582,3876579.6357870866,8742639.311932724,38059028.8127052,10929403.59760375,27129625.215101447,8570.96462874645,1995087.7556335153,1995087.7556335153,36135667.22681938,7254166.122714798,1568678.6921682102
