Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,199875000.0,7086448.3483443,84151.65165569998,0.0,0.0,0.0,0.0,19459122.921193585,203146.8398527709,203146.8398527709,10490071.674796052,95902.20453329789,8151.687385330321,87750.51714796756,0.0,0.0,0.0,0.0,13406.135605085288,12993.864394914714,2923.6194888558107,10070.244906058902,0.0,0.0,0.0,300967.6019067974,153317.0051384025,137580.35186233596
1962.0,199875000.0,14486240.820727516,175207.52761678386,0.0,0.0,0.0,0.0,38377191.25680409,419128.36107568676,419128.36107568676,20703545.709729314,195997.25498106057,18697.59084370431,177299.66413735627,0.0,0.0,0.0,0.0,13818.406815255863,25987.728789829427,6333.598643086944,19654.130146742482,0.0,0.0,0.0,616082.1553597855,463212.29784776474,286532.7325036808
1963.0,202437500.0,22216812.98293533,271627.8377921843,0.0,0.0,0.0,0.0,57071053.29490985,651640.0450253617,651640.0450253617,30814009.674585335,301942.24275458953,30640.852509513134,271301.3902450764,0.0,0.0,0.0,0.0,13818.406815255863,38981.59318474414,9927.151213792196,29054.441970951942,0.0,0.0,0.0,951995.8772413901,937923.550923836,448230.1821943668
1964.0,202437500.0,30296313.65194402,373299.33099131455,0.0,0.0,0.0,0.0,75194134.0315978,897684.1566838507,897684.1566838507,40637759.09849969,412222.0814382166,43610.79412765197,368611.28731056466,0.0,0.0,0.0,0.0,13818.406815255863,51975.457579658854,13639.916616924535,38335.54096273432,0.0,0.0,0.0,1304630.9849571497,1584035.1112000481,620183.883718203
1965.0,202437500.0,38745179.53144969,480334.12049432856,0.0,0.0,0.0,0.0,93062665.1810709,1160790.6773956749,1160790.6773956749,50348258.76691816,528454.897276363,57676.39646881155,470778.50080755143,0.0,0.0,0.0,0.0,13818.406815255863,64969.32197457357,17441.327872416503,47527.99410215707,0.0,0.0,0.0,1679097.1723053833,2411137.293931432,804466.9954718426
1966.0,384270450.0,47584849.695043996,592929.8364056916,0.0,0.0,0.0,0.0,110659445.62502727,1441221.0664479872,1441221.0664479872,59939519.76052711,650709.0355394896,72798.97916295865,577910.0563765309,0.0,0.0,0.0,0.0,13818.406815255863,77963.18636948828,21313.38142371036,56649.80494577791,0.0,0.0,0.0,2075780.927770296,3429125.5105790053,1001142.9061769443
1967.0,404322012.5,56837717.86290253,711331.8321414631,0.0,0.0,0.0,0.0,127637246.4573236,1735693.5772149386,1735693.5772149386,69227697.85481216,777405.4059368316,88770.87554477488,688634.5303920567,0.0,0.0,0.0,0.0,13818.406815255863,90957.05076440299,25244.181123676633,65712.86964072635,0.0,0.0,0.0,2490040.9772477215,4645510.784360493,1207942.8338255077
1968.0,425419587.5,66527692.60360012,835825.2593023967,179162.017115957,218.95132396339386,25.440309716717692,193.51101424667615,144311942.3665263,2047428.817829704,2047428.817829704,78462383.32454477,910790.4682705067,105826.2228353089,804964.2454351978,0.0,0.0,0.0,0.0,13818.406815255863,103950.9151593177,29225.27189535036,74725.64326396733,0.0,0.0,0.0,2927312.217543116,6070780.6599860415,1427316.6986535992
1969.0,447618525.0,76680165.13737388,966727.4662262386,2078054.3066862875,2552.2034341571107,301.053753581733,2251.1496805753777,160666296.24812338,2376356.003548368,2376356.003548368,88292178.27366972,1056893.5884030494,124669.44353528298,932224.1448677664,0.0,0.0,0.0,0.0,13818.406815255863,116944.7795542324,33250.33188305089,83694.44767118152,0.0,0.0,0.0,3394525.7457678914,7719078.739628676,1662533.2184540753
1970.0,470975712.5,87321981.36215833,1104383.7752155527,3723721.167624347,4710.552933181315,563.0937337759519,4147.459199405363,177013016.9297857,2725727.6477888213,2725727.6477888213,98043782.70228314,1210054.6374885084,144648.45073636353,1065406.1867521447,0.0,0.0,0.0,0.0,13818.406815255863,129938.64394914711,37314.45407170962,92624.18987743749,0.0,0.0,0.0,3887905.4836178087,9602415.283430358,1911944.7499386903
