Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2075282837.5,27970939.949540425,343960.05045957415,4568631.436456903,5583.258761066543,474.5769946906562,5108.681766375887,66193999.49633139,691043.5721771376,691043.5721771376,27455794.132859062,251006.02418951172,21335.5120561085,229670.51213340322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925822.7660769167,487315.0443678868,438507.7217090299
1962.0,2070715950.0,56012290.54176366,700749.4077767596,9400266.056187999,11810.330450712603,1126.6725471114619,10683.65790360114,133153598.94715735,1452953.6681255074,1452953.6681255074,55329900.009673685,523428.7377528242,49933.64001595138,473495.09773687285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937132.4237659816,1493041.1829781623,931406.2851557056
1963.0,2066159037.5,84124906.59151241,1062983.950251249,14225501.106085148,18384.794886011365,1865.6739891071866,16519.120896904176,200509562.68487257,2285669.7788648503,2285669.7788648503,83385912.48294505,816022.3134082195,82809.2787597634,733213.0346484561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035401.9344102107,3053550.505369082,1474892.612019291
1964.0,2061612337.5,112311475.28408659,1429131.307425823,24956328.52054668,32546.5689336188,3443.2452341547314,29103.32369946407,268783443.29574436,3197968.7938166503,3197968.7938166503,114013807.84503166,1151382.8267230159,121809.8730741023,1029572.9536489135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4256645.071165028,5225838.48188406,2084357.09465005
1965.0,2057075375.0,140575381.42280617,1798493.8612804262,35672604.40895411,47493.20764709711,5183.483184558403,42309.7244625387,337597393.6444035,4189568.6137554054,4189568.6137554054,144875030.69130164,1510380.4700778883,164845.2938177714,1345535.176260117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5577413.514478061,8054679.149473726,2748572.846888395
1966.0,2052548625.0,168920691.5989609,2170689.82384528,42611125.36064054,58659.20980136103,6562.580752401044,52096.629048959985,407167777.649549,5265855.156682309,5265855.156682309,174674406.78320238,1881949.1316416676,210545.67884790886,1671403.4527937588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6989355.238525027,11580847.93020469,3463186.457794064
1967.0,2048031850.0,197351405.84571338,2545485.753247521,48463214.729217775,69102.19483218317,7890.686494424713,61211.50833775846,477408777.0262688,6429035.092221616,6429035.092221616,204390050.5654224,2274936.6792209214,259771.95332209105,2015164.7258988302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8505411.326458205,15852313.377012733,4233945.879650161
1968.0,2043524812.5,225872263.7925743,2922742.0531390845,55110822.29909253,81069.50615334624,9419.59750591549,71649.90864743076,548232542.2942609,7680958.114243537,7680958.114243537,234693818.5245502,2695943.220814492,313246.01867980865,2382697.2021346833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10135305.225025652,20922164.8942233,5065453.707815085
1969.0,2039027750.0,254487795.24411815,3302368.5484561315,61746157.20659673,93651.21012223327,11046.943969057571,82604.2661531757,619549567.3785945,9023082.171211842,9023082.171211842,265260222.799098,3142826.2399041373,370722.65624106996,2772103.5836630673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11877790.021028085,26842653.912460066,5957301.002791322
1970.0,2034540662.5,283202880.89590865,3684314.3482095203,71056024.20494229,110153.83640569632,13167.654819142106,96986.18158655422,690972263.3441274,10453343.077097172,10453343.077097172,296938228.6848676,3623928.1963628866,433199.94233623514,3190728.2540266514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13741057.512710378,33670276.12877755,6913435.29639289
1971.0,2031565500.0,311951080.0798991,4067600.816009584,81692683.91644381,129143.24109604365,15622.25500323466,113520.98609280899,762115452.2156427,11968977.42447412,11968977.42447412,329082372.7386904,4134417.474017599,500133.98704232264,3634283.4869752764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15716781.897542207,41456901.1520866,7930156.874233155
1972.0,2037273100.0,341034294.56840086,4456185.511498203,93653588.25702742,150742.74128640673,18431.857612792537,132310.88367361418,832893916.3413445,13569590.289012045,13569590.289012045,361663088.1256805,4674639.944059313,571585.0534804055,4103054.890578908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17804956.063264567,50254353.060608625,9007504.154742543
1973.0,2036739912.5,370338695.2152758,4848499.353125023,105592348.57398549,173437.77114209335,21415.097041835037,152022.6741002583,902926251.3138535,15251180.933492156,15251180.933492156,394039639.73112357,5239275.987209454,646915.6225671519,4592360.3646423025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19995563.972234715,60109096.773440145,10140820.259403199
1974.0,2018082150.0,399416310.87987715,5238484.335398687,117507849.82386373,197267.42156889723,24576.731355141786,172690.69021375544,972132268.8646681,17012082.25492508,17012082.25492508,426187685.25318855,5828167.382573921,726107.2452568776,5102060.137317044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22286833.082455877,71066738.98934042,11329190.866555596
