Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,189610025.0,4540897.670960107,53302.32903989277,15991065.260921283,19542.450832073773,1661.108320726271,17881.342511347502,4659571.04624728,48644.38839037578,48644.38839037578,7372191.669527401,67397.96021111909,5728.826617945123,61669.13359317397,1074389.7797486857,96010.22025131428,21602.299556545713,74407.92069476857,294934.9833118763,285865.0166881237,64319.628754827834,221545.38793329586,0.0,0.0,0.0,424148.1731229618,67653.75973971195,60541.1047551853
1962.0,190319437.5,9052419.013380323,108178.65757978371,29244620.392738618,36867.8920905414,3517.093959532225,33350.79813100917,9089735.5824511,99319.70960874704,99319.70960874704,13501439.991727198,128156.4589552719,12225.768334129009,115930.69062114289,2319347.254522047,215842.52522663889,52604.05539674991,163238.46982988899,210162.000700032,480772.98261184443,117171.57489710848,363601.40771473595,0.0,0.0,0.0,775441.075905524,196850.17584652954,119404.78225408153
1963.0,191031462.5,13534208.887213463,163410.1261668599,44399839.87184873,57502.50018498774,5835.306815709475,51667.19336927826,14237617.494302943,161911.61872345512,161911.61872345512,20848401.91069567,204148.69698086765,20716.843251655202,183431.85372921245,4242186.64048687,406960.6140351761,103637.62031065466,303322.9937245215,341337.4582796908,805619.5924847123,205161.12508503874,600458.4673996735,0.0,0.0,0.0,1300792.1269461408,401351.66182750673,192509.17984096857
1964.0,191746337.5,17986470.289578788,218738.59763467376,62102806.69710614,82412.55998147606,8718.788606242091,73693.77137523398,18880422.50532587,224531.18883347293,224531.18883347293,28866491.83537768,291295.121138661,30817.397054630103,260477.7240840309,4909615.80620038,502970.8342864904,131994.6097616968,370976.22452479356,278429.49235597014,1065496.8803830065,279618.290646953,785878.5897360535,0.0,0.0,0.0,1715557.4985535848,687008.9318411138,273045.4142791307
1965.0,192463587.5,22409230.492305055,274039.7972737322,81310144.3289782,110552.14728002551,12065.834775804242,98486.31250422128,23568480.372496948,292659.84107915364,292659.84107915364,36882298.01164015,384027.83744128386,41913.40059763036,342114.4368436535,5347745.794024581,587070.0121757996,157601.7765804747,429468.2355953249,249555.86509494667,1299386.4394914713,348826.55744833,950559.8820431413,0.0,0.0,0.0,2113288.7080654944,1059537.201721095,360732.3205470472
1966.0,193183687.5,26802885.64951569,329244.842789365,103178591.42003113,143499.4159298086,16054.196913847678,127445.21901596093,28282444.053630628,366314.91478112614,366314.91478112614,45915810.26928811,491835.08220840106,55024.73447539601,436810.34773300507,5570507.175982659,659438.6180419219,180275.68454221686,479162.93349970505,449823.35675088485,1728183.9645236568,472446.62155891303,1255737.3429647437,0.0,0.0,0.0,2665470.757994541,1529991.697119602,460115.9861315853
1967.0,193906637.5,31167579.164905764,384306.4846099228,123770965.58476433,176694.80271354291,20176.54137893529,156518.2613346076,32177622.35837732,436863.4869163844,436863.4869163844,54213496.05446887,599491.0625979747,68455.07646548815,531035.9861324865,6060180.935153147,762126.2408295118,211520.1922327112,550606.0485968005,456007.4249034435,2156981.4895558422,598647.7237900458,1558333.7657657964,0.0,0.0,0.0,3233357.5487460755,2095457.315552894,558952.1159501863
1968.0,194631962.5,35503487.272813186,439191.89209258044,145500802.36367244,213071.54603331388,24757.128775405985,188314.4172579079,35518776.46417393,506433.827032412,506433.827032412,62119673.44386089,709836.5889692429,82477.06542599002,627359.5235432528,6580456.029174039,876724.9059791069,246486.75497849326,630238.1510006136,415789.0180881876,2546797.4214032837,716019.161436084,1830778.2599671998,0.0,0.0,0.0,3783124.178801386,2757174.799986913,660390.283399554
1969.0,195360137.5,39811106.25279363,493881.0200195554,171738202.90923432,256899.57126277557,30303.454335621547,226596.116927154,39262033.995786846,584563.2197201648,584563.2197201648,71274530.70728804,837747.8361041825,98819.3680953307,738928.4680088519,6856882.559729707,979773.4694443333,278574.1540016718,701199.3154426615,468176.7468780171,2988588.810830384,849730.7036779672,2138858.107152417,0.0,0.0,0.0,4390145.227251248,3530424.2125170873,776838.3921259965
1970.0,196091162.5,44090946.40846304,548359.8443305951,195319670.51305962,299818.3842043422,35839.92278848629,263978.4614158559,42765908.946571134,664970.615281134,664970.615281134,79651535.07702056,965605.2584899499,115427.27108038006,850177.9874095698,7500810.9378754925,1124871.6218542142,323029.1558735641,801842.4659806502,456419.6961136141,3417386.3358625695,981370.142085963,2436016.1937766066,0.0,0.0,0.0,5016985.723863816,4414727.256132284,894824.0204913632
