Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,251299600.0,2748701.023402685,58698.97659731498,2125755.481724461,7143.246061580892,142.86492123161784,7000.381140349275,1152056.206821478,24906.107980021534,24906.107980021534,2170488.936492242,37976.171525319936,759.5234305063988,37216.648094813536,46422.27007656989,3711.65104219179,296.9320833753432,3414.718958816447,58550.8299384747,49219.183314070884,3937.534665125671,45281.648648945215,0.0,0.0,0.0,117819.50482294601,71571.4186884418,46248.08613450421
1962,252712600.0,5475799.810972243,119301.21243044271,3647885.922180336,12854.827459225726,301.6479862342489,12553.179472991476,2277853.6026264653,52521.2176239055,52521.2176239055,3884312.9093558723,71784.0986961246,1684.4667020237698,70099.63199410083,89020.89043465916,7635.1223610772995,663.7324242642933,6971.389936813006,75652.48981542411,77474.55117342144,6734.976760983758,70739.57441243768,0.0,0.0,0.0,212884.99344024848,190750.988733065,93705.42339562529
1963,254133400.0,8181490.052529932,180309.75844231018,5164086.260095492,19006.92728251608,484.54476506228826,18522.382517453792,2556721.27778508,65157.03745785462,65157.03745785462,5077976.120687833,99630.84846011279,2539.8953414458065,97090.95311866698,127622.59379327926,11691.444972676429,1063.7592490068075,10627.685723669621,77708.0161571898,82820.20281025492,7535.489150393705,75284.71365986121,0.0,0.0,0.0,266682.7724775062,329463.15228614426,127970.60892442697
1964,255562400.0,10866276.750610944,241413.30191898777,6591671.336862205,25343.934504380893,682.5494575476932,24661.385046833202,3076036.8545804773,83991.90687735676,83991.90687735676,6335668.645621352,130887.49775339189,3524.9929554509354,127362.50479794096,162137.82405472329,15793.043582182336,1482.3815592035874,14310.662022978748,107075.61313581305,107763.09304941223,10114.96112626536,97648.13192314687,0.0,0.0,0.0,347974.5906682565,506323.7728351034,171113.97011929742
1965,256999000.0,13530511.250355732,302465.5002552116,7906814.644200933,31784.647645005367,891.4700376662618,30893.177607339105,3725675.1483080676,107263.53044114509,107263.53044114509,7575916.664133199,164250.1912979785,4606.756250957171,159643.43504702134,192566.58121899125,19849.366193781465,1907.4125204031136,17941.95367337835,144903.35268424248,146507.21719831481,14078.520073907037,132428.69712440777,0.0,0.0,0.0,448170.7938932917,730818.4196620076,223676.14706638746
1966,258444000.0,16175212.8939897,363398.3563660303,9422421.309969954,39371.11043334433,1140.1400083317276,38230.9704250126,4869748.2225045115,143155.50765053259,143155.50765053259,9234271.881533287,207299.45830317817,6003.143002966393,201296.31530021178,218998.42138379003,23772.837512666978,2327.779068250768,21445.05844441621,125206.5662835179,138698.1816659245,13580.992336920292,125117.1893290042,0.0,0.0,0.0,529245.0411491774,984739.4142616305,275324.0465495544
1967,259897200.0,18801143.988745123,424168.90524457936,10926584.333210755,47467.53442677501,1411.1884734939702,46056.345953281045,5976683.143668599,181510.4746311736,181510.4746311736,10845899.534296159,252604.72108359612,7509.824873951204,245094.8962096449,288028.8819066781,31196.139597050555,3102.7400142965143,28093.399582754042,117729.6179121185,127409.97294922457,12672.081430465556,114737.89151875902,0.0,0.0,0.0,615493.0078956126,1273409.8650309013,326822.55712634197
1968,261358400.0,21408798.562466893,484745.4262782306,12373042.031772591,55937.8739143239,1700.3551721399479,54237.51874218395,7032593.716604464,221875.46151933706,221875.46151933706,12369782.033824688,299332.6182013797,9098.875769366288,290233.74243201345,303235.6927110855,34842.135149575246,3511.892644274519,31330.24250530073,116748.72044261907,124907.22070304082,12589.950292100013,112317.27041094081,0.0,0.0,0.0,709994.235609776,1602791.8332946638,380612.2673460134
1969,262827800.0,23998984.216126584,545114.3463403087,14095494.840574522,65909.06397467008,2042.266355665253,63866.79761900482,8473389.266306972,273430.139681634,273430.139681634,14297973.42627386,355873.27280509094,11027.132963223934,344846.139841867,361417.24386547465,41794.31852671283,4261.860520736145,37532.45800597668,145978.83683342193,149353.61053838782,15229.923080959501,134123.6874574283,0.0,0.0,0.0,853799.2226059109,2003060.6148805497,453530.44102002477
1970,264305600.0,26572807.818593916,605276.3975326691,15660666.12089819,76022.6953886906,2395.6975334299427,73626.99785526065,9941912.308848552,329398.2171671414,329398.2171671414,16113416.451672414,413794.78922828275,13039.88435074394,400754.9048775388,459176.9937217265,52225.20062792814,5380.545734679157,46844.65489324898,242355.22316089954,237306.6683980989,24448.72144306335,212857.94695503556,0.0,0.0,0.0,1063482.7217482254,2512345.4940557657,554197.8425730099
