Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1811983212.5,1568500.500698683,17899.49930131686,82407935.70992298,100709.55283507388,8560.31199098128,92149.2408440926,0.0,0.0,0.0,30334477.210568774,277323.48529593716,23572.49625015466,253750.9890457825,1278362.2755280414,114237.72447195854,25703.488006190673,88534.23646576787,442402.4749678145,428797.52503218554,96479.44313224175,332318.08189994376,0.0,0.0,0.0,766752.5482555866,183129.05574000295,162771.17414987215
1962.0,1818602812.5,3170830.166395472,36870.33430321118,162995178.75799328,205009.45070421236,19557.32915101457,185452.1215531978,0.0,0.0,0.0,59744220.42073704,565629.8108123702,53959.50454813021,511670.30626423995,2444506.3562453063,228655.91928273533,55726.87139438305,172929.04788835227,482819.696113614,883582.7788542005,215342.35386495612,668240.4249892444,0.0,0.0,0.0,1538291.9006950345,546693.9409742574,333557.5425831833
1963.0,1825246400.0,4808106.810508197,56523.35588727547,272302766.04504454,350352.0711959988,35553.44241330363,314798.62878269516,1266974.725129388,13226.799204965448,13226.799204965448,100097987.76535562,973548.1411379448,98794.87126868744,874753.2698692573,3629521.199789789,354985.1564555173,90401.41869226507,264583.7377632522,1770633.2566221429,2585779.014588028,658501.0305148825,1927277.9840731458,0.0,0.0,0.0,3394640.419693316,1169093.0478564827,580379.5909746925
1964.0,1831914450.0,6481516.429586484,76790.38092171335,369956591.4243854,489680.99399810925,51805.514500746714,437875.4794973625,2520195.777873894,27513.44176801333,27513.44176801333,135806396.3862128,1366233.0847733906,144539.83052668997,1221693.2542467006,4692245.865483853,481675.3343059358,126406.03281448469,355269.3014914511,2426893.5306324414,4885693.012487933,1282152.1619909063,3603540.850497027,0.0,0.0,0.0,5645892.327500555,2034227.570342831,821947.6530257282
1965.0,1838606725.0,8192564.511265341,97651.91832114334,478058330.8892099,649536.7123351865,70891.45570374162,578645.2566314449,3758585.7465238245,42894.3192244659,42894.3192244659,174923228.74581844,1815224.1524912207,198116.4115205352,1617107.7409706856,6032186.285563847,644459.5799200062,173008.2828677759,471451.29705223034,5220928.076552942,9875336.940135183,2651081.836607308,7224255.103527875,0.0,0.0,0.0,9934353.717406701,3174789.380001557,1098085.5071678706
1966.0,1845323462.5,9942166.697018972,119097.81424636988,517447721.42275155,734239.8387745905,82144.104052973,652095.7347216175,4981035.175409027,59399.01634283306,59399.01634283306,187865703.7274914,2052980.9878660438,229680.10584592598,1823300.8820201177,7413314.955809126,825471.3297547209,225665.29312974817,599806.0366249727,12652830.528644988,21985618.5561957,6010373.561486323,15975244.994709376,0.0,0.0,0.0,19109846.664418913,4452154.029592933,1257430.9834931921
1967.0,1852064900.0,11732129.888419483,141136.80859948925,518817050.9577306,776812.9749632442,88703.22665035818,688109.748312886,6186407.703639216,77051.6504639783,77051.6504639783,186356287.22096676,2170656.299607236,247864.31731936365,1922791.9822878723,8956751.918620586,1037163.0371885397,287853.78753525723,749309.2496532826,10304777.11564209,31601078.208432585,8770549.784683082,22830528.423749503,0.0,0.0,0.0,26267791.05446752,5792149.013894688,1347958.396762982
1968.0,1858830562.5,13563655.170898777,163774.71752070606,520920359.48276526,822089.207840795,95519.87941272985,726569.3284280652,7373545.852583082,95870.23676014229,95870.23676014229,184832484.24506944,2291056.7806224227,266201.6060125089,2024855.1746099137,9884591.24176188,1212760.6768587066,340961.5054457543,871799.1714129524,29990733.637053415,60373825.2669054,16973794.37288703,43400030.89401837,0.0,0.0,0.0,47119124.80522944,7200638.417775964,1438805.3359168447
1969.0,1865621162.5,15438527.81517184,187027.35572693602,561220113.0468439,915940.7783976551,108042.88000899763,807897.8983886575,8541277.429891048,115866.09200329822,115866.09200329822,197252725.2597302,2541478.0592258307,299788.6058515719,2241689.4533742587,10974094.378650358,1418496.863111523,403314.2108036729,1015182.6523078501,21708056.562475838,80529474.58748394,22896547.98280088,57632926.604683064,0.0,0.0,0.0,61813562.70075713,8762878.21588602,1603213.6456561596
1970.0,1872436462.5,17357922.979382742,210904.8357890945,601290828.6651673,1014142.6441647157,121229.37077334944,892913.2733913662,10955397.230336277,150270.08873031693,150270.08873031693,209400077.9866084,2800546.6482020942,334773.9195629468,2465772.7286391472,13071598.655656245,1732695.7229941136,497577.87992011686,1235117.8430739967,21088326.86846635,100349449.07786052,28817330.97201348,71532118.10584703,0.0,0.0,0.0,76276192.03968185,10490349.472008336,1781484.834638514
1971.0,1880020550.0,19328337.980622057,235484.9987606842,620876762.9723836,1092080.4954420729,132107.26197561392,959973.233466459,13333996.677979847,186911.61962033922,186911.61962033922,214216479.8776753,3003529.3727449034,363332.22995255765,2640197.142792346,14374256.013418285,2003942.6422379583,580628.6984006405,1423313.9438373176,26364162.669142243,125293337.42796513,36302889.06264667,88990448.36531846,0.0,0.0,0.0,94200844.30503492,12347000.313443296,1930431.1544441837
1972.0,1880691487.5,21337821.736162283,260616.24445977333,633750159.7080107,1165295.829140831,142484.91579900472,1022810.9133418263,15674825.869067267,225813.2942114326,225813.2942114326,215045049.59360293,3176215.0567322997,388367.2485567084,2787847.8081755913,15555111.64686393,2288544.3665543543,668466.5985739459,1620077.7679804084,23595259.964040857,147395900.76371506,43053234.12873558,104342666.63497949,0.0,0.0,0.0,109999216.41868874,14317560.299011752,2065912.0301603938
1973.0,1876015350.0,23375166.30886778,286155.4272945052,675818646.9027888,1277289.9734617658,157712.4091950924,1119577.5642666733,17975618.839915052,266984.4658364569,266984.4658364569,227147950.0345433,3455289.4430704047,426639.2392136904,3028650.203856714,16543855.974128641,2573146.09087075,757157.5845816259,1815988.5062891243,23505109.992750224,169498464.09946498,49875538.7901109,119622925.30935408,0.0,0.0,0.0,125854126.04960306,16470805.462978758,2261967.0699928408
1974.0,1900911762.5,25511966.27925694,313000.02961084014,698754514.8756003,1371133.1878412575,170823.807305275,1200309.3805359825,21501081.9997143,323647.14807841735,323647.14807841735,233069594.4086721,3687980.839930071,459470.2644005274,3228510.5755295437,18786150.82708668,2984979.404054019,884313.7238376766,2100665.6802163427,23053770.094045684,191163567.33391947,56633076.215387344,134530491.11853212,0.0,0.0,0.0,141383623.9028924,18782683.096504316,2440589.4706183835
1975.0,1916256875.0,27729153.519590396,340912.75966654526,720861556.8826137,1468003.7928161423,184411.74188469053,1283592.0509314518,24968230.809196815,383614.7091084105,383614.7091084105,238280168.36406723,3920165.3648080276,492454.1250765169,3427711.2397315106,19248241.692764986,3263445.136850594,972889.6337880093,2290555.503062585,11874813.693534747,202006947.1714758,60221776.869199544,141785170.30227625,0.0,0.0,0.0,149170643.80511022,21255298.48410553,2622302.61217016
1976.0,1910694625.0,29964049.83247361,369103.68711678585,754931915.7655818,1583576.247885096,200463.06575562825,1383113.1821294676,27892308.697516944,441860.18984940904,441860.18984940904,247784630.02946234,4196791.891829962,531266.9788386734,3665524.9129912886,21729482.677399144,3735916.483876799,1120251.5264537954,2615664.9574230034,19474595.833344053,220549191.6630191,66133857.56478693,154415334.09823215,0.0,0.0,0.0,162521497.34062532,23916131.389463037,2829665.3796126586
1977.0,1906132962.5,32219345.86120797,397603.971265642,788108295.8833936,1703077.485173698,217139.3140941017,1485938.1710795963,30742941.61075121,502841.9230980459,502841.9230980459,256308144.98659948,4471993.820977946,570171.1633051003,3901822.6576728458,23021728.56015448,4130424.644533515,1245309.648946838,2885114.995586677,20827107.06872383,240165595.61120868,72409149.00978185,167756446.60142684,0.0,0.0,0.0,176532164.348864,26766111.462520093,3040622.6787934303
1978.0,1902332250.0,34501848.307071984,426497.5541359866,843451582.9103948,1854757.3381665156,238068.44716396127,1616688.8910025542,33022219.30812623,561322.4002949541,561322.4002949541,272228423.7398281,4821417.583649976,618855.8328623358,4202561.75078764,25769178.642194025,4674362.2457317505,1416518.9100631007,3257843.3356686495,23330151.46270114,262175036.2521284,79449532.80775988,182725503.4443685,0.0,0.0,0.0,192363919.8221223,29851729.01475715,3294955.489848097
1979.0,1915712762.5,36857383.93672758,456364.370344397,907092796.2053049,2023357.1501841843,261350.13269231725,1762007.017491867,35475700.70649157,624553.4655059015,624553.4655059015,291187196.99673927,5209596.137970763,672905.7407428559,4536690.397227908,29069154.902239554,5297887.266348839,1613205.8908336994,3684681.3755151397,12203017.423257949,273325937.54703104,83227707.65041062,190098229.89662042,0.0,0.0,0.0,200706162.15236124,33198583.73583626,3576396.159146563
1980.0,1941975512.5,39325870.893168375,487713.0435592111,981573561.8779005,2212761.8807491115,287517.3925614266,1925244.488187685,38029813.54244843,691901.170109333,691901.170109333,313938897.70168287,5645165.462852363,733510.1298417385,4911655.333010624,32990347.56995593,6016339.685184332,1840306.6891828743,4176032.9960014573,11858496.115292072,284476838.84193367,87017132.81376483,197459706.02816886,0.0,0.0,0.0,209164540.01547796,36837536.9428312,3889847.784312696
1981.0,1950516487.5,41890438.49411599,520332.39905238117,1042444338.4921281,2394075.517551835,312828.6684537692,2081246.8490980659,40694188.57240165,763523.3709465461,763523.3709465461,331738870.9029028,6050449.663002055,790599.1677150629,5259850.495286992,36197192.1869468,6717286.481154453,2063564.5523970076,4653721.928757446,12743301.065227702,296485335.1869007,91080919.31372932,205404415.87317136,0.0,0.0,0.0,218162758.51726043,40750116.37330268,4192041.2848601216
1982.0,1973312925.0,44597225.42540285,554813.0687131472,1070647727.8610294,2543299.6840964756,334102.1825755254,2209197.5015209503,44026357.26905094,845296.516854961,845296.516854961,338184943.5389959,6363648.924141173,835964.7932938249,5527684.130847348,36423760.16306189,7188314.065470112,2217294.0312306774,4971020.034239434,12743698.693888789,308467843.8030779,95149419.27435534,213318424.52872252,0.0,0.0,0.0,226871622.7121852,44882786.77719456,4449507.745331381
1983.0,1993624637.5,47443796.50461709,591128.9207857611,1115408061.9494047,2718494.7094115713,358929.4168608932,2359565.292550678,47760368.32981731,935019.873394097,935019.873394097,350572019.2352324,6735359.769421698,889285.8043891987,5846073.965032499,34330139.92355466,7469125.912671324,2312877.1599761895,5156248.752695134,10933045.844781935,318696180.7259416,98686931.50856918,220009249.21737242,0.0,0.0,0.0,234306157.10104483,49278605.409121886,4744840.4990499485
1984.0,1995164825.0,50381237.32514944,628659.1794676485,1163925637.010293,2905292.4401963744,385447.4939343971,2519844.9462619773,51416828.878839076,1028028.0846237642,1028028.0846237642,363630014.71827024,7120677.614894381,944706.0487963419,6175971.566098039,32437700.65849022,7767804.323415544,2414291.480420948,5353512.842994596,10904201.502619078,328950505.3775951,102240268.87743318,226710236.50016195,0.0,0.0,0.0,241787593.94014034,53949108.21359895,5053341.792506715
1985.0,1995847875.0,53407458.45230682,667378.872842616,1221244039.3250136,3110274.761548454,414547.1783113089,2695727.583237145,54719582.95360107,1121325.2826231865,1121325.2826231865,379686099.58857757,7540908.174645572,1005075.9001586379,6535832.274486934,33582694.02504356,8339173.416114155,2601068.6387555473,5738104.777358608,35556675.06685708,363098381.007431,113253887.94485925,249844493.0625717,0.0,0.0,0.0,265935482.9802776,58917077.22615918,5384916.127787043
1986.0,2011063075.0,56568380.08427361,707878.3680332152,1274335671.0773878,3318303.116139072,444226.04329380026,2874077.072845272,57927723.86180426,1217221.6290344452,1217221.6290344452,393638998.880324,7950941.553752057,1064404.059323286,6886537.494428772,33544263.496199086,8821209.691097727,2760761.7049016193,6060447.986196108,10016403.765183434,371756625.98257583,116348153.20078976,255408472.78178608,0.0,0.0,0.0,272446756.9642907,64178423.527208015,5716489.895259647
1987.0,2008064400.0,59803594.03740728,749386.0468663264,1333885837.3872628,3542322.585525462,476221.1802994831,3066101.4052259787,62632970.22380143,1332153.9100418899,1332153.9100418899,409349755.9325272,8384397.181936991,1127177.8404364055,7257219.341500586,32727851.151156306,9249646.275452277,2904274.192164414,6345372.083287863,11517989.11050852,382654146.92177767,120148655.45496424,262505491.46681345,0.0,0.0,0.0,280506338.2068697,69759566.13905321,6074332.044923263
1988.0,2007894350.0,63128098.587223224,792095.4501840556,1403006227.7469826,3786760.0454096165,511148.4873937952,3275611.5580158215,68244509.37716195,1461267.718091194,1461267.718091194,429033511.0132352,8862263.832864959,1196255.5585070497,7666008.274357909,32318407.812454723,9713815.986892842,3059555.9759993698,6654260.010893472,29383447.84221112,410798857.20116293,129389119.59825608,281409737.6029068,0.0,0.0,0.0,300466885.1642652,75695465.21669419,6466988.47282394
1989.0,2012735550.0,66559958.02921743,836240.5580057988,1471101679.4696195,4039526.951549723,547394.0247677969,3492132.926781926,69185450.59646818,1547151.2777786623,1547151.2777786623,445877764.5704472,9324455.396609113,1263551.7053202258,8060903.691288887,33386967.699372362,10314962.685496466,3258671.93684484,7056290.748651626,25752423.56492595,434893813.0774664,137390343.27052203,297503469.8069444,0.0,0.0,0.0,317659948.45144546,81957193.62039629,6838459.492147382
1990.0,2030831150.0,70156396.88893129,882561.140286137,1529938676.5789921,4290698.895807638,583612.1138924737,3707086.781915164,71915517.57135075,1652781.298480122,1652781.298480122,460194122.1426094,9771741.936019553,1329132.4108676817,8442609.525151871,32970337.72018391,10791043.439299036,3418951.4285032377,7372092.010795798,13384130.563646588,447125370.7612128,141663772.70958233,305461598.0516305,0.0,0.0,0.0,326636167.6679734,88546211.86202708,7213459.363916362
