Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,602133750.0,4638719.04616858,54480.953831420076,421538261.8946776,515155.8462491053,43788.246931173955,471367.59931793134,421634708.811916,4401727.611993016,4401727.611993016,309020425.6021628,2825122.742704382,240135.43312987252,2584987.3095745095,54838308.41972897,4900491.58027103,1102610.6055609817,3797880.974710048,18178719.88049565,17619680.11950435,3964428.026888479,13655252.092615873,0.0,0.0,0.0,24911215.58821138,3929910.5913823056,3528171.929503151
1962.0,536987500.0,9224629.01452814,110290.03164044103,890974051.4484539,1118593.8076127071,106710.72580615855,1011883.0818065486,885592137.0354744,9645777.296773294,9645777.296773294,649765732.8126717,6138286.325875636,585575.3756031846,5552710.950272452,102792947.13190643,9623761.28782253,2345454.730842045,7278306.556980485,19971124.1171548,36434795.76334086,8879705.297607897,27555090.465732962,0.0,0.0,0.0,51043768.35156573,12358347.62875653,7781934.29147807
1963.0,589380000.0,13757948.153091094,166180.86143704664,1386793275.941728,1788716.9960018846,181517.54175151786,1607199.4542503667,1337767058.7471046,15227043.99282062,15227043.99282062,989810109.2968736,9670662.319422726,981370.9241060935,8689291.395316632,147674271.8697179,14494475.262188546,3691199.767295002,10803275.494893543,21510540.25626004,56705224.21940781,14440695.965663051,42264528.25374476,0.0,0.0,0.0,78591338.59102592,25495040.535993703,12386841.935150445
1964.0,645715000.0,18238565.707374766,221882.4457163305,1902250260.0201192,2520638.856963296,266669.5143492987,2253969.3426139974,1749046542.8600798,20850967.779210754,20850967.779210754,1317616010.2329733,13324049.963667935,1409610.0768904625,11914439.886777472,195756942.68890676,20086529.180811148,5271306.803403881,14815222.377407268,25042309.88912132,80354057.41815259,21087311.08976533,59266746.32838726,0.0,0.0,0.0,109101345.71439676,43369720.08491868,17144697.45967725
1965.0,639872500.0,22760126.116829664,278439.5905451015,2440943574.462022,3321753.9531207187,362541.4372342161,2959212.515886503,2145315118.8456392,26767694.764070407,26767694.764070407,1645324022.1690302,17208917.193113588,1878208.2178526954,15330708.975260893,245017023.0137542,26283519.67515256,7055937.638919075,19227582.036233485,27951382.745228495,106718608.27543454,28649125.163231343,78069483.1122032,0.0,0.0,0.0,142354681.4036545,66216092.72239037,22211243.6177461
1966.0,654858750.0,27135492.640123155,333433.4767065097,2961433907.2089944,4144765.7965038614,463701.44315710355,3681064.353346758,2475552509.8815045,32445735.748962812,32445735.748962812,1938941817.0961945,21021018.17810397,2351755.67074033,18669262.50736364,281783219.3606956,31917803.653058633,8725609.549111092,23192194.103947543,29673095.97197455,134668410.5888961,36815314.17922237,97853096.40967372,0.0,0.0,0.0,175841353.12329447,93827119.6345465,27185035.697517075
1967.0,576958750.0,31459595.275516927,387997.3646062295,3491962260.6911926,5024715.176681915,573765.4538942268,4450949.7227876885,2814250741.6871853,38613147.786332816,38613147.786332816,2230208257.697299,25034758.67407344,2858685.352041693,22176073.322031748,327568838.9512655,38861580.409430005,10785626.472751804,28075953.9366782,42807781.4101786,175300224.5517944,48652749.64850307,126647474.90329134,0.0,0.0,0.0,219963599.67112178,126539577.34896398,32527713.116734777
1968.0,582991250.0,35732598.49601386,442096.77950306854,4058473576.91113,5995806.740864499,696662.5171660468,5299144.223698452,3140983390.3919663,45072998.80358417,45072998.80358417,2526154201.63751,29317648.02647651,3406465.11040955,25911182.91606696,370278081.08662724,46150957.86463834,12975107.431788836,33175850.432849508,46874501.84336173,219483694.78263608,61706726.16770769,157776968.6149284,0.0,0.0,0.0,267236144.99112746,164628903.54030016,38193999.7520134
1969.0,522405000.0,39955284.43087923,495714.0651346267,4648550836.455766,7047256.121740329,831282.8356499928,6215973.286090337,3458783197.749157,51852456.38060522,51852456.38060522,2820167419.720275,33816357.88784617,3988922.410474522,29827435.477371648,409038247.8263751,53738833.26025208,15279297.183870291,38459536.07638179,55609568.85747904,272024385.46347374,77343350.69441,194681034.76906374,37712.24436648438,1995087.7556335153,1995087.7556335153,323031523.7451462,208353474.35636193,44171294.32800543
1970.0,604223750.0,44127854.20598111,548830.2248981122,5252297703.683859,8170624.431389322,976706.4469106426,7193917.984478679,3792922587.3801947,59211251.92708303,59211251.92708303,3116334260.36594,38570644.020668134,4610687.590994348,33959956.42967378,465452640.4056199,63582407.42075525,18258947.06426997,45323460.35648528,65772924.74590839,334158879.3558901,95960337.72107993,238198541.63481015,416548.8809570775,24031738.874676436,24031738.874676436,407918867.20720744,258122532.74759334,50596067.950004086
