Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,0.0,0.0,0.0,9813371.633393278,11992.7803128362,1019.386326591077,10973.393986245123,1265526.7540149544,13211.682863016917,13211.682863016917,3308402.4550924725,30246.03632490545,2570.9130876169634,27675.123237288488,2662107.2806486576,237892.71935134265,53525.8618540521,184366.85749729053,1472643.6838919446,1427356.3161080556,321155.1711243125,1106201.144983743,0.0,0.0,0.0,1342428.202567584,27362.759783816728,24497.440302733798
1962.0,0.0,0.0,0.0,23834534.88288961,29820.355116771258,2844.7786110128523,26975.576505758407,3232613.284657944,34949.47075713895,34949.47075713895,7646459.93893012,72025.24371822723,6871.007135235796,65154.23658299143,5269915.447507949,492191.8331407089,119954.51975543458,372237.3133852743,1644883.0933906562,2977760.590501289,725724.8445203792,2252035.7459809096,0.0,0.0,0.0,2751352.3432120723,93588.01423568168,60854.029394023826
1963.0,23750.0,0.0,0.0,43100368.677117586,55077.4319738113,5589.2128716946245,49488.21910211667,5039563.494679125,56942.54778412579,56942.54778412579,13703870.891152402,132380.74116384517,13433.88963431073,118946.85152953444,7898814.908920838,771100.5385871106,196370.41542434064,574730.12316277,1699567.9935062309,4577384.048208592,1165688.2107104475,3411695.837498145,0.0,0.0,0.0,4211803.5790766915,210074.78327233548,108890.84937912312
1964.0,23750.0,0.0,0.0,60037286.44071394,78923.00882839106,8349.613581934449,70573.39524645661,7539009.162749894,88028.33807978733,88028.33807978733,19050875.127755255,190299.88080131388,20132.66464326141,170167.21615805247,10340602.467668314,1058212.441252524,277706.63566655066,780505.8055859734,1777300.851906983,6250836.280887002,1640406.638588462,4610429.64229854,0.0,0.0,0.0,5719704.39736881,378578.51088763267,160265.22186899922
1965.0,47500.0,0.0,0.0,79216648.2563723,106841.15673701817,11660.81144655961,95180.34529045856,8878273.676693577,109599.15417746606,109599.15417746606,24206772.245004848,250209.65255208925,27308.273980042028,222901.37857204722,12587074.926531363,1353527.5411369493,363360.99734201044,990166.5437949388,2008156.9770514513,8145774.838478731,2186772.547640099,5959002.290838632,0.0,0.0,0.0,7376849.712673541,596059.2568602017,210200.13206740288
1966.0,23750.0,0.0,0.0,98978129.19011034,137016.96754400083,15328.96397686822,121688.0035671326,10112751.345803611,131673.24652562427,131673.24652562427,29587967.966304623,315905.03590298153,35342.31564359337,280562.72025938815,14813622.693852952,1673452.2326784101,457484.1972261063,1215968.035452304,2040574.7355677779,10065322.987727495,2751632.8921393743,7313690.095588121,0.0,0.0,0.0,9063582.101392569,865955.5602556898,264027.66695665696
1967.0,23750.0,0.0,0.0,119122334.96074496,169311.86434078857,19333.493596610282,149978.37074417828,11131924.200438939,153037.6725700325,153037.6725700325,34680885.08453062,382933.6117289607,43726.67301912853,339206.93870983215,16995636.17797605,2017986.5158769065,560071.1180036484,1457915.3978732582,1558937.7937373805,11517288.895492585,3196503.453972041,8320785.441520544,0.0,0.0,0.0,10420923.821417846,1188852.1017876754,319326.4404920571
1968.0,23750.0,0.0,0.0,134212441.02357206,197175.6533448533,22910.15920290979,174265.4941419435,11744004.30283685,171514.40121285737,171514.40121285737,38072208.91745509,438285.32971491513,50925.08385153836,387360.24586337677,18374131.364995703,2321504.8129803436,652679.2886982445,1668825.5242820992,1518711.8683617627,12944645.21160064,3639321.263483497,9305323.948117144,0.0,0.0,0.0,11707289.61361742,1555157.9108299965,366834.33217585663
1969.0,23750.0,0.0,0.0,146998453.20185164,223681.87514589133,26385.149091028827,197296.7260548625,12144629.4557984,188770.68203801935,188770.68203801935,40793966.32751005,490384.2114424086,57844.92159838826,432539.2898440204,19540905.05769291,2633226.3073027926,748692.2372656662,1884534.0700371263,2838232.285509991,15651700.29387454,4450170.681317417,11201529.612557122,0.0,0.0,0.0,13904670.380531153,1961928.4891009517,411836.1196659469
1970.0,23750.0,0.0,0.0,164388292.04681912,257164.844907771,30741.170892061928,226423.67401570908,12830325.894911144,209774.76299562116,209774.76299562116,44622261.74707141,555068.1145986993,66352.16323495859,488715.95136374066,21405722.08665854,3035182.9710343713,871612.879200288,2163570.091834083,3132738.8366079503,18604851.292718794,5342751.378449332,13262099.914269462,0.0,0.0,0.0,16350584.394478615,2420090.3022766644,466752.5751993583
1971.0,23750.0,0.0,0.0,184828867.97449133,296099.788095671,35818.72622040016,260281.06187527083,13632177.342659373,233003.2324604273,233003.2324604273,49457234.08026891,632137.9281561,76468.73213849952,555669.1960176005,22134208.029644683,3371514.057013856,976873.1785542606,2394640.878459595,2378834.7531783045,20819714.541851982,6032370.139101492,14787344.40275049,0.0,0.0,0.0,18230938.771563385,2938596.8991700117,530446.8934599515
1972.0,47500.0,0.0,0.0,208781240.00269884,341328.606607253,41735.47742643504,299593.129180818,14492904.567527046,257944.94796002764,257944.94796002764,54978495.17241923,719332.0912701482,87955.3242130091,631376.7670571391,22893550.097775295,3740657.9318693876,1092618.050446693,2648039.881422695,2558533.5193441473,23231454.524241455,6785733.155405776,16445721.36883568,0.0,0.0,0.0,20282676.09445636,3525266.7157078832,602245.027660113
1973.0,47500.0,0.0,0.0,236388158.38495442,393346.96457080095,48568.21764904791,344778.74692175305,15465810.005662374,285187.87400464265,285187.87400464265,61284371.890312806,818025.7629856112,101005.10968113087,717020.6533044804,23751744.050960794,4134411.398381955,1216565.572849499,2917845.825532456,2945636.177976049,26012338.38148646,7654225.062511429,18358113.31897503,0.0,0.0,0.0,22622946.41873836,4189002.096029144,683251.8939096152
1974.0,23750.0,0.0,0.0,266908244.3074029,451591.9123187943,56261.9667400958,395329.9455786985,16961236.794852376,319094.3852740257,319094.3852740257,67977782.86599901,925133.2175526519,115258.51747176851,809874.7000808833,24926344.39858432,4569180.850989581,1353640.6072814825,3215540.2437080983,3388985.3700953834,29211585.29690107,8654064.995564379,20557520.30133669,0.0,0.0,0.0,25297359.575978395,4939174.6950735785,774126.4318891722
1975.0,47500.0,0.0,0.0,287286535.336466,500412.3172313811,62862.17210935437,437550.14512202673,19027347.097693138,360634.56692696805,360634.56692696805,71815974.93051653,1011305.1485462603,127040.91428987816,884264.2342563821,25481415.0850261,4962934.317502148,1479536.85390534,3483397.4635968087,1955005.9782071987,31008085.48786466,9244048.442582121,21764037.045282535,0.0,0.0,0.0,26929883.455184724,5764814.801116999,856808.8402619574
1976.0,47500.0,0.0,0.0,307212065.3886325,551041.1100411436,69755.64986135569,481285.46017978794,20665871.13957406,399917.939599997,399917.939599997,75416737.45095976,1098688.6187098997,139081.70769266557,959606.9110172342,25928282.574248873,5356687.784014716,1606255.8391433188,3750431.9448713968,1910499.4271092387,32804585.678828247,9836779.633589787,22967806.045238458,0.0,0.0,0.0,28559048.300906874,6665747.994078955,939877.117835063
