Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,78953189900.0,503804594.21211475,6643605.787885253,669743652.1453981,818484.0833668706,69571.147086184,748912.9362806866,848092770.2916896,8853809.43861014,8853809.43861014,722630824.436543,6606426.655185497,561546.2656907673,6044880.38949473,261817883.86458433,23396716.135415673,5264261.130468527,18132455.00494715,53881493.35277195,52224506.647228055,11750513.995626312,40473992.65160175,61710.94532697444,3264689.0546730254,3264689.0546730254,77518739.47560748,8255037.568344375,7392565.196041182
1962.0,80652524187.5,1012872624.2671702,13574569.944944594,1418925209.774334,1781310.7545796281,169932.07204783807,1611378.68253179,1706389907.8185787,18619704.159998037,18619704.159998037,1481085709.278462,14003392.054619074,1335884.5004566426,12667507.554162432,486261886.80871415,45544397.05587017,11099851.538629424,34444545.51724075,61535491.38565734,110261601.96711463,26872403.44284406,83389198.52427056,49711.59484672941,5894577.459826296,5894577.459826296,156626911.89802986,25369730.545698002,15783897.419338634
1963.0,82388358137.5,1527096346.1567483,20659478.11042195,2227469728.6091805,2871641.997801226,291411.88762470224,2580230.1101765237,2574289310.933276,29340385.951950423,29340385.951950423,2264074005.1320195,22127668.74979808,2245497.7758544195,19882170.973943662,737206658.8405964,72039427.96811773,18345743.11535516,53693684.852762565,63529742.347026825,170052868.98031467,43306094.15336693,126746774.82694775,50282.99248864584,8554694.46733765,8554694.46733765,240797941.18311855,52050346.53796062,25122171.043807983
1964.0,84161595400.0,2046757170.6683204,27874575.488427803,3097094453.794694,4098151.901633447,433561.58472255105,3664590.316910896,3451147341.3173666,41056141.82473608,41056141.82473608,3074053892.8549895,31034613.881465707,3283288.83327572,27751325.048189986,974936827.0121622,99721231.82843417,26169837.658325255,73551394.17010891,67770347.62512064,233900387.32879394,61382466.4254556,172517920.90333834,45711.8113533144,10972982.655984335,10972982.655984335,329514354.91926855,89088229.89766914,35434173.830128446
1965.0,85972933125.0,2572035317.206299,35209453.46202193,3986134670.361305,5416857.593070707,591204.3350591781,4825653.258011529,4336611308.012447,53807780.252004996,53807780.252004996,3890710567.9975214,40572664.869868495,4428164.289689565,36144500.58017893,1186946154.6244192,127578272.38774315,34249002.61360152,93329269.77414162,74327286.97720063,303978463.65463483,81604484.84946233,222373978.8051725,40569.232576066526,13119213.423408268,13119213.423408268,423600396.0929178,137216413.8349797,46649750.152884886
1966.0,87822366125.0,3103121813.6047387,42659303.601560205,5164235013.523292,7161528.58174012,801205.9792051136,6360322.602535007,5230289244.487247,67632962.95117708,67632962.95117708,4832589484.602748,51846335.1031763,5800380.911758292,46045954.191418014,1415513957.515737,159404397.1086821,43577576.47426737,115826820.63441473,70849455.51074986,370494055.49220324,101284740.75570893,269209314.7364943,55425.57126589371,16051387.852142375,16051387.852142375,521126762.9681815,197874092.6128686,59381560.96724117
1967.0,89712904025.0,3640217515.38678,50222098.217959166,6423564702.646363,9101564.782222021,1039295.4157190255,8062269.366502996,6131753295.567941,82565727.51722747,82565727.51722747,5810071026.025182,64131983.783119,7323144.793404446,56808838.989714555,1589190587.4257593,189169370.0899777,52501986.39325417,136667383.69672355,77303196.57785238,443374475.23921406,123053962.9912248,320320512.2479893,55996.96890781014,19013790.883234564,19013790.883234564,623438522.7013924,272048454.6821906,73262473.80412301
1968.0,91644152350.0,4183530911.193796,57897404.1929834,7778006282.707314,11263610.11892828,1308737.141967676,9954872.976960603,7040165489.97616,98632085.30420429,98632085.30420429,6824164892.37426,77478727.27773744,9002379.08007483,68476348.1976626,1756678233.6191216,221041153.8066377,62144597.862945326,158896555.9436924,82360396.20394264,520960839.5412498,146465494.40270412,374495345.1385457,71996.10288147017,22822594.78035309,22822594.78035309,733277802.3414186,360778138.658216,88333622.50280207
1969.0,93616830412.5,4733277699.38728,65685811.80651561,9239671241.455215,13673450.875446882,1612897.9592209551,12060552.916225927,7955090567.134243,115857679.15364371,115857679.15364371,7881375988.925106,91985835.84307651,10850499.135879844,81135336.70719667,1938763473.599616,257065560.01950586,73090181.69885087,183975378.320655,91701847.4071129,607456663.5300654,172715154.48518753,434741509.0448779,122850.49301203244,29321744.28734106,29321744.28734106,857092200.4299403,465171626.63133526,104660080.80394706
1970.0,95631808162.5,5289679492.61112,73588606.77615981,10842593014.595516,16384890.526808802,1958629.764939288,14426260.761869514,8875691940.986557,134259347.62995857,134259347.62995857,8997562522.40631,107841376.24517348,12891226.161091227,94950150.08408226,2100178791.3812068,294462082.21840924,84560616.52528068,209901465.69312856,99105420.39578766,700854395.1566466,201264214.74171594,499590180.4149307,140563.81991144177,36757980.467429616,36757980.467429616,989885385.0513992,586454205.7181079,122353179.38913764
