Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,121157079800.0,13657266.101371245,164933.89862875367,627970061.4424298,767433.1790605179,65231.82022014403,702201.3588403739,501979408.23824805,5240499.834846056,5240499.834846056,535277388.5290531,4893606.372595242,415956.54167059564,4477649.830924647,40939905.291476235,3658494.708523765,823161.3094178472,2835333.399105918,7587872.752478273,7354527.247521728,1654768.6306923889,5699758.616829339,0.0,0.0,0.0,18955443.040546335,5500613.712900296,4919737.3117107805
1962.0,118914382050.0,27538752.55321965,338513.54815159366,1263640624.8502638,1588591.8060480999,151547.2224854316,1437044.5835626684,1009393484.025313,11014537.476392927,11014537.476392927,1075922106.853697,10179262.911483668,971073.2582852116,9208189.653198456,56965766.19049089,5417539.1009853445,1320335.4004640763,4097203.700521268,5220427.9500482725,12188244.802430002,2970457.763607777,9217787.038822224,0.0,0.0,0.0,34974762.45249754,16772042.489653938,10388342.93640041
1963.0,116713387250.0,41650671.89832305,517280.65489659493,1908371969.9979432,2467640.831431424,250414.17879311735,2217226.6526383064,1521697202.8263056,17344843.51924801,17344843.51924801,1621228065.3675473,15866575.205289688,1610127.1099437433,14256448.095345944,71232582.69704397,7176583.493446924,1827606.9220725026,5348976.571374421,5140447.335275182,17021962.357338276,4334856.030022593,12687106.327315683,0.0,0.0,0.0,51854601.16592236,34192076.51770505,16398484.239181144
1964.0,114550202650.0,55999881.552068606,700590.346254443,2551353145.3324966,3394036.884160186,359070.1480627787,3034966.7360974075,2038653404.3505685,24255982.70819057,24255982.70819057,2166308163.0791817,21926066.06044567,2319655.341254953,19606410.719190717,85113634.98073906,9058347.71630492,2377181.7178933793,6681165.998411542,5944815.471580299,22635311.77594143,5940183.686670635,16695128.089270797,0.0,0.0,0.0,70273654.25116104,58157372.77619913,22932063.904984612
1965.0,112429928650.0,70594671.68156677,888209.8705018372,3192984962.8466187,4370248.608342128,476975.78866450366,3893272.8196776244,2560660788.5856953,31777769.95234458,31777769.95234458,2711735040.760727,28374521.185913257,3096839.7529592277,25277681.43295403,98023730.91876909,11021504.061969953,2958775.929156523,8062728.132813429,3998849.8102429956,26338563.128492124,7070714.319477649,19267848.809014477,0.0,0.0,0.0,88279301.14680414,89101226.7822385,30004870.19893687
1966.0,110348899850.0,76853900.36870779,968971.312858984,3833365131.376537,5398440.826572632,603958.0823098564,4794482.744262776,3087099458.3616,39928316.78127575,39928316.78127575,3257005079.2738442,35218523.525427364,3940121.3449450587,31278402.180482306,110323755.38412587,13105575.534643218,3582769.550019498,9522805.984623719,3938245.942347921,30041814.481042817,8212756.3086030595,21829058.172439758,0.0,0.0,0.0,107353065.86308432,127476060.47182679,37626368.016432546
1967.0,108306386450.0,83485788.10206111,1054712.2666466879,4471648562.124837,6479670.463795301,739904.837193099,5739765.626602202,3618322060.30396,48733599.61592187,48733599.61592187,3802372881.443186,42470459.001915775,4849644.473265824,37620814.52864995,130889797.89036581,16114557.493760066,4472427.422411378,11642130.07134869,6820565.097441258,36538746.678500175,10140948.188539814,26397798.48996036,0.0,0.0,0.0,130134108.33248307,173756970.98380107,45813269.25919976
1968.0,106303172450.0,99086363.13714671,1257024.964914395,5066556302.159437,7565556.496265765,879054.2891465018,6686502.207119264,4154559670.9077315,58216671.53325545,58216671.53325545,4329656891.96398,49973425.07088342,5806493.372111385,44166931.698772036,156484586.4889922,19841811.401373588,5578424.511344264,14263386.890029322,7222013.238413255,43338869.04517221,12184502.941036489,31154366.10413572,0.0,0.0,0.0,154487858.4333118,228335859.48721954,54491216.93572829
1969.0,104335311850.0,114965631.97587886,1463731.1612678508,5660152463.549992,8706687.401114225,1027026.6422683861,7679660.75884584,4695225024.878574,68390043.34095839,68390043.34095839,4856023760.513764,57881048.211985074,6827554.023419076,51053494.188566,181896395.73537907,23885790.753613155,6791328.974872585,17094461.77874057,8415841.545099769,51286782.76672837,14582117.771377984,36704664.99535039,0.0,0.0,0.0,180922325.0624612,291710230.18081164,63748827.59477816
1970.0,102404129850.0,131132357.10653,1674874.8693488655,6248768431.95167,9900629.232244253,1183509.1039621623,8717120.12828209,5239953165.503242,79265553.65737991,79265553.65737991,5380258770.453547,66188421.59815294,7912082.929353682,58276338.66879926,221399601.9869384,29550393.748440698,8485980.589105286,21064413.159335412,10954737.48161409,61660217.84200195,17706952.27216194,43953265.569840014,0.0,0.0,0.0,211276691.18363667,364378799.50339234,73590443.13188057
1971.0,101121953250.0,147612413.34021717,1890743.7663128474,6825419287.241118,11140659.981761476,1347668.137041523,9792991.844719954,5788698658.031941,90855363.45933446,90855363.45933446,5899411732.456582,74872858.82079811,9057252.113177214,65815606.707620904,246560286.28957218,34439515.69736618,9978614.532888241,24460901.164477937,12282934.097320557,73246413.59413424,21222648.239164043,52023765.3549702,0.0,0.0,0.0,242948628.53112343,446831920.02555346,84010841.48951411
1972.0,100054420100.0,164422493.10679457,2111520.233422608,7390367384.885358,12428430.585591462,1519668.946903746,10908761.638687715,6341075585.949211,103165177.36736615,103165177.36736615,6414071652.489475,83940915.34825584,10263757.885674335,73677157.46258152,267415492.71536204,39380793.57421014,11502833.64151233,27877959.932697807,16253879.187761495,88644142.90210818,25892287.497353915,62751855.404754266,0.0,0.0,0.0,278380911.80608743,539566190.5895336,95016825.90465534
1973.0,98213921500.0,181574361.2600143,2337331.846780282,7776087638.174166,13560543.551929617,1674377.8139692834,11886165.737960335,6897305389.948534,116203671.21363719,116203671.21363719,6849559360.825248,92710064.44631869,11447304.78141413,81262759.66490455,323384153.7620419,47636770.16412908,14017292.668577738,33619477.49555134,27224844.492460556,114558239.79369976,33709178.20945337,80849061.5842464,571.39764191643,30228.602358083568,30228.602358083568,323851364.2986579,642670142.4772589,106248644.7287767
1974.0,96564106100.0,199070767.11113107,2568194.148883237,8337157921.898407,14959814.1439455,1863781.3097292883,13096032.834216211,7456049779.403334,129960321.34590264,129960321.34590264,7356687640.306621,102510049.91620016,12771302.721735625,89738747.19446453,362645241.0422318,54947984.53033443,16278590.315029098,38669394.21530533,25026403.11925545,138018098.89126116,40888489.48899451,97129609.40226665,451.4041371139797,54109.198220969585,54109.198220969585,368648214.19037634,757053179.1168461,118412064.73499611
1975.0,95547904700.0,216910295.08916673,2804072.0219643377,9102351424.378195,16675371.451755036,2094772.7185998675,14580598.733155169,8016876059.073357,144429604.29429126,144429604.29429126,7933946273.453448,113371526.30684485,14241816.50529955,99129709.80154529,382053868.81785,60981288.42736767,18179580.43666626,42801707.99070141,41864396.61381242,177873616.08232594,53027212.027191386,124846404.05513455,337.1246087306937,71944.07361223889,71944.07361223889,425859968.94843996,883638479.2918823,131554612.65395564
1976.0,93758943500.0,235098667.05423284,3045028.034933885,10035916298.523817,18680062.36390735,2364687.2545457045,16315375.109361645,8578795761.407631,159596513.24173412,159596513.24173412,8561424602.6343355,125156415.54349676,15843404.314975047,109313011.2285217,420762607.66562647,69112379.54282437,20724030.90750042,48388348.63532396,39029625.61739569,214477332.0828007,64313150.385569096,150164181.6972316,1142.79528383286,132401.27832840604,132401.27832840604,483909831.19050145,1023252336.483247,145611042.38825274
1977.0,91266873300.0,253633842.36680883,3291024.687423999,11194811250.608086,21058152.60343753,2684876.5556506603,18373276.047786873,9141070729.939539,175444445.40513128,175444445.40513128,9269349340.472712,138172597.42380816,17616757.483084306,120555839.94072385,454616767.73435336,77362220.14122349,23324458.741383366,54037761.399840124,40052567.38940293,252172532.69244826,76029201.64077567,176143331.05167258,571.39764191643,162629.8806864896,162629.8806864896,544717283.7258412,1176888044.4715505,160737853.4053384
1978.0,89050386300.0,272519736.86074287,3542105.5060659503,12335521859.585686,23531264.37349546,3020369.001338206,20510895.372157253,9702418199.754076,191947160.24743077,191947160.24743077,9946111815.199816,151450445.83578813,19439509.266510163,132010936.56927797,535648211.4981806,90380989.44289513,27389058.426735703,62991931.01615943,42931533.27526952,292624598.1978836,88676969.20053945,203947628.99734414,1142.79528383286,223087.08540265675,223087.08540265675,611631639.2877722,1344937175.1884553,176419861.47196114
1979.0,87233413900.0,291769103.16068,3798433.700062842,13325440432.54407,25940099.166030984,3350594.0157312015,22589505.150299784,10262854703.700768,209087588.76813424,209087588.76813424,10523202231.970919,164343313.65020394,21227664.540422887,143115649.10978106,602535515.6208599,103046036.88048297,31377503.024375618,71668533.85610735,51867052.98305034,341652614.2039626,104033170.60999064,237619443.59397197,1142.79528383286,283544.2901188239,283544.2901188239,684364264.7684132,1527421442.8347733,192308475.3818971
1980.0,84953206250.0,311401043.6386381,4060259.5220419406,14971543024.745022,29264229.895574592,3802476.5105069857,25461753.385067604,10821896440.554068,226840376.4874966,226840376.4874966,11320963134.837986,179713382.5022606,23351235.211965777,156362147.29029483,664710473.6636775,116100900.24991825,35513497.33065013,80587402.91926813,59467839.4458762,397783942.74592835,121676050.3878432,276107892.35808516,1142.79528383286,344001.494834991,344001.494834991,765703573.9350474,1726138127.0121922,209947592.98543984
1981.0,82501512850.0,331470528.5608657,4328315.077772355,16801409241.081375,32976200.65567927,4308928.7978390185,28667271.85784025,11379464593.767845,245181060.42379338,245181060.42379338,12186013940.099659,196293410.77582836,25649235.318209466,170644175.4576189,736757441.2466966,130848575.39746882,40196957.90545743,90651617.4920114,63031342.139769025,457150743.5222279,140437671.08653623,316713072.43569165,1142.79528383286,404458.6995511581,404458.6995511581,852261656.3665067,1941999874.5291862,228630760.22225863
1982.0,82121146800.0,351999236.8869255,4602891.673940202,19392993453.31905,37800921.850784205,4965742.170569467,32835179.680214737,11935317027.501957,264080737.87245226,264080737.87245226,13271365883.362156,215522821.3797292,28312292.675561547,187210528.70416766,824927558.1274185,147876312.80564928,45613653.320936695,102262659.48471259,82968375.29882519,535741966.6708037,165253973.90260935,370487992.7681944,9713.75991257931,918344.9396385788,918344.9396385788,957795443.4493803,2176896109.1815176,249230211.6045035
1983.0,79342732600.0,373005005.8386201,4884231.048305384,21523644713.545937,42304219.25987483,5585528.159070401,36718691.100804426,12489241688.030066,283508202.6441804,283508202.6441804,14183770300.896208,233945130.87970087,30888340.195545923,203056790.68415496,911636514.6514623,165845022.56042814,51355295.0185256,114489727.54190254,87486219.0831549,618120901.2904972,191406294.5803761,426714606.7101211,12570.74812216146,1583374.1915164173,1583374.1915164173,1066071392.87268,2430420892.794055,269758900.8166022
1984.0,77088921600.0,394498328.00490785,5172477.833712294,23349524960.907547,46653097.80968094,6189504.156697689,40463593.65298325,13040399104.889,303423405.6927403,303423405.6927403,15070439709.913626,252796500.15309227,33538715.797164194,219257784.35592806,992873268.5433798,184489774.2044202,57340796.90239495,127148977.30202526,85159776.39299156,698128455.6581187,216983527.46271458,481144928.1954042,14856.33868982718,2369317.85282659,2369317.85282659,1173808007.0519075,2702845224.7144303,290720451.7812766
1985.0,75775314400.0,416483631.99551404,5467696.00939383,25479324694.20808,51577275.22395921,6874381.05900117,44702894.16495804,13587990954.659454,323784162.8768739,323784162.8768739,16022254507.924242,272886567.82730603,36371177.90697959,236515389.92032644,1084594183.770387,205056174.0161491,63958998.908208385,141097175.10794073,92558457.49697049,785380089.4259052,244967626.66684723,540412462.759058,22855.9056766572,3578461.947149933,3578461.947149933,1290090546.776307,2995122863.5667944,312724808.1097945
1986.0,73671596200.0,438954034.26857173,5769797.726942331,27786870911.844086,56950463.12085715,7624040.966264631,49326422.15459252,14131591825.589764,344549973.56147915,344549973.56147915,16947850462.931412,293414876.016814,39279874.33774496,254135001.67906904,1148246778.6626945,224282762.03249124,70193463.50124134,154089298.53124988,110781567.03459921,890071654.855733,278564485.5290059,611507169.3267272,10285.15755449574,4122576.7895954372,4122576.7895954372,1417730442.0427132,3307743960.5646596,335390300.3972752
1987.0,71742570800.0,461915170.91723555,6078863.351336178,30877490075.753242,63532395.370232366,8541139.76917137,54991255.601060994,14670157755.322514,365672358.53181076,365672358.53181076,18279209005.223892,318306937.44046706,42792405.769258074,275514531.671209,1208863234.9123688,244395278.9420922,76737085.95776924,167658192.98432297,109283764.96293843,992775159.033139,311719084.939914,681056074.093225,133135.65056652817,11165841.139028909,11165841.139028909,1556058254.0206575,3643336346.1259894,360585760.2427509
1988.0,69570825400.0,485372598.3661077,6394972.55112786,34200720975.79239,70713639.69557296,9545144.01099109,61168495.68458187,15203353541.73169,387108490.9809019,387108490.9809019,19541345063.90188,343471218.4727097,46362798.719832376,297108419.75287735,1296021307.148936,267986000.6917375,84407422.48019916,183578578.21153834,124548369.17626318,1110334981.502064,349721678.1334593,760613303.3686047,150848.97746593753,19146192.16156297,19146192.16156297,1708723480.1600668,4002271458.641909,386450293.9024408
1989.0,67042400500.0,509334754.1456673,6718244.220440379,37303040886.846375,77966863.39068086,10565245.797796346,67401617.59288451,15730557172.32308,408811812.84445286,408811812.84445286,20837187118.540817,369803309.49288976,50111838.43645471,319691471.05643505,1417564985.703117,296022428.7678318,93518513.90201664,202503914.86581516,154231702.07670572,1256208434.4875083,396857584.1818672,859350850.3056412,184561.43833900688,28910030.723223962,28910030.723223962,1886669697.3884528,4385109735.15939,413066624.9762912
