Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,279062500.0,41204003.397588536,511596.6024114612,46567579.241093755,56909.56873972161,4837.313342876338,52072.25539684527,1485490941.9507895,15508036.6011023,15508036.6011023,595294190.4401772,5442291.242513155,462594.7556136182,4979696.486899536,17808579.73951171,1591420.2604882922,358069.5586098658,1233350.7018784264,6982362.294315254,6767637.705684747,1522718.483779068,5244919.2219056785,0.0,0.0,0.0,27018075.267182786,10810569.299488034,9729236.043910647
1962.0,285000000.0,80044305.74486686,1010197.6527216705,94591745.5223847,118885.40612162247,11341.33578128181,107544.07034034065,2954113294.66991,32250953.96927308,32250953.96927308,1185324253.4945555,11217893.868834613,1070155.7514559934,10147738.117378619,42562841.87716702,3945737.862344683,961635.4000394006,2984102.4623052827,8949025.058610316,15233337.23570494,3712592.3864307,11520744.84927424,0.0,0.0,0.0,57011083.46857156,32874415.742547657,20442389.713932417
1963.0,308750000.0,116627698.08557923,1485407.6592876324,141053719.79334867,182486.37755807288,18518.568745933604,163967.80881213926,4405354697.089944,50276208.48980945,50276208.48980945,1768674717.0190496,17324531.18788041,1758079.2938461252,15566451.894034287,64962786.41296595,6300055.464201074,1604388.0749563149,4695667.389244759,9002901.409939425,23699036.765725132,6035256.703839575,17663780.061885558,0.0,0.0,0.0,88366075.64378619,66797572.87806305,32083471.057140477
1964.0,335825000.0,151058639.02558365,1935959.0599955507,188727500.44281533,251145.53999706588,26569.795588525736,224575.74440854014,5837942487.892612,69618754.48883577,69618754.48883577,2346011556.3489122,23777331.277819514,2515508.862708471,21261822.415111043,85283803.75525145,8678982.657714501,2277624.96538923,6401357.692325272,10653277.952232122,33764359.75345263,8860779.16591878,24903580.587533846,0.0,0.0,0.0,122410090.92821446,113258206.24385291,44644519.282565475
1965.0,344375000.0,183437645.31344435,2361893.7121393173,260319178.30462074,352848.95246082125,38510.48818096636,314338.4642798549,7251342500.941753,90315203.61869423,90315203.61869423,2921551120.159415,30623460.660351526,3342292.535080439,27281168.125271086,103501284.31236649,11082519.442884963,2975155.8024791284,8107363.640405835,10297784.503330082,43435929.27466756,11660584.732884519,31775344.541783042,0.0,0.0,0.0,157793418.39043406,173009785.1643936,58159131.28770449
1966.0,356250000.0,213950540.09460625,2764905.218838106,330748874.06146216,458793.38296649855,51328.148377393336,407465.23458910524,8643363966.040937,112378738.84829271,112378738.84829271,3489341572.2392416,37818904.88508461,4231042.629387474,33587862.25569713,119315228.08431107,13486056.228055425,3686784.4129397986,9799271.815115627,10285291.436355216,53107498.79588249,14518395.55314614,38589103.242736354,0.0,0.0,0.0,194762441.3964309,246788365.00498495,72595486.4979876
1967.0,356250000.0,242600007.47572777,3144532.618878487,402887036.0083084,572641.1533819702,65389.12151945822,507252.031862512,10013210214.961357,135828672.66740686,135828672.66740686,4049064145.099819,45366420.98218166,5180330.468718589,40186090.51346307,185692390.27571535,20622837.808595702,5723653.62057387,14899184.188021831,7136880.8018276105,59727478.95162503,16576739.06579091,43150739.88583411,0.0,0.0,0.0,234571939.28658837,335349915.19434094,87960465.02337642
1968.0,115289625.0,269415697.46484464,3500810.010883164,494021457.8681189,715877.4210134189,83178.95950622954,632698.4615071894,11361751764.815147,160693873.99853268,160693873.99853268,4605287951.506868,53312104.35764762,6194419.9375349935,47117684.420112625,248053862.18113297,28038528.094582383,7882889.783641695,20155638.310940687,7065449.941115364,66372068.699024595,18660170.052499987,47711898.64652461,0.0,0.0,0.0,276311793.8376178,439500821.66928625,104293350.40520717
1969.0,113140962.5,294512993.1198199,3835004.34502474,599897153.7785068,884889.8604559358,104380.16438319556,780509.6960727402,12685643372.15629,186952314.9564676,186952314.9564676,5157787638.1992855,61659916.553434566,7273303.168357541,54386613.38507702,332741807.90160406,38112054.27952889,10836212.256499331,27275842.023029562,13007586.310055,78775302.89417046,22397793.004555117,56377509.88961534,0.0,0.0,0.0,325772789.95026225,560036956.8359483,121583302.87095532
1970.0,111232887.5,318003590.2936892,4148402.8261306626,707543311.938309,1065177.8562323006,127330.05757696333,937847.7986553373,13989030159.511372,214648805.1386801,214648805.1386801,5705235257.784842,70402401.06675264,8415816.878783368,61986584.187969275,407264430.6343477,48177377.267256394,13835087.67444133,34342289.592815064,12174681.080843832,90194153.4230349,25901036.775154505,64293116.647880405,0.0,0.0,0.0,376208643.3660002,697768272.9231696,139841921.0380834
1971.0,102043775.0,336110547.2387768,4390343.054912401,823640090.4206697,1265391.9158339482,153072.47224411805,1112319.44358983,15261473085.644234,243671073.81439146,243671073.81439146,6243598411.337855,79505258.86412473,9617626.269344034,69887632.5947807,458594787.5816825,57069643.052665204,16535539.42384913,40534103.628816076,42815061.69170786,131341390.67359817,38055271.196672186,93286119.47692598,0.0,0.0,0.0,448491248.9585041,853433575.5890806,159005723.18685108
1972.0,91340125.0,348797800.42171,4560046.817066803,933451827.073472,1468493.5163320727,179557.98844678813,1288935.5278852845,16367865066.54842,272586546.58376074,272586546.58376074,6715884747.860893,88446079.19304381,10814620.486425783,77631458.70661803,517097319.2302815,67397468.35140108,19686293.64576761,47711174.70563346,62699532.87216179,190847383.30030987,55745085.40272436,135102297.8975855,0.0,0.0,0.0,534320413.421483,1026770370.069613,178170146.3377316
1973.0,85902087.5,359016071.1086732,4696829.313036807,1044605000.4767122,1683764.7777229184,207901.57687749958,1475863.200845419,17290130395.641197,301046484.1910044,301046484.1910044,7117752657.813366,97145773.72593972,11995000.615181671,85150773.11075805,570415954.6832938,78069827.93333545,22972330.469858497,55097497.463476956,61301570.26911368,248433827.7777728,73102556.2971172,175331271.4806556,0.0,0.0,0.0,618101889.4467404,1217330791.0633163,197112699.50890467
1974.0,80678037.5,367052206.4219812,4804464.686691991,1127623470.9657283,1875669.6638048438,233681.91803642915,1641987.7457684146,18175641404.75133,330396249.90116155,330396249.90116155,7500309338.613528,106026514.3009722,13209404.461075703,92817109.83989649,568913930.8482463,84599572.91966885,25063008.227816753,59536564.6918521,57686009.39959618,302574929.4232508,89639198.92204216,212935730.50120863,0.0,0.0,0.0,697327642.6798873,1425576945.4298418,216609193.12030095
1975.0,77914250.0,373970238.66932744,4897167.752653761,1302934379.448825,2189795.7318838513,275083.7887916398,1914711.9430922116,19042987213.343033,360760281.0915361,360760281.0915361,7897235086.317584,115380949.6330229,14494241.776663024,100886707.85635988,584349744.268349,93016053.26637498,27729699.81228537,65286353.454089604,112267634.63431177,409725091.4979831,122146160.73059504,287578930.76738805,0.0,0.0,0.0,816426985.1124659,1652228712.2621179,236909934.05871207
1976.0,69310100.0,377955450.3029279,4950588.366399527,1489381979.0665522,2533793.9408096997,320750.0125403515,2213043.928269348,19879496129.888893,391945272.24137384,391945272.24137384,8283114728.302558,124981361.93724959,15821244.483627014,109160117.45362258,597415191.7463832,101760661.50184157,30513941.32400133,71246720.17784025,106738637.80640115,509886129.54211736,152894401.5216405,356991728.0204768,0.0,0.0,0.0,931556881.8215828,1897745485.2060876,257801660.67929587
1977.0,69973912.5,382091012.22950387,5006038.073424017,1782578120.096014,3025903.0314031364,385797.1903651394,2640105.841037997,20678393485.76267,423799718.64549726,423799718.64549726,8676677416.65681,134986464.93202096,17210531.324907456,117775933.60711351,628185645.2026243,112654507.40868926,33964969.0157313,78689538.39295796,119516774.93919513,622647278.5146538,187726137.27525324,434921141.23940057,0.0,0.0,0.0,1057826437.7260072,2162635659.6832795,279325583.6164571
