Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,5000000.0,3697294.10040308,52705.899596919895,14017916.06425241,27550.75414422342,1653.0452486534052,25897.708895570016,2055221.2286368096,30194.709446226523,30194.709446226523,8420309.117788667,104336.4255623464,5738.503405929052,98597.92215641735,3796238.6159985554,268632.9520044977,40294.94280067465,228338.00920382305,322029.5646616109,270705.5082273899,40605.826234108485,230099.6819932814,0.0,0.0,0.0,613128.0316953184,385288.5581422418,227839.47355307656
1962,5000000.0,8138631.474736623,118662.62566645723,28477752.200637437,57799.87275384842,3868.6305535914416,53931.24220025698,4078865.30664,63166.9735095985,63166.9735095985,16751074.390874779,216141.05192980386,13385.933463623254,202755.1184661806,6560464.038064003,510372.24616058095,83631.09859333221,426741.1475672487,386813.27901559527,401500.4397967825,65791.04392629174,335709.39587049076,0.0,0.0,0.0,1082303.8776137754,995215.9311374063,472376.50461861095
1963,5000000.0,14109710.773393517,208920.70134310608,37113646.28399623,78578.36350892599,5577.973368278918,73000.39014064707,6068120.644252285,98980.77701256693,98980.77701256693,22182847.670775812,300823.6350844733,19850.185351902168,280973.44973257114,8606263.36018822,734017.071229811,126230.56417537654,607786.5070544344,506669.5038337813,515212.20649783313,88602.20020128158,426610.00629655155,0.0,0.0,0.0,1487351.130236771,1773061.870396325,709505.1909778526
1964,5000000.0,16977039.505854532,252671.26753898774,50354125.50362739,109714.8058192739,8103.858515542666,101610.94730373123,8020124.428271893,137674.08733214653,137674.08733214653,30417548.062757485,426363.728762382,29360.661411624416,397003.0673507576,10846927.703285296,993085.9232346973,176497.0767949606,816588.8464397367,569627.476437657,595492.8502568232,105834.49514648838,489658.3551103349,0.0,0.0,0.0,1942535.303536707,2736061.419293341,979535.754639691
1965,5000000.0,23789666.485948436,357373.01990609703,67941932.49277464,151362.09716360742,11517.804806622882,139844.29235698454,9931990.066787316,179256.06004660227,179256.06004660227,40695943.17477603,586347.9554527992,41686.043843743515,544661.9116090557,12123813.245039187,1204670.5061478936,219477.42361389598,985193.0825339976,377323.5837942542,447915.71366191166,81605.20767213589,366310.50598977576,0.0,0.0,0.0,2215265.852536416,3748795.959711668,1202531.3121180888
1966,5000000.0,28696365.403934985,433301.08201344934,83163281.54897182,190979.5165480516,14880.664564918769,176098.85198313283,11800837.230582677,223704.656775199,223704.656775199,49561108.03286894,740239.6807053746,53976.49701281767,686263.1836925569,15536699.777996875,1572651.0835465537,292253.91194670903,1280397.1715998447,9716087.554244772,8252037.101835169,1533518.8776279632,6718518.224207206,0.0,0.0,0.0,9084982.088257939,9182518.40144559,3651259.6465240167
1967,5000000.0,33262098.830410022,504266.57352496224,88029780.0344326,212673.22298435337,16898.82320943677,195774.3997749166,13623824.029642764,270964.7727218809,270964.7727218809,53217337.203229584,839820.178381555,62532.25589592663,777287.9224856284,17455453.307964988,1862385.5192619918,351838.52555700997,1510546.9937049819,9555492.75355427,10332144.612281913,1951930.193093218,8380214.419188695,0.0,0.0,0.0,11134788.507876104,14995134.587136572,5322172.3221851215
1968,5000000.0,36310307.205895625,551791.6245143936,91152677.78910689,232117.8886035283,18753.82911750359,213364.0594860247,16768328.255864399,341076.76817769965,341076.76817769965,56775657.42920347,943266.3676591425,71494.32291905148,871772.044740091,19840982.304555636,2190869.49723145,419746.12548356334,1771123.3717478865,10648698.708886618,11143845.504038228,2135036.331108917,9008809.172929311,0.0,0.0,0.0,12206145.417081013,20649996.016296092,6551283.987921493
1969,5000000.0,38927623.921921626,592683.2839739991,100311962.75916204,264414.06294524384,21674.61455368079,242739.44839156306,19155414.45042047,405573.2467667164,405573.2467667164,63044585.840128765,1085190.183226903,83529.52549418113,1001660.6577327219,20545783.681243867,2408363.267457727,467088.7893668966,1941274.4780908301,10387976.86292021,11168317.823550453,2166033.7217207123,9002284.101829741,0.0,0.0,0.0,12593531.932811573,25843242.12713451,7400285.821973156
1970,5000000.0,42065815.66278032,641808.2591413053,114753444.29065639,308893.1151074603,25646.11372819694,283247.00137926335,20791212.981513914,463411.8056864608,463411.8056864608,72386290.73185994,1272716.6418685403,99304.79897448915,1173411.8428940512,23344156.715638638,2758697.804196794,540847.399429898,2217850.404766896,12154964.513266267,12588738.406968549,2468043.5889550303,10120694.818013519,0.0,0.0,0.0,14258615.872740189,31581203.398571767,8520654.601302937
