Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,35987500.0,0.0,0.0,98389562.19140597,120240.46867056811,10220.43983699829,110020.02883356981,8380535.038982834,87490.02801100319,87490.02801100319,41275857.99864002,377351.6424662461,32074.88960963092,345276.7528566152,36450490.85466923,3257309.1453307737,732894.5576994241,2524414.5876313495,11046655.738590278,10706944.261409724,2409062.458817188,8297881.802592536,0.0,0.0,0.0,11365083.199925076,287094.73084167344,255692.0788595147
1962.0,26687500.0,0.0,0.0,202965036.15621638,254983.83458355325,24324.745830051328,230659.0887535019,13795067.902398601,151976.16252737545,151976.16252737545,81619285.71753886,772626.4958225659,73706.41030299793,698920.085519568,67179846.37736596,6294444.47730327,1534050.3713443507,4760394.10595892,10850121.791567419,20894133.94702286,5092213.309041903,15801920.637980957,0.0,0.0,0.0,21643870.08074032,850597.5275383228,518052.54010379605
1963.0,27862500.0,59381.962202858325,618.0377971416763,329391967.9364473,424118.22431581863,43039.17146306643,381079.0528527522,21343625.04451931,244272.06312786764,244272.06312786764,130969669.98276374,1277068.1125018878,129595.83039057191,1147472.282111316,98931321.18706548,9694325.190300468,2468781.3969966457,7225543.793303823,11919527.927172504,32133826.648624085,8183281.650569368,23950544.998054717,0.0,0.0,0.0,32948912.189450476,1766199.8540672588,857221.0715629997
1964.0,21712500.0,118127.61293912065,1254.34926373768,468148558.4852514,617882.6612880918,65368.5349471493,552514.1263409425,27511027.959899243,329939.686920091,329939.686920091,182195288.8923788,1832158.3528508507,193832.12189085994,1638326.2309599908,130774682.06795105,13406239.119114438,3518198.6315563857,9888040.487558052,14888865.59271,46219175.65271164,12129295.851600142,34089879.8011115,0.0,0.0,0.0,46498700.33289057,3057931.7887402712,1229048.1095480116
1965.0,22962500.0,235576.27354593427,2551.3393931863716,614703089.4307088,832018.1132387712,90807.76205447105,741210.3511843001,37135757.50947209,458494.0434747819,458494.0434747819,235697319.84026706,2443841.7546289875,266724.72272180446,2177117.031907183,155721330.74433905,16833551.323612012,4519048.051743115,12314503.271868896,13933474.410540704,59291003.23399584,15916955.8163673,43374047.41762854,0.0,0.0,0.0,59065372.11606371,4777737.744991157,1657015.470315379
1966.0,26100000.0,292390.2555160478,3186.0180298863893,752465963.2914157,1047257.163010045,117163.35293395618,930093.8100760888,40605537.76058893,533096.855153797,533096.855153797,278139336.00675434,2992709.421448524,334813.53249105066,2657895.8889574734,183967720.5176258,20862010.22671321,5703204.319023312,15158805.9076899,20832289.36397649,79080658.70745096,21618873.22411688,57461785.48333408,0.0,0.0,0.0,76741677.94521134,6861031.41479051,2037792.884388006
1967.0,27037500.0,348573.2529450972,3817.0025709505926,913368006.2570395,1302491.354243772,148729.73228991698,1153761.621953855,46719277.17601708,640121.8900574609,640121.8900574609,328990608.95100826,3650703.65431101,416868.9299981926,3233834.7243128177,202561261.28142026,24387859.236205555,6768596.063785799,17619263.172419757,32507679.5219826,109980068.23855814,30523821.290114153,79456246.948444,0.0,0.0,0.0,102103228.35718788,9391398.779158507,2497350.871956137
1968.0,16887500.0,404129.55796924356,4443.694975853689,1109361889.4162412,1614432.4204460331,187583.52335756595,1426848.8970884671,49360368.24858471,718266.9444426401,718266.9444426401,391684288.04505765,4455292.281724114,517667.6417106897,3937624.640013424,218917412.9595563,28028848.32186395,7880168.36469942,20148679.95716453,39956485.85363692,147757563.32270685,41541288.55991593,106216274.76279092,0.0,0.0,0.0,132447695.20149998,12442832.451852672,3031306.808850365
1969.0,16600000.0,478641.7040220442,5287.853947199361,1307665357.9276493,1946046.0154087134,229552.41331498933,1716493.602093724,53052638.38777195,811598.9898997074,811598.9898997074,453779916.63528883,5301141.047069738,625313.9499491401,4675827.097120598,240938568.23075938,32501444.728796884,9240975.339219576,23260469.389577307,42275009.32568391,187570763.82872552,53331069.35286674,134239694.47585878,0.0,0.0,0.0,164704083.55455008,16044332.270603688,3602419.8703630134
1970.0,31475000.0,532738.7070907392,5902.996931304989,1507303815.7170868,2296974.8657385847,274577.5648602547,2022397.30087833,56221528.33167474,904622.8749317095,904622.8749317095,508685959.06728214,6128600.597449861,732605.416432275,5395995.181017585,254377384.23452476,36606783.99623466,10512362.74772174,26094421.248512924,36445367.5275748,221670995.28911337,63657214.83120089,158013780.45791247,0.0,0.0,0.0,192431217.06325302,20189176.56033773,4178171.0670935847
