Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,2137500.0,29697.219426054202,302.78057394579866,90614654.78773668,110738.86617061186,9412.803624502008,101326.06254610985,6969084.973768851,72754.95379828423,72754.95379828423,27849130.004102286,254601.97456465385,21641.167837995577,232960.80672665828,22306623.075780127,1993376.9242198712,448509.807949471,1544867.1162704001,19423662.382367887,18826337.617632113,4235925.9639672255,14590411.653664887,0.0,0.0,0.0,16542320.59300634,214796.18861410356,192245.6344569488
1962.0,2612500.0,29397.58509554891,299.6343305052889,197838691.15324098,248170.34015215532,23674.75748655924,224495.58266559607,13384686.422416404,146351.25884778236,146351.25884778236,60294919.798713624,569071.9121992248,54287.871409085354,514784.04079013946,43813227.66349323,4093395.4122868963,997621.755966031,3095773.6563208653,20604966.53899185,38218695.84337604,9314468.459009493,28904227.38436655,0.0,0.0,0.0,32885631.922990933,675972.5323387273,424454.5385788942
1963.0,2422500.0,29101.063403637723,296.5216919111864,286967146.59611624,371336.7846544085,37682.954018462275,333653.83063594624,20488424.281358972,233548.19728472194,233548.19728472194,87048283.57966954,852947.0590690025,86556.37183101317,766390.6872379894,66432701.8604739,6480525.803019335,1650347.1083535012,4830178.694665833,22527205.94849056,59456773.44339763,15141412.45740022,44315360.98599741,0.0,0.0,0.0,50479132.39582191,1362524.9755681218,647040.2719292631
1964.0,2636250.0,28807.62111388306,293.442289754666,375107165.98129195,500208.7722596731,52919.294647566545,447289.47761210654,31479350.792615578,368678.23426689475,368678.23426689475,112843910.59481123,1146602.7025322758,121304.16262972327,1025298.5399025525,91346682.60855253,9286019.251921374,2436929.5470894217,6849089.704831952,24972465.584173918,83008152.65918055,21783825.16519245,61224327.4939881,0.0,0.0,0.0,69914683.45060161,2303010.4019375155,900780.8254121599
1965.0,2185000.0,28517.22535411597,290.3957597670903,486112079.3956995,664159.6745255213,72487.42873603832,591672.2457894831,37026310.08864661,458315.1747308055,458315.1747308055,139680399.63925147,1468262.7659317907,160248.5015177919,1308014.2644139987,117218838.82174963,12427843.7868029,3336314.6119584595,9091529.17484444,24081026.835618597,105624367.39199612,28355370.919852886,77268996.47214323,0.0,0.0,0.0,88718527.33192196,3499123.838697406,1161888.248174397
1966.0,2850000.0,28229.8436123436,287.3817417723691,584209832.2941321,821381.7344416484,91893.22493559192,729488.5095060564,41277543.009901434,541047.5120874476,541047.5120874476,157783592.86066914,1729743.6069958908,193517.47390222442,1536226.1330936665,141417919.344561,15700919.477188613,4292278.203386115,11408641.273802498,26590396.635849748,130701541.29051523,35730861.345115446,94970679.94539979,0.0,0.0,0.0,109186083.37388948,4912330.149059145,1393555.8443254323
1967.0,3230000.0,27945.44373270372,284.39987963988,681235679.8336198,985799.9934909,112567.17263081556,873232.8208600845,45547959.92270017,629537.6687246746,629537.6687246746,175260220.54300404,2000053.4712273797,228383.4102790473,1771670.0609483325,165832202.68266422,19285716.661896776,5352549.587099908,13933167.074796868,32254368.13989486,161192825.35358214,44737388.08443776,116455437.26914439,0.0,0.0,0.0,133663044.89447434,6551795.077512873,1634975.6220793622
1968.0,1947500.0,27663.993911465775,281.4498212379433,793697078.9883296,1177851.2322825952,136856.44647892882,1040994.7858036665,49672505.81865708,722158.2677217274,722158.2677217274,198729649.49720225,2339545.9903384484,271835.645993472,2067710.3443449764,195015197.88912922,23617004.793535016,6639800.961704049,16977203.831830967,51799029.37648123,210461227.8509671,59170105.409336254,151291122.44163084,55655.614472379544,2944344.38552762,2944344.38552762,175043534.0568598,8463231.699335678,1919426.776047566
1969.0,2921250.0,27385.462693077934,278.5312183878431,922359609.2005957,1399901.500080214,165130.09723420953,1234771.4028460046,55478795.792284325,837900.98972429,837900.98972429,227244381.32238427,2743583.04696403,323628.58050322795,2419954.4664608017,233177441.36719924,29137756.52192997,8284594.475911671,20853162.046018295,46148752.05547587,253675670.80072135,72126351.23116343,181549319.5695579,55655.614472379544,5888688.77105524,5888688.77105524,212783797.24566254,10699702.230379786,2256156.3279869882
1970.0,4013750.0,27109.818966259543,275.64372681839046,1055706461.253576,1639414.0389740705,195973.54822359883,1443440.4907504716,63284748.4025916,981696.6697918321,981696.6697918321,257234070.04699448,3183039.85926407,380496.6899926557,2802543.1692714146,267746665.97527507,34830775.391924165,10002346.716444386,24828428.675479777,50882410.369272426,301664374.53194046,86628897.35057132,215035477.18136913,64931.55021777614,9323757.220837463,9323757.220837463,254415343.4075001,13296382.485541992,2631000.0746515146
