Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1618491250.0,22432666.398102235,274333.601897764,1335591260.8002665,1632206.8680265585,138737.58378225748,1493469.284244301,509894340.1211008,5323129.119123831,5323129.119123831,624444695.2074693,5708790.629467636,485247.2035047491,5223543.425962888,693065860.9964608,61934139.003539205,13935181.275796322,47998957.72774288,301384147.03098935,292115852.9690107,65726066.91802741,226389786.0509833,67714.3309413951,3582285.6690586046,3582285.6690586046,290011171.2771158,6349268.550065348,5690873.279265672
1962.0,1632812500.0,44525764.30759233,553902.0905099073,2774074872.5660386,3484407.3934321404,332402.73585192766,3152004.6575802127,999395879.2560822,10917683.715786442,10917683.715786442,1258133826.3386953,11902210.949374955,1135437.6901267057,10766773.25924825,1383865504.7970247,129200356.19943608,31488061.435801573,97712294.7636345,340384609.26257944,613049537.76841,149409352.08138153,463640185.6870284,89976.57673034693,8342309.092328258,8342309.092328258,594531251.175606,19262366.004581686,11923364.178098567
1963.0,1754602500.0,66280125.40510965,832638.9024826814,4521797355.689299,5820202.447988385,590629.3970574565,5229573.050930928,1525018831.2716494,17377908.740087908,17377908.740087908,1949341669.902547,19042241.055105764,1932391.0900877838,17109849.96501798,2048799289.4559174,200166215.3411073,50974835.17839719,149191380.16271013,401474213.3746285,992307954.7949831,252703656.08745518,739604298.707528,146559.78477726612,16095749.307550991,16095749.307550991,944608759.933826,39717130.770944506,19262566.989673994
1964.0,1447063750.0,87698167.88823877,1109257.5168708656,6152896261.096698,8145559.669067918,861754.7234316899,7283804.945636229,1992378675.106305,23774319.239609472,23774319.239609472,2586644725.5256486,26161401.73067244,2767730.202580508,23393671.528091934,2710146068.214384,277153221.24153316,72733305.36922543,204419915.87230772,389715490.04845154,1358375630.6933854,356478445.7880604,1001897184.9053249,93686.95102850557,21052062.356522486,21052062.356522486,1281820958.847493,67523172.85501112,26645753.629271023
1965.0,1402390000.0,108782905.38112906,1383162.5071097144,7693866138.109085,10490279.935150981,1144925.6080830144,9345354.327067968,2490140644.003179,30999078.906132698,30999078.906132698,3205948106.021255,33568343.42858275,3663701.6600030717,29904641.768579677,3246128926.006844,349817142.2075398,93910099.21607693,255907042.9914629,402576155.86816394,1737314123.028417,466390356.4974405,1270923766.5309765,25045.026512570796,22377017.330009915,22377017.330009915,1619456901.85423,103160018.67458771,34612229.182203755
1966.0,1271551250.0,129537390.00956813,1654015.3715609382,9322431094.404537,13070605.846192429,1462292.2238282994,11608313.62236413,3091409741.5596075,39861738.183384635,39861738.183384635,3878459032.82062,41915289.256835215,4689331.333301505,37225957.92353371,3838146980.332244,433981945.674601,118640901.81397022,315341043.8606308,809561131.7907964,2510326006.5675573,686266662.0918559,1824059344.4757013,0.0,22377017.330009915,22377017.330009915,2250473415.3956246,147943249.52927035,43912778.87459985
1967.0,1191988750.0,149964883.9243167,1921606.08525143,11196858788.599663,16091369.610166155,1837451.8084134615,14253917.801752694,3659856722.35466,49054444.79089192,49054444.79089192,4593033996.351363,51145837.1269249,5840274.208996816,45305562.917928085,4480390750.461947,530156229.8702955,147139334.20463327,383016895.6656623,855554297.9869496,3315797941.5023274,920265148.2358483,2395532793.266479,2374639.5508215274,148002377.77918836,148002377.77918836,3035165992.2219024,202546683.15274426,54010491.88709878
1968.0,1109457500.0,170069082.14570436,2185801.7786123417,13313513706.323666,19571080.189235903,2273995.573500718,17297084.615735184,4256559811.2312784,59203403.586496376,59203403.586496376,5375736745.14126,61536810.808148235,7150061.929746943,54386748.878401294,5039403585.588078,627487164.8738707,176414829.78938097,451072335.08448976,985465907.9445783,4246188163.6882095,1193794238.4866343,3052393925.2015753,1471163.4092198992,225831214.36996847,225831214.36996847,3860184711.736666,268114315.73771784,65319604.495659314
1969.0,1049773750.0,189735329.362359,2444952.783345383,15545486046.46357,23378200.095886864,2757654.3455188824,20620545.75036798,4801061449.76119,69511156.97630262,69511156.97630262,6149062291.275046,72434691.29268244,8544278.019278664,63890413.27340378,5634925224.165312,736778361.4227651,209484554.46184757,527293806.9609176,1125115675.627157,5308092043.689289,1509223607.8533278,3798868435.8359613,1571343.5152701824,308959870.8546983,308959870.8546983,4789144229.651651,344990123.62994856,77146308.10784365
1970.0,1012533750.0,209205588.27991316,2702141.0824458282,17853639789.202343,27480364.87939164,3284969.1925681545,24195395.686823487,5332650537.154673,80352494.78300613,80352494.78300613,6885235548.757187,83591216.40592973,9992391.726527024,73598824.67940271,6128591207.218912,846734016.9463995,243156436.19203708,603577580.7543623,1163463849.6263926,6403120434.060738,1838782798.4867392,4564337635.573998,1554646.8309284686,391205224.02376986,391205224.02376986,5737267155.501363,433597686.4919572,89539152.28722368
