Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,237500.0,1176774.6117149873,13325.388285012734,17300433.719668243,21142.611190912583,1797.1219512275698,19345.489239685012,1644895.185996554,17172.164453532285,17172.164453532285,6324398.731096554,57818.84046769807,4914.601439754337,52904.23902794374,4432867.6062939195,396132.39370608056,89129.78858386812,307002.60512221244,1756203.7642661727,1702196.2357338276,382994.15304011124,1319202.0826937163,0.0,0.0,0.0,1715626.5805370898,47238.18307021963,42183.7096509414
1962.0,59377375.0,2370719.6474769106,27354.964238076307,31621597.71463844,39865.16178097304,3803.025118748422,36062.13666222461,3024331.1150487065,33135.41392504463,33135.41392504463,11531811.630368713,109478.36939650888,10443.93074489561,99034.43865161327,8798786.153654382,821681.4526395375,200256.07376371435,621425.3788758232,1823617.4284036034,3417386.3358625695,832868.2215659332,2584518.1142966365,0.0,0.0,0.0,3374175.4824113427,134717.6909436772,80752.48136542493
1963.0,62537787.5,3552685.044377552,41434.60309935853,48818405.8319709,63166.59022400665,6410.094052840915,56756.49617116574,3864482.3477290515,44855.169809909086,44855.169809909086,17503506.370855328,171610.90321558292,17414.934480455642,154195.96873512727,12603847.154782211,1235138.9988721712,314543.6245703418,920595.3743018294,2547961.0222883797,5834245.113316706,1485763.6316642324,4348481.481652474,0.0,0.0,0.0,5524884.490670506,266445.27186010976,124080.05379976952
1964.0,237500.0,4752927.22394788,55857.82042967214,71555410.2677069,94552.08221321974,10003.08226418864,84548.9999490311,5677131.353010958,67661.971381941,67661.971381941,25222949.387568362,253813.6809082228,26852.069996471226,226961.61091175157,17013293.558913004,1739553.5958692078,456510.95927269314,1283042.6365965146,2798127.9729240406,8471999.585484393,2223306.408558699,6248693.176925695,0.0,0.0,0.0,7910908.395764933,460666.9582665826,184950.89583625086
1965.0,69360925.0,5972319.730172223,70607.493775656,98998291.96845967,133448.91173237158,14564.823565978844,118884.08816639273,7768781.175257595,95271.0118040109,95271.0118040109,34425221.32818989,354912.8832885488,38735.74882916499,316177.1344593838,21532262.38304601,2298831.175866995,617132.3178856706,1681698.8579813244,2818542.7191020255,11122747.922046995,2985955.331757705,8136792.590289289,0.0,0.0,0.0,10348823.682700401,731054.4863902765,259944.70630609363
1966.0,237500.0,7211148.61069817,85671.1194740534,135429789.9637994,185497.41646932537,20752.781687036466,164744.6347822889,9712402.8380321,123562.2254836121,123562.2254836121,46590661.83994217,489553.7438037551,54769.506565665535,434784.23723808955,25560617.635661405,2864244.747384603,783020.0846659888,2081224.6627186143,3904851.9743241044,14825999.274597688,4053094.700742254,10772904.573855434,0.0,0.0,0.0,13577220.334078038,1098494.5331045038,355651.0507897633
1967.0,237500.0,8470299.433146521,101049.17755164985,174210120.83602354,243308.10772212964,27783.024898840053,215525.0828232896,14900667.063651811,187893.2595427108,187893.2595427108,60743515.04475136,650900.2898399205,74325.42683673144,576574.863003189,30501855.02874423,3561762.606917178,988530.076700163,2573232.5302170147,3817590.721902153,18412305.84759415,5110143.5217499705,13302162.32584418,0.0,0.0,0.0,16855388.061430383,1595343.4613967906,483144.27707690257
1968.0,80984887.5,9750357.685426306,116741.74772021538,216172320.35546535,308185.2010297744,35808.538730814784,272376.6622989596,16913505.894386493,224388.12461414875,224388.12461414875,72907943.09402332,804120.5486152434,93432.07173192945,710688.476883314,33766102.67662133,4171752.3521228964,1172866.9880779847,2998885.3640449117,4135627.535532665,22310465.166068565,6272473.980539572,16037991.185528994,0.0,0.0,0.0,20244329.81337033,2204059.756505976,598736.9686872369
1969.0,85269150.0,11051906.803684346,132750.88174195949,258958199.91199207,377601.43534663616,44541.249317180016,333060.18602945615,17953403.17159622,253231.53076341262,253231.53076341262,85256893.02055669,968077.4835114229,114192.84069152741,853884.6428198954,37690644.73617603,4895257.9404453,1391844.5251971534,3503413.4152481467,9440945.608585447,31341200.92053429,8911088.94465764,22430111.97587665,1714.19292574929,90685.8070742507,90685.8070742507,27464387.55781182,2926578.178470974,717657.9376477662
1970.0,89775712.5,12375526.888048252,149079.91563609484,298041447.53829366,446225.8362001439,53341.29045516105,392884.54574498284,19293931.54230081,286839.31422679045,286839.31422679045,96324608.39568752,1129692.181247002,135042.0210491643,994650.1601978377,41342036.32185185,5659008.4143241765,1625096.3004536093,4033912.113870567,10135569.448937874,40887359.96266497,11741614.881231295,29145745.081433676,1714.19292574929,181371.6141485014,181371.6141485014,35035402.82962236,3762769.9385328386,838182.2601077461
