Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,8044999562.5,99964167.72870797,1268432.2712920306,9635334561.972782,11775203.76882546,1000892.3203501642,10774311.448475296,1084427397.875952,11321065.179578528,11321065.179578528,4355003937.464274,39814263.55336475,3384212.4020360042,36430051.15132875,1209457943.0181816,108080256.98181833,24318057.820909124,83762199.1609092,821409792.4507083,796149447.5492918,179133625.69859067,617015821.8507012,1070227.7833094734,56618172.21669052,56618172.21669052,815921621.0076835,30957384.944606707,27568042.834775865
1962.0,6920337500.0,199402985.29277152,2572582.435936464,19403165672.2952,24392278.775277123,2326955.284806289,22065323.490470834,2073002305.047646,22671497.755293883,22671497.755293883,8605891680.775677,81467162.708989,7771739.842363375,73695422.86662562,2409258659.2006273,224955847.81755462,54825108.57391047,170130739.24364415,890518478.818051,1634798793.6326575,398424945.2812584,1236373848.3513992,1175936.347064013,118828635.86962649,118828635.86962649,1643765467.5770602,92674111.23746862,56715517.81952844
1963.0,6500487500.0,298253119.75868917,3884865.5340823345,30265634734.68794,39066454.86545983,3964431.974412469,35102022.89104736,3476733247.7204766,39345258.91703875,39345258.91703875,13430480653.546562,131191408.23370087,13313197.098662851,117878211.13503802,3617676105.5847797,353045753.6158475,89907525.45494622,263138228.1609013,1016255080.6549067,2594011060.81102,660597424.2478751,1933413636.5631447,1326785.3245299505,189019450.54509652,189019450.54509652,2577896808.212266,191972877.77394685,93026726.4066459
1964.0,5652458750.0,396496229.4400217,5199290.31866749,42249413781.55559,55938753.27994967,5918007.702396788,50020745.577552885,5264309474.217066,61453205.28722901,61453205.28722901,18789336452.13258,189089980.02867514,20004663.898307763,169085316.13036737,4925826787.248551,501494518.3362284,131607180.2440067,369887338.0922217,1201957561.814018,3729507404.640278,978734433.3338703,2750772971.3064075,1429065.5024329913,264621185.0426635,264621185.0426635,3665840761.436442,335810676.6364964,136721468.1325997
1965.0,5046135812.5,494180274.63460493,6513754.805416771,54400489984.374886,73957702.00638925,8071859.613426882,65885842.39296237,7167799893.583134,86622687.7477898,86622687.7477898,24223047424.28991,251409632.2100096,27439241.642299358,223970390.56771025,5973422593.170082,639925194.0784688,171791005.1163897,468134188.9620791,1201655156.9442961,4859289480.037466,1304499700.358371,3554789779.6790953,1583914.263392344,348414870.7792711,348414870.7792711,4747817760.128907,527589009.18872607,184700588.15623283
1966.0,4526632500.0,591231633.5031263,7825641.1314786775,67755968007.68334,94442062.87874469,10565837.251539633,83876225.62720506,9215798695.750757,115335778.85013378,115335778.85013378,30030330010.764698,321040036.3085818,35916800.96208776,285123235.3464941,7034278635.2600565,791911357.9100263,216490751.7365184,575420606.1735079,1344390409.2976353,6127593079.945456,1675146111.951079,4452446967.994377,1778760.8592858466,442516509.9199853,442516509.9199853,5954719323.911702,773019738.6473454,238904510.36521342
1967.0,4149200000.0,687718445.3577114,9134788.14541488,82575634899.78351,117835148.4237943,13455436.784522025,104379711.63927227,10127685809.226051,134433550.6307874,134433550.6307874,35661696585.205505,393302004.807046,44910625.850566395,348391378.9564796,8127507337.228432,960372298.0316252,266541318.50062114,693830979.531004,1512676788.6617608,7554747971.467716,2096741533.8635561,5458006437.60416,1884469.423040386,542210440.4969449,542210440.4969449,7281252498.858648,1068864671.1447933,291359708.7290914
1968.0,4163262500.0,783648906.6194918,10440538.738219563,98772499758.41527,144179331.67274624,16752430.568162588,127426901.10458365,11009369037.107136,154455034.20446804,154455034.20446804,41619054376.749756,472776600.1971813,54932680.552523084,417843919.6446582,9252913351.383951,1146762785.8444793,322406533.5491206,824356252.2953587,1664972967.0177815,9124630501.405413,2565343527.1779537,6559286974.227459,2283304.9770980543,663003935.5198468,663003935.5198468,8746373016.996374,1419825550.0482514,348764976.0502518
1969.0,3907212062.5,879032856.369643,11742450.249848807,115920821156.2324,173102238.57372934,20418857.673558734,152683380.9001706,11736824099.10317,174088827.16510597,174088827.16510597,47525015961.22397,556313928.4252101,65621883.45989788,490692044.96531224,10531262368.576342,1363476982.8076105,387670679.83765453,975806302.9699559,1870528017.6343188,10889357543.895702,3096117276.101462,7793240267.794241,2544433.699453863,797611901.8203928,797611901.8203928,10384122725.61518,1828159796.9980786,409130006.08076143
1970.0,3767769562.5,973879260.2842084,13040196.085434604,134566020597.40482,205393452.96988696,24552482.047545925,180840970.92234105,12280039569.505142,192879232.81165433,192879232.81165433,53513463834.98605,645193685.6066949,77125663.71514702,568068021.8915479,12007708581.21233,1617259787.3640122,464428165.65974635,1152831621.7042658,2094831026.92218,12865497791.992947,3694582395.802764,9170915396.190182,2841903.3118355563,947956878.5085573,947956878.5085573,12213492122.028547,2296876863.8322577,473071158.79136413
1971.0,1984526250.0,1069048434.7865764,14345225.497631883,152693027973.49762,238755777.8045241,28881911.377646044,209873866.42687804,12734576668.65737,211639094.41832417,211639094.41832417,59194935684.026215,735984123.1016177,89030843.20823784,646953279.8933798,13155376755.32393,1864340825.8883977,540180025.2635251,1324160800.6248727,2096749657.1989474,14836996198.599514,4298918346.957918,10538077851.641596,3158114.7668721084,1115030363.7416852,1115030363.7416852,14045735256.746735,2826749823.8823586,538593280.6884811
1972.0,2265076250.0,1163328985.021903,15640649.764673224,171757816039.66595,274997299.3572198,33624909.71306114,241372389.64415866,13105632234.32731,230313556.43900794,230313556.43900794,64961468423.852844,832138293.9077218,101748544.68327443,730389749.2244474,14292725470.269451,2132579485.0544808,622910429.6148187,1509669055.439662,2203297344.749306,16911908440.637075,4939841270.251454,11972067170.38562,3607804.711060339,1305893759.0306249,1305893759.0306249,15989705680.16352,3421027355.462779,607798163.7271935
1973.0,2704734562.5,1256949643.2187164,16929341.803186767,192932948100.6067,315681816.51078767,38978572.48974149,276703244.02104616,13440945448.222443,249286594.05463547,249286594.05463547,70976961113.50659,935254574.5203376,115479848.13391225,819774726.3864254,15587531103.87402,2431039707.1590695,715342264.9515014,1715697442.2075682,2701062891.938514,19466098504.62344,5727970198.53663,13738128306.086811,3980584.532646618,1516478294.4979782,1516478294.4979782,18316068607.254463,4084572839.214333,682219080.7105532
1974.0,2942590000.0,1352894188.8782277,18252254.34048859,211674574246.78442,355473663.1033861,44286992.00526046,311186671.09812564,13749291592.78857,268571178.848572,268571178.848572,76324257387.88805,1037141905.9662485,129213216.23900163,907928689.7272469,16850843382.964897,2743062094.7555118,812644620.7423568,1930417474.013155,2569059841.0597754,21877605975.59094,6481340267.424542,15396265708.166397,3946072.1150748655,1725237022.3829033,1725237022.3829033,20539606744.236397,4815950166.366377,756309212.5219011
1975.0,2449655812.5,1449758805.555801,19589983.32242675,227885404141.69794,394157968.38207084,49514420.79562261,344643547.58644825,13954753407.504732,287297637.8577175,287297637.8577175,80857567849.14441,1136065628.7855918,142713419.7642473,993352209.0213445,17610820214.036655,3026732592.1236053,902321515.9569507,2124411076.1666546,2101749679.1631808,23840562042.492764,7107285308.067053,16733276734.42571,3550904.9338783007,1913090253.449025,1913090253.449025,22396071458.506897,5612511142.852516,828732417.9793699
1976.0,2697208750.0,1545568890.967413,20915114.58838799,245637288735.8414,436601292.36581767,55268847.1410262,381332445.22479147,14136304336.84804,306135368.29339635,306135368.29339635,85712681180.78622,1241883952.3516939,157208637.55920708,1084675314.7924867,18570643341.15087,3340691967.866584,1001739544.383747,2338952423.4828367,2435202705.9913945,26140510690.69772,7838490804.041644,18302019886.656075,3975784.79245452,2123420868.6565704,2123420868.6565704,24536536307.10616,6478879962.069024,905774309.0941672
1977.0,3654027062.5,1640025174.2786815,22223316.688731417,263064690150.15353,480694196.397314,61287644.86842043,419406551.5288936,14292847845.323915,324984201.1726968,324984201.1726968,90270480349.53601,1349105963.627036,172008582.18870714,1177097381.438329,19425545260.54074,3660790583.595482,1103716501.052411,2557074082.543071,2507647984.6940193,28500313409.593784,8592752160.228428,19907561249.365356,4196915.6798761785,2345449952.976694,2345449952.976694,26731573419.025043,7415978730.353709,984389365.8552341
1978.0,3422015000.0,1732904261.6373436,23511312.641337786,281844914707.0716,528530313.6707242,67839813.03939949,460690500.6313247,14398006737.178167,343474923.8384714,343474923.8384714,95176120832.06358,1463396590.410804,187835112.8177923,1275561477.5930119,20411984877.01957,4007897307.4098883,1214553350.1861367,2793343957.2237515,2637338796.6113434,30983977975.190308,9389385846.360525,21594592128.82978,4433474.30362958,2579993678.6730647,2579993678.6730647,29047656666.789406,8428159474.0450325,1067546158.371485
1979.0,3867305000.0,1823881240.4212976,24774421.216046207,301084292217.0146,579178929.4316465,74810564.23764639,504368365.19400007,14484334728.732153,361825240.46906066,361825240.46906066,99941242741.47606,1580450939.37701,204141450.10547414,1376309489.2715359,21495109311.677452,4379888544.832928,1333675415.5942962,3046213129.2386312,2840443659.895178,33660692384.10208,10249675863.902958,23411016520.199123,5136864.800828706,2851748813.872236,2851748813.872236,31551481558.244587,9517374953.118551,1153287615.8610778
1980.0,4068407500.0,1913653661.3991976,26022179.022100057,319357332445.3239,631000662.9672878,81989692.1124955,549010970.8547922,14515077631.599932,379556707.14106846,379556707.14106846,104239602278.6022,1697128668.0476024,220518083.6327047,1476610584.4148977,22717256010.945282,4781193940.330894,1462494415.3900423,3318699524.940852,2828861502.486299,36320244063.79224,11109809552.135279,25210434511.65696,5396279.330258765,3137227734.541977,3137227734.541977,34071540033.55055,10683158880.447077,1239394335.0822325
1981.0,3237894562.5,2002175237.3214345,27253824.077763185,334964279488.0875,681921876.203401,89105256.27042471,592816619.9329762,14488708665.496609,396522786.61450404,396522786.61450404,107601925553.33435,1808756726.5910814,236346328.33758768,1572410398.2534938,23445228857.37207,5155350099.938398,1583734406.9328575,3571615693.005541,2654857206.6912675,38811670297.72066,11923026845.794373,26888643451.926285,5211146.494277841,3412912588.047699,3412912588.047699,36434921537.780495,11921953655.013306,1322955030.2347457
1982.0,2945180000.0,2089556055.341,28470781.98043431,350642244798.0404,735168178.7736225,96575835.95996867,638592342.8136538,14521143760.72832,413799946.3607679,413799946.3607679,111016017447.9557,1923659141.425192,252702708.1001825,1670956433.3250096,24234440139.873917,5546366159.538981,1710821823.9434035,3835544335.595578,2716692106.3080845,41368200123.55573,12760358323.425243,28607841800.13049,5247144.545718577,3690501843.5019803,3690501843.5019803,38857236701.727486,13236225164.572433,1409077212.9403052
1983.0,4460923762.5,2175926084.4348345,29674770.90616578,365584254825.0563,789818608.3079658,104281656.87591965,685536951.432046,14467174556.097599,429848158.3520989,429848158.3520989,113864126509.32747,2036081482.461846,268828751.6805504,1767252730.7812958,25120496309.553566,5958784918.501377,1845187469.1028366,4113597449.3985405,2834197956.1901655,44036620115.69542,13636306852.90094,30400313262.79448,5685406.537068479,3991276436.964912,3991276436.964912,41387824989.72337,14624460466.508545,1494402538.6293273
1984.0,4689340000.0,2260637813.1667356,30856671.268098786,379991067306.9425,846126440.0220542,112256278.00693603,733870162.0151181,14326536002.799871,444508602.9640471,444508602.9640471,116396187358.7047,2147797977.4929266,284950091.92467326,1862847885.5682533,26087084634.681355,6391644469.919684,1986570740.857893,4405073729.061791,2965562120.439827,46828923610.97622,14554778493.898876,32274145117.077343,8648103.310405169,4448786333.654507,4448786333.654507,44169231830.34106,16086087172.331799,1579599944.7241626
1985.0,4572187500.0,2343375832.8742633,32011980.2924725,394653478336.2073,905077190.0090846,120631527.44917046,784445662.5599141,14170943796.753653,458373791.9656031,458373791.9656031,118881338212.85284,2260896948.3816147,301339438.5573952,1959557509.8242195,27061281292.94753,6837708314.147968,2132747188.4108953,4704961125.737073,3155824592.932674,49801828827.48194,15533670863.052597,34268157964.429344,8761240.043504622,4912281493.611002,4912281493.611002,47087777548.12716,17622272864.32538,1666191272.3561559
1986.0,4574095000.0,2425003168.986998,33152663.887265287,409513574390.0214,966672407.3888857,129409834.98677461,837262572.4021112,13999236217.909924,471344771.0689833,471344771.0689833,121357816185.1663,2375514214.6188016,318013527.82265323,2057500686.7961483,28177961757.778057,7308713881.082291,2287397998.863797,5021315882.218493,3217730927.38001,52829182667.090485,16533875683.257463,36295306983.83302,9148076.247082043,5396241417.36392,5396241417.36392,50078972313.68268,19234165516.10697,1754215378.485653
1987.0,5112286250.0,2504942586.9684873,34270582.01851062,426513728751.43756,1033353781.6417514,138921553.77694693,894432227.8648045,13829033872.696222,483523202.67822707,483523202.67822707,124123059856.06598,2494173729.9867167,335310612.9915171,2158863116.9951997,30028347101.504005,7861543616.814779,2468427176.235303,5393116440.579476,3371211467.512059,56003622720.361336,17584442830.653545,38419179889.707794,7001906.704043933,5766662710.659876,5766662710.659876,53115777588.485374,20925206146.870235,1845777916.7749648
1988.0,5689823750.0,2582403003.3208423,35354583.64764499,443968746195.89215,1103266269.2962842,148922265.46728292,954344003.8290013,13577245403.418491,493982546.87856716,493982546.87856716,126862648525.77594,2613992644.9435163,352844746.03588283,2261147898.9076333,32968403311.941162,8533610466.34517,2687827207.596573,5845783258.748597,3440515923.007372,59240712690.81226,18659018945.819344,40581693744.99292,7306461.64718539,6153195849.012691,6153195849.012691,56290147302.3694,22696119312.60884,1938561283.8765974
1989.0,4968338750.0,2657889550.872558,36411652.44828422,462089581669.53,1176758484.6728358,159461880.2722917,1017296604.4005442,13281254237.100689,502983108.49411297,502983108.49411297,129660266171.2997,2735531040.232223,370690272.3883269,2364840767.843896,36532560854.27574,9293005830.007685,2935818405.7962008,6357187424.211484,3698326271.331249,62725758078.579155,19816132525.170288,42909625553.40887,7713296.768229889,6561251752.244461,6561251752.244461,59713185210.60336,24548212961.709915,2033026831.637474
1990.0,5156995000.0,2731333004.7503476,37440746.12221051,479426560921.46674,1252164566.9649677,170316870.89059287,1081847696.074375,12956542711.037926,510596879.4226925,510596879.4226925,132144281777.06161,2855238700.383744,388363745.40910286,2466874954.974641,39959433369.32812,10077435678.13039,3192857419.3221364,6884578258.808254,3789586303.230762,66291631799.81461,21003332116.5566,45288299683.25801,7787007.064037108,6973207145.180424,6973207145.180424,63205404617.7184,26480450887.79956,2127081604.3820677
1991.0,5650202500.0,2802884686.347186,38443918.40316148,496343408046.57056,1329933085.6227937,181548910.2606893,1148384175.3621044,12611668255.279444,516845477.2611893,516845477.2611893,134347441829.66438,2973026308.854589,405847250.8007055,2567179058.0538836,43285489358.40854,10890136204.828976,3459988532.413564,7430147672.415411,3873050161.6025157,69935916995.74118,22219875514.669147,47716041481.07204,8195556.378007355,7406775988.802416,7406775988.802416,66785373852.96704,28492037830.361984,2220821768.114751
