Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,12830800.0,1493072.9695001924,20727.030499807614,3726909.6180193666,7324.852719416621,439.49116316499726,6885.361556251623,274029.4971515746,4025.96125949687,4025.96125949687,2144562.978179434,26573.375443411864,1461.5356493876525,25111.83979402421,656140.007703454,46430.38676620948,6964.558014931422,39465.82875127806,556232.8844155096,467582.2414836734,70137.336222551,397444.9052611224,17239.702833845804,56601.98584106792,56601.98584106792,529535.8824632411,344717.6133942656,184818.26906897547
1962,13003000.0,3003612.5759987747,42560.39350141779,8445886.563988086,17085.99938774926,1143.5910862916292,15942.40830145763,543848.707552,8422.263134613133,8422.263134613133,4760532.363756355,61172.62829273155,3788.510904385719,57384.117388345825,841710.9766933864,67535.81563539513,11066.617549199078,56469.198086196055,2036092.3268622097,1843439.8607140987,302071.4819468307,1541368.378767268,60435.687383272445,198799.6520674828,198799.6520674828,1878386.0177453635,1506370.7841622042,716732.8469774248
1963,13177600.0,4531928.973289462,64983.60270931274,14419905.422376044,29953.243049572688,2126.2645919715933,27826.978457601093,946097.5011427586,15210.41756475736,15210.41756475736,8038415.6334416745,106718.27585458718,7041.925264795522,99676.35058979166,1521369.2738292827,125712.6934771607,21619.094219485625,104093.59925767509,1767072.6300478866,1963948.7199875892,337744.67195998575,1626204.0480276034,34818.18087837949,115628.53111217974,115628.53111217974,1988639.9250096083,2517749.737837387,977260.9713344258
1964,13354600.0,6078730.675439769,87898.2978496922,19932459.880236708,42746.923514213486,3157.4136010825837,39589.5099131309,1341274.2775455858,22567.676544926107,22567.676544926107,11111431.934304863,153233.9733348153,10552.142465075343,142681.83086973996,2187848.379233013,190724.2557417406,33896.63756653234,156827.61817520828,1705354.8581495746,1836284.2629350752,326355.249822663,1509929.0131124123,34673.88236054732,114589.73804409282,114589.73804409282,1986185.3866595104,3378446.888893989,1125488.2356029083
1965,13553800.0,7644470.243626611,111260.43181315843,24951150.954801388,55381.65070914037,4214.232325593156,51167.418383547214,1865821.4670975816,32512.507103466534,32512.507103466534,14118223.471825652,202333.01554254902,14384.74011635316,187948.27542619588,2881714.1044993196,264775.162939133,48239.05815097309,216536.10478815992,1621630.8444249786,1750927.8253679741,318999.36628685636,1431928.4590811178,34674.30862897066,114589.58242416392,114589.58242416392,2034682.3472066512,4171231.4938663305,1241897.74223431
1966,13715600.0,9229918.057503281,135052.18612333,31741715.477848507,72282.2248299656,5632.057097757557,66650.16773220805,2380044.279738483,43216.69162614287,43216.69162614287,17954945.897952512,265134.9794681803,19333.004971606897,245801.97449657338,3547547.6881498815,343532.95191144926,63840.51117830149,279692.4407331478,2388471.721461789,2377343.8253063257,441794.14000801794,1935549.6852983078,60534.30281924177,199492.56118548056,199492.56118548056,2770403.5210718606,5369578.767748187,1572056.2471900037
1967,13899600.0,10835851.740897477,159266.3166058045,38396150.52829302,89963.48133635819,7148.417393949168,82815.06394240902,2609154.4208701006,50651.797574031865,50651.797574031865,21285327.23694305,325993.3902533598,24273.17493012441,301720.2153232354,4134537.426748663,422140.6772630391,79750.05815376049,342390.6191092786,2645658.397953262,2775804.639472992,524400.0243158552,2251404.6151571367,60679.833955980575,200531.61362109816,200531.61362109816,3229513.9247271894,6716684.146736259,1882408.545739118
1968,14086200.0,13319744.224206777,196907.51669069898,42911802.72061798,104516.61638278665,8444.358921989018,96072.25746079764,2830639.5057191746,58462.58138990528,58462.58138990528,23590593.06044011,378045.6964022605,28653.752559645764,349391.94384261477,4643790.569694547,498697.9144305024,95544.95036489301,403152.9640656094,1422980.4273789707,1803395.9732165611,345510.52603857726,1457885.4471779838,43440.91468742359,143929.78340043453,143929.78340043453,2508894.9773373455,7428891.882594327,1796687.241479277
1969,14275400.0,14955836.10300117,221808.12120560763,46036763.49374039,117177.26945222511,9605.283930589283,107571.98552163583,3044137.4746002876,66620.86314854234,66620.86314854234,25377602.566899344,426571.5181685285,32834.16773638422,393737.3504321443,5078250.68047762,571454.1148531486,110830.37774747734,460623.73710567126,735535.7679284783,932362.2082232274,180826.514411235,751535.6938119924,17485.40286602215,58334.103015372835,58334.103015372835,1838423.733035359,7688525.0580205545,1578790.5576091309
1970,14467000.0,16614902.221795969,247133.88120520205,48422994.89272797,129076.62071793561,10716.696270267787,118359.92444766783,3249317.2403347604,75092.92053230022,75092.92053230022,26634776.06386094,470886.1029227174,36741.28887162855,434144.8140510889,4739479.427345335,589179.9011848099,115509.72232891843,473670.17885589146,1007205.4495940045,1006819.4934735687,197388.6751611964,809430.8183123723,43200.40672988834,142197.92559442093,142197.92559442093,2052896.5817937418,8159657.212774398,1581764.4270398985
1971,14923000.0,18330803.066386055,273399.1554099134,49940654.807463676,139885.56189470013,11747.44298968246,128138.11890501768,3719913.576184689,87865.77653325193,87865.77653325193,27647729.79183877,513940.48635720205,40590.48137700242,473350.0049801996,4482345.727296463,602281.2986772098,119226.34438144037,483054.9542957694,879428.228108051,971167.381923965,192250.26077282365,778917.1211511414,34725.852808804106,114935.8294889101,114935.8294889101,2066261.80535429,8645687.16679043,1580231.8513382585
1972,15366200.0,20090794.853561513,300408.2128245427,53422585.02808936,155075.88825532427,13158.044354793818,141917.84390053045,4314448.081515103,103253.10067445265,103253.10067445265,29553182.13902531,569489.1107790488,45473.17387641482,524015.9369026339,4873420.259589131,651575.5129043623,130118.41343275587,521457.09947160643,1293278.7254027762,1287338.57675355,257079.11031110282,1030259.4664424472,34678.05267190827,114589.63429715662,114589.63429715662,2435493.081688827,9375255.141990252,1705925.1064890043
1973,16095000.0,21959145.12909999,329149.72446152143,57292840.29884352,171818.1828572409,14716.140348633342,157102.04250860756,5030233.193243887,121400.74584105483,121400.74584105483,32364139.20234281,638499.7656770467,51494.6827493644,587005.0829276823,4467753.461664202,643007.1994555251,129436.69798006059,513570.50147546455,1393231.7197428225,1469683.747363668,295845.84977399226,1173837.8975896756,34678.48805440459,114589.58242397377,114589.58242397377,2667505.852766459,10208581.571855487,1834179.4229012232
1974,16737000.0,23968708.414466262,360136.7146337278,60173050.97408127,187477.2946012374,16196.270960612592,171281.0236406248,5864436.714840397,142451.91546247574,142451.91546247574,34517470.46650521,702446.8793729596,57172.55422225852,645274.3251507011,4731695.55351306,671314.9801670002,136130.0214028549,535184.9587641453,1312940.7506187656,1423206.9898682055,288599.54524365795,1134607.4446245476,34678.9279939192,114589.58242387869,114589.58242387869,2743389.2500663735,11035273.716836303,1916697.1050855578
1975,16671800.0,25932621.339775827,390487.07469043584,65633234.11392797,208965.59235727228,18196.828685501874,190768.7636717704,6266026.113272707,158493.94781738662,158493.94781738662,37614939.77451867,780450.7944759348,64059.793005485764,716391.001470449,5015953.515070069,699591.0012494817,142829.20121988136,556761.8000296003,1960326.9728899552,1946811.0388457836,397462.8963319541,1549348.1425138295,51919.07076728562,171191.5682649466,171191.5682649466,3342955.223767983,12212800.760445721,2165428.1801585658
1976,16216800.0,27823455.17433627,419766.1654395565,75751223.51407993,240721.9056048306,21117.54274305006,219604.36286178054,7062400.183314641,180998.02034471312,180998.02034471312,44179184.01915842,904635.7312821394,74836.79348339765,829798.9377987417,4991838.986761207,705894.7799235835,145027.33510661873,560867.4448169648,4290984.186063837,4060117.437160978,834158.331918979,3225959.105241999,26156.68392084972,86981.29112708979,86981.29112708979,5104209.162191289,14438472.975106765,2878536.9475302445
1977,16299600.0,29738579.703917198,449475.47041907255,90136256.92442937,282619.96025446197,24964.42404216351,257655.53621229847,7424768.87465073,198366.83949220498,198366.83949220498,52730058.0365898,1060121.18079135,88342.15970087111,971779.021090479,5010010.048988763,712236.4305955973,147193.81977506788,565042.6108205294,3884779.9363397956,4266465.056642272,881725.8731049097,3384739.183537362,152.70749622890432,1039.3636768065114,1039.3636768065114,5378622.55482968,16542245.660769299,3274849.8691671486
1978,16113400.0,31626467.584704224,478812.1192129724,105359612.74641317,328540.40448373783,29208.463333500054,299331.9411502378,7769621.113957203,216016.33128331226,216016.33128331226,61671801.890476584,1229201.9496413455,103134.61323021649,1126067.336411129,4882317.527681486,706601.8842815656,146837.12525030784,559764.7590312577,3594484.2800913043,3907588.175094826,812025.8763198858,3095562.2987749404,7.932582535652433,0.15562097478226,0.15562097478226,5296742.822271852,18374401.8304269,3464586.6526142485
1979,16385000.0,33553069.26789672,508798.3168075004,125916955.18711787,387517.55639398034,34661.27136521647,352856.2850287639,8096720.765833648,233856.70568634244,233856.70568634244,73960918.76788749,1449003.9060418243,122360.25065144007,1326643.6553903841,7526636.178269223,894338.9364441854,186817.36896767817,707521.5674765073,4041447.471827997,4213718.22303876,880198.4571185994,3333519.7659201603,7.91891138981482,2.852398310993147e-07,2.852398310993147e-07,5954397.979502443,20505467.1497927,3823332.660136642
