Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1982064562.5,25361097.200631097,311102.79936890333,12924217.295530682,15794.500048609932,1342.5325041318445,14451.967544478088,99823128.62905143,1042120.613931792,1042120.613931792,42709558.94795971,390458.8056910305,33188.998483737596,357269.80720729294,8353509.053069925,746490.9469300752,167960.4630592669,578530.4838708083,5687451.468824062,5512548.531175939,1240323.4195145865,4272225.111661353,0.0,0.0,0.0,6264597.984215724,744197.7109335801,669644.6777499828
1962.0,2028280400.0,52089488.07766036,650509.1229707387,25974471.748857774,32655.068246698072,3115.2023282622067,29539.865918435866,201552685.4103068,2198960.018108677,2198960.018108677,86117944.40742409,814672.7274459201,77717.50339452652,736955.2240513936,15409746.342523847,1443762.7105460796,351866.5912826081,1091896.1192634716,7131874.8236204125,12255576.64520365,2986867.5419103205,9268709.10329333,0.0,0.0,0.0,13326060.33063531,2283871.807974022,1425781.011038065
1963.0,2075574012.5,80275600.1036399,1013187.9740204479,40633331.968946,52442.745973952566,5321.847085463233,47120.89888848933,305759110.2268465,3482909.365218559,3482909.365218559,131137280.65325175,1282435.4289691998,130140.50128771582,1152294.927681484,22686679.896171644,2223066.446352202,566131.7295744289,1656934.716777773,9328084.750735138,21089435.66641309,5370689.080916263,15718746.585496828,0.0,0.0,0.0,22058006.49406313,4691568.358325003,2274628.641437551
1964.0,2123970337.5,110016964.71464176,1399235.3889981373,56880631.20618569,75288.06455482439,7965.056777439824,67323.00777738457,410936950.4548862,4885096.8099429505,4885096.8099429505,176891197.58375674,1787748.1943315356,189133.77513174166,1598614.419199794,28541732.0945464,2944947.8016252415,772842.4977076876,2172105.303917554,10367383.384074079,30866334.23992013,8100250.481823592,22766083.75809654,0.0,0.0,0.0,31489223.29893422,8034735.672675998,3207866.9225691333
1965.0,2173494787.5,141418326.13285106,1809538.581790699,74846940.65170555,101510.28760201315,11078.992026702655,90431.29557531049,516574983.3671634,6405436.651344517,6405436.651344517,223535604.01172668,2333475.5412172615,254679.18106005836,2078796.3601572032,34317480.55711503,3724251.537431364,999793.2896561985,2724458.2477751654,13850399.81412206,43990137.27878399,11809364.5448871,32180772.733896893,0.0,0.0,0.0,43479895.28874909,12383556.659232793,4225843.320520235
1966.0,2224174200.0,174591884.60198984,2245341.530861222,93366398.65826625,129859.49928915335,14528.21225238635,115331.287036767,623516305.0557485,8057204.787526464,8057204.787526464,270423728.9010834,2915201.5610028007,326142.2327097657,2589059.328293035,40690877.32559238,4626603.2315226635,1264809.2511545292,3361793.9803681346,15447515.661307301,58559015.539748974,16008717.602698006,42550297.93705097,0.0,0.0,0.0,56673687.32027537,17813055.153188203,5332096.908900853
1967.0,2276035412.5,209657368.9795264,2708115.622463423,114705454.39097142,163204.52482995138,18636.10472912115,144568.42010083023,735421371.5567187,9883520.16389183,9883520.16389183,320679752.9123187,3562524.1406982318,406799.83018393844,3155724.310514293,46345516.00554038,5545361.320051987,1539057.2185791312,4006304.1014728555,17118351.35105479,74702907.66676423,20733013.172224812,53969894.49453942,0.0,0.0,0.0,71160011.49051923,24436367.097772412,6560500.949922745
1968.0,2329105737.5,246742752.45621786,3199516.523308558,140519637.87352914,203830.4035056421,23683.38542558451,180147.0180800576,849716132.857904,11865509.448802836,11865509.448802836,372609029.5777499,4262918.429485579,495315.4115722474,3767603.0179133317,51907567.82198797,6537948.183552416,1838110.92965548,4699837.253896936,15137090.951517088,88878032.46121664,24987607.470524564,63890424.99069208,0.0,0.0,0.0,84403521.72938524,32350738.527017362,7898888.055551274
1969.0,2383413675.0,285984687.4746275,3721364.981590382,165130083.45152524,245185.66011017805,28921.70048543246,216263.9596247456,967937168.9955211,14024503.949906215,14024503.949906215,425747295.8568339,5014018.507947068,591445.4436287005,4422573.064318367,58404765.63333588,7702802.1886520935,2190099.7220948925,5512702.466557201,19467166.259975627,107310616.61233619,30511097.891978342,76799518.72035785,927.593574539659,49072.406425460336,49072.406425460336,101024634.56718984,41660262.09659108,9353817.404275611
1970.0,2438987487.5,327528651.86610186,4275635.608525605,189153034.5402387,288026.45011404634,34430.32941600289,253596.12069804344,1087957683.888946,16344611.557816543,16344611.557816543,478867084.87128156,5806129.989285801,694057.6745090206,5112072.31477678,61533986.17284039,8670779.460495487,2489985.981931633,6180793.4785638545,21531918.58070667,127613529.72939043,36646751.49203251,90966778.23735791,1855.187149079318,147217.21927638102,147217.21927638102,119005068.92848952,52456031.149161056,10914510.940721389
1971.0,2425673712.5,374597180.996192,4905570.869909862,217397238.7871233,338273.75641953025,40920.44491711216,297353.3115024181,1211034425.569524,18842829.04076072,18842829.04076072,534233526.2340737,6660628.937777432,805725.8193674897,5854903.118409942,67550695.157303,9983291.015537377,2892590.409490353,7090700.606047025,24638109.649993032,150869593.84528893,43713434.73423698,107156159.11105195,1855.187149079318,245362.03212730167,245362.03212730167,139487307.21989936,64850788.1481744,12600328.471659744
1972.0,2433858437.5,426931958.49832034,5608122.497871622,246737867.17569146,392491.8684695148,47991.39362912298,344500.47484039183,1336850348.3678818,21520359.09355905,21520359.09355905,591561430.0313851,7576917.695231796,926457.0015813706,6650460.693650425,69959972.51719902,11090722.640103973,3239516.675885809,7851205.964218164,20974027.217545774,170483438.39594617,49796930.24230575,120686508.15364042,927.593574539659,294434.43855276203,294434.43855276203,157347468.8184612,78955296.31997645,14410812.09024782
1973.0,2498427087.5,481638825.6080168,6344632.89030358,275773178.57414395,449144.6436227354,55457.793683943906,393686.8499387915,1465659571.2882767,24383530.811000373,24383530.811000373,651060689.9782,8558679.870781295,1056776.4955456022,7501903.375235693,75079088.65995403,12485266.167335982,3673834.924359002,8811431.242976978,27129897.208740506,196175852.0858912,57725457.11476927,138450394.9711219,1855.187149079318,392579.2514036827,392579.2514036827,179933526.50167742,94884149.64128518,16350267.71486613
1974.0,2576361525.0,538213322.284145,7108303.323871719,303490461.0313933,507077.2115298887,63174.65045657283,443902.56107331585,1597044018.0914013,27431315.789032824,27431315.789032824,710276486.5562112,9585295.970292836,1194192.3412788848,8391103.629013952,85477095.0200884,14413017.513803758,4269921.987421121,10143095.526382636,30318827.11463482,224772197.59136638,66589785.7778325,158182411.81353387,1855.187149079318,490724.06425460335,490724.06425460335,205082553.3832912,112740652.54944591,18409819.07095936
1975.0,2670688925.0,596026334.5186012,7890587.765543842,338215558.170539,576476.0858567895,72417.36000135352,504058.72585543594,1730736266.9058282,30663267.85384081,30663267.85384081,773952234.113605,10700303.17786671,1344180.142708819,9356123.035157891,86449325.1855536,15602481.110560471,4651370.406823068,10951110.703737404,17868101.762149964,241211404.81826606,71909306.10391867,169302098.7143474,1855.187149079318,588868.8771055241,588868.8771055241,221365527.91004446,132652756.46589866,20611345.698401403
1976.0,2766621587.5,655446117.8797047,8696416.638896482,382390487.0616222,660921.7859049422,83665.31615015937,577256.4697547829,1867503918.937697,34088862.52765068,34088862.52765068,842100719.7440886,11906887.613347929,1507278.9818407493,10399608.63150718,86873107.74035715,16783741.510098174,5032770.975325008,11750970.534773167,9255886.01618046,249677104.34828627,74868150.41873808,174808953.9295482,1855.187149079318,687013.6899564448,687013.6899564448,232312665.7831905,154755446.97688162,22963037.117929667
1977.0,2830649212.5,719049595.6759684,9560822.20373627,427454642.836613,750743.7402726983,95718.4756667886,655025.2646059097,2006410116.7360232,37699860.516551174,37699860.516551174,911172364.4083607,13175642.286113953,1679870.677442627,11495771.608671326,93768762.4064002,18580241.701061763,5601882.678266321,12978359.022795442,15223551.453965744,264172153.83428013,79647048.53973958,184525105.29454055,927.593574539659,736086.0963819051,736086.0963819051,248090207.8035463,179160399.814371,25445704.55233905
1978.0,2909412050.0,786234806.9046787,10475788.77128969,465855921.48218197,836930.4387995102,107424.68885240461,729505.7499471057,2148469543.6003494,41506892.776825845,41506892.776825845,978603177.9566343,14483856.25019943,1859083.7170320158,12624772.533167414,101766373.73617487,20557212.23084361,6229658.364573728,14327553.866269883,17750769.109571118,280931285.75272125,85133427.3590886,195797858.39363265,927.593574539659,785158.5028073655,785158.5028073655,265771741.82265028,205970236.71538228,28051334.158929076
1979.0,2985412287.5,857511694.502905,11448412.401773648,509570171.4339488,933806.7495010308,120616.62859118084,813190.1209098499,2294037173.870809,45514018.1371188,45514018.1371188,1049681732.4177798,15878835.12092258,2051014.9013854421,13827820.219537139,105030777.24671376,22206054.871864986,6761740.43170178,15444314.440163206,19269857.520225573,299093164.39561343,91073824.42352739,208019339.97208604,1855.187149079318,883303.3156582862,883303.3156582862,284501986.2054733,235318333.05160218,30806932.141345914
