Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,298200.0,58959.78955529079,740.2104447092111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,327800.0,123373.51263464655,1586.2769206442367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,360400.0,194042.52708990773,2530.98554473884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,236000.0,4154617.8979849746,59424.62910493332,6713863.478327232,13195.399458909445,974.651046160673,12220.748412748773,0.0,0.0,0.0,3608857.6899500056,44717.51647895029,3079.3798157228116,41638.13666322748,656140.007703454,46430.38676620948,8251.881682103656,38178.505084105826,2020003.6328773773,1698061.8243354456,301789.54428850044,1396272.2800469452,0.0,0.0,0.0,1488309.6702070273,974665.0437570607,513644.62644996657
1965,335400.0,10273837.556255363,150780.34172961078,13962515.516056713,28318.25851667556,2154.8602997090084,26163.39821696655,0.0,0.0,0.0,7836540.9885565145,100779.26070229008,7164.838968239411,93614.42173405067,1263515.2673598926,97383.92141367265,17742.255715744253,79641.6656979284,3078417.538139929,3066625.481995607,558704.6885785455,2507920.793417061,0.0,0.0,0.0,2707340.279066007,2552013.6664502616,1129991.6563728058
1966,398600.0,13228319.133470755,195518.42278460742,24686878.13154935,51260.714853237194,3994.1116035711007,47266.60324966609,0.0,0.0,0.0,13826111.907579917,183113.49696249253,13352.195754197177,169761.30120829536,1958691.9413015256,161784.9933766877,30065.344883736718,131719.64849295098,2524985.68674627,2837244.023258245,527259.78039241,2309984.2428658353,0.0,0.0,0.0,2658731.7958167475,3813513.6763765626,1397231.7858904467
1967,446000.0,15045149.498930987,223169.63453976833,41692780.27284709,88037.42509624403,6995.374695689424,81042.05040055461,0.0,0.0,0.0,22792380.22723683,308712.2552705086,22986.43714656434,285725.8181239442,3853157.8550276468,318912.77771798504,60248.42887419472,258664.34884379033,2878521.482819376,2991770.496748233,565199.9059775678,2426570.5907706656,0.0,0.0,0.0,3052002.8081389545,5158899.123977378,1706617.360538139
1968,498200.0,18932523.78333273,282625.71559825464,51148050.42717229,112351.66980591591,9077.38748307013,103274.28232284579,0.0,0.0,0.0,28357086.08595209,401767.9305467432,30451.765429007242,371316.165117736,6100632.557007357,522751.929681109,100153.43102361023,422598.49865749874,1463457.4370176983,1889297.3263629442,361968.26585491665,1527329.0605080277,0.0,0.0,0.0,2424518.006606108,5926691.605850354,1656725.5247331324
1969,555600.0,26010826.81661845,391696.9667142819,63363504.53795239,143592.27031042174,11770.58087304095,131821.6894373808,0.0,0.0,0.0,35453525.15457791,520223.36012325756,40042.7603324517,480180.59979080583,8232598.432018536,743241.0823323227,144147.51380957945,599093.5685227433,1028605.7648698908,1187037.2755611048,230219.3408557074,956817.9347053973,0.0,0.0,0.0,2167913.792456327,6494255.341516713,1600350.0567899689
1970,698800.0,30558614.395456016,462212.4211624326,70058820.85148512,165909.1194544945,13774.745819746544,152134.37363474796,0.0,0.0,0.0,39903171.76755394,613977.7812897217,47906.138837207414,566071.6424525143,10468886.235914212,992557.54793026,194592.59646559777,797964.9514646622,1150644.334068339,1196112.7369319887,234499.93769179643,961612.7992401923,0.0,0.0,0.0,2477783.7667921167,7274701.648672735,1697337.4596360934
1971,712800.0,35066232.59937191,532381.7960841036,79368063.22640873,194649.89000456384,16346.493911200494,178303.39609336335,0.0,0.0,0.0,45036741.24156954,721748.5697414471,57002.946171099604,664745.6235703476,15031892.357434295,1426579.7704316964,282402.74332051346,1144177.027111183,1082419.732306752,1173672.5207319094,232337.7538953143,941334.7668365951,0.0,0.0,0.0,2928560.813611489,8307900.756553002,1895361.7057312233
1972,808800.0,36048526.70920633,547705.8901655837,89403946.83722532,226494.0277212958,19217.806819496906,207276.2209017989,0.0,0.0,0.0,51153218.30026301,847944.7809425712,67707.59920001368,780237.1817425576,17465883.633810453,1755181.1873642479,350506.4061859215,1404674.7811783263,878692.0380499655,985360.1423158057,196774.58074890275,788585.5615669029,0.0,0.0,0.0,3180773.7453895854,9418480.21662486,2070194.2853177271
1973,887600.0,45404351.27861906,694175.4305872727,98879832.80168556,259071.38928127725,22189.33329161343,236882.05598966382,0.0,0.0,0.0,58717148.77486943,999327.509210059,80595.25753297303,918732.2516770859,17887155.821488924,1956873.2470435759,393916.6026092982,1562956.6444342777,2872831.727763369,2613572.8192065153,526109.561347031,2087463.2578594843,0.0,0.0,0.0,4806034.209960512,11512285.308120096,2712229.118465277
1974,981000.0,48265220.22321025,739131.0554088078,110920178.81173582,298517.9581740201,25789.137545850495,272728.82062816963,0.0,0.0,0.0,66171302.1770127,1158083.4163425534,94257.07318088738,1063826.343161666,20978580.276533734,2334153.8072764496,473322.38536231295,1860831.4219141367,5163017.774352368,5013184.0012617055,1016579.1998540489,3996604.8014076566,0.0,0.0,0.0,7193991.387111629,14909452.00689123,3796824.6883404953
1975,1130200.0,51081761.65412532,783458.5690849375,118570044.29520783,331563.87536215305,28872.74871525625,302691.1266468968,0.0,0.0,0.0,71453564.40928294,1298574.4862420228,106587.64572945035,1191986.8405125726,23697631.956190683,2700499.822883577,551336.7552012637,2149163.0676823133,5437876.096324971,5772578.1061585825,1178535.3419490068,4594042.764209576,0.0,0.0,0.0,8237883.799051358,18516273.088307906,4631062.717634682
