Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,16192934775.0,348673318.93754154,4558381.06245846,239404723.2418905,292573.0685593695,24868.71082754641,267704.35773182305,778369904.3038042,8125925.661510881,8125925.661510881,412918839.63569766,3774981.5484615937,320873.4316192355,3454108.1168423584,14873835.954603516,1329164.0453964844,299061.910214209,1030102.1351822754,5121143.80114258,4963656.198857421,1116822.6447429198,3846833.554114501,0.0,0.0,0.0,16724673.825381838,6240178.257080097,5607559.879004965
1962.0,16546246425.0,703593518.8249683,9350600.112573206,476431587.32004523,599134.5722759792,57155.76523669449,541978.8070392847,1566618615.118629,17094312.077380493,17094312.077380493,828613152.5595998,7839916.317249812,747906.1253331483,7092010.191916664,28450820.338389456,2661215.616214061,648578.0943816674,2012637.5218323937,5948938.183682004,10577005.617460579,2577774.647736387,7999230.969724191,0.0,0.0,0.0,34740169.56789303,19085056.407384705,11883422.926031835
1963.0,17017125087.5,1065019397.1203198,14289921.70464844,726923323.3364526,939624.7859000295,95352.35684940622,844272.4290506232,2406986288.79792,27391580.384863127,27391580.384863127,1271339370.2442508,12428076.034736114,1261191.0187965105,11166885.015939603,38072384.12148274,3758836.216906718,957234.7475965922,2801601.469310126,6003067.083203246,16222839.697051022,4131349.4301398536,12091490.266911168,0.0,0.0,0.0,54295829.56607465,39359107.99129918,19128686.24593887
1964.0,17491295025.0,1521401514.3630242,20580682.757295575,1014210898.2067823,1344263.3425719948,142215.55449363554,1202047.7880783593,3265645380.462241,38748881.8673864,38748881.8673864,1734561522.3646083,17506418.947245233,1852081.358565372,15654337.588679861,51612838.982258804,5304745.139223932,1392123.9897148605,3912621.149509072,6142627.8291478865,22002943.70872225,5774231.367831387,16228712.340890862,0.0,0.0,0.0,75746600.73454455,67757009.93143874,27207365.304005057
1965.0,17877643637.5,1985269700.4435637,27018513.919460617,1331436556.8935087,1808081.844495847,197336.8888218779,1610744.955673969,4131587020.7300577,51103713.79241914,51103713.79241914,2210711691.561398,23028434.210430123,2513359.4341204707,20515074.776309654,65909648.73446484,7056390.247793963,1894321.9994763478,5162068.248317615,8296338.373668324,29866397.311711468,8017778.422949865,21848618.888761602,0.0,0.0,0.0,100240220.66148198,104924835.88943705,36061707.56640446
1966.0,18286157412.5,2456854012.279832,33597988.16373181,1685284586.8352668,2342309.33057101,262049.11694221332,2080260.2136287964,5020926629.535878,64664450.13484456,64664450.13484456,2708520211.9469647,29091665.744747005,3254670.6019100137,25836995.14283699,80963069.21728857,9032179.517176272,2469194.7071617045,6562984.810014568,9658365.63285725,38985924.472875774,10657874.788600942,28328049.68427483,0.0,0.0,0.0,127472739.98559974,151674640.17606676,45831901.204680644
1967.0,19010109187.5,2936724326.6333165,40321885.646515206,2062801644.1372418,2934760.0196227394,335116.29127631773,2599643.728346422,5913510192.649403,79273319.04501508,79273319.04501508,3214207560.7449465,35593092.69521015,4064327.2837710027,31528765.41143915,97199244.82081822,11290224.39647034,3133484.069637322,8156740.326833018,9876966.991241544,48278703.15930562,13399250.709288647,34879452.45001697,0.0,0.0,0.0,156437920.96165064,208678929.45414233,56397438.906725086
1968.0,19465667675.0,3425108711.9036274,47190014.72968923,2496153510.360547,3627607.8931545415,421497.64916740434,3206110.243987137,6833941596.209553,95218164.65932739,95218164.65932739,3742567821.928554,42681839.850022025,4959272.250143797,37722567.59987823,113110065.43080474,13720979.390013482,3857583.6752284598,9863395.714785023,11955946.247630343,59581199.5388156,16750951.674684985,42830247.864130616,0.0,0.0,0.0,188840486.0821084,276852875.045811,67972896.91152406
1969.0,19780786712.5,3920503267.7652287,54178744.13839864,2974192999.429644,4412460.211444093,520486.60831929493,3891973.603124798,7765112391.42052,112370859.0908029,112370859.0908029,4290416681.448864,50351479.831268445,5939378.420515498,44412101.410752945,129516429.52630046,16413235.904504284,4666694.342234305,11746541.562269978,13134654.472626317,71964352.30716932,20461269.045810763,51503083.26135856,0.0,0.0,0.0,223924558.92830917,357031054.52442163,80496754.62607001
1970.0,20243272125.0,4427654983.719249,61353384.04597969,3430427267.063746,5212696.753623158,623119.3916458356,4589577.361977322,8703348593.21167,130724157.23798521,130724157.23798521,4838637331.247557,58447486.127841786,6986740.975080724,51460745.152761064,148075388.76448035,19538440.761820093,5610850.077249404,13927590.684570689,14426884.085882673,85566762.68457921,24572189.91378865,60994572.77079056,0.0,0.0,0.0,261696643.20808485,449934274.83460593,93871259.44253933
