Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,1180897737.5,1789110.6503372674,20489.349662732668,1600434.9469019636,1955.8685271704228,166.24882480948594,1789.6197023609368,16325874.315238684,170436.75546969761,170436.75546969761,6891189.699973164,63000.54990781852,5355.046742164574,57645.50316565394,91796.80278098819,8203.197219011816,1845.7193742776585,6357.477844734158,152342.45005778736,147657.54994221264,33222.948736997845,114434.6012052148,0.0,0.0,0.0,350663.95738766144,120997.11108231431,108874.76725539818
1962.0,1185905900.0,3606136.1133983512,42074.53693891658,4757568.721451031,5927.096261429269,565.4284331592443,5361.667828270025,32771356.816205353,357629.1997387065,357629.1997387065,14407584.89542538,136132.4019259951,12986.651022377437,123145.75090361766,175390.40834296454,16406.39443802363,3998.483991847819,12407.910446175812,131636.94183039753,270705.5082273899,65974.98586548901,204730.5223619009,0.0,0.0,0.0,703275.0512786709,373450.98463683395,233682.74491607462
1963.0,1191006687.5,5451637.146297668,64298.967100682945,10029682.811617399,12710.79764502357,1289.8813772009519,11420.916267822617,49616176.07294094,565367.6485626646,565367.6485626646,22842600.24369937,222641.10260642375,22593.43749083654,200047.6651155872,434374.42224790546,41015.98609505908,10445.234862996844,30570.751232062237,105465.71680150385,369143.87485553167,94007.11376697158,275136.7610885601,0.0,0.0,0.0,1082543.7422666969,773095.3313551212,377191.8832277871
1964.0,1196033612.5,7326262.776431928,87074.36986573983,16516192.086902332,21365.59792378434,2260.360942377125,19105.236981407215,66542504.87811884,791439.1424781276,791439.1424781276,31809420.554072317,319749.2922141577,33827.68944973185,285921.60276442586,393358.43615284644,41015.98609505908,10763.823087850804,30252.163007208277,53904.0834296456,418363.05816960253,109790.99549607818,308572.0626735244,0.0,0.0,0.0,1435290.2079046932,1332991.8598406469,536569.4537384354
1965.0,1201129650.0,9231291.045240242,110371.73119168653,23980142.600702155,31704.40905034425,3460.268938033404,28244.140112310844,83531713.34706452,1036425.8029864316,1036425.8029864316,41118927.22322649,426252.138657147,46521.827069021434,379730.3115881256,627732.8584007518,65625.57775209453,17617.502901430813,48008.07485066372,52342.45005778736,467582.2414836734,125524.70817269452,342057.5333109789,0.0,0.0,0.0,1834465.8628485107,2066031.7136056707,711360.4009218441
1966.0,1206223312.5,11167417.016822757,134174.02841748408,24096788.378634132,33643.60914847191,3763.925606681845,29879.683541790062,100861459.8158201,1303934.495078601,1303934.495078601,47845935.56042133,515811.7037918284,57707.15239142039,458104.55140040803,837497.6889916218,90235.16940912997,24668.265536701812,65566.90387242816,52342.45005778736,516801.42479774426,141281.884437474,375519.5403602703,0.0,0.0,0.0,2233005.1742534973,2969972.7049333802,887977.7386930895
1967.0,1211338587.5,13135639.84663927,158477.17018348727,24341817.401362233,35825.09288664216,4090.819072949078,31734.273813693082,118212045.09356485,1591539.3157902258,1591539.3157902258,54626495.1289479,611052.894827385,69775.30650514129,541277.5883222437,1022652.9279254565,114844.76106616542,31873.96606524828,82970.79500091713,52342.45005778736,566020.6081118152,157093.11846443795,408927.4896473772,0.0,0.0,0.0,2656449.462574457,4056598.198185306,1077925.684674237
1968.0,1216475712.5,15136957.603259627,183282.24337964292,24829314.852888852,38399.36917756271,4461.685031724693,33937.684145838015,135563194.649474,1899580.8483514977,1899580.8483514977,61405350.11568716,711609.8246131749,82683.10055364194,628926.724059533,999604.9696402793,123047.95828517723,34594.308588246175,88453.64969693105,77732.85840075192,639849.3830829215,179890.40465888008,459958.9784240414,0.0,0.0,0.0,3110857.8846778413,5337639.331042228,1281404.1236999463
1969.0,1221634450.0,17172660.422000825,208597.18125880227,32678208.987556312,50085.853190371694,5908.04553528267,44177.807655089026,153191177.43916026,2231397.245277742,2231397.245277742,70660235.47181986,840226.1369888785,99111.70442473817,741114.4325641403,1243744.2224790547,155860.74716122448,44315.116847500496,111545.63031372399,103904.0834296456,738287.7497110632,209913.71138289705,528374.0383281661,0.0,0.0,0.0,3656609.154138861,6841213.214366876,1513115.6021723235
1970.0,1226815275.0,19243732.16511785,234428.25688297657,37048789.89822116,58160.03185724568,6952.379043304174,51207.65281394151,170775186.4014962,2584268.6639806936,2584268.6639806936,78254754.24535279,960751.0414123486,114847.00391056834,845904.0375017803,1363273.8836607947,180470.33881825994,51825.630655152265,128644.70816310769,104684.90011557472,836726.116339205,240282.46940116043,596443.6469380446,0.0,0.0,0.0,4206468.709397567,8570630.609331004,1751962.9593322868
