Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,43475624400.0,1045326187.5285859,26226712.47141403,213492138.5704523,717404.655019273,14348.093100385462,703056.5619188875,1037657025.4841052,22432931.457605395,22432931.457605395,767360825.9417578,13426203.588427983,268524.0717685597,13157679.516659424,19683042.512465633,1573740.041889319,125899.20335114552,1447840.8385381734,16452783.212711392,13830590.51125392,1106447.2409003135,12724143.270353606,0.0,0.0,0.0,50465651.645075485,29975082.82182704,20490568.82324845
1962,44089841000.0,2103820765.264616,53712522.2639699,424365802.26008046,1485939.2985190935,34868.65914664053,1451070.639372453,2077100140.9322758,47855787.578050554,47855787.578050554,1536061214.5964985,28227028.699207917,662368.0007763614,27564660.698431555,36491456.252228096,3137077.3029575967,272710.7471140443,2864366.5558435526,23629658.2506424,23763725.803951297,2065815.6597221885,21697910.144229107,0.0,0.0,0.0,101433795.61592722,86581755.38129997,44827123.0564543
1963,44904802000.0,3168927703.799515,81725561.4651013,643790608.6836109,2345733.986567267,59799.940649291515,2285934.0459179757,3112323926.0116787,76259413.50285594,76259413.50285594,2311360960.518447,44540041.40776879,1135462.012297182,43404579.39547161,54215218.31074938,4951453.520944076,450513.55852430745,4500939.962419768,25169212.195412,26636604.55544993,2423561.375366097,24213043.180083834,0.0,0.0,0.0,150663910.0867491,166647266.28101802,70598399.18703109
1964,45744147600.0,4327499261.09989,112456742.6996247,884674792.2175969,3345870.8208860937,90109.22567787173,3255761.595208222,4143166835.0823956,107702620.71181895,107702620.71181895,3102030925.7725086,62562691.47501666,1684905.3615418286,60877786.11347483,92947512.3279281,8619010.384839581,809005.6857365353,7810004.699103046,25995235.838654283,27613224.138594314,2591858.5002442743,25021365.63835004,0.0,0.0,0.0,204667538.7579551,272380167.7819216,98934637.25705147
1965,46575845600.0,5497680088.714865,143697372.38502464,1135734371.4027328,4457891.757264,125031.33516362078,4332860.422100379,5171471439.096577,142240202.36203876,142240202.36203876,3900052383.5308514,82202464.71629122,2305548.110375452,79896916.60591577,123132491.25810087,11991525.611231029,1152318.2083648795,10839207.40286615,26458731.45263,28182707.00925584,2708199.732097653,25474507.27715819,0.0,0.0,0.0,262783694.0700792,405382913.1788781,129780948.67312284
1966,47754766400.0,6668861518.898101,175123769.8167638,1504613632.0469964,6050123.0298398845,175204.28674034943,5874918.743099535,6197055124.381866,179838325.40020332,179838325.40020332,4779867365.654982,104783368.57981773,3034400.335948864,101748968.24386886,144001568.44405717,14879621.439180758,1456976.7412562696,13422644.697924487,29134825.21070925,30535591.40534147,2989971.6629173113,27545619.742424157,0.0,0.0,0.0,328430476.8275204,569401640.10478,164411749.90161845
1967,48723486400.0,7855407293.865336,207095825.0327648,1867178639.795087,7742373.192571549,230177.2767174248,7512195.915854124,7222121567.884933,220462973.23480216,220462973.23480216,5659802151.61543,129015541.47838727,3835574.087311048,125179967.39107622,156182021.0995677,17192725.780623607,1709973.0583142927,15482752.722309314,30980759.260051508,32717104.280093417,3254013.7950708214,29463090.485022597,0.0,0.0,0.0,398100979.7490644,765731913.7435646,201770706.11027986
1968,49602174200.0,9045131500.974945,239267892.8903923,2238736850.5979075,9589949.254133144,291507.67939089297,9298441.574742252,8237236967.666275,263784058.30765918,263784058.30765918,6554603266.790129,155142595.68014163,4715901.705309458,150426693.97483218,170690137.43823168,19679788.56184527,1983612.7836173887,17696175.77822788,40756155.992811844,41351681.29825605,4168018.5429594717,37183662.75529657,0.0,0.0,0.0,478389032.39075804,1000174546.3537791,243946399.78054354
1969,50515029000.0,10252343310.986776,272014389.9881686,2566903818.8624783,11424807.821299816,354010.4991075114,11070797.322192304,9239264542.591516,309532840.4659456,309532840.4659456,7411822117.009696,182242867.45082042,5646999.886052256,176595867.56476817,187963432.56592336,22374034.268723812,2281530.521391933,20092503.74733188,45203219.51198281,47388877.89761141,4832350.303899082,42556527.59371233,0.0,0.0,0.0,559848536.6939503,1271602246.0234315,288420837.0242977
1970,51435515800.0,11459893069.498268,304860341.4885085,2877892407.7777576,13328335.783745654,420014.85212527233,12908320.931620382,10226535525.066488,357418808.07446325,357418808.07446325,8247926945.581179,210493579.46413934,6633268.48050821,203860310.98363113,201670665.5837964,24778938.289143275,2552871.202379469,22226067.086763807,49622157.59129202,52082907.48764028,5365885.862819507,46717021.62482077,0.0,0.0,0.0,643130528.7012993,1579972889.893694,334759884.83103716
