Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,8909575.0,1031165.2447393878,11634.755260612219,46156405.53310213,56407.07926570861,4794.6017375852325,51612.47752812338,632763.3770074772,6605.841431508458,6605.841431508458,11605774.709310945,106102.17112375959,9018.684545519565,97083.48657824003,6595783.873419563,589416.126580437,132618.62848059833,456797.4980998386,2064544.8831831343,2001055.116816866,450237.40128379484,1550817.7155330712,0.0,0.0,0.0,2162917.0191707816,81917.25320984593,73384.55232802594
1962.0,9066087.5,2084198.7819805513,23966.462758836347,81544504.17046544,102911.5443166703,9817.473968769526,93094.07034790078,1506260.8376320195,16325.893390481047,16325.893390481047,19101790.390705563,182068.59813758562,17368.835873708318,164699.76226387732,13494783.730501018,1258600.1429185448,306739.7009506136,951860.4419679312,2007379.4291036353,3885165.4540794995,946872.9971414983,2938292.4569380013,0.0,0.0,0.0,4164272.6249081916,224055.85016232514,131981.12904977993
1963.0,9225450.0,3159562.917104054,36735.86487649773,125842791.75366004,162946.30103323192,16535.65771844654,146410.64331478538,3002426.747575874,33405.4026239906,33405.4026239906,30107625.38362366,295199.2129928175,29956.57534937545,265242.6376434421,21324067.062900305,2070716.6676007146,527333.9491993134,1543382.7184014013,2392446.9207595736,6146097.858794659,1565180.8413745698,4580917.01742009,0.0,0.0,0.0,6569358.4194037095,453182.5212880097,215932.0124565335
1964.0,9411175.0,4169133.8429443086,48829.074159745585,177883699.00789213,235827.0387774076,24949.18370693048,210877.85507047712,3517963.310890477,41736.97292631031,41736.97292631031,42960360.602342956,432705.4174376543,45777.81668549834,386927.60075215594,29025854.425758034,2944012.6371422745,772597.0825412846,2171415.55460099,3423269.091841002,9394563.957523338,2465414.9285091097,6929149.029014229,0.0,0.0,0.0,9740107.012364162,780310.9116466059,312414.03839034715
1965.0,9671475.0,5174091.4258564785,60942.41708783035,234101792.71128577,317886.92931188556,34694.678130037384,283192.2511818482,4767710.850767347,58357.17687416339,58357.17687416339,57428084.729903355,593888.9540785111,64817.972073720295,529070.9820047908,36646001.44625744,3888052.979500592,1043766.5768981699,2844286.402602422,3695912.144705501,12876919.615360482,3456871.184312951,9420048.43104753,0.0,0.0,0.0,13134955.243710754,1223397.633973128,427533.68773428036
1966.0,11786650.0,6234897.20084238,73794.22501409928,298485201.56484485,414465.8127816656,46368.93975728435,368096.87302438123,6110306.992315035,77283.8924773016,77283.8924773016,74448595.89530408,788626.032981933,88228.63523759133,700397.3977443416,46012121.633092605,5072479.813164832,1386701.8788801557,3685777.9342846763,5405912.248334403,18009496.051351793,4923391.1088770935,13086104.9424747,8570.96462874645,453429.0353712535,453429.0353712535,18371090.075376656,1804185.3157246327,564990.4814945199
1967.0,10960150.0,7114898.938833001,84498.26200937829,335375558.9441096,482750.03265149123,55124.57559527657,427625.4570562147,6470442.8884246,87426.86164733507,87426.86164733507,83104227.70220836,919029.1225549446,104942.69687002628,814086.4256849183,52873042.58785067,6138879.04524193,1703781.8752043343,4435097.170037596,7279270.778383484,24907072.400985688,6912698.264366786,17994374.1366189,9713.75991257931,967315.2754586742,967315.2754586742,24725925.32650364,2472398.351386225,660925.7087268757
1968.0,10801262.5,8321273.009637889,99225.9291951125,390394693.66739184,576769.9939379962,67015.84176556613,509754.15217243007,7260378.486650679,102643.58512947726,102643.58512947726,96582733.72795139,1100630.1090258996,127883.9988281824,972746.1101977171,62567276.08627358,7553766.501577088,2123703.0910621267,5430063.410514961,8608853.833581423,33039065.86813648,9288765.584072191,23750300.28406429,13713.54340599432,1692801.7320526796,1692801.7320526796,32458309.274131555,3266489.0004441077,791053.1984417418
1969.0,10241950.0,9555128.152327899,114344.85730998887,457166814.4729657,690148.2142203843,81408.75748307863,608739.4567373056,8007171.185356781,118401.20885558434,118401.20885558434,114566774.11085194,1333721.3241163555,157323.59163987817,1176397.7324764773,72845956.49293126,9147319.593342323,2600812.2250375273,6546507.368304796,10326020.905117469,42797458.02871743,12168389.975423181,30629068.05329425,17713.32689940933,2629888.4051532703,2629888.4051532703,41709002.22482168,4218168.481232246,951858.9172812286
1970.0,10421975.0,10817563.360436508,129864.79189139101,514546003.0559063,798065.2031941983,95399.73787319024,702665.4653210081,7884953.007582393,126049.36087610235,126049.36087610235,128375595.77563252,1542025.0236101374,184331.7844926891,1357693.2391174482,83233547.31219992,10893009.18073135,3128143.240714335,7764865.940017016,11637800.26513517,53777273.44242036,15443208.72514489,38334064.71727547,22284.50803474077,3808803.8971185293,3808803.8971185293,52094142.61972558,5306712.077520369,1097864.4690264366
