Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,370500000.0,7363570.723687079,87529.27631292111,12093436.155327097,14779.214367529084,1256.2332212399722,13522.981146289112,19294215.099827535,201425.2564641881,201425.2564641881,11969603.575660145,109428.36292086351,9301.4108482734,100126.95207259011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315075.1896830673,165981.63809226343,149093.5515908039
1962.0,201875000.0,14980727.92662508,181342.79706199834,22048608.707360197,27798.700688359553,2651.9184235910557,25146.7822647685,38972649.5742545,425188.11340892967,425188.11340892967,23275045.2413553,220454.40215460758,21030.734392574064,199423.66776203352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649758.5634357317,503470.34042183886,312269.86110615626
1963.0,235362500.0,22862800.6101403,279727.3164847785,31909779.399508778,41443.55770548249,4205.6584316865465,37237.89927379594,59012451.40418436,672308.9171027765,672308.9171027765,34667650.52508652,339803.5515484087,34482.98724357698,305320.5643048317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014867.3806814041,1025409.6698078038,492928.05129543913
1964.0,235362500.0,31022823.425498724,382477.18464157847,42831905.63522318,57150.55203125214,6046.2092428936385,51104.3427883585,79389775.74243587,943750.9285133745,943750.9285133745,46564930.972599454,471603.28298502334,49892.99363204347,421710.28935297986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416565.5606547128,1748475.9291443487,693499.3013181679
1965.0,235362500.0,39473829.8245168,489593.60098191793,56640325.841184095,77257.62119559912,8432.017970275969,68825.60322532315,100079848.154533,1240408.010073171,1240408.010073171,59627809.13877063,622462.6582293254,67936.55096792446,554526.107261401,0.0,0.0,0.0,0.0,25390.40834296456,24609.591657035442,6606.5635880365535,18003.028068998887,0.0,0.0,0.0,1881762.748628894,2694187.007122973,918048.6425812703
1966.0,314730012.5,48229961.797836415,601168.0266803863,169728646.76400715,219806.00594259507,24591.102893233223,195214.90304936186,121057040.14672625,1563092.3976007327,1563092.3976007327,109369207.56909636,1118034.3739769831,125081.65193547937,992952.7220415038,0.0,0.0,0.0,0.0,26171.22502889368,49219.183314070884,13455.417565473714,35763.76574859717,0.0,0.0,0.0,2787023.788440196,4093004.8279286074,1352442.2018859643
1967.0,327149600.0,57306123.1125941,717338.6852423202,250394416.77643445,330896.0793551755,37784.577331687644,293111.5020234878,142591790.87339967,1915621.6113421374,1915621.6113421374,147050584.4303989,1536493.2972578171,175450.0987832562,1361043.1984745609,0.0,0.0,0.0,0.0,26171.22502889368,73828.77497110632,20490.406756231034,53338.368214875285,0.0,0.0,0.0,3623114.6800550614,5899392.9889933225,1763388.1507754705
1968.0,340059150.0,66717948.93321481,838274.1793792854,318903105.2824392,433362.62435058854,50353.10672509014,383009.5176254984,164356981.94842997,2295758.7729742937,2295758.7729742937,180094333.29591835,1939062.8695724024,225302.86215742066,1713760.0074149817,183593.60556197638,16406.39443802363,4612.5744784328235,11793.819959590808,76952.0417148228,147657.54994221264,41513.1703058954,106144.37963631724,0.0,0.0,0.0,4510466.497610683,8110966.896440221,2180954.390567877
1969.0,353478137.5,76481487.30678558,964161.6264292239,333584859.04107594,475687.1987384192,56111.28595564974,419575.9127827695,186324742.2715592,2704009.8764496082,2704009.8764496082,193154555.53626448,2183226.844995432,257529.8770504744,1925696.9679449578,258984.01390494092,24609.591657035446,6997.123712763236,17612.46794427221,103904.0834296456,246095.91657035443,69971.23712763235,176124.67944272206,0.0,0.0,0.0,5243019.90456433,10636129.10718561,2524120.5464319475
1970.0,367426512.5,86614073.5834748,1095213.723310785,343463582.8067602,514213.81642187404,61468.49042042806,452745.326001446,208763591.36824033,3143853.1124322666,3143853.1124322666,204557982.19943303,2424312.8448242857,289799.39106876013,2134513.4537555254,509764.83059087,49219.18331407089,14134.262905950616,35084.92040812028,104684.90011557472,344534.2831984962,98939.8403416543,245594.4428568419,0.0,0.0,0.0,6011791.255454199,13487748.944227567,2879492.05514728
1971.0,381087512.5,97003111.40935022,1229962.174124587,355694720.8307888,557415.5179163506,67429.6795538309,489985.83836251975,231641680.1106924,3615780.6531215697,3615780.6531215697,216944222.00811893,2685449.0179348867,324854.54910617176,2360594.468828715,827732.858400752,82031.97219011816,23768.203857767905,58263.76833235026,104684.90011557472,442972.649826638,128348.30083194666,314624.34899469133,0.0,0.0,0.0,6839249.077639846,16692674.141423745,3261435.763116626
1972.0,395351762.5,107693829.87708102,1368981.532269196,370380989.4319337,605636.341571352,74053.33562142386,531583.0059499281,254629899.92289293,4117050.913568193,4117050.913568193,230217065.9894645,2966362.971993194,362707.87874128326,2603655.0932519105,929294.49177261,98438.3666281418,28753.106590702453,69685.26003743935,155465.71680150385,590630.1997688506,172518.63954421465,418111.56022463593,0.0,0.0,0.0,7740085.833032107,20275520.70702865,3669442.447165126
1973.0,411663025.0,118968382.89638057,1515946.9807004523,388623119.5995437,660454.1494750677,81549.07440031397,578905.0750747537,277995745.8845375,4650729.690109046,4650729.690109046,244682206.3131026,3270377.2333921576,403807.3445900242,2866569.8888021335,1014449.7307064447,114844.76106616543,33793.48813470831,81051.27293145712,207808.1668592912,787506.9330251341,231726.7757808569,555780.1572442772,0.0,0.0,0.0,8733036.084161667,24264377.754335716,4107347.6066788686
1974.0,356250000.0,130576676.08585842,1667606.8105221598,431664824.3866142,748148.1991803976,93208.68676061607,654939.5124197815,301706767.2811836,5216876.572306,5216876.572306,268017632.99762812,3668387.77402998,457029.2454364206,3211358.5285935593,1266792.1807642318,147657.5499422127,43744.2207020946,103913.3292401181,361712.25028893683,1132041.2162236304,335372.3587160585,796668.8575075718,0.0,0.0,0.0,9983756.80006703,28732015.87880662,4615536.488848437
1975.0,332500000.0,142849580.88533032,1828295.2005280992,457654235.63672626,819399.4137976177,102933.57138256259,716465.842415055,325730528.77607185,5815400.728069986,5815400.728069986,285449862.41091406,4030939.434537133,506369.6471305931,3524569.78740654,1532220.2433364661,184571.93742776586,55024.09787251264,129547.83955525322,366397.15040451154,1476575.4994221264,440192.782980101,1036382.7164420255,0.0,0.0,0.0,11222366.91388886,33666656.8960976,5121795.340600602
1976.0,308750000.0,155442075.18614808,1993505.699182244,494124205.2816757,906806.4823885227,114791.57239788961,792014.9099906331,350034761.9956931,6446058.875940424,6446058.875940424,306218580.7365009,4438808.433538183,561903.5698959075,3876904.8636422753,1531241.9114706768,200978.33186578949,60265.341591135235,140712.99027465424,366397.15040451154,1821109.7826206228,546077.7891115111,1275031.9935091117,0.0,0.0,0.0,12530723.633357098,39110402.24742711,5671233.298243818
1977.0,498750000.0,168513443.85906464,2165331.3270834335,552993842.2659687,1025777.8920350726,130784.83499925552,894993.0570358171,374587518.23167706,7108455.090104675,7108455.090104675,335206563.4135918,4938667.328109607,629671.1955271355,4308996.132582472,1513857.1851668637,217384.7263038131,65540.79071702318,151843.9355867899,594910.8254911925,2387130.390732438,719712.0791944808,1667418.311537957,0.0,0.0,0.0,14131706.52684771,45132969.7791307,6289876.748019375
1978.0,498750000.0,181970095.9169818,2342547.942082857,580378867.632844,1112178.4570604167,142754.30688055482,969424.1501798618,399357320.40213907,7802042.480641963,7802042.480641963,352877559.50763196,5357104.554164172,687614.2427157504,4669490.311448421,2214440.4866729323,299416.69849393127,90735.24752870754,208681.45096522372,601938.1756645546,2953150.998844253,894922.9893242385,2058228.0095200143,0.0,0.0,0.0,15707866.402755484,51692740.94603039,6881185.775370553
1979.0,546250000.0,195956825.63878325,2527070.2781985383,610760604.834792,1206131.131049388,155791.83888291687,1050339.2921664712,424610146.4691493,8529225.606231913,8529225.606231913,370152443.17684335,5786778.283041074,747458.3871641911,5039319.895876883,2374007.802083942,340432.68458899035,103661.70222224746,236770.9823667429,398814.90892083815,3322294.8736997847,1011638.2987954268,2310656.574904358,0.0,0.0,0.0,17166312.35154637,58813153.62706621,7498472.113239447
1980.0,570000000.0,210939256.16458946,2725069.4741937816,650989450.2754309,1316328.408153797,171038.42711660694,1145289.9810371902,450015849.7602316,9286317.645872705,9286317.645872705,391667504.42750925,6269563.903028428,814641.9556385871,5454921.94738984,2322248.653532224,365042.2762460258,111660.87321572525,253381.40303030057,164054.70034672416,3469952.4236419974,1061405.6038258825,2408546.819816115,0.0,0.0,0.0,18548457.79714615,66538589.53843582,8161093.662930121
