Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,68875000.0,1485472.8012720947,16927.198727905215,11669440.190082643,14261.054997369025,1212.1896747763672,13048.865322592657,3858843.0199655076,40285.05129283762,40285.05129283762,4703681.7280836385,43001.94137186229,3655.165016608295,39346.77635525399,183593.60556197638,16406.39443802363,3691.438748555317,12714.955689468316,1751938.1756645546,1698061.8243354456,382063.9104754753,1315997.9138599704,0.0,0.0,0.0,1421393.562520123,48848.32287218238,43832.37009850188
1962.0,71250000.0,3082259.185491656,35813.615780438806,27989748.118546866,35029.36103104417,3341.703230171025,31687.65780087315,7972630.3619262315,86896.93274145536,86896.93274145536,10208283.368478373,96339.9449572243,9190.561739700071,87149.38321752423,1085155.2389338345,98438.36662814178,23990.903951086915,74447.46267705486,1272615.951791408,2879322.223873147,701733.9405692922,2177588.2833038545,0.0,0.0,0.0,2457769.7197407624,155851.96029296823,98730.33633906688
1963.0,73625000.0,4800329.643885153,56429.541606503,38545731.604993135,49941.27203980532,5067.99955100316,44873.27248880216,12038024.170228733,137089.84719502213,137089.84719502213,14772495.51309237,144718.73693008316,14685.93938093582,130032.79754914735,1812888.0973345865,172267.1415992481,43869.986424586736,128397.15517466137,976924.3096142865,3789877.115183458,965139.7013409081,2824737.41384255,0.0,0.0,0.0,3265130.486250183,316338.7049710706,151509.1725548693
1964.0,76000000.0,6649892.01821156,78837.62567359264,55718920.39630844,73773.06935037623,7804.778745425978,65968.29060495025,18136471.34250144,212729.4912569324,212729.4912569324,22172006.40262024,222178.91993675672,23505.288952644823,198673.6309841119,2466792.180764232,246095.91657035443,64582.93852710481,181512.97804324963,2466369.418303975,6152397.91425886,1614573.46317762,4537824.451081241,0.0,0.0,0.0,5196708.841970485,560813.6999737561,232896.41784330906
1965.0,78375000.0,8642238.271910723,103153.74630083775,75704756.51605664,102377.1736250951,11173.605327134232,91203.56829796088,24954369.98267664,302202.0221081807,302202.0221081807,30641374.85473546,314493.88059544354,34324.35547049515,280169.52512494836,3414054.700346724,352737.48041750805,94694.0780951906,258043.40232231744,2207752.7026582183,8219603.613449837,2206592.238404209,6013011.375045628,0.0,0.0,0.0,6944629.8928990355,904105.972488614,330282.843016232
1966.0,80750000.0,10197304.735530492,122233.5363802317,107798729.48487875,147368.2462780451,16487.02769461712,130881.21858342797,31508801.837048583,396179.1235452744,396179.1235452744,43725953.70387234,454918.65159952914,50894.6574119387,404023.99418759043,4713659.669987003,500395.0303597207,136796.74524898277,363598.2851107379,2756971.8859722894,10828220.329095595,2960191.864404217,7868028.464691378,0.0,0.0,0.0,9162711.086118408,1377243.217247907,457947.0915569997
1967.0,84312500.0,10076555.490893973,120749.24463651836,142433539.6543146,197974.89322799418,22606.486234236945,175368.40699375723,39693566.16531777,514444.42568443145,514444.42568443145,58410091.277384035,619013.412284431,70684.30726466117,548329.1050197699,5223029.470218153,590630.1997688507,163923.2540498483,426706.9457190024,3485081.286665738,14125905.611138344,3920497.826025538,10205407.785112806,0.0,0.0,0.0,11870256.668529768,2004375.2688015834,611009.8861442821
1968.0,87875000.0,9957272.082552455,119283.40834151804,187390306.8727942,263990.89718258975,30673.53083392224,233317.3663486675,48746601.69291099,650817.4710122478,650817.4710122478,75404387.65226984,814568.8598416167,94646.07797223899,719922.7818693777,6192944.917726101,730084.5524920516,205259.56429026066,524824.988201791,3557724.970557682,17472810.076495163,4912391.819530956,12560418.256964207,0.0,0.0,0.0,14689300.86439629,2814376.6736493404,794056.214382536
1969.0,91200000.0,9839436.289770853,117835.79278160328,223669586.46465918,323041.03776202997,38105.3938246565,284935.6439373735,57157935.98497173,790634.4905373019,790634.4905373019,89063796.72010723,991746.1696635755,116984.76029836189,874761.4093652136,8859342.068130612,1033602.8495954887,293879.1959360559,739723.6536594329,3305382.520499895,20573618.62528163,5849595.423870064,14724023.201411564,0.0,0.0,0.0,17414078.398910888,3794446.8123070076,970261.4051822216
1970.0,95000000.0,10164308.399715481,121827.89005537059,246532651.3832553,368871.54837889393,44094.45354010908,324777.09483878483,64043934.00440505,924342.853186396,924342.853186396,98423284.31539693,1139907.745894915,136263.17714735892,1003644.5687475561,9845268.879716864,1214073.1884137488,348645.15168011526,865428.0367336335,3297574.3536406034,23674427.174068093,6798580.457762245,16875846.71630585,0.0,0.0,0.0,19994039.269812223,4920058.813474312,1127152.5156054322
1971.0,98800000.0,13558299.989239197,163708.41047628483,289575523.6300783,441718.3545252075,53433.975448006684,388284.3790772008,74720989.704116,1106208.0833968087,1106208.0833968087,114613453.53170516,1358273.331884319,164308.19123556963,1193965.1406487494,11201506.169170784,1443762.7105460796,418320.3878967151,1025442.3226493645,3500697.62038432,26972112.456110843,7814985.428434084,19157127.027676757,0.0,0.0,0.0,22871026.95344888,6260950.174134635,1347566.2424624362
1972.0,103075000.0,17442837.246603683,211962.74263551348,346982297.2776944,535983.6152311688,65536.64603962952,470446.9691915393,86470749.28270683,1311553.3625020105,1311553.3625020105,136174814.98821986,1637966.792080732,200280.09593346217,1437686.6961472698,14531177.203236092,1870328.9659346938,546309.0252233465,1324019.9407113474,4065533.1374169732,30811208.75460837,8999722.362889864,21811486.391718507,0.0,0.0,0.0,26355193.360270675,7864941.522939105,1615695.6790363495
1973.0,107350000.0,21674405.72624547,264831.52035821363,476740504.26964056,723696.1816371208,89357.83628046777,634338.345356653,102075395.98817402,1570678.494969322,1570678.494969322,184793457.0484011,2180916.0797758503,269286.9562434263,1911629.123532424,19099907.559664875,2444552.7712655207,719318.5331530767,1725234.238112444,5555354.788399358,36077661.36921395,10615982.915460506,25461678.45375345,0.0,0.0,0.0,31303558.65572429,9922106.05589745,2059481.4309000554
1974.0,111625000.0,26579078.64794961,326427.0782958606,635964813.3915443,957748.7562346716,119321.9524060122,838426.8038286594,119724553.84016386,1868579.9409188807,1868579.9409188807,231012455.58982587,2735481.464125458,340802.3105695685,2394679.1535558896,25275279.479940817,3207450.1126336195,950221.6830288324,2257228.429604787,6463916.039844043,42180840.10015874,12496265.713898351,29684574.38626039,0.0,0.0,0.0,37043488.71416861,12470243.03942401,2553548.914776871
1975.0,115900000.0,31851032.48293261,392946.1650170018,729549394.7485348,1124418.5913418406,141250.3101501515,983168.2811916891,137364374.5699985,2186115.0533828046,2186115.0533828046,263734253.5359012,3199593.338365555,401935.32451216417,2797658.0138533907,30304160.453286685,3929331.4679066595,1171401.9058192691,2757929.5620873906,6490463.807165633,48284018.83110353,14394304.003449302,33889714.82765423,0.0,0.0,0.0,42614585.7381695,15440078.94145108,2997105.446400813
1976.0,119700000.0,37110950.22383897,459582.2590936402,805245436.9734395,1277955.0604037442,161774.83695438848,1116180.2234493557,149962256.22156197,2471119.841461975,2471119.841461975,283043595.6113588,3566177.8180848937,451438.2805360737,3114739.53754882,35052176.05745456,4684025.612055747,1404551.4305525804,3279474.1815031664,6490463.807165633,54387197.56204832,16308539.37751945,38078658.18452887,0.0,0.0,0.0,48060171.96849219,18759815.2052923,3382303.3386189337
1977.0,123500000.0,42613215.78469364,529534.4391453277,862627546.3844407,1416906.4138917066,180653.0175675474,1236253.396324159,184299692.16549608,2998701.3345289207,2998701.3345289207,310993850.6515308,4028666.173218473,513647.6861342272,3515018.487084246,39054095.74505209,5430516.558985822,1637283.1492328055,3793233.409753016,4713135.223158114,58767704.87700063,17718272.630066186,41049432.24693444,0.0,0.0,0.0,52592638.87462479,22593895.73417662,3915892.689053003
1978.0,127300000.0,48474523.961722285,604291.8229713584,922323959.3662612,1565468.896080247,200936.66244324946,1364532.2336369974,220261876.1133399,3579507.3685617563,3579507.3685617563,340154824.5476772,4524694.966081356,580769.8302627626,3943925.135818593,38043127.33531504,5783254.03940333,1752557.5207599674,4030696.5186433624,4810820.505200862,63295869.741895154,19181182.73784951,44114687.00404564,0.0,0.0,0.0,57033348.26070635,26983926.621538796,4497933.850655171
1979.0,127300000.0,54525723.66238859,681700.2993336885,981793611.4430876,1720925.1696784536,222286.02667011647,1498639.1430083371,255923845.27913505,4195908.431269841,4195908.431269841,368898367.57541853,5040331.825580281,651042.4476018999,4389289.377978382,36780588.048172615,6135991.519820837,1868408.5123431587,4267583.007477678,4815505.405316437,67824034.60678968,20652408.529482935,47171626.07730675,0.0,0.0,0.0,61523046.037040986,31955072.736637443,5112690.837157913
1980.0,127300000.0,61059805.77647655,765517.8859120479,1041104228.27204,1883574.9117368548,244744.15978883326,1638830.7519480216,291249880.97156036,4848121.57690331,4848121.57690331,397232560.011764,5575523.848643487,724461.1781649652,4851062.670478522,35295395.83310473,6488729.000238345,1984803.3868233406,4503925.613415005,4815505.405316437,72352199.4716842,22131435.994667336,50220763.477016866,0.0,0.0,0.0,66062704.08976172,37533239.56128065,5759848.17468664
1981.0,127300000.0,68660123.06491199,863282.7115645581,1164719162.747726,2132419.5416502403,278638.6481581812,1853780.893492059,315771508.19630265,5427263.589006265,5427263.589006265,430860081.9265063,6182206.992761762,807815.6129464572,5374391.379815305,40798105.581421696,7473112.666519763,2295755.9481740193,5177356.718345744,4155354.7883993587,76240514.9534958,23421246.74240322,52819268.21109258,0.0,0.0,0.0,70652060.79175195,43746960.55458723,6441714.869007046
1982.0,127300000.0,76955933.89966154,970289.1652504529,1257939437.1889973,2356499.29927084,309563.03106835077,2046936.2682024892,327893796.49671334,5906981.2725125775,5906981.2725125775,453007015.8147573,6710407.633315661,881516.9719406074,5828890.661375053,42766422.41942374,8211400.416230827,2532873.350430464,5678527.065800363,5810820.505200863,81753063.48467174,25217398.411978025,56535665.07269372,0.0,0.0,0.0,75997000.3405842,50491766.58330851,7038002.173368841
1983.0,127300000.0,85931263.43238738,1086370.4672741578,1346617466.1610413,2585696.1908148034,341395.70797600603,2244300.4828387974,340123389.7789078,6405965.325273335,6405965.325273335,473259919.8009155,7240452.257053336,955974.384440062,6284477.8726132745,44216771.2296159,8949688.16594189,2771345.615261295,6178342.550680595,5862354.406472185,87265612.01584768,27022524.890146337,60243087.125701346,0.0,0.0,0.0,81356173.35710734,57779822.20154661,7646688.0624873135
1984.0,127300000.0,95888376.74448448,1215486.6879029034,1412119643.7704988,2797260.0284922244,371114.74664227286,2426145.2818499515,352144630.7234623,6920210.736863539,6920210.736863539,484635672.1229473,7706981.416295464,1022491.4475422881,6684489.968753176,45317919.34456101,9687975.915652953,3011095.1231325213,6676880.792520432,5862354.406472185,92778160.54702362,28836143.81255615,63942016.73446748,0.0,0.0,0.0,86649743.51445457,65579752.5061574,8230915.68285588
1985.0,127300000.0,106947906.01586954,1359270.728614944,1468229126.0691621,3006728.6846500556,400746.2323196221,2605982.4523304333,364239717.04371166,7451546.384286426,7451546.384286426,492389832.17997736,8151940.961984425,1086516.2670929434,7065424.694891482,46594081.3255564,10459076.454240063,3262286.8476270563,7196789.606613006,6471724.206703334,98881339.2779684,30842043.655918855,68039295.62204956,0.0,0.0,0.0,92359038.7601709,73888576.11567521,8814129.921990521
1986.0,127300000.0,119095006.5474786,1517599.4683909386,1507558741.560994,3204668.590868495,429013.6248450445,2775654.9660234503,376095284.178405,7995737.176972999,7995737.176972999,503717121.74797684,8638103.04311892,1156395.362962987,7481707.680155933,59313574.441792876,12256725.092814311,3835970.1728774626,8420754.919936849,6490463.807165633,104984518.00891319,32856858.30811421,72127659.70079899,0.0,0.0,0.0,98801514.44388822,82725839.5106959,9415836.428131696
1987.0,127300000.0,132118926.01387984,1687780.5335987674,1552993189.974405,3418088.2262563817,459519.41704205936,2958568.8092143224,387996042.5526207,8554402.775792938,8554402.775792938,513796045.684307,9122861.526495112,1226455.1798892112,7896406.346605901,57988712.40046696,12894769.77250905,4048797.753876123,8845972.018632926,6490463.807165633,111087696.73985797,34880158.775885835,76207537.96397214,0.0,0.0,0.0,104462887.91421823,92103303.78669596,10031913.65561311
1988.0,127300000.0,145866677.2953342,1867848.7185456576,1621367741.0840464,3668162.278286518,495139.7969707674,3173022.4813157506,399631337.61607605,9123123.273768125,9123123.273768125,528646435.4217062,9659678.655562438,1303893.057466432,8355785.598096006,60794035.28388744,13892032.458424317,4375566.81990894,9516465.638515376,6490463.807165633,117190875.47080275,36911554.003400736,80279321.46740201,0.0,0.0,0.0,110447718.45909728,102064549.7935221,10690685.346353734
1989.0,132261137.5,160370228.38059074,2058248.9147434516,1659938469.7220662,3892235.510390911,527434.6444351963,3364800.8659557146,410991926.9837211,9700262.291116437,9700262.291116437,536647910.76910615,10144536.862007093,1374680.4833593112,8769856.378647782,64246084.85683702,14969358.349197138,4729074.593133624,10240283.756063513,6490463.807165633,123294054.20174754,38950686.168936305,84343368.03281122,0.0,0.0,0.0,116418571.32459468,112575303.83669488,11324165.492547158
1990.0,136473437.5,175387213.10902858,2255815.27156216,1687044222.7570493,4110866.054200154,559151.6175056541,3551714.4366944996,414168657.5458726,10201633.862021046,10201633.862021046,539459231.8536963,10587455.292405225,1440084.078139351,9147371.214265874,61278157.39846757,15531031.262782877,4920732.811494383,10610298.451288495,6490463.807165633,129397232.93269232,40997226.7156708,88400006.21702152,0.0,0.0,0.0,121911024.18129143,123572633.04777595,11903390.301900335
1991.0,139969912.5,190739707.7418493,2458205.367179271,1713927532.6757574,4337136.611082583,592061.6863404444,3745074.9247421385,416846193.31558,10698280.912839757,10698280.912839757,541828923.7056078,11027572.976831215,1505371.8705151216,9522201.106316093,58101294.50692989,16092704.176368617,5112936.225817731,10979767.950550886,6490463.807165633,135500411.6636371,43050872.98041414,92449538.68322296,0.0,0.0,0.0,127394863.57767183,135056424.16601962,12481765.825654346
1992.0,150971150.0,207562887.8894779,2680419.852371407,1746059173.675062,4577826.792794093,627098.3574762731,3950728.4353178195,419327205.7801301,11191077.32206476,11191077.32206476,545236313.5013249,11477045.670792472,1572195.0206074247,9904850.650185047,50383605.058989145,16267268.213189188,5182342.846114476,11084925.367074713,8115449.941115364,143178604.26063216,45613105.149710566,97565499.11092159,0.0,0.0,0.0,133697080.88556394,147035007.89151198,13068072.682075266
1993.0,158056012.5,225275155.904076,2914831.9854018856,1802669723.3864133,4856908.723001565,667570.5125850452,4189338.2104165195,421616528.56675243,11678063.410492454,11678063.410492454,555914329.9234923,11992421.553476822,1648329.7216759094,10344091.831800912,51775092.22194839,17194229.498937525,5491934.98058982,11702294.518347705,12937803.361158445,155482415.7054836,49661970.472844854,105820445.23263873,0.0,0.0,0.0,143734233.2036963,159551929.6137383,13694571.730483565
1994.0,165538212.5,243911814.87696695,3161941.0271090595,1863426695.0375984,5151369.44540525,710350.1907593101,4441019.25464594,423720932.1929381,12157328.981804842,12157328.981804842,568278631.875441,12526236.841144968,1727310.5382764162,10798926.302868553,47103861.07065237,17592084.564059597,5633191.9058284545,11958892.658231143,5569004.795928175,160501788.01985255,51394555.87836184,109107232.1414907,0.0,0.0,0.0,148463399.33904117,172616282.5681144,14332921.584943216
1995.0,173308262.5,263526325.45344764,3422489.4235193133,1924046644.9607666,5456441.63302468,754790.7765461643,4701650.856478516,425649062.9278818,12627036.560807565,12627036.560807565,579815966.9470187,13055710.493511595,1805999.3168655874,11249711.176646007,40707634.541373126,17805367.691753905,5715423.277333183,12089944.414420722,4931636.523405722,165127406.86770892,53004972.504693344,112122434.36301558,0.0,0.0,0.0,152790777.3713684,186223767.465576,14970913.696470514
1996.0,180972387.5,284035522.1104536,3695403.342994055,1968671114.4044137,5752915.003864595,798232.9733436469,4954682.030520948,427411358.7037996,13085443.986767048,13085443.986767048,587634397.2577232,13553042.975849135,1880522.4456121505,11672520.530236984,34010241.409081735,17944822.044477105,5773836.420384775,12170985.62409233,6747252.857124304,171524916.31487185,55189001.393695116,116335914.92117673,0.0,0.0,0.0,158219547.09279403,200348324.7886908,15588089.224410191
1997.0,188929825.0,305477504.5246864,3981217.5857672314,2013441973.8136785,6059558.652969598,843271.0187433093,5216287.634226289,429316777.00541705,13534024.803483997,13534024.803483997,595189473.4703904,14046611.6058334,1954779.4083877404,12091832.197445659,27938247.929166812,18084276.397200305,5832084.804026281,12252191.593174024,6803471.658511201,177922425.76203477,57379054.2010794,120543371.56095538,0.0,0.0,0.0,163637707.78928533,214986929.80628678,16203539.617559932
1998.0,188704437.5,326687606.80475897,4264397.719927413,2032028621.5962522,6344317.052900976,885436.9480648132,5458880.104836162,431078943.3088422,13968440.106566923,13968440.106566923,592437690.9432058,14443536.01714289,2015794.6621591737,12427741.354983717,30030192.53796075,18822564.146911368,6083731.801501964,12738832.345409404,11474291.177282963,188847115.69042593,61038187.69751885,127808927.99290708,0.0,0.0,0.0,172402821.90470326,230077255.7639401,16764735.608733498
1999.0,192113512.5,348185355.31742823,4551851.487330737,2048940200.0137389,6635396.975693706,928646.5309389067,5706750.4447548,432712699.225136,14387364.80927589,14387364.80927589,590552527.2623441,14838500.630341193,2076698.98050983,12761801.649831362,35914518.68142377,19888979.785382904,6442362.046815323,13446617.738567581,8877797.346453747,197115938.48718983,63849038.74584573,133266899.7413441,0.0,0.0,0.0,179569434.38377374,245614201.58071923,17318971.087082893
2000.0,195624950.0,369979568.2366271,4843687.080801149,2065419097.2968493,6934208.022153367,973099.5444351402,5961108.477718227,433937293.50516313,14786545.173713839,14786545.173713839,588228535.2646455,15219065.225086458,2135739.999426969,13083325.22565949,41661307.94697683,20955395.42385444,6802116.016428275,14153279.407426165,8793531.609708276,205384761.28395373,66667841.19327834,138716920.09067538,0.0,0.0,0.0,186701178.37519312,261584714.21401852,17860466.24379228
2001.0,198641200.0,391946630.4740533,5138237.762573781,2101250944.58062,7264890.165938199,1022196.0619232907,6242694.104014908,434773095.3243725,15164761.697018173,15164761.697018173,589041725.9498369,15616660.799882447,2197320.0978146023,13419340.702067845,40243615.30620478,21381961.679243054,6954834.679660919,14427126.999582134,7676353.642617837,212570762.04780808,69142136.25250411,143428625.79530397,0.0,0.0,0.0,192682549.29798704,278000243.1167902,18411267.600329258
2002.0,201705425.0,414092164.7198371,5435565.75421622,2142827025.0747685,7612153.471437516,1073808.766470723,6538344.704966793,435241601.01986337,15520981.293726422,15520981.293726422,591705213.6786182,16020608.398114922,2259947.8329805112,13760660.56513441,39059193.597384855,21808527.934631668,7107771.736872563,14700756.197759105,7641997.708436955,219756762.81166244,71622482.37850735,148134280.4331551,0.0,0.0,0.0,198655023.1947418,294859401.87609506,18960827.80452276
2003.0,204818575.0,436421434.42369395,5735730.296143183,2190497618.4286084,7976852.66712642,1128070.5643227417,6848782.102803678,435365242.9344701,15854366.301723594,15854366.301723594,596347780.7887266,16432494.374802725,2323850.5180128594,14108643.856789866,38009878.54676206,22235094.19002028,7260923.441433525,14974170.748586757,7641997.708436955,226942763.5755168,74108704.81712465,152834058.75839216,0.0,0.0,0.0,204620021.76829603,312161435.80809134,19509758.329320855
2004.0,208092275.0,458939939.04396737,6038795.379726569,2230466470.093188,8342583.457191239,1182668.3614432712,7159915.095747968,435167190.68855095,16164280.602475975,16164280.602475975,598348388.5408643,16810683.951901775,2383130.3751595924,14427553.576742183,44045217.79242099,23310697.409377113,7626633.603501043,15684063.805876069,19562794.425458815,245682967.6223493,80380863.07631138,165302104.5460379,7763.958218896946,410736.041781103,410736.041781103,219148653.6686612,329878838.1564343,20034346.926623166
2005.0,211305887.5,481653409.54665655,6344829.49731081,2279218498.1176033,8728979.84295261,1240387.4887829057,7488592.354169705,434671147.8103631,16450292.77532799,16450292.77532799,603352368.8253914,17204564.479857523,2444767.5346625163,14759796.945195006,49788682.0916046,24386300.62873394,7993338.869892061,16392961.75884188,19929387.85950254,264423171.6691818,86672597.38908355,177750574.28009826,7763.958218896946,821472.083562206,821472.083562206,233663690.19719505,348015982.8274776,20561537.403649464
