Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,38793619600.0,1049195564.6167698,17401635.383230224,226053682.96538448,444284.9717625041,26657.098305750245,417627.87345675385,1119013153.0933125,16440214.101218443,16440214.101218443,545928465.2519292,6764623.944362123,372054.31693991675,6392569.627422206,10123302.975996148,716354.5386786605,107453.18080179907,608901.3578768615,30680634.887760743,25790852.056573145,3868627.8084859718,21922224.248087175,0.0,0.0,0.0,45781537.20806144,27282590.889452282,18498946.318609156
1962,39381001000.0,2118672396.3863747,35755568.230395004,446754836.76369214,907557.8274776791,60744.18114177338,846813.6463359058,2247976011.416833,34791504.08610263,34791504.08610263,1094564500.5102603,14118933.130280372,874406.3090831029,13244526.82119727,20091322.960562773,1544746.4394824859,253126.69870651886,1291619.740775967,41661908.29615961,42294726.63920829,6930538.40633166,35364188.23287663,0.0,0.0,0.0,85538652.5272884,74108287.12778826,38712956.28895242
1963,40157482200.0,3202959529.551039,54602266.83533512,659039839.9856815,1384521.3149715844,98281.8002038022,1286239.514767782,3378761345.2599773,55034604.795790635,55034604.795790635,1643450151.1788454,22055520.53155157,1455358.2881246798,20600162.24342689,32968925.208481487,2697902.3937149756,463964.3335244939,2233938.0601904816,44812689.39564054,47317872.39323518,8137360.780682029,39180511.61255315,0.0,0.0,0.0,118335456.22672893,134581612.4388488,57862130.91566842
1964,40922519400.0,4301306648.955217,73851280.5958214,884325765.3067709,1917584.9007706265,141638.46539530726,1775946.4353753193,4513958995.7390175,77285591.60063905,77285591.60063905,2200132084.749092,30686622.580356814,2113171.160369254,28573451.41998756,48448633.21827157,4182501.9164895667,743338.8639174873,3439163.0525720795,49169897.418033645,51591199.38504206,9169091.683574222,42422107.701467834,0.0,0.0,0.0,153496260.21004182,210331464.93578437,77746407.71310626
1965,41724518000.0,5419571136.173644,93569912.7815733,1119881221.4765344,2504462.0229719984,190575.48267854526,2313886.5402934533,5655430676.804745,101642195.3466525,101642195.3466525,2762760611.524625,40013553.72197921,2844738.7584225754,37168814.96355663,67003741.72936326,6052028.849529484,1102611.6209809761,4949417.228548508,53967365.24158331,56629368.814164154,10317234.384659205,46312134.429504946,0.0,0.0,0.0,192386448.50855604,303546245.11932224,99171668.32501818
1966,42845972400.0,6547216298.387479,113551437.78616552,1490999235.6638393,3394228.596949031,264470.1281100227,3129758.4688390084,6808563234.0835705,128243711.22583339,128243711.22583339,3392701142.6973677,50816902.465006694,3705446.297460511,47111456.16754618,84268018.86919254,8018246.826699313,1490072.4175718229,6528174.40912749,63049268.0695758,65366108.036324814,12147323.066262102,53218784.97006271,0.0,0.0,0.0,238231885.24140877,418123800.1742849,123654330.1864461
1967,43790553400.0,7698383175.651135,134033122.73634344,1844221578.0295563,4304540.439925573,342034.9156862363,3962505.5242393366,7979224683.924831,157230522.23290554,157230522.23290554,4024829696.922994,62369972.63261202,4644012.12221468,57725960.51039734,101899903.60356544,10161271.634230254,1919649.1771416685,8241622.457088586,68764852.16919968,72281078.58534987,13655211.47588042,58625867.10946945,0.0,0.0,0.0,285786477.83410025,554144382.6915777,149765895.31680745
1968,44635938600.0,8860852322.754843,154788552.8962912,2200435909.768516,5276548.064513388,426315.616290998,4850232.44822239,9154814048.30017,188465621.51571265,188465621.51571265,4661244305.840783,74712274.5922765,5662773.177180913,69049501.41509558,114583053.31552595,12084241.608856808,2315205.7213515774,9769035.887505231,75918845.82887912,79575579.77309859,15245792.291633565,64329787.48146503,0.0,0.0,0.0,336464178.7480009,712962405.4829569,177646155.9566217
1969,45512593800.0,10050972414.717903,176103308.0369392,2483071595.1974497,6162497.78044563,505153.78263648815,5657343.997809142,10336763588.61879,221982440.95107418,221982440.95107418,5266184857.326889,87413120.00474542,6728384.156821669,80684735.84792376,129508711.8218502,14209470.884546813,2755848.6058514155,11453622.278695397,80759841.30711344,85284223.04764304,16540405.275932562,68743817.77171047,8619.851416922902,28300.99292053396,28300.99292053396,388550261.8401334,894843216.7714067,206669450.5516839
1970,46544758600.0,11247021468.74163,197583245.97627184,2782140591.2835603,7132078.341119593,592146.8731704523,6539931.467949141,11523712254.268473,257758084.72814292,257758084.72814292,5883813019.997777,100992371.15423259,7880015.696741371,93112355.45749122,141840639.09467807,16197274.03194386,3175503.139453449,13021770.892490411,89222422.14610088,93486364.68839136,18328160.8978526,75158203.79053876,17288.06656625187,56948.33665294045,56948.33665294045,445647294.6732654,1102520076.931125,237970434.51354694
