Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,435575200.0,0.0,0.0,5374234.688089049,18059.217581582383,361.18435163164764,17698.033229950735,28801405.17053695,622652.6995005383,622652.6995005383,20930735.038632486,366216.6485228581,7324.332970457162,358892.31555240095,0.0,0.0,0.0,0.0,644059.1293232217,541411.0164547798,43312.88131638238,498098.1351383974,0.0,0.0,0.0,1497341.1834212872,896378.6654821981,600962.5179390893
1962,447857200.0,0.0,0.0,12410602.836931892,43212.34718000816,1014.009526666164,42198.337653341994,56946340.06566164,1313030.4405976373,1313030.4405976373,42686256.000792876,783719.4861385354,18390.55448360478,765328.9316549307,0.0,0.0,0.0,0.0,832177.3879696652,852220.0629076359,74084.74437082135,778135.3185368145,0.0,0.0,0.0,2898693.0284427246,2510039.8537975024,1285031.8401274201
1963,460485600.0,0.0,0.0,17910114.785109732,65260.15518710251,1663.6811459867438,63596.47404111576,83791001.51229748,2058556.299101737,2058556.299101737,62649793.85847202,1209354.0144185429,30830.136196322466,1178523.8782222203,1856890.8030627954,148466.04168767162,13508.349513493607,134957.69217417802,977744.9205998847,1014382.515872353,92294.73224326264,922087.7836290903,0.0,0.0,0.0,4357722.127168342,4835333.899624941,2032428.0813409027
1964,473470000.0,0.0,0.0,23387104.189954404,88970.08044257676,2396.0952129811712,86573.98522959558,109857586.87230033,2868805.0820561703,2868805.0820561703,82153084.32220438,1664192.984850322,44819.16645057284,1619373.818399749,3560835.6173863662,305404.894443092,28666.202385696095,276738.6920573959,1125918.9853278252,1170901.5210770643,109904.2634471235,1060997.2576299408,0.0,0.0,0.0,5912488.835372851,7895683.666743565,2852139.068254227
1965,486820600.0,0.0,0.0,29687234.017934117,117263.75326811826,3288.9187166825036,113974.83455143576,138538920.27638942,3815491.490735448,3815491.490735448,103789788.27183276,2193293.656879325,61515.722960000574,2131777.9339193245,7101061.365023674,627258.793721304,60276.0443329318,566982.7493883723,1601876.4099981883,1605031.7974868228,154234.53405432127,1450797.2634325016,0.0,0.0,0.0,8079024.272027083,12047055.611211937,3927652.3275587102
1966,500547600.0,0.0,0.0,38347396.14913671,155621.90272475342,4506.62314362689,151115.27958112652,169120598.2716058,4889802.2110509705,4889802.2110509705,128251355.4161218,2812633.0166654615,81450.46953867828,2731182.547126783,9849188.550113576,922915.4943916993,90369.66531507214,832545.8290766272,1734238.3313950815,1827804.2317064756,178974.1939370699,1648830.0377694056,0.0,0.0,0.0,10253475.904604914,17190932.05824428,5109599.457572568
1967,514661800.0,0.0,0.0,48208168.923191495,200907.77858979572,5972.897998706121,194934.8805910896,210114881.98388118,6279351.160009959,6279351.160009959,159856305.22708833,3602638.819178759,107104.83359167817,3495533.985587081,11650314.096452087,1168392.4433748869,116207.26260641823,1052185.1807684687,1339977.5552588357,1524009.9862093395,151576.66389101118,1372433.3223183283,0.0,0.0,0.0,12394438.529274926,23226166.922861118,6359203.664658092
1968,529173800.0,0.0,0.0,58383545.25157316,250613.03225256383,7617.936395812925,242995.0958567509,249676057.97813502,7754672.248290234,7754672.248290234,190922143.0617777,4441139.361927138,134998.2356464466,4306141.1262806915,12002365.863695865,1309705.2846616865,132010.9785357662,1177694.3061259203,1513714.6663041962,1574831.1767899175,158734.18784468836,1416096.9889452292,0.0,0.0,0.0,14897599.765498826,30401494.621119507,7722272.067240438
1969,544095000.0,0.0,0.0,69551971.06996131,307254.2118945697,9520.61676721549,297733.5951273542,287722724.7929607,9306694.449866384,9306694.449866384,221869215.42632118,5334181.707588525,165285.60989122445,5168896.0976973,12779057.00158551,1477318.254205952,150645.4601033637,1326672.7941025882,1262816.3524744404,1408034.3989506816,143580.4297871472,1264453.9691635342,0.0,0.0,0.0,17364450.905957162,38652208.0497569,9113737.477319766
1970,559437000.0,0.0,0.0,80560086.46316606,367384.74628202,11577.368126552294,355807.3781554677,324183513.00422865,10924455.310068045,10924455.310068045,251832001.82704395,6265497.990379345,197444.17117174502,6068053.819207599,13257616.101027723,1615891.240100667,166478.57002160797,1449412.6700790592,1090564.012503988,1203196.6168834148,123960.35529043937,1079236.2615929754,0.0,0.0,0.0,19876965.43910315,47996054.38024558,10533119.108614461
1971,564595600.0,0.0,0.0,91636967.93959004,431891.2752872014,13815.975742614228,418075.29954458715,358998872.20086986,12595322.29051857,12595322.29051857,281074057.8952123,7236528.0423115855,231492.7427668907,7005035.299544695,13514879.263641687,1726616.8383039534,179531.81060934748,1547085.027694606,1346811.3411442311,1379126.9514138028,143400.1760869441,1235726.7753268587,0.0,0.0,0.0,22801244.69262932,58693703.42534593,12103595.647528978
1972,576354200.0,0.0,0.0,102652629.77664685,500510.71324760816,16228.826263147745,484281.8869844604,392122600.6716039,14305284.489737865,14305284.489737865,309304830.6390214,8238925.265272513,267143.3061993604,7971781.959073152,13718529.69625716,1819711.1519497372,190795.01557771183,1628916.1363720254,813953.4765675438,993784.6644315496,104197.39436555692,889587.2700659927,0.0,0.0,0.0,25279851.742233496,70393840.3616752,13579714.805904211
1973,590378800.0,0.0,0.0,115892471.3275029,581054.9263278301,19072.980826228744,561981.9455016013,423523052.6338837,16039303.675763026,16039303.675763026,338082961.31633246,9295685.848228175,305128.53418244934,8990557.314045725,14396434.690674312,1936983.8611481113,204641.36399250105,1732342.4971556102,585966.9576144328,674074.992971509,71215.68163875234,602859.3113327567,0.0,0.0,0.0,27927044.743798718,83232779.21004623,15088105.895427687
1974,599753200.0,0.0,0.0,121530016.43637688,641269.1306252505,21287.11260966787,619982.0180155827,418852695.7744047,17039507.994715884,17039507.994715884,340171013.4250784,9928249.58846457,329571.09100272687,9598678.497461842,14222498.37200521,1978686.351503708,210513.575309752,1768172.776193956,723393.7953152909,739003.7983808545,78623.03777777348,660380.7606030811,0.0,0.0,0.0,29686722.046990346,96731490.9319332,16188010.325103384
1975,611250200.0,0.0,0.0,140806301.31077677,750563.5922057792,25174.09127817987,725389.5009275993,415068160.2000358,17991342.6461444,17991342.6461444,352343834.7466976,10729777.394651998,359879.4270498864,10369897.967602111,16151612.822229467,2172922.0538805197,232677.58436034727,1940244.4695201723,718109.1586883765,769923.2351546912,82443.76653031455,687479.4686243766,0.0,0.0,0.0,31714354.052818663,111058944.00685908,17386900.97789277
1976,629123000.0,0.0,0.0,151649312.09813797,838636.728868426,28398.708259951814,810238.0206084743,411877958.1139887,18876162.513550732,18876162.513550732,358715660.64653176,11435005.398649558,387222.94300822506,11047782.455641333,17889232.12722794,2361633.582234068,254409.07294037455,2107224.509293693,1493979.7736672908,1419976.8958741105,152968.27094334495,1267008.6249307655,0.0,0.0,0.0,34108416.124024995,126452675.88635547,18714684.2445286
1977,641911000.0,0.0,0.0,177327428.90266344,981551.4579239928,33535.752600820306,948015.7053231725,431819250.93706864,20169954.9366101,20169954.9366101,389046097.692476,12550051.770089619,428785.90611986356,12121265.863969754,19441076.965048548,2544359.414807202,275635.88364564447,2268723.5311615574,1721792.9199179944,1795123.9452073362,194469.60677454955,1600654.3384327868,0.0,0.0,0.0,37108614.37549737,143155978.09242922,20405312.16942362
1978,661643600.0,0.0,0.0,202858273.0230607,1133224.3765898356,39041.68619907046,1094182.6903907652,450497647.44678277,21400521.877955295,21400521.877955295,418256747.1755188,13673743.424404897,471085.87758118944,13202657.546823706,20813536.361701127,2720226.134590864,296242.73871239397,2423983.39587847,1749288.1265684534,1866551.391936493,203274.3856340696,1663277.0063024235,0.0,0.0,0.0,39784622.51735066,160909890.76822686,22030709.841553025
1979,688485200.0,5182859.683334026,112740.31666597421,228289210.54737523,1294089.437809813,44933.62567227025,1249155.8121375428,467980337.37163466,22560274.952652544,22560274.952652544,446470972.58744144,14803324.112162221,514003.9049286688,14289320.207233552,22246171.122555513,2906560.3069532155,318106.7191871675,2588453.587766048,1926176.1684399752,2018674.0149488274,220932.54575436364,1797741.469194464,0.0,0.0,0.0,42484946.028984144,179739044.85730666,23655791.939904384
1980,738780800.0,18464202.069082785,416357.61425124144,253535929.5296024,1464135.7199078663,51213.50754311334,1412922.212364753,484341060.69536793,23643716.473522168,23643716.473522168,473512623.86551046,15930983.46072042,557244.4757280834,15373738.984992336,23496561.399662852,3084399.8408109406,339152.3487414965,2745247.492069444,1977501.4400396645,2103531.9498645538,231298.74149577628,1872233.2083687775,0.0,0.0,0.0,45047858.37131748,199545919.65257528,25240983.57604886
1981,803875200.0,39739370.48038065,915231.5887021358,278859327.31708235,1644471.4739767537,57922.580983126754,1586548.8929936269,499657990.42095536,24647475.831092842,24647475.831092842,499555094.5361167,17054753.355590347,600712.9634164752,16454040.392173871,24759847.215568118,3266675.3476650873,360788.6917404502,2905886.655924637,4892181.220643288,4564532.457948513,504130.811495292,4060401.6464532213,0.0,0.0,0.0,49654353.41863819,221684068.46744275,27516204.60377071
1982,859743000.0,69015440.82687111,1613429.6535095377,303752663.2719985,1833677.9606874946,65013.44132511263,1768664.519362382,514011628.321774,25570248.071572732,25570248.071572732,524277327.33981276,18164400.806791812,644022.6863038839,17520378.12048793,25753542.133538276,3430133.3479272705,380437.5458254145,3049695.802101856,4388580.903201909,4831416.331191721,535854.4363909606,4295561.894800761,0.0,0.0,0.0,52204548.40832566,244520886.58179918,29367730.293969214
1983,912935800.0,106215162.33529438,2511878.491576726,328495952.89029664,2032819.1312989974,72525.84576707058,1960293.285531927,527482807.6735815,26412643.272766504,26412643.272766504,547998620.7260612,19260473.253532983,687164.9774832135,18573308.27604977,26033424.54139857,3535368.536750613,393680.75892164354,3141687.777828969,4380824.702013029,4683802.812526228,521564.591274385,4162238.221251843,0.0,0.0,0.0,54250170.833429016,267823492.0222502,30947565.392977983
