Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,640999800.0,37243762.130155385,856237.8698446157,1229402.1064518644,4131.200333486821,82.62400666973643,4048.576326817085,15322347.550725657,331251.2361342864,331251.2361342864,9946995.520418884,174038.57798764083,3480.7715597528168,170557.80642788802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505857.61888899154,287374.2214857852,218483.39740320627
1962,656199800.0,74595242.23536305,1747519.8947923372,2454509.0834960174,8593.070519659732,201.64272340846927,8391.427796251262,30641069.776978433,706004.0267919495,706004.0267919495,19917753.014593877,366007.77110127476,8588.641695034887,357419.1294062399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071814.5839944407,876944.3316852658,482244.4737949601
1963,672200000.0,112065626.13116266,2654016.1042003967,3551630.4534308333,12987.947970939154,331.10255564606206,12656.845415293092,45912232.69839116,1125005.173525988,1125005.173525988,29807883.610965677,574682.6800474782,14650.42087287398,560032.2591746042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697694.278115885,1789076.8473962802,785561.7624048708
1964,688599800.0,149670572.12610295,3571854.0050596795,5076386.00799208,19166.17820232489,516.1733878770076,18650.004814447882,61667550.675996035,1600708.3114501312,1600708.3114501312,40371246.14829771,813531.2498778964,21909.59391906065,791621.6559588357,139266.81022970966,11134.95312657537,1045.159477433087,10089.793649142284,29275.41496923735,24609.591657035442,2309.9287139989488,22299.662943036492,0.0,0.0,0.0,2443369.428815594,3083132.7386806095,1149313.5375312646
1965,705600000.0,187427908.08505777,4499464.041045196,6943031.58890912,26976.862829760583,756.6251855789664,26220.237644181616,77273951.33968271,2121208.5712726894,2121208.5712726894,51186581.38750437,1076627.8479172012,30196.385338445416,1046431.4625787558,452751.75161025696,37751.97125199906,3627.75223818082,34124.219013818234,37826.244907712055,38737.27558671072,3722.434446473459,35014.84114023726,0.0,0.0,0.0,3262999.3316496825,4785360.736012513,1560771.334317779
1966,724600000.0,225356761.4262055,5436146.658852266,9869065.252677623,38950.73125585492,1127.9663329222744,37822.76492293264,92802594.86339855,2687347.5046035917,2687347.5046035917,62841647.66533406,1374830.9968504568,39813.4522229844,1335017.5446274723,1342440.8541138829,113866.28791083176,11149.51302876735,102716.7748820644,38854.0080785949,41410.10140512746,4054.777525553508,37355.32387957395,0.0,0.0,0.0,4200259.912915635,6951244.565339085,2034376.0835890623
1967,742799800.0,263477129.14000297,6381632.286202557,12398401.848050952,50521.078480025506,1501.9689663780182,49019.10951364749,108208895.26483971,3296876.36347275,3296876.36347275,74184173.14840434,1689419.7390419282,50225.6898619189,1639194.0491800094,1968486.3426815765,178554.89716249047,17758.909638519417,160795.98752397104,38900.099083287845,41576.75069618839,4135.186267139627,37441.56442904877,0.0,0.0,0.0,5183327.074119426,9587089.652941348,2547481.9865171625
1968,762600000.0,301810509.4689045,7335919.6710984865,14902540.204066956,62869.949406339976,1911.070910721064,60958.87849561891,123450939.68223965,3946704.5209072204,3946704.5209072204,85548444.93998711,2025508.2813393099,61569.79594295364,1963938.4853963563,2343572.1171435807,229321.96394179095,23114.37329774493,206207.59064404602,38900.84640364653,41580.17497728433,4191.049429763561,37389.12554752077,0.0,0.0,0.0,6215198.600990762,12705744.333613448,3096543.9203186636
1969,784200000.0,340378261.3749575,8299148.093946992,17504922.747783937,76443.48376050121,2368.6871816889015,74074.79657881231,138490303.99291888,4632957.607372398,4632957.607372398,96920107.33199951,2382475.594468699,73823.68154472571,2308651.912923973,2714901.634903554,282430.925588674,28800.115758126438,253630.8098305476,68176.2791024615,66189.78982259631,6749.521515476979,59440.26830711933,0.0,0.0,0.0,7328755.39501285,16344498.3527487,3690001.3758775974
1970,806200000.0,379202685.0642624,9271576.3106951,20742435.477314375,93110.63288645778,2934.1884341471496,90176.44445231064,153292793.78227153,5351068.273337267,5351068.273337267,108845547.3132941,2769287.7637849087,87268.3588912079,2682019.404893701,3591225.536833859,377823.556882347,38925.59344918056,338897.96343316644,76727.12273668595,80317.47380402044,8274.776083202407,72042.69772081803,0.0,0.0,0.0,8534204.783837264,20543682.732069362,4335020.404516604
