Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,3226434850.0,44921058.3056529,558941.6943470951,413188562.78759474,504951.79907649214,42920.90292150184,462030.8961549903,113303739.70442812,1182853.7574726243,1182853.7574726243,228543306.66533017,2089385.8135588805,177597.79415250485,1911788.0194063757,25021972.50204176,2236027.4979582406,503106.1870406041,1732921.3109176364,6971190.51464435,6756809.485355651,1520282.1342050214,5236527.35115063,0.0,0.0,0.0,10526121.335102256,1879725.4799928353,1676947.193041155
1962.0,3169067150.0,86990962.6805544,1100095.6250985006,839907810.2853255,1055597.264836609,100701.03153003604,954896.2333065729,230815444.0986747,2517258.054381107,2517258.054381107,464266315.9000442,4390849.811870843,418874.81151942833,3971975.000351415,52394269.366669014,4881903.1353727495,1189792.895098229,3692110.2402745206,7989939.680238166,14293250.834406186,3483479.25369782,10809771.580708366,0.0,0.0,0.0,21946011.109021984,5758012.177661231,3565842.5903706998
1963.0,3117410000.0,124404041.46637733,1586921.2141770734,1319376283.4669213,1702108.7281249217,172728.60537112763,1529380.122753794,349347035.101235,3979177.053168659,3979177.053168659,718283042.3955854,7015987.797446677,711976.718954274,6304011.078492403,78007264.11514053,7607005.2515284745,1937219.2167247916,5669786.034803683,9087166.801255224,22869201.335049897,5823928.712091423,17045272.622958474,0.0,0.0,0.0,34527626.91217701,11851252.828504909,5719327.603571178
1964.0,3079976612.5,145935292.98508203,1868748.4812952785,1720964321.557882,2289929.5073962323,242261.75358066143,2047667.7538155708,460820808.64924693,5490444.186799729,5490444.186799729,938876116.5516059,9509042.196443923,1006003.5603464531,8503038.63609747,85284192.46652147,8937071.64861905,2345355.245787222,6591716.402831828,5741802.325587377,28170698.0081751,7392834.806373098,20777863.201802004,0.0,0.0,0.0,43410730.181346595,20051550.3197565,7840853.085461177
1965.0,3032472700.0,165410776.02861765,2124516.956464369,2145483761.2426715,2938320.679692122,320692.92828561494,2617627.751406507,573570645.1400702,7136278.933474261,7136278.933474261,1166517102.962283,12224083.565345865,1334155.6560768522,10889927.909269013,93270779.37860541,10449413.087916069,2805195.3476132997,7644217.7403027695,7622018.050177014,35395286.61174768,9502035.424892511,25893251.18685517,0.0,0.0,0.0,54181303.52130772,30534210.112151332,10161174.80175495
1966.0,2978956987.5,174269677.35180458,2241098.6768130576,2618372261.9805098,3681333.5919200983,411854.32015386084,3269479.2717662374,687010261.4591151,8915982.523231793,8915982.523231793,1404514289.5208118,15200241.511660889,1700548.178437252,13499693.333223637,102493604.72026068,12207374.658344738,3337221.634867168,8870153.02347757,7388099.205970383,42334010.198632136,11573166.113074727,30760844.08555741,0.0,0.0,0.0,65316152.237256646,43506736.27590339,12712628.964469612
1967.0,2951098712.5,179996144.99334052,2316532.358464048,3204130075.1868973,4602649.690918634,525570.3649196569,4077079.325998977,803165698.3968276,10855202.338860396,10855202.338860396,1692333203.02531,18809147.88672351,2147791.246889362,16661356.639834149,113787496.72908784,14307507.99117283,3970899.6732221437,10336608.317950686,10382003.614885734,52183359.40997749,14482947.341812195,37700412.068165295,0.0,0.0,0.0,79630658.6908095,59402674.558721706,15697700.021875205
1968.0,2928371600.0,185792007.6764647,2392937.3168758047,3760310765.262894,5537772.287593637,643442.7505932429,4894329.5370003935,918124202.089164,12919058.74072541,12919058.74072541,1963852800.6766107,22482292.369846508,2612254.0420277095,19870038.3278188,128621801.74876752,16911694.98032032,4754637.159794075,12157057.820526244,11298829.705676688,62831831.281610094,17664850.281245835,45166981.00036426,4571.18113533144,241828.81886466854,241828.81886466854,95249294.24529977,78284138.14050823,18801963.023758076
1969.0,2872044887.5,191658083.09303862,2470324.583426073,4333350035.176933,6543362.514754284,771844.3677916939,5771518.1469625905,1036184357.4755505,15154268.725056896,15154268.725056896,2237593106.8600025,26383350.305665236,3112136.961842726,23271213.34382251,142544285.63537002,19667116.113397513,5591854.0395358605,14075262.073861651,16096768.660512542,78106118.87783234,22207527.216557655,55898591.66127469,6285.37406108073,574343.4448035879,574343.4448035879,114745197.3957819,100347690.5602124,22133447.79613784
1970.0,2832130312.5,198398764.93302965,2559318.160008965,5044576364.212806,7770825.5866960455,928914.9822119094,6841910.604484136,1161727693.5054927,17611854.288469188,17611854.288469188,2558753926.0621634,30930881.336875327,3697439.7078262563,27233441.62904907,161999498.11838517,23163187.516984843,6651767.868958137,16511419.648026705,22484093.335500468,99429050.34988739,28553020.2556722,70876030.09421518,46283.20899523083,3022860.2358083567,3022860.2358083567,142097516.50005266,126081505.16018507,25953391.92202972
1971.0,2806841237.5,204472399.35815957,2639565.5748700877,5732530189.493274,9034619.609175643,1092903.7415655358,7941715.867610107,1287277368.3472307,20222718.010849264,20222718.010849264,2872793103.9853754,35660066.70863821,4313742.25105902,31346324.457579195,179489442.68098873,26796055.437396415,7763974.109314544,19032081.32808187,20370150.259760205,118517037.1460171,34339502.32205344,84177534.82396367,25141.49624432292,4352918.739564033,4352918.739564033,167073293.22764814,155624714.42646658,29967549.06975706
1972.0,2750804725.0,214894997.3816146,2777401.9765449804,6510634875.602074,10474198.64235352,1280717.97246382,9193480.6698897,1409179998.8230526,22950254.50980689,22950254.50980689,3217095735.7185884,40912105.11394367,5002470.365502177,35909634.748441495,192298383.42902744,30335259.25196131,8860701.092523819,21474558.159437492,21257778.30737446,138534085.24638322,40464764.46101418,98069320.78536904,17141.9292574929,5259776.81030654,5259776.81030654,192857025.68325114,189325215.52386153,34352868.83074312
1973.0,2696383887.5,225181407.26832303,2913590.1132915667,7302290208.625533,12004758.820225624,1482278.4760554547,10522480.34417017,1536430102.3391442,25885715.152109668,25885715.152109668,3578378573.656829,46588116.116791345,5752432.2474138765,40835683.86937747,217775704.790523,35161036.11196158,10346262.603733914,24814773.50822767,27724435.145276777,164790353.90037423,48490160.26110505,116300193.63926917,21141.71275090791,6378235.097555632,6378235.097555632,224737081.6107098,227489148.77367187,39079946.11584696
1974.0,2642502075.0,236280704.452411,3060702.8159120386,8102429430.332605,13623822.681838661,1697335.6645445602,11926487.017294101,1661588896.2603972,28956430.370410644,28956430.370410644,3930520474.3937244,52463381.61649334,6536195.514273071,45927186.10222027,241602981.0309237,40041134.54394615,11862368.2117043,28178766.332241848,31416926.719085913,194433689.87330633,57601864.889869735,136831824.98343658,23427.30331857363,7617607.794237058,7617607.794237058,259438302.59984046,270276324.8793225,44022927.384274356
1975.0,2632723812.5,259373418.675919,3367285.7764919945,9017175176.801418,15464514.274448428,1942663.9281911375,13521850.346257292,1785287237.069152,32166413.34845052,32166413.34845052,4294885601.1727767,58730234.10937774,7377736.233657313,51352497.87572043,252940382.13175145,43999029.5445694,13116874.329302894,30882155.21526651,20193973.13897246,213095044.78846967,63527331.20752478,149567713.5809449,22284.50803474077,8796523.286202317,8796523.286202317,286287153.652842,318001804.6458936,49315281.80385719
1976.0,2575508825.0,277722077.937009,3611340.738910008,9948492220.621819,17418005.51581261,2204924.953699857,15213080.562112752,1909756953.8126657,35536134.38068232,35536134.38068232,4669849222.21091,65383533.24654172,8276825.029449318,57106708.21709241,276874182.20063794,49293668.344819516,14781194.238712607,34512474.10610691,31073173.82376889,242638761.13437408,72757633.55811791,169881127.57625616,23427.30331857363,10035895.982883744,10035895.982883744,322285420.8251343,370937047.94154096,54920679.86424005
1977.0,2532933212.5,292928196.7694164,3813881.1675925837,11146052335.743502,19793862.72730031,2523681.871961589,17270180.85533872,2032348514.9173498,39036405.81807893,39036405.81807893,5135118452.492418,73160142.2498905,9327786.460372303,63832355.78951821,307516774.0091278,55528918.550990395,16741789.045504112,38787129.50548628,36282643.830998525,276897084.6115667,83483573.94399987,193413510.66756684,28569.8820958215,11547326.100787923,11547326.100787923,363886908.7367769,429819857.8797158,61256132.52476105
1978.0,2482830975.0,312256519.1525647,4071677.6168516614,12430143839.622711,22394610.689262897,2874473.162567222,19520137.526695676,2159919185.5585155,42734074.77216785,42734074.77216785,5660865014.913666,81846028.3741032,10505394.145425914,71340634.22867729,347133855.01079404,62970432.501822524,19082562.224425983,43887870.277396545,38943645.63844139,313589592.01874006,95030201.71342748,218559390.30531257,57139.764191643,14570186.33659628,14570186.33659628,410612293.44684625,495218442.9173832,68196261.48987341
