Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,602587137.5,8317322.393112557,99177.60688744308,2971024.3778390344,3630.8461554903856,308.6219232166828,3322.224232273703,49571291.10263383,517507.96660799097,517507.96660799097,20340071.17960455,185952.7491289708,15805.98367596252,170146.7654530083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690976.956293273,363691.93353257823,327285.02276069473
1962.0,608831487.5,16761346.385495571,203476.00761698463,5992064.686831212,7532.476179567016,718.5771946607238,6813.898984906292,99791796.26299298,1088878.4620297235,1088878.4620297235,40970657.29539006,387594.41858299775,36975.42525617845,350618.99332681927,0.0,0.0,0.0,0.0,50780.81668592912,49219.183314070884,11995.451975543456,37223.73133852743,0.0,0.0,0.0,1483535.0856799763,1114577.2147898274,695426.0730841997
1963.0,615140675.0,25335663.397737216,310782.9877583559,9224089.756869944,11914.406398423052,1209.0642430883622,10705.34215533469,150606471.82252094,1716450.3042827803,1716450.3042827803,61935242.55242853,605988.309511251,61495.199362730455,544493.1101485206,0.0,0.0,0.0,0.0,52342.45005778736,98438.36662814177,25068.563671192416,73369.80295694935,0.0,0.0,0.0,2345018.559543585,2282483.080403761,1103742.8909727023
1964.0,621515175.0,34044262.12983556,420701.2679016559,12263492.851447068,16307.926185171233,1725.2875174204892,14582.638667750743,201958010.69113174,2402406.472981479,2402406.472981479,83068221.76553738,840300.6357724307,88899.1145359083,751401.5212365224,0.0,0.0,0.0,0.0,26952.0417148228,123047.95828517721,32291.469263552404,90756.48902162482,0.0,0.0,0.0,3259147.1219073767,3899084.3184503755,1551789.3948391378
1965.0,627955937.5,42891286.42534361,533075.7044919494,15244635.408869091,20874.15800869498,2278.2383500790775,18595.9196586159,254083847.45278597,3151842.605982106,3151842.605982106,104518566.23426399,1092451.2828299713,119231.84672165492,973219.4361083164,0.0,0.0,0.0,0.0,51561.63337185825,172267.1415992481,46245.945116255876,126021.19648299224,0.0,0.0,0.0,4269679.15823203,6000303.85215585,2042438.4280435643
1966.0,634463200.0,51881241.87839885,647844.5469447572,18247964.721147165,25717.437697692643,2877.1741420907247,22840.26355560192,306622635.0663746,3963688.79678789,3963688.79678789,126182351.3860923,1362119.7329360805,152389.04124522602,1209730.6916908545,0.0,0.0,0.0,0.0,26952.0417148228,196876.73325628354,53821.670261894855,143055.0629943887,0.0,0.0,0.0,5339314.8150287345,8621589.0153456,2574974.5888445964
1967.0,641037912.5,61018652.5944495,764989.2839493493,22178908.890664868,31955.989634436894,3649.0113872184934,28306.9782472184,359511170.0284655,4839488.5433837,4839488.5433837,148339043.6464784,1652399.9763247645,188685.32625104178,1463714.6500737227,91796.80278098819,8203.197219011816,2276.7118618034488,5926.485357208367,102342.45005778737,295315.0998844253,81961.62702492414,213353.47285950114,0.0,0.0,0.0,6550790.129921351,11801283.640299506,3151815.5467507346
1968.0,647681025.0,70308629.49068056,884523.1037689236,26188081.3534204,38627.64926309836,4488.209265390239,34139.43999770813,412684840.0614597,5780511.418263085,5780511.418263085,170710226.15915737,1961434.7425854118,227902.286395153,1733532.4561902587,267187.21112395276,24609.591657035446,6918.861717649235,17690.729939386212,130075.30845853928,418363.05816960253,117620.64920003699,300742.4089695655,0.0,0.0,0.0,7866616.453360004,15577032.980633404,3772433.974117154
1969.0,654392775.0,79756255.64595003,1006473.8447305238,30190409.171852645,45647.43402037874,5384.4968505608385,40262.9371698179,466077911.1150898,6787727.291725475,6787727.291725475,193227455.92049712,2289081.054988814,270016.2669770914,2019064.7880117227,426171.2250288937,41015.98609505908,11661.872854605395,29354.113240453684,130856.1251444684,541411.0164547798,153936.72168079118,387474.2947739886,0.0,0.0,0.0,9263883.424921459,19986862.86325873,4437225.134281688
1970.0,661173875.0,89366576.84405509,1130878.801894946,33648051.674443394,52371.50720891863,6260.425889711378,46111.08131920725,519920673.0092833,7864881.920035268,7864881.920035268,215789452.59874946,2634814.8021749184,314962.5374791884,2319852.26469573,568748.844495811,57422.380533082716,16489.97339027572,40932.407142806995,130856.1251444684,664458.974739957,190812.54923033333,473646.4255096237,0.0,0.0,0.0,10745424.098702636,25070173.137576435,5147534.991732502
1971.0,671129875.0,99149629.79179998,1257847.0522551138,37098802.47233234,59432.78924539053,7189.491151569352,52243.29809382118,573846048.2649809,9009428.464349546,9009428.464349546,238460608.34761816,2999519.7510806,362847.1923185737,2636672.5587620265,694920.0695247047,73828.77497110635,21391.383471991117,52437.391499115234,130856.1251444684,787506.9330251343,228174.75703457187,559332.1759905624,0.0,0.0,0.0,12310113.888695072,30865641.399602626,5902876.059179202
1972.0,679101325.0,109118891.68980944,1387538.1019905403,40354198.38572722,66613.10201637012,8145.023773843728,58468.07824252639,628380306.5314646,10227516.450936422,10227516.450936422,261383685.36896554,3384790.343110637,413870.4996404116,2970919.843470225,988278.505677551,106641.56384715362,31149.198806594326,75492.36504055929,359369.8002311494,1132041.2162236306,330660.7257930782,801380.4904305524,0.0,0.0,0.0,14133777.228120284,37415748.187939115,6706797.5843126895
1973.0,703022087.5,119284716.35734162,1520075.332467831,42047539.24221027,72241.17859798078,8919.924650235691,63321.253947745085,683153004.8459336,11516121.601641139,11516121.601641139,283937084.347661,3785276.5758622494,467384.14976437244,3317892.426097877,1248824.1529543502,139454.3527232009,41034.94987786009,98419.40284534081,61712.250288936804,1181260.3995377014,347590.1636712854,833670.235866416,0.0,0.0,0.0,15829424.920398518,44757947.49109963,7555135.978526245
1974.0,724589225.0,129645191.31504916,1655425.0422924664,43968979.97976598,78406.76326259415,9768.374026513866,68638.38923608029,738093864.5367461,12874703.775237687,12874703.775237687,306709967.5698471,4206252.386936085,524039.57076889754,3682212.816167188,1384760.208574114,164063.94438023632,48604.689668994,115459.25471124233,26952.0417148228,1205869.991194737,357244.46906710585,848625.5221276311,0.0,0.0,0.0,17589639.757479828,52932838.83729107,8450663.63444952
1975.0,712389087.5,140195178.56963408,1793512.7454150855,46421604.494507104,85503.81162022796,10741.053201516836,74762.75841871114,793133337.2023079,14302342.06935959,14302342.06935959,329830421.20237046,4649090.605887445,584022.2627536713,4065068.3431337737,1496086.672536842,188673.53603727178,56246.855603012926,132426.68043425886,26171.22502889368,1230479.5828517724,366827.3191500843,863652.2637016881,0.0,0.0,0.0,19438252.11504802,61981229.130480394,9393782.877722748
1976.0,702030762.5,150927243.89237764,1934234.6772564403,50221999.85341944,94575.87331708084,11972.249228275621,82603.62408880523,848202986.1918604,15797734.176975777,15797734.176975777,353137878.6591462,5112556.790636183,647192.586697,4465364.203939183,1582803.544842535,213283.12769430724,63955.05638242924,149328.071311878,51561.63337185825,1279698.7661658432,383730.3382945754,895968.4278712678,0.0,0.0,0.0,21390998.504186913,71943015.74277098,10383915.392713178
