Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,0.0,0.0,0.0,4005438.444813439,4894.988707222311,416.07404011389644,4478.9146671084145,0.0,0.0,0.0,1249962.075048869,11427.387943231824,971.3279751747051,10456.05996805712,813870.4534562413,72729.54654375876,16364.14797234572,56365.39857141304,26812.271210170577,25987.728789829427,5847.238977711621,20140.489812117805,0.0,0.0,0.0,91440.86301869637,7895.9585736183035,7039.0160615472305
1962.0,0.0,0.0,0.0,8229378.888558378,10339.662517759076,986.3749328414123,9353.287584917663,0.0,0.0,0.0,2478784.582733287,23462.431963464853,2238.250495362841,21224.18146810201,1417683.3434083653,133187.11004787585,32459.6930458206,100727.41700205524,27636.813630511726,51975.457579658854,12667.197286173889,39308.260293484964,0.0,0.0,0.0,170613.14634855988,23824.291681699076,14649.1359449389
1963.0,0.0,0.0,0.0,12184436.82725034,15766.311446586173,1599.9524254926484,14166.359021093524,0.0,0.0,0.0,3671283.7792958464,35982.24783890122,3651.4491610523796,32330.798677848838,1961038.6698563725,193644.67355199292,49314.04283518069,144330.63071681221,6723.242086578677,57692.75791342133,14692.183796412453,43000.57411700887,0.0,0.0,0.0,233828.36253276345,47788.4932065587,22532.95617408274
1964.0,0.0,0.0,0.0,16433863.428953014,21857.773123960756,2312.430329962435,19545.342793998323,0.0,0.0,0.0,4962534.673118696,50226.172167697696,5313.648523105046,44912.52364459265,2579244.920099439,266193.7497569334,69857.21184015171,196336.53791678173,536426.8235358866,577447.3337100099,151539.4736140316,425907.86009597837,0.0,0.0,0.0,686702.264451351,80760.35571024076,31486.003934908902
1965.0,0.0,0.0,0.0,20819165.139280505,28454.059069066738,3105.520642296603,25348.538426770134,0.0,0.0,0.0,6255026.139854542,65391.45221009054,7136.925672898331,58254.52653719221,3058257.615318568,332787.3047808714,89338.35721315566,243448.94756771572,552736.2726102346,1097201.9095065985,294549.1451093699,802652.7643972286,0.0,0.0,0.0,1129704.7769289068,123249.68025888596,41113.74041531714
1966.0,0.0,0.0,0.0,25726366.14135291,36050.629114640615,4033.2143160612413,32017.414798579375,0.0,0.0,0.0,7710187.162238442,82980.85552968482,9283.59872492258,73697.25680476223,3608004.7724741166,411652.84284445096,112536.62737843368,299116.21546601725,552736.2726102346,1616956.485303187,442039.53072775295,1174916.954575434,0.0,0.0,0.0,1579747.8416447928,176721.534026386,52242.81783584157
1967.0,0.0,0.0,0.0,30712866.033189945,44158.23396144929,5042.369221172337,39115.86474027695,0.0,0.0,0.0,9105678.443207016,101090.2330300414,11543.357463906383,89546.87556613502,4616081.281440429,538523.4910336877,149461.58030367282,389061.9107300149,552736.2726102346,2136711.0610997756,593021.8777110552,1543689.1833887203,0.0,0.0,0.0,2061413.8344251472,241487.33876900058,63896.93556379739
1968.0,0.0,0.0,0.0,36749588.15581295,53985.73724470392,6272.690436072578,47713.04680863135,0.0,0.0,0.0,10746973.847279768,122500.06659253288,14233.481570331182,108266.5850222017,5368037.243901873,653844.0375385558,183824.93068898332,470019.1068495725,847671.2559221109,2942330.6535844877,827221.3209978921,2115109.332586596,0.0,0.0,0.0,2741108.0712670013,319747.4354416603,77719.53515817333
1969.0,0.0,0.0,0.0,43010148.5645767,64614.595825149525,7621.832315162683,56992.76350998684,0.0,0.0,0.0,12353073.720149094,144821.04858443214,17082.85463865649,127738.19394577565,6485320.719219703,812116.5246821698,230905.08252118682,581211.442160983,910365.7649662046,3799925.7036488587,1080414.1173199336,2719511.586328925,0.0,0.0,0.0,3485453.985945671,412104.86140457576,92373.53149284702
1970.0,0.0,0.0,0.0,51646169.41584772,78710.88416634913,9409.002782206926,69301.88138414221,0.0,0.0,0.0,14417173.81522509,172564.83815468216,20628.189601796505,151936.64855288566,7864393.876919722,1007926.8422999817,289446.1472090254,718480.6950909563,1287386.646749275,5021348.956770842,1441979.7631471467,3579369.1936236955,0.0,0.0,0.0,4519088.4186516795,522515.70758114394,110827.68376045965
1971.0,0.0,0.0,0.0,57617278.939971864,90304.31373585395,10923.970972855162,79380.34276299879,0.0,0.0,0.0,15836750.217636034,195966.8636010676,23705.803643902593,172261.059957165,8155024.606759599,1123969.2701601228,325662.42197759263,798306.8481825301,1325742.5118442217,6268759.938682655,1816330.3914320208,4452429.547250634,0.0,0.0,0.0,5502377.798153329,647546.2658523041,126610.84444900369
1972.0,0.0,0.0,0.0,64453463.75980065,103550.35367027034,12661.474498320289,90888.87917195006,0.0,0.0,0.0,17262631.71173559,220593.16005223332,26972.71975911298,193620.44029312034,8192284.891778976,1227739.7149806223,358613.5375836727,869126.1773969496,1380191.5966849038,7568146.378174126,2210598.6411549128,5357547.737019213,0.0,0.0,0.0,6511183.233881232,788425.4345760873,143630.15074128725
1973.0,0.0,0.0,0.0,72099095.24997634,118463.80615904232,14627.228475869852,103836.57768317247,0.0,0.0,0.0,18432879.974443745,244063.03003085955,30135.497233489597,213927.53279736996,8731951.37522697,1380417.6216208702,406192.8997380317,974224.7218828385,2186208.8178307037,9647164.68136048,2838713.2522772,6808451.429083279,0.0,0.0,0.0,8100440.26144666,945229.9638298668,160959.5812267628
1974.0,0.0,0.0,0.0,80052860.27433968,134513.82135385173,16758.520107753997,117755.30124609773,0.0,0.0,0.0,19884719.157619,271130.71375405905,33779.053130342014,237351.66062371703,10074365.829305463,1612863.418018789,477818.1227289792,1135045.2952898098,2210945.0904409382,11726182.984546833,3473935.0386750447,8252247.945871788,0.0,0.0,0.0,9742400.203031411,1120050.9850369617,180285.94066271995
1975.0,0.0,0.0,0.0,85940619.39719994,148848.21379609313,18698.42470223114,130149.789093862,0.0,0.0,0.0,20731388.035145737,293866.73238172714,36915.76020830059,256950.97217342653,10424863.008050365,1772038.2568564944,528275.3588544193,1243762.898002075,1674699.6662375266,13285446.711936599,3960622.239465535,9324824.472471064,0.0,0.0,0.0,10955688.131740427,1309924.2743583813,197227.47194586892
1976.0,0.0,0.0,0.0,91818602.92532513,163862.80378708738,20743.20074852246,143119.6030385649,0.0,0.0,0.0,21945564.613215595,320775.99159509625,40606.65773551089,280169.33385958534,10886366.013029378,1949079.6592372074,584450.8229409687,1364628.8362962387,3266945.0904409382,16403974.16671613,4918893.979423976,11485080.187292155,0.0,0.0,0.0,13272997.960486542,1517066.1676082534,216147.04364827805
1977.0,0.0,0.0,0.0,98945023.60126854,181117.09848171537,23092.104074772902,158024.99440694245,0.0,0.0,0.0,23399134.99596487,350905.0394725857,44739.76096012433,306165.2785124614,12407862.59030381,2230613.3877936928,672522.7098782243,1558090.6779154683,4120785.7719665244,20302133.485190544,6121027.472750287,14181106.012440257,0.0,0.0,0.0,16203386.963275129,1743850.4508282768,237405.98969938036
1978.0,0.0,0.0,0.0,106184435.1339086,199334.1860366462,25585.65433866806,173748.53169797812,0.0,0.0,0.0,25018832.050619442,383725.3100483119,49253.283338410365,334472.0267099015,14273666.841402471,2561235.048508745,776156.765052142,1785078.283456603,1517919.4659800425,21653495.382261675,6561876.051849729,15091619.330411945,0.0,0.0,0.0,17384918.17227643,1991784.601858235,260286.4073779215
1979.0,0.0,0.0,0.0,113358968.38727121,218331.19950981232,28201.095371406893,190130.1041384054,0.0,0.0,0.0,26424390.064067565,415856.9314405525,53714.8195527986,362142.11188775394,16057850.829460016,2903587.2812469844,884141.8986790908,2019445.3825678937,4306027.328274861,25785544.259844553,7851694.422143134,17933849.837701418,0.0,0.0,0.0,20505567.43629547,2260706.6685477747,283350.1493366193
1980.0,0.0,0.0,0.0,123412831.77295169,241728.60144526558,31409.243714707354,210319.35773055823,0.0,0.0,0.0,28617004.974809896,456306.3475712138,59290.61432425262,397015.73324696114,15831937.690587109,3086403.7344698817,944083.9007230861,2142319.8337467955,5091372.4187158,30593274.085962996,9358016.649732737,21235257.436230257,0.0,0.0,0.0,23984912.36095457,2556313.883180883,311727.87634441175
1981.0,0.0,0.0,0.0,130750260.08246899,262917.8832429323,34354.910997827064,228562.97224510525,0.0,0.0,0.0,29766551.63605315,488828.3797089562,63874.14682855982,424954.2328803964,14414093.847781548,3165630.2132110978,972488.267741219,2193141.9454698786,2297522.044576759,32672292.38914935,10036997.02386549,22635295.36528386,0.0,0.0,0.0,25481954.51587924,2873632.745478829,336198.3428275554
1982.0,0.0,0.0,0.0,136313220.27531904,282894.2907824672,37162.58865582918,245731.70212663797,0.0,0.0,0.0,30230951.891128395,516023.94213675114,67787.81376303405,448236.1283737171,13037023.80106278,3238720.700432493,999009.7834467057,2239710.9169857875,2076883.734390085,34621372.04838656,10679244.242354022,23942127.80603254,0.0,0.0,0.0,26875806.55351868,3209583.449057648,358017.12692153547
