Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,3087500.0,581244.0029156156,6455.997084384437,3298984.50784614,4031.641512833273,342.6895285908282,3688.9519842424447,0.0,0.0,0.0,1216007.0270068462,11116.964519711475,944.9419841754755,10172.022535536,0.0,0.0,0.0,0.0,457027.35017336207,442972.649826638,99668.84621099355,343303.80361564446,0.0,0.0,0.0,357164.77813542285,7338.460426040574,6522.514093737871
1962.0,3562500.0,1139551.3598851557,12892.643030460027,7374190.378216552,9244.695692359102,881.9181551649245,8362.777537194177,0.0,0.0,0.0,2634866.431138578,24867.604695921294,2372.3000503871667,22495.30464553413,0.0,0.0,0.0,0.0,572643.6838919445,984383.6662814177,239909.03951086913,744474.6267705485,0.0,0.0,0.0,775332.7089532769,23451.345112785122,14745.197495983755
1963.0,3087500.0,1675694.5707557704,19156.789129385274,12798597.027578646,16404.461334043466,1664.7113555521098,14739.749978491356,0.0,0.0,0.0,4465525.186588098,43320.80445107119,4396.159900215076,38924.644550856116,0.0,0.0,0.0,0.0,372643.68389194447,1328917.9494799138,338425.60956109763,990492.3399188162,0.0,0.0,0.0,1044156.7344481637,51232.59691364171,25883.142728490882
1964.0,3087500.0,2190176.1088968846,25218.461858885883,20029989.902830698,26178.557584765564,2769.5451961352655,23409.012388630297,0.0,0.0,0.0,6945969.846555104,68948.38818688097,7294.354422161558,61654.03376471941,367187.21112395276,32812.78887604726,8611.058470280643,24201.73040576662,4454252.893621805,5635596.4894611165,1478949.2922707,4156647.1971904165,0.0,0.0,0.0,4265911.973749532,95019.50582240227,41276.13724458916
1965.0,2375000.0,2683509.8377918247,31066.27110505974,26021022.455752715,34987.836448523405,3818.627354938948,31169.209093584457,0.0,0.0,0.0,8946568.229544878,91879.73380792292,10027.898278295814,81851.8355296271,701561.6333718582,65625.57775209453,17617.502901430813,48008.07485066372,4579964.380056393,9942275.029442318,2669051.6895667673,7273223.339875551,0.0,0.0,0.0,7434252.459349426,152708.3450133002,55332.205432313625
1966.0,2375000.0,3156510.4011622267,36699.43662959816,31722598.93609679,43930.323329811414,4914.766075220567,39015.55725459085,0.0,0.0,0.0,10691924.915389841,113914.14244588473,12744.303258996315,101169.83918688842,911326.4639627282,90235.16940912997,24668.265536701812,65566.90387242816,4249889.071597855,13929028.87788206,3807883.171029061,10121145.706852999,0.0,0.0,0.0,10326898.007166905,223735.1815561133,69158.5598986662
1967.0,2375000.0,3609989.7181422813,42120.68301994559,38332000.38853728,54468.86437208812,6219.726211464946,48249.13816062317,0.0,0.0,0.0,12752703.03716699,140144.0290861018,16002.857800240881,124141.17128586092,1096481.7028965629,114844.76106616542,31873.96606524828,82970.79500091713,3935053.5545652015,17620467.626437377,4890377.079153807,12730090.547283571,0.0,0.0,0.0,12985451.651730971,310666.7850894981,85458.70591309931
1968.0,2375000.0,4044162.1231200667,47327.59502221479,43490011.56177825,63803.92970994619,7413.4821547646625,56390.44755518153,0.0,0.0,0.0,14292275.418837003,163152.5852113015,18956.963692773224,144195.6215185283,981636.9418303975,114844.76106616542,32288.021349029765,82556.73971713566,3595608.4458755124,20991981.68345123,5901789.045154797,15090192.638296435,0.0,0.0,0.0,15373335.447087279,411211.33036706643,100041.52379614144
1969.0,2375000.0,4459835.9953417955,52326.12777827118,50232479.73390462,75565.90117707939,8913.63042917433,66652.27074790506,0.0,0.0,0.0,16377550.241563287,192393.64153468848,22694.440095997004,169699.20143869147,866792.1807642321,114844.76106616542,32653.243992895103,82191.51707327031,4474122.120962193,25224831.448461328,7172051.805582316,18052779.642879013,0.0,0.0,0.0,18371322.632138878,529311.7038343594,118251.09871930355
1970.0,2375000.0,4857516.530616901,57119.46472489494,58032463.174049586,89241.21405757683,10667.785532439038,78573.42852513779,0.0,0.0,0.0,18790493.124965623,226241.40977172088,27044.621293971108,199196.78847774977,751947.4196980665,114844.76106616542,32979.94678055144,81864.81428561397,3841300.0880526346,28817831.8303885,8275610.931434085,20542220.898954418,0.0,0.0,0.0,20901855.93024292,667771.3181871043,139310.60265014262
1971.0,2375000.0,5244226.346712023,61790.183904878104,64442289.45993622,101937.01068794224,12331.160049252296,89605.85063868994,0.0,0.0,0.0,20588241.00026858,256313.2098941296,31005.806356414665,225307.40353771494,637102.6586319011,114844.76106616542,33275.48540087506,81569.27566529036,2348355.170326533,30983475.89620762,8977250.597078934,22006225.299128685,0.0,0.0,0.0,22402707.828970384,824099.3229596977,158585.24940381153
1972.0,2375000.0,5607342.412756149,66183.93395587476,71347900.51893088,115887.38878639686,14169.968192172006,101717.42059422485,0.0,0.0,0.0,22579524.667921204,289639.0973060989,35415.21505503619,254223.88225106272,522257.89756573574,114844.76106616542,33545.29102248619,81299.47004367923,3902663.528149411,34699524.23641997,10135470.07322261,24564054.16319736,0.0,0.0,0.0,25001294.936086327,1000262.1763719268,179778.4494330585
1973.0,2375000.0,5942101.433877711,70240.97887843789,78713910.25659922,131107.55128571112,16188.405300715049,114919.14598499607,0.0,0.0,0.0,24583456.246236008,324700.7276180047,40092.17568759682,284608.5519304079,407413.1364995704,114844.76106616542,33793.48813470831,81051.27293145712,3063190.6873591864,37554236.86863608,11050470.620049613,26503766.24858647,0.0,0.0,0.0,26984345.21943333,1197455.8462710455,202334.02801628516
1974.0,2375000.0,6282923.967297842,74377.46657986901,86064328.98903003,147073.5387416674,18323.283299171497,128750.25544249591,0.0,0.0,0.0,26551667.581702974,361075.4746577383,44984.89851500495,316090.57614273333,292568.37543340493,114844.76106616542,34023.282768295794,80821.47829786962,3035862.103351667,40408949.50085219,11971335.065473216,28437614.435378976,0.0,0.0,0.0,28963276.745262075,1416437.0384706457,225859.6393856291
1975.0,2375000.0,6582901.030382686,78022.93691515582,93398398.4498843,163810.25533408544,20577.967626898382,143232.28770718706,0.0,0.0,0.0,28482858.928611573,398735.54863922234,50089.4598745196,348646.0887647027,177723.61436723953,114844.76106616542,34237.21645400787,80607.54461215755,3035862.103351667,43263662.1330683,12897648.541316958,30366013.591751345,0.0,0.0,0.0,30938499.51283539,1657967.5850084093,250347.82993412612
