Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,10212500.0,0.0,0.0,5492320.879822049,6712.086343002694,570.527339155229,6141.559003847465,0.0,0.0,0.0,1896130.1704648775,17334.777975500827,1473.4561279175705,15861.321847583256,642577.6194669172,57422.38053308271,12920.03561994361,44502.344913139095,710931.4336030077,689068.5663969924,155040.4274393233,534028.1389576691,0.0,0.0,0.0,600533.364722239,11642.757528602893,10360.123322827829
1962.0,11637500.0,0.0,0.0,10286294.654394325,12958.316442721705,1236.187205237487,11722.129237484218,296834.0784588852,3098.850099449048,3098.850099449048,3653437.3346947054,34615.36261072631,3302.208936877013,31313.153673849298,1227732.8584007518,114844.76106616542,27989.387942934736,86855.37312323067,580451.8507512357,1230479.5828517722,299886.2993885864,930593.2834631858,0.0,0.0,0.0,1063582.7895971988,35694.99334415535,22081.897195230104
1963.0,16862500.0,0.0,0.0,14927529.787332198,19373.324507424863,1965.9891687742936,17407.33533865057,590445.8679590267,6446.006357077409,6446.006357077409,5302358.996547189,52075.77800109307,5284.60747490221,46791.170526190865,1847262.519582492,180470.33881825994,45959.03339718611,134511.30542107383,575766.950635661,1771890.599306552,451234.14608146355,1320656.4532250883,0.0,0.0,0.0,1525812.2708680811,72120.22558174017,34219.27998433403
1964.0,22800000.0,0.0,0.0,19927927.81549073,26587.277798477324,2812.7855122139304,23774.492286263394,1177417.024787324,13148.376317752487,13148.376317752487,7183718.39594799,72801.99325635402,7702.04431773367,65099.94893862035,2492963.4057931257,254299.11378936627,66735.70314467498,187563.4106446913,474205.3172638027,2214863.24913319,581246.4467439434,1633616.8023892469,0.0,0.0,0.0,1923203.0305765742,124372.83084935168,49770.21227502473
1965.0,15675000.0,0.0,0.0,24137985.64654272,33235.94925025126,3627.4236379577083,29608.52561229355,1757431.2519119987,20362.34732882687,20362.34732882687,8681860.91696374,91349.43260581874,9970.02037322182,81379.41223259692,3248429.1225946294,344534.2831984962,92491.89023251175,252042.39296598447,623424.5005778736,2805493.4489020407,753148.2490361672,2052345.1998658734,0.0,0.0,0.0,2435737.8780055754,191128.29624491933,64594.8197781497
1966.0,1900000.0,0.0,0.0,28616011.454983857,40573.560020186356,4539.223507212767,36034.33651297359,3343549.6741417083,38683.06654812214,38683.06654812214,10693566.839625504,115709.2221232154,12945.130296717562,102764.09182649784,3913659.6699870033,434769.4526076262,118856.18849501782,315913.2641126084,526547.7673215901,3297685.2820427497,901512.9768867389,2396172.3051560107,0.0,0.0,0.0,2889567.064156213,281107.73693125864,87502.05420125424
1967.0,4512500.0,0.0,0.0,33841891.29254834,49219.99010314939,5620.364332939505,43599.62577020988,4910658.463142981,58388.12128425061,58388.12128425061,12867053.777143076,143020.71212861838,16331.342359775515,126689.36976884287,4764045.4563132115,549614.2136737916,152539.69474083107,397074.5189329606,421862.8672060154,3691438.7485553166,1024520.3378115519,2666918.4107437646,0.0,0.0,0.0,3292670.0465000286,396617.902256118,113166.95149844397
1968.0,4750000.0,0.0,0.0,38045616.967905514,57080.50432918548,6632.276446812926,50448.22788237256,6457354.828503293,79513.32647190607,79513.32647190607,14657389.818619704,168441.46965330132,19571.487760610784,148869.98189269053,5224196.07323029,639849.3830829216,179890.4046588801,459958.97842404153,418739.6004622989,4085192.2150678835,1148531.045129773,2936661.1699381107,0.0,0.0,0.0,3675451.6846091216,536781.7867795114,138667.65172357578
1969.0,4750000.0,0.0,0.0,41784420.44465802,64782.13071331968,7641.594457264878,57140.5362560548,7982203.584152301,102087.52494686784,102087.52494686784,16253322.508952025,193487.73490928486,22823.497565626156,170664.2373436587,5685908.323519226,738287.7497110635,209913.7113828971,528374.0383281664,571082.0505200863,4626603.2315226635,1315459.2579994884,3311143.9735231753,0.0,0.0,0.0,4169410.310397923,701857.8403573948,164816.24496869792
1970.0,4987500.0,0.0,0.0,45913259.27618448,73352.16237295402,8768.427735983732,64583.73463697029,9483744.51451067,126131.80645164312,126131.80645164312,17823674.388231277,219601.63438836986,26250.910669108278,193350.7237192616,6232775.812741998,853132.5107772289,244993.89036981072,608138.6204074181,423424.5005778736,5020356.698035231,1441694.816406963,3578661.881628268,0.0,0.0,0.0,4570866.766843561,893292.0821408319,192632.02302443795
