Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,706088200.0,1061808.6950256203,14591.30497437979,11173788.521888338,21960.917658163264,1317.6550594897958,20643.262598673467,137014.7485757873,2012.980629748435,2012.980629748435,5789299.060603575,71735.46268256928,3945.4504475413105,67790.01223502797,93734.28681477915,6632.912395172782,994.9368592759173,5637.975535896865,204927.90478466146,172267.1415992481,25840.071239887217,146427.0703593609,0.0,0.0,0.0,242511.30135870763,148857.02254409448,93654.27881461314
1962,727974200.0,2132591.0104315565,29917.684594063703,22728436.59830857,46128.935956989284,3087.477576427531,43041.45838056175,545953.8509275747,8237.092826803437,8237.092826803437,11968950.484532412,154205.33975186976,9550.163651115807,144655.17610075395,180502.18105141324,13911.988773381807,2279.6594318922953,11632.329341489512,264783.7143539844,271160.9291069751,44433.228035816566,226727.70107115852,0.0,0.0,0.0,434293.7577207672,389123.11215673503,194027.66810812659
1963,738340400.0,3213467.700795946,45623.30963561054,33594269.08214962,70521.7569878217,5006.066107722173,65515.69088009953,948390.0838354856,15020.981602117596,15020.981602117596,17963601.34492827,240893.23841595338,15895.610832685668,224997.62758326772,259727.21586847957,21690.803540561217,3730.216197499108,17960.58734306211,594007.6212117752,560576.2180632821,96403.55114748061,464172.66691580147,0.0,0.0,0.0,787667.5543243485,822005.9454361973,354784.7210448861
1964,748506400.0,4304733.0288494285,61634.67194651778,49675610.96288046,106727.8096227861,7883.230183914622,98844.57943887147,1480772.4630275515,24388.69005356713,24388.69005356713,26187024.73710262,361729.1871789917,24909.736619231717,336819.45055976,424733.1027363518,36418.694855612746,6472.5448546955495,29946.150000917198,834766.4624140342,840195.2446123139,149324.44528876303,690870.7993235509,0.0,0.0,0.0,1180869.6693766667,1442931.3821411454,559944.2326717183
1965,768272600.0,5406712.933528362,77920.09532106624,69955066.67927682,153499.17281354638,11680.424251346734,141818.74856219965,2140421.6972405277,36531.06117778136,36531.06117778136,37414763.56775043,528771.3792680067,37592.67290778037,491178.70636022626,527738.4250053484,48584.512255247195,8851.55195790136,39732.96029734584,625352.5035054937,718772.393317627,130952.24980197172,587820.1435156553,0.0,0.0,0.0,1297081.6199132085,2046262.6777405366,693750.3243138174
1966,791438800.0,6520045.050561235,94467.88296712644,90033801.6257405,202843.0289993171,15805.040919723298,187037.98807959378,2650438.805760852,47611.3211962895,47611.3211962895,48136978.144866936,701823.9454003115,51175.31399603715,650648.6314042744,618517.0555305087,60818.767753200846,11302.267223551717,49516.50052964913,758968.8798569628,779087.8131614875,144781.93130606858,634305.8818554189,0.0,0.0,0.0,1569120.3230652255,2765421.7445672285,849961.2562385338
1967,801405000.0,7644779.983102959,111265.06745827627,111286050.5457313,257566.5376053055,20466.00565215034,237100.53195315515,2874962.386627912,55431.50388099605,55431.50388099605,59114578.12866026,890109.4096680178,66276.74687216726,823832.6627958505,697160.2462375065,72803.1540566693,13753.8410357426,59049.3130209267,809813.5923059986,854797.0822130656,161486.7286851853,693310.3535278803,0.0,0.0,0.0,1868724.3651788088,3613591.0703845415,1020555.0393614954
1968,831371200.0,8782159.310207171,128320.67289578747,133859994.12334199,318246.92647947156,25712.57438310171,292534.35209636984,3228487.5530370525,65645.77600781257,65645.77600781257,71238304.83651921,1105164.7566925623,83765.31667276094,1021399.4400198013,810937.4097009719,87554.39439153715,16774.444055818218,70779.95033571892,875147.9728427252,921243.5791132933,176499.98023527392,744743.5988780194,0.0,0.0,0.0,2195103.117337722,4601250.081228206,1207444.1064940584
1969,852437400.0,9932230.8109459,145628.49926127205,157872139.13495183,385427.1908646136,31594.332417290687,353832.858447323,3571528.872199066,76394.1871317962,76394.1871317962,83591586.01647922,1336996.2613136857,102911.60482390341,1234084.6564897823,1050782.9002127177,111769.59387894646,21677.097055236147,90092.4968237103,2444162.8723571394,2254943.1478137057,437333.80226949934,1817609.3455442064,0.0,0.0,0.0,3572013.544436818,6416285.994971183,1756977.6306938406
1970,867483800.0,11095637.826268094,163192.98467780635,183338917.1684186,459478.2564632327,38148.57322666531,421329.68323656736,3903568.4681775626,87642.98815201523,87642.98815201523,95621860.21717662,1579172.1120576456,123216.24780812909,1455955.8642495165,1172537.4516901595,129561.71875343275,25400.79545750174,104160.92329593102,2372460.302533806,2566107.159429036,503089.6757608873,2063017.4836681488,0.0,0.0,0.0,4132106.942602179,8378488.588458379,2169904.3491149833
1971,888053200.0,12264448.043701496,180889.7825665981,205236122.60844928,530876.2702326949,44582.43320227978,486293.83703041513,4361140.591354751,101364.19930820509,101364.19930820509,106147561.53782865,1816847.662331413,143492.72563722037,1673354.9366941927,1230045.9824407627,143157.32426809976,28339.124062793762,114818.200205306,2185283.0644727508,2379973.3025343707,471134.5300108255,1908838.7725235452,0.0,0.0,0.0,4284669.945761664,10246242.819973871,2416915.714246171
1972,909121400.0,13453015.172685359,198932.87101613765,237841373.37218592,627387.0550661898,53233.20595522025,574153.8491109696,4804689.274191306,115682.19982028108,115682.19982028108,121376068.64984243,2125451.2611706695,169715.29909121973,1955735.9620794498,1274690.628308983,155255.77472106006,31004.288348606005,124251.48637245406,2289952.517821525,2421366.605649342,483542.3904464542,1937824.2152028875,0.0,0.0,0.0,4707647.712586042,12248926.92724773,2704963.6053121844
1973,929431600.0,14642679.13940786,217036.03327749902,266137369.38156983,721041.9180973213,61756.875131104855,659285.0429662165,5370656.7721551275,132560.1047222173,132560.1047222173,134302894.6806664,2422900.8624358885,195405.72753695323,2227495.1348989354,1401789.1737172701,172332.26940101534,34690.31128355275,137641.95811746258,2826515.7252833946,2899531.452047877,583672.7445045759,2315858.7075433014,0.0,0.0,0.0,5472840.948248133,14622033.281226864,3099734.594268999
