Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,11620840000.0,30197942.957177546,372057.0428224544,342262402.85804915,418273.95926314313,35553.28653736717,382720.672725776,11899104.847056448,124222.73894593581,124222.73894593581,134124979.73491848,1226195.743778144,104226.63822114225,1121969.1055570017,125727838.5865304,11235361.41346959,2527956.3180306577,8707405.095438933,40592929.55694326,39344598.44305674,8852534.649687767,30492063.793368973,0.0,0.0,0.0,40828381.40603662,862052.3839032885,766860.133325425
1962.0,11754488212.5,60847551.33293191,762791.6242456334,697363727.4427178,876391.0535885796,83605.25937297253,792785.7942156071,24341540.83588496,265419.9585827329,265419.9585827329,271663603.33116275,2569540.7532561,245127.0129535687,2324413.7403025315,254306535.14633387,23729503.440196544,5783235.310997036,17946268.12919951,45638280.45825809,82369449.09868518,20074668.135193963,62294780.96349122,0.0,0.0,0.0,83623668.58579159,2626276.066080473,1618395.8109236872
1963.0,11884438862.5,91961821.179589,1164530.1533429013,1121806057.0052,1445375.488015002,146675.52557436939,1298699.9624406327,42977891.31197005,483649.29436183895,483649.29436183895,442915370.9078624,4312388.672464291,437617.6849957011,3874770.9874685896,369502496.6284904,36144238.51784346,9204583.290721638,26939655.227121823,53240140.412620656,132649207.37480766,33780782.990541026,98868424.38426663,0.0,0.0,0.0,131465199.8556595,5551300.3030187385,2732096.007332796
1964.0,12023584987.5,123554596.20863399,1575824.9709550135,1641016536.9910715,2162327.5871245507,228762.18301945797,1933565.4041050929,62713528.550450474,732157.8499810186,732157.8499810186,648507366.868692,6485183.728636906,686096.2214416742,5799087.5071952315,486339649.47482497,49815047.15366547,13072960.221712023,36742086.931953445,61507303.466881186,190718787.3556815,50050321.400740065,140668465.95494145,0.0,0.0,0.0,185875363.64817622,9899081.11505705,4117029.9492430314
1965.0,12162629400.0,155641471.87562796,1996124.3330060167,2164189178.8393865,2924336.633311397,319166.68752703763,2605169.9457843592,94608866.99175075,1128260.0888981258,1128260.0888981258,859024938.4704716,8844759.887791991,965330.9688091514,7879428.91898284,622931229.1075565,66472820.367268495,17844949.268264007,48627871.09900449,70756680.11619322,257513747.2777406,69130807.6092194,188382939.6685212,0.0,0.0,0.0,248623669.721191,15826718.865412187,5685221.203310188
1966.0,12304126550.0,188238861.6613347,2425210.214293258,2730337759.645995,3781059.5941325887,423011.3054738098,3358048.288658779,121812633.7743615,1508384.1705411228,1508384.1705411228,1076974110.9621842,11421521.625775943,1277798.631080611,10143722.994695332,766251189.0031694,85220440.10438697,23297351.347765144,61923088.75662182,85118900.04289903,337960927.3907234,92390915.34371121,245570012.0470122,0.0,0.0,0.0,322503256.25752926,23444892.15608964,7391982.163217777
1967.0,12447234612.5,221363832.04116738,2863029.620167328,3337413233.6160126,4734771.459197147,540657.171570395,4194114.2876267517,149635411.69687358,1924812.0168848683,1924812.0168848683,1306798586.4418259,14265030.886631632,1628904.651046949,12636126.235584684,891051736.0133775,103988452.98979191,28860910.946252912,75127542.043539,144085482.0687881,475141485.0959697,131870565.37490064,343270919.72106904,257128.9388623935,13602871.061137605,13602871.061137605,450756385.3658419,32917922.563337497,9282022.132848447
1968.0,12592382237.5,255034007.18150622,3309624.8596611726,3965295813.774374,5765686.119292322,669924.4286309961,5095761.690661325,181262837.33354092,2412365.8081246326,2412365.8081246326,1540506620.70799,17313867.74764214,2011726.3961735484,15302141.351468593,1002112898.9945232,123205837.01885432,34638695.392452136,88567141.62640218,146077681.4946008,612508288.1908764,172203594.67830464,440304693.5125717,279984.8445390507,28414886.216598555,28414886.216598555,580096990.205827,44389337.33190118,11338854.08169087
1969.0,12739338412.5,289268099.9991322,3765107.182374019,4584413666.249502,6841208.807300322,806977.8305718665,6034230.976728455,220145302.98351073,3011578.094193529,3011578.094193529,1770200044.541912,20502269.49432946,2418414.263379674,18083855.230949786,1124154704.970257,145121794.02426618,41261763.31396543,103860030.71030074,163757346.15465066,767005335.8464123,218078840.88692626,548926494.959486,302840.75021570787,44436045.466382846,44436045.466382846,724352235.4380413,57978247.68162976,13540753.952143183
1970.0,12886608362.5,324085269.988563,4229630.010569214,5200994564.656694,7970508.543708858,952784.8385601385,7017723.705148719,263389335.91624734,3700085.175656257,3700085.175656257,1995639851.621373,23829123.793564755,2848504.3008455834,20980619.492719173,1331230805.7374415,176595099.23281544,50712778.88809418,125882320.34472126,183444818.677454,940057621.8578864,269956156.91745037,670101464.9404361,319982.6794732008,61364062.78690964,61364062.78690964,889046276.4455912,73796599.85980943,15880076.195344487
1971.0,13140005562.5,359967500.1775338,4709569.811029171,5804911628.001089,9143214.285404442,1106040.2689566852,8037174.016447756,309899540.7123952,4471740.232521958,4471740.232521958,2214420959.37236,27272829.53529307,3299151.3457776364,23973678.189515434,1398158671.168565,198356934.5688765,57472567.4826933,140884367.0861832,186679019.39164776,1115674030.4432905,323258932.9065049,792415097.5367856,331410.6323115294,78896652.15459812,78896652.15459812,1048678709.216052,91938949.02302736,18340243.275267206
1972.0,13290688912.5,396388653.64014983,5197846.537384,6490888561.961343,10476400.05561091,1280987.1471873312,9195412.908423578,335139654.95406604,5074672.211949193,5074672.211949193,2452096525.5321374,31065278.728203557,3798463.4572357633,27266815.270967793,1446301487.9842093,220384783.18435568,64372737.77414612,156012045.41020957,198213682.76239926,1302391530.5100832,380418771.4841548,921972759.0259284,405692.3257606653,100358959.82883745,100358959.82883745,1219880664.6563158,112530622.2583332,20945227.15603473
1973.0,13442566087.5,433389106.93249387,5694946.707655974,7245547133.410679,11961703.158014247,1476962.2108706252,10484740.947143622,360337220.60170317,5711419.376593156,5711419.376593156,2707799193.7878647,35212550.45180735,4347842.918242803,30864707.533564545,1480670810.6907663,242337375.66854763,71308653.11769204,171028722.55085558,228886109.82645625,1518496820.5500414,446823205.6165441,1071673614.9334973,502829.9248864584,126960129.90395099,126960129.90395099,1416723335.245605,135800717.44735706,23790772.66827749
1974.0,13634074162.5,471246735.61357456,6204571.318919301,8061471892.459597,13597383.936602809,1694041.770733505,11903342.165869303,390380128.59283996,6432898.632524326,6432898.632524326,2980942564.4287577,39722677.67998065,4948883.958047816,34773793.721932836,1550838014.5060492,268355603.94563735,79501568.12324212,188854035.8223952,258914312.85502878,1762803127.6150963,522238443.60763234,1240564684.007464,571397.64191643,157188732.26203457,157188732.26203457,1639717486.6122205,162004218.26835048,26906533.699333057
1975.0,13820086587.5,509988269.9164421,6727065.697132493,8876938065.772226,15315049.848615633,1923888.094468838,13391161.754146796,433522233.82447726,7329621.319487546,7329621.319487546,3255840477.4833045,44465156.211903386,5585746.4063370805,38879409.8055663,1679007148.6921601,300771325.26349556,89665152.07665737,211106173.1868382,219320314.9215439,1967865798.563443,586654947.7084059,1381210850.8550372,599967.5240122515,188928764.7380223,188928764.7380223,1840845981.6590984,191348473.70019752,30255937.447353583
1976.0,14041884900.0,549756716.3478326,7264353.568609569,9740410571.041462,17176833.002152126,2174395.207166377,15002437.794985749,486185231.1906911,8376452.088025317,8376452.088025317,3547236371.359752,49577457.88889086,6275952.429856571,43301505.459034294,1845621617.869361,338319081.6063286,101448324.45629007,236870757.15003854,247378765.23174268,2201330891.435007,660090851.0676668,1541240040.3673403,754244.8873296876,228830519.8506926,228830519.8506926,2073621712.7101166,224119183.57967988,33909685.46256301
1977.0,14276553175.0,590694352.21623,7818364.131602474,10641231568.32751,19176059.539113887,2444913.0774141895,16731146.461699698,521036782.82982194,9297282.67035269,9297282.67035269,3822321835.6334057,54771203.63458515,6983229.884052642,47787973.75053251,2197514710.7362175,394341406.0636481,118892656.37620312,275448749.687445,261918430.0075473,2448015075.6843314,738068614.4587247,1709946461.2256067,719961.0288147018,266918558.8218779,266918558.8218779,2326130172.6175146,260316410.95171067,37619175.51055409
1978.0,14369633162.5,632018657.1369894,8378495.079240666,11565882168.19294,21301980.71339551,2734228.012257326,18567752.701138183,558313046.2551756,10286859.485971441,10286859.485971441,4100775518.152325,60216599.76544825,7729136.369841928,52487463.395606324,2277522324.2391677,429433863.44685876,130135654.06690128,299298209.3799575,288989244.83493704,2720531062.350746,824429835.0545598,1896101227.2961864,828526.5807788235,310750032.24109906,310750032.24109906,2587491544.499959,300123292.81230795,41535193.72211871
1979.0,14419575925.0,673516440.9262406,8941816.210748773,12515637563.501898,23561112.55032898,3043308.439563708,20517804.110765275,615844945.0757867,11532966.61478827,11532966.61478827,4375622067.9690075,65851746.2612705,8505845.160275934,57345901.100994565,2311865923.1654234,461904808.6883954,140649946.08578524,321254862.6026101,321579147.0288741,3023840341.9890428,920758937.9302046,2103081404.0588381,925664.1799046166,359720368.0611944,359720368.0611944,2873453306.549191,343793204.34814906,45726760.29070694
1980.0,14467280012.5,715256814.8824669,9509226.043773666,13637745332.027529,26138546.34647802,3396337.742559596,22742208.603918422,672026636.8197162,12828516.278587343,12828516.278587343,4680407000.846148,71980155.22404402,9352812.304945162,62627342.91909886,2526135364.118865,511646404.4141618,156504843.44467318,355141560.9694886,399013586.79684556,3401255795.9156036,1040392351.5588082,2360863444.3567953,1051371.661126231,415340996.40006816,415340996.40006816,3229544069.527957,391692462.2466247,50298809.90312904
1981.0,14549996687.5,757051093.3748603,10078121.507606583,14741071776.263067,28816328.243873864,3765367.2693984364,25050960.97447543,714020764.386049,14038165.005618345,14038165.005618345,4947169186.7808075,77998104.31366481,10191843.546904178,67806260.76676063,2719473076.86536,562049965.3427136,172662932.92851478,389387032.4141988,138468284.64866003,3523859403.413821,1082537029.3371632,2441322374.0766582,1279930.7178928033,483053065.68217534,483053065.68217534,3420657858.919887,443732607.7566317,54855241.23684742
1982.0,14868121362.5,800437452.8786834,10669440.496176822,15748491924.622883,31502894.91662088,4138397.8517771903,27364497.064843692,754820221.733142,15283724.265801439,15283724.265801439,5154872121.729518,83687381.3560198,10993646.143989349,72693735.21203044,2845450367.749426,608288270.8513399,187631472.40674964,420656798.44459033,376940286.1303386,3885437502.2870474,1198494849.2894592,2686942652.997588,1417066.1519527463,558019999.5302225,558019999.5302225,3780961407.5150766,499757028.6533184,59317535.645988815
1983.0,15276793337.5,846079172.4766614,11292280.40202198,16761924627.682915,34320007.53599912,4531353.417356476,29788654.118642643,794357469.4841124,16562098.29387567,16562098.29387567,5371455954.805899,89628176.83582805,11833824.481840592,77794352.35398746,2925490538.6417093,652443587.7093259,202034600.81263,450408986.8966959,373755142.1335047,4236579362.407091,1311892148.867706,2924687213.539385,1405638.1991144177,632382361.3311081,632382361.3311081,4131623666.533695,559939801.0304143,63962332.38940981
1984.0,15455176700.0,892528057.7782618,11926914.698399637,17846599889.103645,37351493.90032062,4955452.855414231,32396041.04490639,843688630.8588328,17985990.51178131,17985990.51178131,5608463795.428572,95926614.6401402,12726661.420753052,83199953.21938716,3012171288.909566,699174216.3022485,217308557.66540277,481865658.6368457,362828703.7999836,4577451738.367021,1422706117.9520342,3154745620.4149866,1559915.562431854,714906445.7686763,714906445.7686763,4485099709.596583,624595259.1110182,68926526.695471
