Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,7547138200.0,147579586.80729452,1890313.1927054918,112473095.07441474,137451.75162247304,11683.398887910209,125768.35273456282,724275151.4396799,7561194.242655677,7561194.242655677,320764275.5004466,2932487.2231263393,249261.41396573884,2683225.8091606004,1376952.0417148229,123047.95828517723,27685.79061416488,95362.16767101234,2869116.1427549953,2780883.857245005,625698.8678801262,2155184.989364879,0.0,0.0,0.0,12620735.561586732,5459047.483905295,4911140.920645545
1962.0,7705190650.0,298585094.873402,3889291.9338924806,212496122.10204923,267625.4884920401,25530.724313736944,242094.76417830313,1456716958.0568047,15895593.416639127,15895593.416639127,638259813.992313,6040621.972679732,576258.4690156485,5464363.503664084,3548824.15295435,328127.8887604726,79969.67983695638,248158.2089235162,4252259.253756179,6816856.888998818,1661370.0986127686,5155486.790386049,0.0,0.0,0.0,27005696.68379108,16674507.329125227,10386591.83926158
1963.0,7873817312.5,453149167.74928457,5960827.124117437,331785870.83713895,428754.1602054738,43509.62245575491,385244.5377497189,2196832340.226417,25039365.071412273,25039365.071412273,959002074.3965662,9389438.851983815,952832.5960159325,8436606.255967883,6249990.755966488,598833.3969878624,152500.42899975387,446332.9679881085,4799889.071597855,11345021.753893338,2889151.963104926,8455869.790788412,0.0,0.0,0.0,42763418.6239064,34082996.8936682,16452726.300586907
1964.0,8046031175.0,611418012.0965971,8099155.652687386,449274047.3983727,596770.4121405657,63134.97689045298,533635.4352501127,2944983549.3138084,35035908.89236382,35035908.89236382,1284903006.8920748,13005664.460577624,1375926.66871384,11629737.791863784,8496858.245189259,853132.5107772287,223887.52022729669,629244.990549932,5780340.922349091,16808351.101755206,4411014.701401258,12397336.400353948,0.0,0.0,0.0,60225863.510381594,58165261.39631803,23117017.61682788
1965.0,8225538662.5,773548532.6197414,10302879.476855615,584537457.8036354,795859.0709929281,86861.30746155791,708997.7635313702,3700896610.1889114,45920676.942280196,45920676.942280196,1617708405.584054,16915437.210273046,1846177.3521473883,15069259.858125657,11774581.859556498,1222276.3856327604,328125.99153914885,894150.3940936115,5810011.956414397,22271680.449617073,5978940.04717308,16292740.402443994,0.0,0.0,0.0,78885825.36047482,89452270.00988635,30411925.950368915
1966.0,8407735362.5,939705762.5599282,12572270.059813231,690679293.5840325,970352.5505155892,108559.5423569636,861793.0081586256,4464263384.829309,57726473.82786961,57726473.82786961,1950847624.817262,21069677.98411905,2357199.554274587,18712478.42984446,14407771.19072524,1566810.6688312567,428330.79250091326,1138479.8763303435,10507237.49986284,32287784.254030496,8826753.922950756,23461030.33107974,0.0,0.0,0.0,101900255.47328278,128446262.77480015,38306752.50095889
1967.0,8598711725.0,1110062304.8002985,14908457.759629663,815458309.8308806,1177014.1453728867,134401.65892263685,1042612.4864502498,5234744424.878369,70483048.98785655,70483048.98785655,2290653633.673528,25532742.446220428,2915549.447818472,22617192.998401955,18532362.294315252,2075408.8964099893,576008.1010362726,1499400.7953737169,7579449.177261015,39326127.46794263,10914556.66548573,28411570.8024569,0.0,0.0,0.0,124053826.07053939,175723904.54752114,46865212.69998776
1968.0,8793873312.5,1284798401.1839373,17313103.61636106,976941304.0309584,1439608.9786717184,167270.50389747485,1272338.4747742435,6012269057.268673,84219806.53201926,84219806.53201926,2647857112.7013335,30412712.99897579,3533702.4869917915,26879010.511983998,21872964.761983562,2559397.5323316865,719561.6186355205,1839835.9136961661,9820887.925816331,48628553.11430203,13671670.754074886,34956882.360227145,0.0,0.0,0.0,149167873.7927008,231938076.5021568,56156983.564141825
1969.0,9004066987.5,1464103046.626558,19788254.557379197,1167035299.2788877,1751271.6972648536,206577.15248986735,1544694.5447749863,6796145287.773731,98956394.19373284,98956394.19373284,3018350288.3252463,35688454.55773033,4209751.879627957,31478702.678102374,24178797.77704425,2994166.9849393126,851316.7183861937,2142850.266553119,10578264.086181855,58595437.735401385,16660151.560089262,41935286.175312124,0.0,0.0,0.0,176057927.85847545,297735216.7888135,66182651.12995354
1970.0,9210461375.0,1648172806.6938498,22336239.93270822,1374369682.567373,2100681.616854085,251112.91007401995,1849568.706780065,7585960470.081539,114711182.13132139,114711182.13132139,3395487375.956437,41312758.68331749,4938476.6225019945,36374282.0608155,26876032.564526208,3502765.212518045,1005888.3768068189,2496876.8357112263,12478236.354081318,70383432.13912135,20211995.955509376,50171436.183611974,0.0,0.0,0.0,205603345.91824013,373741592.78446084,76928656.9032696
1971.0,9346249150.0,1834562791.465363,24922815.228486728,1625322018.7462187,2521945.368982574,305075.7695416046,2216869.5994409695,8381285778.431805,131498114.73244156,131498114.73244156,3784646888.93979,47343689.66184965,5727091.765811956,41616597.89603769,36041226.13578453,4634806.428741676,1342903.5179638865,3291902.9107777895,12739140.05558379,82368303.27609761,23865653.493584745,58502649.782512866,0.0,0.0,0.0,237126134.92121089,460632134.09534246,88441040.9170386
1972.0,9554106775.0,2025557139.4422553,27579352.023107667,1836173718.7078228,2916548.227261095,356616.85058242053,2559931.3766786745,9181680758.219652,149326469.36773148,149326469.36773148,4158813409.7500663,53545995.893361725,6547261.669909779,46998734.22345194,40769693.59070365,5471532.545080881,1598193.5079998777,3873339.037081003,12872338.630786046,94476222.37135905,27595794.050426666,66880428.32093239,0.0,0.0,0.0,269638902.3258755,558928686.351424,100588582.71178067
1973.0,9683326012.5,2218796365.9307914,30272773.51146345,2057838351.797137,3344746.501321908,412990.0334539225,2931756.4678679854,9986698091.620737,168200668.5329126,168200668.5329126,4533527509.729329,60055638.966918804,7415324.400890205,52640314.566028595,45945237.14286563,6414079.905545338,1887366.3123234587,4526713.59322188,13942639.864620201,107617744.31621598,31666912.20280272,75950832.11341326,0.0,0.0,0.0,304250285.2734443,669249018.4421481,113452407.47608502
1974.0,9844364075.0,2414738490.7727814,33009175.158010148,2280982049.8802857,3796649.8290811693,473008.8838631871,3323640.9452179824,10796482190.334423,188126348.27405733,188126348.27405733,4914397920.619195,66926522.553039566,8338098.365347263,58588424.1876923,52304609.469998695,7529714.727330945,2230712.2323584794,5299002.494972466,15498858.666007098,122235841.76049504,36212924.03788397,86022917.72261107,0.0,0.0,0.0,341360333.6245512,792232620.7230322,127054811.1260835
1975.0,10137017037.5,2619523872.377244,35874318.395537265,2493702818.390193,4258613.479270528,534970.2320723219,3723643.2471982064,11611470939.692627,209107689.48256645,209107689.48256645,5301323153.593821,74163072.33172324,9316420.992330689,64846651.33939256,65517490.850201696,9334418.115513545,2782752.043072539,6551666.072441006,13209790.099610107,134589856.77232683,40123572.16863621,94466284.60369062,0.0,0.0,0.0,378695934.74528885,928514677.4866242,141395927.30556515
1976.0,10505595662.5,2834437101.371672,38886471.00557167,2680077618.500944,4711252.118862217,596391.8974890733,4114860.221373144,12432990696.163307,231153879.475713,231153879.475713,5680299774.77976,81641795.27760868,10334939.411348341,71306855.86626033,70390127.81696203,10532084.90948927,3158149.880361573,7373935.029127697,13620372.723020954,147411454.0256423,44202783.19970204,103208670.82594027,0.0,0.0,0.0,417158201.4184145,1078666846.436123,156423426.6138479
1977.0,10750382162.5,3054101192.8968487,41970408.47482331,2847795877.363522,5162888.362450679,658258.9738438248,4504629.388606854,13260579364.70803,254252056.4712663,254252056.4712663,6062464465.243577,89459276.86546607,11405896.788037486,78053380.07742858,74412378.99739619,11729751.703464996,3536482.137595149,8193269.565869847,12670372.723020954,159297886.79599044,48027796.78995748,111270090.00603296,0.0,0.0,0.0,456273425.5092045,1243303450.6975758,172173461.67584875
1978.0,11071744600.0,3281178938.804623,45163554.0922255,3080749631.8265796,5715437.020778409,733608.2129995464,4981828.807778863,14094977445.343077,278396986.3709443,278396986.3709443,6467489408.805519,97796140.89726458,12552680.031477805,85243460.86578678,76209230.52545385,12804370.539155543,3880236.927878345,8924133.611277198,11980551.072038569,170544470.18325564,51681802.63347478,118862667.54978086,0.0,0.0,0.0,496409077.20556796,1423164207.5708039,188761519.1712817
1979.0,11416692450.0,3519565696.514135,48520942.29048802,3303356029.515252,6281785.261557663,811396.747975656,5470388.513582007,14936635651.77316,303576751.6669162,303576751.6669162,6864493073.64447,106382580.94719283,13741074.651190046,92641506.29600279,78969374.42523934,14018443.727569291,4268614.046448161,9749829.68112113,11655564.938088836,181495738.47063643,55265425.58234277,126230312.88829365,0.0,0.0,0.0,537668789.0459158,1618812500.5847855,206040353.46251947
