Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961.0,142500000.0,1265442.3534133665,14357.646586633577,34412216.70215027,42054.6750295543,3574.647377512116,38480.02765204219,0.0,0.0,0.0,12684357.027192416,115962.77315415308,9856.835718103013,106105.93743605007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144585.96508809226,76548.61362351086,68037.3514645814
1962.0,154375000.0,2550851.5437801564,29490.809633210305,68781199.29727235,86484.92566718714,8250.420417518115,78234.50524966902,0.0,0.0,0.0,25249247.55645851,238960.91133481704,22796.2036927959,216164.70764202112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294399.21289169014,230109.607809814,140838.21870538697
1963.0,121125000.0,3856674.2927881144,45077.250992041925,97369152.26522103,126382.98390713311,12825.24212009012,113557.74178704299,0.0,0.0,0.0,35573496.282147095,349824.7758213804,35499.93290878636,314324.84291259403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427882.584699637,450603.6371914856,207388.5553179654
1964.0,190000000.0,5183715.559689102,61058.7330990123,139681008.9555975,185287.33420159898,19602.365205995113,165684.96899560385,0.0,0.0,0.0,50857553.81348196,513230.1757815097,54296.88642106549,458933.28936044424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624618.258356048,770770.4298189974,304451.46572853636
1965.0,201875000.0,6532505.355098734,77410.20459036762,182391190.04937184,247975.5854055992,27064.44438712311,220911.1410184761,0.0,0.0,0.0,66142814.100348555,687238.7515778868,75006.31540937035,612232.4361685164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833143.5771869925,1195216.6448137038,408697.3621922862
1966.0,213750000.0,7903585.162849869,94120.19224886481,239490132.2866062,331712.2160425466,37110.76592590929,294601.45011663734,0.0,0.0,0.0,86576866.10960592,919230.0306372608,102840.13928106378,816389.891356197,0.0,0.0,0.0,0.0,837883.4753178305,812116.5246821697,222014.3898303163,590102.1348518534,0.0,0.0,0.0,1701093.4763246877,1759337.0075296457,546870.9787568925
1967.0,237500000.0,9297797.74844986,111187.41440000864,307973832.9166625,433984.3841984008,49556.091923011896,384428.2922753889,0.0,0.0,0.0,111000893.03071374,1202206.3877717392,137278.32712896017,1064928.0606427789,0.0,0.0,0.0,0.0,863650.4259534914,1624233.0493643393,450788.9486370828,1173444.1007272564,0.0,0.0,0.0,2622800.453645424,2493082.9371999213,715610.4232478924
1968.0,261250000.0,10715983.494697958,128614.25375190246,387823274.0924993,555762.7635766078,64574.977572511474,491187.7860040963,0.0,0.0,0.0,139362673.58702898,1538642.162297775,178777.3302462421,1359864.8320515328,2019529.66118174,180470.33881825994,50738.31926276106,129732.01955549887,305061.44240827113,1894938.5575917293,532752.3522589911,1362186.2053327383,0.0,0.0,0.0,3342970.8429438663,3427570.642595832,916564.9126597183
1969.0,277875000.0,12158681.833051732,146401.66164622598,484950647.0137387,705304.2529559998,83196.53908768027,622107.7138683195,0.0,0.0,0.0,173298755.5378761,1946480.2388180338,229603.63359998676,1716876.605218047,3766792.180764232,352737.48041750805,100292.10654960638,252445.37386790168,313273.88366079505,2190253.6574761546,622744.010435928,1567509.6470402265,0.0,0.0,0.0,4158939.339994495,4605717.494161276,1160837.467520923
1970.0,293550000.0,13627022.462070316,164559.37098141585,582650903.3602843,863682.4509684732,103243.54338252875,760438.9075859445,0.0,0.0,0.0,206901225.45218378,2375793.8935409044,283999.49500038044,2091794.3985405238,5617177.967090441,549614.2136737916,157832.60244978187,391781.6112240098,288664.2920037596,2460959.1657035444,706713.1452975308,1754246.0204060136,0.0,0.0,0.0,4998260.937756492,6037609.4150921535,1420341.38519559
