Year,Fuel_Emissions,Biochar_Stock,Biochar_Decay,Construction_InUse,Construction_Disposed,Construction_Recycled,Construction_LandfillIn,Exterior_InUse,Exterior_Disposed,Exterior_LandfillIn,Household_InUse,Household_Disposed,Household_Recycled,Household_LandfillIn,GraphicPaper_InUse,GraphicPaper_Disposed,GraphicPaper_Recycled,GraphicPaper_LandfillIn,OtherPaper_InUse,OtherPaper_Disposed,OtherPaper_Recycled,OtherPaper_LandfillIn,HouseholdPaper_InUse,HouseholdPaper_Disposed,HouseholdPaper_LandfillIn,LF_Input_Total,LF_Stock_Total,LF_Decay_Total
1961,1059388600.0,7537046.980410889,109653.01958911149,20271147.444261935,39840.82918589998,2390.449751153999,37450.379434745984,39268426.941820644,576920.2484859015,576920.2484859015,25369161.32418001,314350.40864326345,17289.27247537949,297061.136167884,937342.8681477915,66329.12395172783,9949.368592759174,56379.75535896866,2546961.1023236495,2141034.4741620836,321155.1711243125,1819879.303037771,0.0,0.0,0.0,2787690.822485271,1724447.1033751685,1063243.7191101026
1962,1067651000.0,15259705.71187035,226441.26854053864,35687423.885917194,72785.99177465266,4871.673556307758,67914.31821834491,77686893.24476519,1203286.9420565148,1203286.9420565148,48101286.180859536,621868.6662227316,38513.24176895883,583355.4244537727,1898756.0973289115,145752.80012899084,23883.482868711173,121869.31726027967,3407984.9668478984,3468581.3426719746,568371.9489651143,2900209.39370686,0.0,0.0,0.0,4876635.395695772,4439697.550902911,2161384.9481680295
1963,1075947600.0,23175311.63242565,347894.07944469934,61214515.40595949,127742.83484318914,9067.968572071632,118674.8662711175,119754357.71132992,1946820.267739728,1946820.267739728,77053456.63092117,1030559.8671220264,68002.65003399577,962557.2170880307,3012110.056773157,247402.30516692594,42546.33002906294,204855.97513786302,5668708.975222931,5554128.1155565195,955155.8853452267,4598972.230211292,0.0,0.0,0.0,7831880.556448032,8623574.816525534,3648003.2908254093
1964,1084277400.0,31291901.936026927,473609.69639872294,90486260.32457736,193618.49582419553,14301.232039147706,179317.26378504783,147730260.74587125,2555183.0160532505,2555183.0160532505,102287414.08155689,1424370.601072892,98086.35238313206,1326284.24868976,8145279.4475630205,646176.7454660179,114842.33539042954,531334.4100755884,3666253.1835920406,4395775.5848855935,781243.1158543467,3614532.469031247,0.0,0.0,0.0,8206651.407634893,12448837.456803164,4381388.767357264
1965,1092638600.0,39618216.851403244,603485.0846236899,112215582.81053378,248882.71833334325,18938.575926353995,229944.14240698924,175117465.064204,3206946.562536923,3206946.562536923,123680858.69924758,1798892.5874932737,127891.15161921355,1671001.43587406,9957683.804210048,870409.8098848041,158578.88243038382,711830.9274544202,6309351.887986802,6125858.274480871,1116062.5122350836,5009795.762245787,0.0,0.0,0.0,10829518.83051818,17627011.16997563,5651345.117345715
1966,1101030200.0,48163879.48314947,737537.3682537772,137608970.2945033,314766.6859920409,24525.863061760185,290240.8229302807,201393326.68343648,3894363.7041413994,3894363.7041413994,146170042.9462842,2212011.645093522,161294.5685915342,2050717.0765019879,11591306.758069295,1099733.1818313007,204369.1241181057,895364.057713195,3506314.704566826,4407232.482771771,819018.8830976814,3588213.59967409,0.0,0.0,0.0,10718899.260960951,22171643.80288778,6174266.628048804
1967,1109451200.0,56938149.930899724,875829.5522497419,161575655.04147327,381888.9176322788,30344.550264260728,351544.3673680181,230674627.7371831,4676559.401369344,4676559.401369344,169341899.49530476,2660092.8955071126,198068.12688086342,2462024.7686262494,14590687.956096068,1437559.1650696483,271581.09414397745,1165978.070925671,7255324.57025923,6879242.341294675,1299614.100988928,5579628.240305747,0.0,0.0,0.0,14235734.84859503,28732336.922710672,7675041.728772135
1968,1117899200.0,65951379.067761526,1018470.8631381983,169192831.48317406,420903.84648187546,34006.680223184965,386897.1662586905,256137534.27030337,5457893.665615627,5457893.665615627,183912831.89197865,3029087.907091623,229587.94716410278,2799499.9599275202,17438745.242417313,1789262.0526423822,342802.62472067535,1446459.4279217068,8332047.196622306,8688057.377746481,1664534.7552176525,7023522.622528829,0.0,0.0,0.0,17114272.842252374,36585945.66537289,9260664.099590153
1969,1126373400.0,75214382.9726231,1165596.0951384336,196928662.5936299,501513.850465884,41110.21660913466,460403.6338567494,279964538.04517245,6264068.335877445,6264068.335877445,207643193.218823,3530491.1642352184,271749.8335941969,3258741.3306410215,21155948.40057537,2221270.60297122,430803.19768093916,1790467.4052902807,8411215.050214363,8988397.113480676,1743250.107994055,7245147.005486621,0.0,0.0,0.0,19018827.711152118,44961815.59324911,10642957.783275891
1970,1134871800.0,84737833.0443614,1317349.928261699,227126245.14819932,591702.2196498403,49126.58028356252,542575.6393662777,304640130.0847044,7127906.609815391,7127906.609815391,233382623.0168813,4084764.7410538774,318717.2447693467,3766047.4962845305,24536691.202318452,2654816.38476042,520481.2703577767,2134335.114402643,9164987.953254271,9624483.572975054,1886896.3840042267,7737587.1889708275,0.0,0.0,0.0,21308452.04883967,54173573.57053276,12096694.071556028
